country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,3004700.0,2667000.0,3030000.0,2989000.0,3021000.0,2714000.0,3192000.0,2962000.0,2820000.0,3143000.0,3182922.0,3344733.0,2724070.0,2793694.0,2419213.0,1910389.0,2641911.0,3043589.0,2368118.0,2141199.0
AGO,1140009.0,1509879.0,1568233.0,1622092.0,1682171.0,1156211.0,1849528.0,1878155.0,2132989.0,923085.0,2056204.0,2052732.0,2055726.0,2781774.0,3066375.0,3026880.0,3027940.0,3099418.0,3052849.0,3071528.0
ALB,153340.0,143900.0,147655.0,140870.0,132390.0,149100.0,146200.0,145700.0,147599.0,142800.0,142000.0,143149.0,142600.0,148084.0,145799.0,140110.0,132203.0,131310.0,134337.0,132839.0
ARE,113.0,108.0,107.0,106.0,87.0,107.0,138.0,295.0,191.0,312.0,21.0,181.0,105.0,179.0,557.0,392.0,1094.0,1391.0,1185.0,975.0
ARG,9814395.0,9345371.0,10291886.0,8701693.0,9796747.0,10921189.0,8046915.0,8155785.0,11077808.0,11380945.0,10581024.0,10522262.0,11713405.0,11751642.0,14135508.0,15112335.0,15273923.0,16595690.0,16886709.0,18063791.0
ARM,194815.0,198015.0,202111.0,157557.0,172630.0,170141.0,164014.0,155666.0,156138.0,170172.0,176945.0,180626.0,190209.0,194717.0,150892.0,127436.0,115382.0,117720.0,116382.0,109574.0
ATG,35.0,38.0,38.0,40.0,40.0,42.0,42.0,40.0,45.0,44.0,45.0,46.0,47.0,35.0,25.0,17.0,10.0,3.0,5.0,5.0
AUS,17196654.0,20026924.0,20274539.0,19181586.0,18110965.0,20159099.0,20674118.0,20141256.0,19057341.0,19431383.0,18381762.0,17971289.0,18347387.0,16976709.0,18716022.0,16634020.0,16527516.0,16123658.0,20048257.0,19548270.0
AUT,812408.0,819595.0,800099.0,780782.0,815523.0,845637.0,839771.0,824426.0,809471.0,813509.0,786663.0,811771.0,783127.0,786833.0,778650.0,778940.0,776400.0,764890.0,747450.0,754950.0
AZE,765399.0,806034.0,792935.0,773895.0,728677.0,882711.0,1113798.0,954540.0,954274.0,1017875.0,1061005.0,980561.0,940007.0,986891.0,959992.0,1055769.0,1054887.0,976402.0,988089.0,966183.0
BDI,220067.0,218800.0,220900.0,232500.0,231335.0,232432.0,239225.0,262381.0,293037.0,232079.0,215706.0,177786.0,216211.0,315843.0,333695.0,347705.0,378538.0,363833.0,309744.0,314390.0
BEL,300210.0,319218.0,322166.0,320570.0,314751.0,350366.0,335264.0,325351.0,326241.0,341312.0,336226.0,335211.0,321445.0,327535.0,305433.0,304520.0,313110.0,304350.0,310210.0,323070.0
BEN,907779.0,967614.0,1013628.0,920580.0,901020.0,1093977.0,1059450.0,1110660.0,1017434.0,1147742.0,1211080.0,1173784.0,1229296.0,1246199.0,1350154.0,1624577.0,1758745.0,1537675.0,1639128.0,1687377.0
BFA,3577488.0,3084961.0,3237581.0,3057328.0,3320950.0,4191339.0,3619256.0,4291496.0,3684446.0,4071781.0,4210656.0,3646006.0,3584230.0,4017586.0,4026919.0,4495792.0,4272786.0,4104826.0,4254016.0,4301063.0
BGD,11500907.0,10978274.0,11176338.0,11178034.0,11152085.0,11930855.0,11909888.0,12093951.0,12090666.0,12011654.0,12056374.0,12165112.0,12156367.0,11793602.0,12430005.0,12278572.0,12302411.0,12232598.0,12521054.0,12496558.0
BGR,1608438.0,1830124.0,1723955.0,1548461.0,1533535.0,1713492.0,1829228.0,1770374.0,1769184.0,1903165.0,2006986.0,1960700.0,1835350.0,1816636.0,1729267.0,1817770.0,1927560.0,1966050.0,1956320.0,1900660.0
BHS,100.0,100.0,100.0,100.0,100.0,105.0,100.0,90.0,94.0,94.0,93.0,91.0,72.0,85.0,83.0,80.0,83.0,82.0,81.0,82.0
BIH,314624.0,324504.0,317350.0,312527.0,310427.0,310520.0,308836.0,286769.0,300208.0,301933.0,303586.0,272202.0,298319.0,319268.0,312697.0,317749.0,311152.0,321317.0,316742.0,207036.0
BLR,2109314.0,2211921.0,2142953.0,2234936.0,2440144.0,2458912.0,2425695.0,2400594.0,2466930.0,2541965.0,2404759.0,2428139.0,2218602.0,2206134.0,2241784.0,2134358.0,2258670.0,2374010.0,2290692.0,2288999.0
BLZ,21052.0,22800.0,25007.0,19979.0,23866.0,24523.0,32487.0,30554.0,29082.0,26550.0,30959.0,26295.0,27938.0,28932.0,27991.0,24567.0,28886.0,31763.0,31848.0,32777.0
BOL,744911.0,775942.0,861350.0,888530.0,983097.0,1018121.0,1014013.0,941043.0,972000.0,1005820.0,1457127.0,1250800.0,1287146.0,1260291.0,1234818.0,1400133.0,1434439.0,1439926.0,1482844.0,1523612.0
BRA,19925261.0,20420482.0,19313005.0,18423582.0,19543770.0,20814408.0,20077516.0,18601205.0,19216441.0,19611226.0,20906133.0,21851934.0,21202900.0,20127615.0,22645899.0,21483475.0,22776418.0,23896353.0,25023086.0,27643788.0
BRB,100.0,94.0,95.0,100.0,105.0,98.0,93.0,90.0,90.0,100.0,120.0,30.0,45.0,35.0,26.0,39.0,15.0,31.0,18.0,19.0
BRN,841.0,954.0,1310.0,1377.0,1510.0,1400.0,1370.0,1600.0,1500.0,1600.0,1300.0,1300.0,1300.0,1400.0,1300.0,1200.0,1100.0,1300.0,1500.0,1500.0
BTN,59426.0,51405.0,82499.0,83943.0,95467.0,60554.0,66446.0,58578.0,65794.0,56994.0,53046.0,52295.0,50531.0,52229.0,56489.0,36808.0,33497.0,30099.0,23229.0,20692.0
BWA,29548.0,97254.0,83251.0,117650.0,48987.0,101822.0,152311.0,135467.0,163673.0,102001.0,88982.0,164658.0,46855.0,99749.0,73297.0,147275.0,71830.0,156833.0,121817.0,124318.0
CAF,199911.0,208306.0,226872.0,229368.0,248704.0,248770.0,264307.0,173423.0,162100.0,163716.0,139491.0,148595.0,148750.0,167770.0,169045.0,175526.0,183175.0,389559.0,354057.0,354293.0
CAN,17833000.0,16161700.0,15846800.0,15946100.0,16145100.0,16519700.0,15060300.0,13173800.0,13606800.0,15000396.0,15992384.0,14171684.0,14582900.0,13895831.0,13830500.0,15001800.0,15327200.0,15961700.0,15239131.0,15946200.0
CHE,166558.0,161753.0,167689.0,164346.0,157777.0,156315.0,152956.0,151628.0,145386.0,147041.0,145871.0,141145.0,141474.0,144314.0,143615.0,141355.0,141771.0,144884.0,142099.0,142274.0
CHL,685127.0,706925.0,686445.0,594456.0,497056.0,565044.0,572191.0,526524.0,570215.0,556184.0,579184.0,567641.0,534984.0,564637.0,512101.0,512533.0,460545.0,442145.0,467709.0,423377.0
CHN,76947800.0,79349403.0,81873750.0,84899810.0,85830050.0,86358190.0,88566750.0,90060290.0,91288190.0,92927090.0,94166630.0,95062910.0,103281871.0,102133381.0,100489465.0,99631500.0,97923829.0,97943713.0,100144851.0,99268783.0
CIV,730329.0,743359.0,775972.0,788783.0,780280.0,811788.0,834856.0,864043.0,853734.0,1121491.0,1246187.0,1294102.0,1503735.0,1423194.0,1464090.0,1425662.0,1387042.0,1291849.0,1321740.0,1463957.0
CMR,979727.0,1077637.0,1122283.0,1232779.0,1412908.0,1474005.0,1636978.0,1826815.0,1747441.0,2029134.0,1907139.0,2059576.0,2256907.0,2354801.0,2158098.0,2225159.0,1102789.0,2118556.0,2152054.0,2269190.0
