country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
AFG,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4
AGO,760434.27,754883.66,749333.05,743782.44,738231.83,732681.22,727130.61,721580.0,716029.38,710478.76,704928.14,699377.52,693826.9,688276.2,682725.7,677175.1,671624.4,666073.8,660523.133,654972.511
ALB,7731.31,7744.08,7756.85,7769.62,7782.39,7795.16,7807.93,7820.7,7834.935,7849.17,7863.405,7877.64,7891.875,7891.8,7889.025,7889.0,7889.0,7889.0,7889.0,7889.0
AND,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
ARE,3117.91,3125.78,3133.65,3141.52,3149.39,3157.26,3165.13,3173.0,3173.0,3173.0,3173.0,3173.0,3173.0,3173.0,3173.0,3173.0,3173.0,3173.0,3173.0,3173.0
ARG,324288.0,321124.0,317960.0,314796.0,311632.0,308468.0,305304.0,302140.0,299906.0,297672.0,295438.0,293204.0,290970.0,290100.0,288990.0,287910.0,286810.0,285730.0,284636.667,283552.222
ARM,3320.16,3318.08,3316.0,3313.92,3311.84,3309.76,3307.68,3305.6,3303.52,3301.44,3299.36,3297.28,3295.2,3293.1,3291.0,3288.9,3286.8,3284.7,3282.6,3280.5
ASM,176.4,176.1,175.8,175.5,175.2,174.9,174.6,174.3,174.0,173.7,173.4,173.1,172.8,172.5,172.2,171.9,171.6,171.3,171.0,170.7
ATG,92.49,91.82,91.15,90.48,89.81,89.14,88.47,87.8,87.14,86.48,85.82,85.16,84.5,83.8,83.2,82.5,81.8,81.2,80.533,79.911
AUS,1311337.0,1309069.0,1306801.0,1304533.0,1302265.0,1299997.0,1297729.0,1295461.0,1302557.8,1309654.6,1316751.4,1323848.2,1330945.0,1340372.0,1340174.0,1340051.0,1340051.0,1340051.0,1340051.0,1340051.0
AUT,38456.58,38481.64,38506.7,38531.76,38556.82,38581.88,38606.94,38632.0,38667.98,38703.96,38739.94,38775.92,38811.9,38847.9,38883.8,38919.7,38870.0,38898.2,38926.4,38954.5
AZE,10008.024,10053.298,10098.573,10143.848,10189.122,10234.397,10279.671,10324.946,10415.731,10506.515,10597.3,10688.085,10778.87,10874.752,10971.848,11087.15,11202.4,11317.7,11432.967,11548.256
BDI,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,2110.8,2282.2,2453.6,2625.0,2796.4,2796.4,2796.4,2796.4,2796.4,2796.4,2796.4,2796.4
