country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,67.97,60.62,75.85,72.48,82.92,72.17,91.03,87.58,79.35,94.49,93.56,100.31,95.65,104.04,99.21,94.89,115.78,121.77,125.67,121.34
AGO,40.15,45.52,49.15,50.36,58.33,62.17,81.2,86.14,95.31,76.61,108.18,94.0,100.89,105.11,104.58,107.34,109.43,115.08,116.22,122.45
ALB,54.89,58.48,58.38,61.97,61.1,70.64,75.19,82.74,87.45,93.86,93.67,95.94,99.91,104.15,105.84,106.17,107.67,114.06,114.68,121.68
ARE,186.66,203.61,200.53,180.5,177.96,188.11,180.16,192.08,70.02,65.99,67.83,90.32,104.59,105.09,98.67,98.98,102.45,108.17,113.32,116.03
ARG,67.6,66.46,77.46,75.44,85.6,87.18,62.18,86.69,93.46,82.09,90.59,94.16,104.14,101.71,106.82,92.2,113.14,106.59,107.19,107.33
ARM,48.77,60.35,74.39,75.49,83.97,85.5,86.15,68.29,81.76,92.3,95.71,99.12,110.61,90.27,87.87,71.74,68.53,74.7,71.89,73.65
ATG,104.41,107.41,81.47,87.28,93.87,97.63,99.37,101.15,101.81,99.32,100.66,100.77,101.02,98.21,89.69,85.51,83.2,81.44,81.79,81.72
AUS,60.18,92.87,89.88,93.3,59.11,69.37,84.7,85.64,99.76,111.34,103.58,102.87,97.94,99.19,131.17,104.5,84.09,76.66,129.02,146.08
AUT,97.55,112.91,105.22,102.19,106.99,120.0,112.19,92.34,111.7,93.12,93.25,107.93,92.74,99.33,93.71,98.78,98.08,103.38,100.74,100.31
AZE,75.82,75.33,90.57,88.93,88.59,92.47,95.17,86.57,94.76,98.82,101.08,92.52,102.1,105.38,115.97,125.24,137.56,137.81,142.51,144.86
BDI,87.58,105.12,84.72,97.69,86.28,95.73,90.83,101.46,94.11,81.0,116.44,101.22,95.57,103.21,97.88,116.23,127.71,115.26,118.07,117.72
BEL,96.38,107.76,100.08,91.82,97.62,95.13,102.62,101.19,103.92,91.54,98.34,110.25,99.92,89.83,102.82,86.5,99.05,95.28,98.11,95.86
BEN,65.17,69.9,63.45,57.39,59.98,72.28,74.79,75.76,83.11,88.88,97.66,103.67,92.24,104.08,110.4,117.28,124.87,122.58,129.62,128.14
BFA,50.21,46.31,56.92,58.58,46.65,68.17,59.28,69.87,62.46,76.15,91.77,99.64,98.08,102.28,95.51,107.71,116.48,123.49,111.24,122.69
BGD,64.15,62.56,70.97,73.37,77.62,84.01,84.55,89.65,93.78,94.27,96.58,98.76,100.69,100.55,108.47,108.0,109.89,111.84,116.46,119.1
BGR,69.06,90.51,66.97,71.88,53.3,82.73,75.48,87.54,87.97,78.03,102.83,101.26,97.03,101.71,108.23,108.08,110.9,89.77,113.36,102.66
BHR,82.33,80.0,74.51,99.4,92.22,89.94,89.52,88.39,86.0,86.15,85.37,92.36,98.43,109.21,94.53,96.15,99.88,101.93,106.7,106.87
BHS,64.78,69.76,68.95,73.04,78.49,78.12,71.86,91.47,93.77,93.87,94.83,98.92,100.59,100.49,100.75,100.31,102.7,101.67,101.75,102.18
BIH,73.34,102.19,96.91,99.72,92.89,101.68,104.92,95.42,97.55,82.24,105.87,83.5,98.45,118.05,95.06,127.48,115.35,129.61,107.92,128.06
BLR,91.25,108.96,97.53,100.97,106.64,121.75,113.43,108.41,102.43,112.03,97.28,109.33,97.86,92.81,98.79,87.82,91.51,97.89,89.63,93.16
BLZ,91.7,104.23,108.95,105.45,104.77,101.61,101.43,101.1,91.31,112.25,101.46,104.03,102.26,93.71,103.24,95.77,93.19,93.39,99.93,98.44
BOL,63.85,62.05,66.18,68.06,68.03,68.08,80.88,75.5,77.22,88.93,93.33,96.23,102.41,101.36,95.23,108.12,107.88,107.12,116.71,111.72
BRA,66.32,68.9,67.94,71.56,77.72,84.38,82.14,87.79,93.54,90.56,97.26,98.65,102.82,98.53,109.59,109.91,112.23,116.58,115.35,115.91
BRB,199.1,181.58,207.76,180.35,181.88,157.69,174.82,141.65,150.89,143.65,117.45,112.84,99.47,87.69,102.47,114.62,97.58,96.79,90.63,108.33
BRN,89.05,97.62,87.84,79.1,79.57,80.67,82.99,87.2,90.86,90.67,93.78,96.68,99.14,104.18,102.86,97.66,95.78,98.15,95.83,97.29
BTN,58.33,70.13,105.42,114.21,112.36,91.75,83.62,87.23,108.7,93.6,91.13,94.86,95.71,109.43,106.26,87.99,94.68,103.39,91.44,68.09
BWA,74.52,70.56,75.5,75.93,73.17,81.08,81.25,90.82,107.55,83.86,76.73,93.14,104.08,102.78,101.74,135.06,115.41,179.04,147.63,138.33
CAF,50.94,52.85,53.41,54.47,57.1,58.09,60.21,99.52,100.53,103.34,80.9,93.04,96.07,110.89,111.84,130.54,153.47,165.58,169.35,173.39
CAN,64.53,69.88,73.33,70.82,69.56,82.41,80.15,78.66,81.26,85.67,106.59,93.45,98.52,108.03,107.87,107.06,107.23,111.22,84.04,107.97
CHE,93.01,111.3,99.93,96.44,107.09,102.59,109.82,95.61,117.03,101.73,92.17,110.22,96.5,93.29,96.02,107.56,98.23,104.23,80.53,97.36
CHL,78.64,79.86,84.59,87.14,81.31,83.62,85.8,90.59,96.67,98.23,102.36,96.62,101.86,101.52,100.41,112.62,110.32,104.83,107.19,106.37
CHN,65.89,70.44,72.56,74.41,77.42,82.16,83.79,86.35,90.95,93.5,95.7,97.36,101.49,101.14,103.12,104.39,107.84,107.94,109.76,111.85
CIV,66.76,67.93,70.99,73.53,70.56,74.37,69.34,73.51,76.14,83.12,85.71,94.35,104.58,101.08,111.1,116.99,121.5,125.74,129.93,133.26
CMR,46.93,48.05,58.35,62.32,66.17,68.46,73.87,81.99,83.09,89.66,92.3,96.08,101.61,102.31,102.55,106.74,106.22,108.86,106.66,108.5
COD,45.54,45.81,46.07,46.31,46.73,47.15,50.28,81.26,84.92,86.75,92.18,98.71,99.2,102.09,104.04,106.53,108.98,113.81,118.6,123.65
COG,66.98,70.13,73.38,76.04,78.44,82.35,85.48,83.76,85.11,89.36,91.84,100.98,100.53,98.49,99.12,100.7,100.5,101.45,104.78,105.92
COL,85.65,87.47,86.26,87.62,90.64,88.69,84.71,82.52,83.3,85.64,94.02,95.23,100.36,104.41,96.42,84.67,110.94,110.22,108.9,111.63
COM,57.67,64.05,70.13,88.22,90.84,93.1,96.02,97.99,99.38,99.66,100.67,98.72,98.58,102.7,103.12,105.43,105.74,106.46,107.72,107.76
CPV,92.57,91.17,87.86,89.17,98.97,91.43,89.68,87.65,100.06,104.42,109.56,100.53,101.41,98.06,91.26,72.04,70.18,69.34,70.52,66.15
CRI,70.69,72.23,76.06,86.93,83.3,79.94,80.81,84.9,89.33,94.72,95.14,99.17,97.63,103.2,105.21,105.6,91.12,95.16,97.42,96.09
CUB,131.52,138.27,108.4,89.14,95.24,95.11,97.67,84.39,88.92,94.42,98.12,97.18,101.09,101.73,103.91,91.8,93.14,72.92,66.07,65.76
CYP,169.52,185.48,151.89,142.99,132.13,110.62,108.92,110.17,117.92,104.56,99.1,101.4,109.17,89.43,94.43,86.67,88.74,87.51,84.41,85.49
CZE,67.22,98.55,88.95,77.67,85.42,95.01,91.44,80.83,94.38,79.85,91.06,104.2,94.61,101.19,90.19,87.42,87.1,92.93,92.26,93.98
DEU,81.79,103.86,96.0,90.6,91.69,100.26,103.7,91.64,90.66,94.85,96.18,107.61,97.52,94.87,95.45,81.78,88.69,90.66,90.39,91.48
DJI,74.13,77.61,78.32,74.6,79.87,83.02,86.33,87.23,91.4,102.96,97.84,98.53,101.23,100.24,123.49,137.16,160.68,169.14,150.47,139.41
DMA,76.09,79.07,76.76,81.01,75.76,86.61,95.84,81.75,92.01,93.3,98.82,98.44,99.87,101.69,99.73,100.34,100.29,100.27,100.63,100.61
DNK,88.22,90.77,90.11,84.65,85.85,93.03,100.47,89.12,90.77,93.69,93.84,101.12,103.9,94.98,107.11,75.83,103.74,103.05,96.3,107.01
DOM,62.86,57.58,56.01,62.67,62.0,55.98,64.79,71.08,79.02,82.1,88.7,97.53,98.71,103.76,109.76,118.35,120.86,117.58,119.04,136.2
DZA,49.0,54.54,55.85,59.16,51.52,52.87,72.36,74.96,83.53,88.72,98.82,94.93,101.74,103.33,104.4,115.36,121.01,120.95,108.76,118.19
ECU,84.39,87.81,86.59,85.72,89.49,92.54,100.2,102.99,96.97,94.01,85.92,99.16,106.98,93.86,98.0,94.23,96.2,97.08,104.34,100.03
