country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,76.77,74.75,83.54,77.31,84.65,79.59,92.24,91.68,87.4,97.18,94.63,101.99,95.97,102.04,99.84,96.19,109.41,112.3,114.32,111.43
AGO,45.12,48.23,52.4,53.64,60.96,64.82,80.89,85.77,93.77,78.69,105.73,94.42,100.7,104.88,105.13,107.35,110.28,114.88,117.5,124.09
ALB,69.05,72.33,71.11,73.85,74.88,77.15,79.91,85.68,89.92,95.06,95.64,96.84,100.07,103.09,103.88,106.02,104.0,105.72,104.92,105.4
ARE,111.31,119.83,121.7,111.88,111.48,120.88,119.04,129.7,75.57,77.32,78.77,94.36,98.36,107.28,107.31,111.15,120.4,124.53,126.83,124.86
ARG,71.49,73.94,83.0,82.05,89.82,91.03,76.08,88.2,92.78,86.64,94.03,95.14,103.91,100.95,105.91,97.51,112.42,108.57,108.4,109.39
ARM,53.7,62.67,72.74,75.6,82.25,84.47,84.35,73.0,81.17,88.2,92.49,97.4,106.65,95.95,95.24,83.48,81.27,85.28,84.82,83.87
ATG,150.32,153.0,135.97,140.67,143.11,145.98,141.4,102.49,104.99,99.69,101.46,100.66,100.31,99.03,93.31,85.36,81.4,82.25,80.94,89.95
AUS,73.45,89.98,87.28,90.96,76.45,80.9,86.77,86.42,90.37,95.53,96.86,100.8,101.22,97.98,108.12,98.31,92.46,87.12,107.15,112.1
AUT,94.33,99.62,95.64,95.29,97.93,103.56,101.87,95.33,102.99,95.95,96.23,102.03,97.36,100.61,98.48,100.51,99.96,101.84,100.48,100.45
AZE,66.81,67.12,74.93,76.53,78.58,82.72,88.58,86.47,91.19,95.38,98.45,94.84,101.27,103.9,107.73,113.33,121.46,122.2,126.99,129.02
BDI,84.64,100.27,82.55,95.42,84.46,92.93,88.92,98.8,92.74,81.8,112.9,100.47,95.75,103.78,100.5,117.68,128.45,115.62,119.32,119.15
BEL,95.41,98.9,93.4,91.24,93.49,90.22,92.73,95.84,96.71,91.38,95.83,101.8,101.32,96.87,102.61,98.91,101.26,101.9,102.85,100.0
BEN,62.51,66.41,66.7,59.03,61.04,74.43,77.51,80.51,84.97,91.68,99.15,103.07,94.87,102.05,104.57,109.45,117.25,113.88,121.75,126.25
BFA,60.3,56.81,63.55,64.85,62.98,75.27,73.32,81.81,78.41,85.38,95.99,98.87,99.77,101.36,95.84,112.06,119.25,117.73,109.25,118.84
BGD,62.25,61.12,68.55,70.64,74.54,80.64,80.52,85.25,88.81,90.18,94.25,97.97,100.7,101.33,110.77,110.54,111.94,115.91,121.59,125.2
BGR,77.18,95.53,77.4,82.3,65.69,88.42,82.08,91.43,91.55,83.86,102.69,100.74,97.47,101.79,106.22,105.22,107.09,90.38,109.51,100.74
BHR,31.73,29.28,29.57,34.93,35.44,35.31,39.72,36.57,48.83,67.61,86.22,83.41,98.7,117.89,137.69,131.3,132.96,124.57,124.25,129.17
