country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,90.49,97.17,95.56,84.74,86.6,91.41,94.16,98.06,100.53,101.31,96.36,104.27,96.68,99.05,100.27,98.64,99.5,97.12,96.07,95.4
AGO,71.37,63.59,70.13,71.46,75.34,78.81,80.37,84.72,86.97,89.76,94.03,96.69,99.8,103.52,107.46,107.07,113.83,113.25,122.72,130.74
ALB,87.79,90.87,88.21,89.74,93.17,85.72,86.27,89.69,93.33,96.58,98.36,98.23,100.24,101.53,100.97,105.5,98.98,94.47,91.79,83.74
ARE,49.09,50.6,56.53,55.1,56.48,65.24,68.5,78.12,80.18,86.69,87.85,97.72,93.2,109.08,114.45,121.17,135.18,138.03,137.98,132.1
ARG,78.84,89.16,94.17,95.2,98.14,98.44,104.09,91.9,92.89,95.99,100.05,98.29,103.14,98.57,102.98,108.12,110.4,112.8,111.03,113.91
ARM,61.91,66.56,70.04,75.54,79.26,82.67,81.46,80.67,80.63,81.81,87.51,94.63,100.33,105.04,106.9,102.0,101.4,101.88,105.3,100.02
ATG,267.92,269.68,276.55,278.17,269.69,270.12,249.23,105.53,112.75,100.48,103.5,100.35,98.46,101.19,103.0,85.52,77.4,85.05,79.48,111.88
AUS,86.07,87.7,88.21,91.2,90.75,87.8,86.85,85.88,86.4,88.46,95.07,100.86,102.38,96.76,90.98,97.18,97.71,90.62,87.88,87.48
AUT,92.36,91.54,89.8,91.1,92.41,93.53,95.57,97.13,97.7,97.66,98.02,98.46,100.17,101.37,101.37,101.49,101.07,100.87,100.31,100.45
AZE,59.89,62.91,64.8,66.84,70.05,72.3,80.43,86.19,88.06,91.84,95.09,97.07,99.42,103.52,104.85,107.26,112.96,116.12,118.46,121.33
BDI,50.28,46.12,59.09,70.77,67.5,64.69,70.1,71.04,78.4,91.13,74.94,92.59,98.11,109.31,127.57,131.14,133.48,117.71,130.35,132.11
BEL,94.91,94.01,89.72,90.93,91.2,87.5,87.24,92.89,92.72,91.3,94.45,97.11,102.11,100.79,102.49,105.79,102.49,105.56,105.47,102.29
BEN,72.93,78.61,81.28,80.17,82.51,75.36,71.51,83.68,89.37,92.49,97.53,97.43,100.26,102.32,104.82,106.79,117.99,112.97,130.7,140.91
BFA,81.08,82.78,86.88,89.1,91.74,95.49,98.18,101.07,103.47,101.06,104.3,101.32,101.28,97.39,99.46,101.23,113.56,92.97,95.11,96.49
BGD,51.81,52.74,55.07,55.91,56.94,60.65,57.98,60.74,66.21,71.61,83.42,94.13,101.1,104.77,122.5,124.46,123.94,136.86,146.31,153.13
BGR,115.42,123.56,122.7,123.67,114.31,112.52,111.39,108.91,107.75,105.66,104.65,100.12,99.37,100.51,97.29,91.24,89.46,88.62,91.34,89.23
BHR,19.84,17.35,19.01,19.78,22.09,22.47,28.01,24.39,40.1,63.26,86.43,81.31,98.77,119.93,147.84,139.56,140.73,129.89,128.38,134.41
BHS,87.07,87.8,89.12,88.86,88.16,89.2,93.96,95.46,99.92,93.9,95.54,98.46,99.59,101.95,100.63,97.93,96.84,94.09,91.86,92.34
BIH,61.85,75.14,85.11,91.57,99.76,106.11,111.59,108.9,108.77,110.24,102.96,99.28,100.61,100.1,93.64,90.61,85.67,86.23,71.66,83.81
BLR,62.54,66.61,74.03,78.86,80.5,83.31,90.05,92.13,92.51,96.23,98.74,95.47,101.82,102.72,104.92,105.87,106.41,111.03,110.96,109.93
BLZ,82.27,86.56,77.87,77.61,76.08,74.73,76.95,79.11,79.2,82.89,92.4,95.44,101.47,103.09,105.23,110.14,111.94,102.39,108.06,117.39
BOL,58.15,61.31,64.73,71.8,82.26,85.03,79.53,83.52,85.59,90.4,93.6,95.82,100.86,103.31,110.53,111.36,112.64,112.74,116.99,120.45
BRA,70.4,75.66,77.91,81.13,84.76,87.42,87.14,90.64,92.6,94.47,97.96,99.96,100.23,99.81,102.87,104.55,107.03,107.63,108.55,112.15
BRB,83.33,89.17,95.06,90.56,97.67,94.6,96.23,95.41,94.93,94.95,91.52,94.54,103.7,101.76,102.71,105.98,107.63,86.01,89.16,100.84
BRN,64.5,60.43,41.94,78.06,82.34,85.06,85.2,89.42,96.67,98.59,107.37,99.77,97.0,103.23,99.38,101.93,101.41,109.18,120.03,123.11
BTN,21.65,23.74,21.92,56.22,54.81,61.68,64.97,66.84,70.67,85.2,79.58,85.01,98.64,116.35,129.16,143.64,154.88,166.1,149.75,132.29
BWA,92.85,103.93,108.3,106.77,108.74,113.54,120.42,131.71,134.41,134.5,121.06,100.97,105.56,93.47,91.88,81.98,89.08,83.64,90.5,90.32
CAF,69.06,74.34,76.43,78.59,83.48,84.59,86.64,90.53,96.05,97.35,99.29,99.85,99.82,100.33,103.2,102.87,105.76,106.76,108.29,109.89
CAN,97.11,106.11,105.62,102.48,101.12,102.85,101.04,100.3,92.6,90.5,89.82,97.39,99.0,103.6,108.97,112.68,115.01,116.06,118.15,119.08
CHE,93.06,93.12,93.87,94.52,95.15,97.14,98.58,99.96,101.01,100.11,98.87,100.4,100.28,99.33,98.23,99.98,97.07,97.68,98.35,97.4
CHL,78.53,83.97,87.38,95.76,96.74,100.14,95.81,96.35,99.13,103.49,99.09,99.15,100.46,100.39,96.26,101.8,102.53,106.96,105.72,103.4
CHN,74.54,77.28,81.31,83.26,82.84,87.11,90.25,92.48,92.85,96.45,97.34,99.17,100.66,100.17,99.99,100.57,97.14,98.44,108.08,109.5
CIV,71.65,75.21,75.39,76.58,77.99,81.7,84.72,87.8,87.82,92.97,99.35,97.83,98.87,103.3,107.17,111.73,118.59,121.01,117.98,116.93
CMR,66.95,70.51,72.23,74.37,75.9,81.96,81.11,77.68,79.86,75.96,82.35,91.08,97.71,111.21,109.63,114.75,101.23,94.41,105.76,110.47
COD,92.7,92.99,93.8,93.21,93.35,93.64,95.66,95.85,97.89,97.94,98.17,98.93,100.25,100.82,101.25,102.0,101.18,104.12,107.2,105.71
COG,49.84,54.61,62.67,68.32,73.8,79.17,82.18,89.8,99.59,102.74,98.38,92.96,107.51,99.54,102.55,103.14,104.38,104.43,105.77,106.56
COL,72.44,75.32,79.23,84.84,87.13,94.27,85.89,85.57,88.95,94.3,96.72,98.52,101.26,100.22,104.93,69.0,106.81,107.16,109.69,110.33
COM,89.44,90.66,91.4,93.38,96.2,97.32,99.86,101.76,103.23,103.49,106.42,100.72,99.84,99.44,99.53,96.51,98.41,102.07,96.24,99.79
CPV,91.54,100.03,102.3,95.62,96.17,92.61,104.87,100.26,91.75,93.83,96.82,97.23,99.54,103.23,81.99,75.69,79.99,85.86,84.62,88.65
CRI,74.38,74.47,80.12,81.07,87.07,90.95,94.68,97.5,97.51,97.1,98.36,100.41,100.4,99.2,102.78,105.76,111.62,111.51,113.15,113.36
CUB,72.46,69.77,65.51,68.66,83.53,90.41,91.62,91.09,93.97,92.43,96.01,98.02,95.73,106.25,105.15,106.69,106.71,82.78,78.64,87.4
CYP,119.58,115.48,111.75,104.11,106.45,112.84,106.76,105.43,108.09,105.85,99.61,95.66,99.64,104.7,109.56,110.9,115.62,116.44,125.98,121.57
CZE,121.7,119.88,116.73,113.52,118.53,109.92,103.88,99.55,98.13,93.63,95.57,97.9,100.26,101.84,101.11,99.92,100.39,101.98,104.08,102.33
DEU,89.04,90.16,89.59,89.84,91.92,93.83,94.7,96.52,98.28,96.99,97.68,99.84,100.45,99.71,98.88,98.47,98.07,98.48,97.06,93.35
DJI,128.7,105.91,121.43,93.29,127.51,128.65,128.75,128.76,129.52,130.49,129.9,104.19,77.91,117.9,127.85,129.81,128.25,129.64,130.09,130.77
DMA,95.42,96.05,97.32,96.58,99.83,97.64,97.7,101.98,101.36,105.75,100.38,100.43,99.89,99.68,99.6,99.77,101.97,101.64,102.28,102.31
DNK,103.81,104.68,103.1,100.96,102.91,100.51,96.91,101.0,102.65,101.28,99.05,99.34,99.89,100.77,99.58,101.46,98.98,102.43,106.32,102.21
DOM,74.23,76.41,89.57,98.41,105.06,99.88,101.75,94.97,96.5,90.52,95.08,94.6,101.17,104.23,99.42,104.35,108.69,102.49,106.86,111.38
DZA,61.45,65.43,67.44,70.72,70.59,70.79,75.16,79.63,86.81,91.42,96.37,100.61,97.56,101.83,100.15,96.31,96.52,97.06,97.32,98.11
ECU,68.61,70.68,69.89,77.97,82.2,87.25,88.74,92.16,98.38,95.69,102.67,104.69,98.79,96.52,91.75,92.27,97.12,92.76,94.55,93.93
EGY,83.39,79.67,83.85,89.38,94.21,95.97,94.26,96.42,97.97,101.24,102.19,102.59,99.65,97.76,102.48,98.94,99.76,110.92,122.85,119.36
ERI,81.49,83.85,85.95,90.43,98.6,89.47,99.09,100.27,101.81,102.68,100.7,99.85,99.15,101.0,104.9,105.87,107.23,107.62,108.55,109.34
ESP,94.92,92.76,90.97,91.55,91.93,94.32,89.03,91.57,94.79,94.11,90.89,94.48,99.8,105.71,106.96,110.28,113.83,118.3,119.84,118.7
EST,83.23,88.88,87.64,91.06,91.19,92.06,91.13,90.48,93.09,95.06,99.77,98.52,101.64,99.84,96.13,95.83,95.56,95.58,95.03,94.58
ETH,75.42,77.21,75.29,81.87,85.4,94.46,88.53,107.54,97.98,96.77,95.05,98.82,101.5,99.68,105.88,107.62,115.94,127.05,112.51,116.06
FIN,100.67,100.6,99.5,99.64,99.62,98.15,96.58,96.48,96.34,95.32,96.84,98.1,100.7,101.2,100.28,99.61,99.94,101.41,99.87,97.85
FJI,89.21,98.5,100.77,104.86,106.73,107.25,68.45,80.62,95.99,102.45,90.43,108.3,112.4,79.3,142.51,146.32,141.6,113.29,123.59,167.44
FRA,103.26,101.4,100.93,96.0,97.21,99.42,97.83,99.43,101.15,98.64,96.66,99.19,100.2,100.61,99.19,98.61,97.44,98.02,96.97,93.18
FRO,48.57,48.43,47.86,47.18,48.16,48.0,48.0,48.0,49.33,49.33,51.09,96.82,100.19,102.99,100.93,103.43,102.9,101.09,103.07,107.1
FSM,94.11,94.12,94.12,90.46,96.65,85.49,93.75,91.36,97.18,92.71,98.74,98.47,100.2,101.34,103.34,100.28,101.93,102.7,103.38,104.04
GAB,86.29,87.38,87.77,86.14,87.93,89.07,90.56,92.36,92.96,92.49,97.89,98.81,100.68,100.52,101.22,100.71,102.77,101.55,102.67,104.13
GBR,91.32,90.97,92.24,93.09,92.92,91.53,90.51,94.08,95.13,93.84,94.7,98.65,100.47,100.89,102.53,104.35,105.97,106.82,106.53,105.24
GEO,148.2,145.51,146.44,111.61,111.56,103.09,94.45,99.01,92.07,87.28,93.4,99.4,102.78,97.82,99.05,104.74,103.45,102.35,104.5,105.66
