country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,1458.0,1334.8,1790.4,1551.7,1915.3,1455.4,2040.7,2011.1,1659.9,2094.2,2127.7,2096.6,2206.4,2043.3,2091.4,2253.2,2184.7,2050.8,2099.0,2253.3
AGO,646.1,491.7,583.4,445.9,464.3,652.7,571.4,629.3,662.4,552.0,814.4,888.2,982.4,852.1,809.0,948.3,963.1,992.3,1000.1,1033.3
ALB,3185.7,3466.3,3462.1,3602.6,3728.4,4081.2,4315.3,4761.8,4750.7,4883.8,4949.8,4892.6,4873.8,4716.4,4813.0,4840.5,5038.2,5209.2,5144.7,5200.7
ARE,20927.8,20373.6,20215.2,20900.8,21428.6,22265.9,24716.6,18069.8,24064.3,12112.2,36761.9,14238.4,35291.3,33396.5,30801.8,20853.3,23842.3,18982.7,19809.2,23625.3
ARG,3308.7,3658.8,4075.8,3707.6,4294.0,4116.5,3249.3,4876.2,4596.3,4162.4,4795.6,4827.3,4779.1,5203.4,5404.6,4671.2,5474.5,5164.2,5193.0,5070.0
ARM,1567.1,2280.8,1938.7,1323.9,2592.6,2405.0,2250.3,2068.2,2789.0,2650.5,3072.5,3181.6,3132.1,3076.1,1975.1,2623.6,1690.6,2055.8,1287.2,2185.8
ATG,1571.4,1578.9,1597.4,1625.0,1601.4,1619.0,1590.2,1585.9,1597.4,1595.3,1593.1,1583.0,1579.6,1843.2,2030.7,2233.9,2369.3,3800.0,2094.1,3081.0
AUS,1020.7,2116.4,1694.6,2111.7,981.3,1332.7,1651.4,1661.5,2097.5,2231.6,1936.1,2137.9,2027.3,2075.2,2674.2,2035.6,1768.9,1650.5,2547.7,2880.4
AUT,5255.4,6495.5,6133.1,5721.8,5844.1,6807.3,6149.5,5903.1,7056.7,6002.9,5846.8,7046.7,6198.1,7246.4,6260.6,6145.8,6954.3,7386.4,7112.4,6895.5
AZE,2604.1,2588.8,2593.1,2599.3,2667.4,2741.5,2606.7,2020.6,2484.4,2659.7,2692.3,2343.6,3083.6,3005.1,2942.2,3013.7,3239.0,3227.3,3297.4,3162.9
BDI,1284.1,1328.1,1344.3,1277.0,1303.1,1281.8,1296.9,1231.7,1153.8,1107.5,1178.4,1332.4,1203.9,1482.5,1125.4,1322.8,1445.7,1278.7,1478.5,1483.5
BEL,8530.7,9184.9,8649.5,8373.3,8637.7,8885.8,9710.0,9348.1,9009.0,8666.3,9212.5,9435.4,9842.2,6984.8,9050.7,7983.1,8988.5,8430.6,7906.2,8603.5
BEN,1148.7,1146.0,1136.4,1190.5,1286.0,1158.7,1423.5,1200.6,1517.8,1373.2,1479.6,1460.3,1336.7,1455.9,1405.4,1428.5,1238.3,1432.8,1408.6,1361.5
BFA,996.3,940.7,1127.2,1203.9,936.1,1039.9,1002.0,1062.7,995.1,1203.0,1156.5,1225.8,1168.9,1136.8,1009.0,1152.3,1156.1,1261.7,1095.7,1204.1
BGD,3479.3,3439.4,3681.6,3761.4,4020.9,4102.5,4176.0,4288.3,4352.8,4395.8,4508.6,4540.9,4560.4,4601.0,4706.0,4790.2,4810.9,4901.8,4919.6,5005.3
BGR,2371.3,4077.8,3387.0,3572.5,2523.7,4094.3,3413.0,4031.0,4251.2,3671.8,4561.0,4860.7,4669.6,4817.8,5479.7,5561.7,5774.7,4373.4,5949.6,5151.2
BHS,3400.0,3550.0,3600.0,3800.0,4000.0,4761.9,6000.0,7533.3,7308.5,7340.4,7413.2,7516.2,8342.3,7709.5,7820.7,7862.8,7437.7,7445.5,7477.3,7424.3
BIH,2521.6,4433.5,4253.3,4290.8,3223.2,4427.1,4503.1,3853.0,3724.9,3000.6,4026.9,3977.4,3812.1,5191.7,3732.1,5487.9,5354.7,6050.7,4422.1,6912.7
BLR,2433.0,2986.1,2848.5,2550.5,2880.9,3549.7,3367.9,2808.3,3241.4,3479.1,3007.8,3720.5,3690.2,3207.3,3358.7,2723.9,3095.6,3539.9,3018.7,2971.1
BLZ,2851.8,2365.7,2869.5,2672.3,2939.5,2427.2,2686.5,3223.4,3155.5,3451.1,3615.6,3594.6,2897.8,3164.6,4229.1,4043.7,2946.5,3526.3,4289.5,4476.2
BOL,1963.3,1618.7,1927.0,2100.1,1763.3,2016.4,2346.0,2267.3,2045.3,2113.2,1717.9,1958.1,2280.2,2111.3,1845.6,2333.7,2030.1,2024.0,2523.0,1716.7
BRA,3385.4,3131.8,2882.6,3210.5,3553.1,3831.3,3532.1,4040.6,4037.5,4584.5,4826.4,4640.4,5000.6,4181.7,5209.6,4806.5,5321.4,5255.4,4477.4,4901.1
BRB,2630.0,2659.6,2736.8,2700.0,2666.7,2740.9,2827.1,2884.2,2987.6,3200.0,2833.3,2700.0,2695.6,2755.8,2815.6,2835.6,2787.6,2765.6,2759.3,2753.0
BRN,819.3,793.5,744.3,795.2,900.7,821.4,773.7,1000.0,1466.7,1375.0,1461.5,1615.4,2384.6,1714.3,1769.2,2000.0,2090.9,3000.0,2733.3,2800.0
BTN,1791.3,2995.2,2334.9,2199.7,1999.2,2741.5,2160.4,2469.1,2801.7,2944.2,3226.4,3254.9,3475.8,3373.4,3411.5,3416.5,3083.5,3435.2,3344.0,3448.9
BWA,1214.5,274.3,438.6,372.4,639.2,360.8,363.6,371.6,452.3,367.2,217.6,305.2,938.4,471.6,316.6,549.5,675.1,1033.8,1002.4,684.1
CAF,1009.5,1007.7,1018.2,989.7,951.2,946.8,948.4,907.7,965.7,942.0,910.9,896.0,884.1,875.1,871.5,863.8,859.3,713.0,807.2,830.0
CAN,2758.8,3141.9,3215.9,3046.3,2973.4,3391.7,3299.5,3501.1,3552.4,3456.3,4160.4,3647.0,3673.0,4239.1,4104.8,3914.7,4010.8,4091.9,3120.0,4078.7
CHE,5086.5,6732.5,6300.4,6165.0,6418.5,6413.1,6578.3,6093.9,6874.6,6464.3,5945.6,7044.6,6431.9,5154.6,6800.2,6332.3,6580.8,6978.0,5515.8,6083.6
CHL,5390.0,5657.5,5811.2,5998.3,5744.3,5844.4,5462.3,6815.4,6927.8,6229.6,6913.2,6128.4,7082.3,6858.2,6779.4,7144.3,7157.2,6245.8,6491.2,6113.9
CHN,4871.1,5186.8,5224.6,5313.4,5320.6,5549.7,5449.6,5527.5,5710.0,5828.7,5897.7,5896.3,5985.2,6018.6,6110.8,6122.0,6264.2,6295.8,6316.7,6379.6
CIV,1827.0,1853.9,1836.3,1827.9,1569.4,1735.0,1711.5,2270.5,1882.8,2079.8,2176.6,2206.9,2200.3,2219.8,2247.4,2254.4,2263.2,2180.7,2237.2,2291.5
CMR,1619.9,1563.2,1669.7,1700.3,1676.3,1678.5,1722.9,1648.7,1710.0,1591.5,1676.4,1630.4,1615.3,1578.1,1711.2,1809.6,3470.8,1736.5,1726.7,1693.9
COD,771.5,771.7,771.7,771.6,771.6,771.6,771.6,784.9,771.1,771.6,772.1,769.0,768.9,785.5,794.1,812.4,835.6,877.8,879.0,816.0
