country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,4217877.09497207,4547486.03351955,6771959.27880357,10347511.9994435,9832402.23463687,11955307.2625698,13184357.5418994,14748603.3519553,10558659.2178771,9720670.39106145,9483163.7474196,11797051.1875341,14704080.0931383,17516900.068164,16222116.1786813,16664348.7006708,16848539.3339724,10210598.3145219,12319999.116496,14241766.3288403,6387728.96184434
AFG,,,,,,308406.5,94761.12,27577849.86,47084262.04,10738034.5335198,10944020.3116408,107890.10906887,242475.541833949,36802.95,180660.399927953,2402430.87491251,4778790.72133592,6111813.8157338,,,
AGO,,2495000.0,3378446.38,1366548.48,1173129.46,470000.0,20000.0,6378100.0,3185000.0,224315044.600047,212220137.27,252852819.11,264702200.0,212229720.0,221726875.72,246614994.79,127168951.47,129608227.29,121666360.0,222726990.0,196388850.0
ALB,8358857.12,4942627.61,4204267.36202606,6768509.00807782,11850000.0,12517993.9317725,14487498.7588023,12138446.109668,12703928.1780979,23362460.0492865,22607333.7766244,21881927.417607,24578013.7488837,23163082.2844536,13132426.9115916,26412466.5010989,34784215.2646099,38609323.641355,34763724.472583,31727566.8165585,15183790.9260235
AND,,,,,,,,,,,,,,,,,264666.163607838,482661.270612958,596311.549435029,429346.900964279,232400.407218102
ARG,402950000.0,520630000.0,650640000.0,894824121.747904,1174682409.95912,1531726727.27288,1526895360.76094,1712212409.7066,2079139111.3222,2216992899.83386,2329270062.45138,2098996165.63338,2178066123.6149,2108388364.21439,2350351644.7677,2054243292.9621,1688980858.85513,1147034410.99084,1370396389.66276,1720473470.20717,1749213598.51096
ATG,3907412.03035207,3588467.35771076,4746708.87347078,4155582.45368948,4649820.57660052,6046457.26020311,4987670.99973174,4226796.35667933,3899355.86363885,3899356.16181907,4097664.09655081,2975174.81481481,3074426.82222222,4026738.8862963,4961232.20814815,3790929.21111111,3964437.03703704,3327832.96296296,5242701.48148148,12044015.5555556,11859968.5185185
AUS,1502670171.6454,1743966465.64385,1972287332.09256,2152444658.65004,2809284034.80361,3014708355.27786,2857440721.91581,3478361073.29944,4181860654.29426,4235132544.22977,3990851347.75895,4058717356.46101,3805980039.69546,4068554314.44564,4610198115.84891,5241899827.35056,5287989499.40121,5895472808.3374,7135293596.2214,8067605664.01045,8889831742.03593
AUT,,,1333226508.23898,1597968243.69846,1800773475.51255,2092660688.12775,1712417781.69954,1610873767.96537,1864971067.60686,1955209022.37902,1910483546.53956,1796854991.42672,1477515224.41689,1478672010.02753,1679175801.21233,1802604712.1337,2112990989.50214,1648495297.65282,1808664530.08659,1844131416.65314,2094671201.31402
AZE,144000.0,,46000.0,1281000.0,4697000.0,4827000.0,19229000.0,16531000.0,18423000.0,28180000.0,,,,,,82906739.1411765,178440304.423529,94135897.5647058,94800611.2999999,198087000.0,182232000.0
BDI,,,,,,,,,620741.061846788,16637.7167506713,,186705.918589414,3249.55409754024,150916.218764353,19212.7267300346,,,96.0853754139005,2567777.80314957,563053.908783864,471328.537159852
BEL,983530497.262288,1038258096.93362,1048948518.07973,1077146472.27894,1997290657.25184,2023023359.04968,1934877742.41634,1905030685.13708,2895143844.68342,2822609814.36103,3348514804.09598,3404143477.30742,3336208270.6062,2759594690.663,3591804626.30626,3809794821.41026,3403407681.57464,3249143148.1605,3243446633.18904,4034539492.89774,4732860293.00028
BEN,1898611.63424546,2309713.93189127,1862464.53269159,1596399.48780716,1974369.88561573,2766815.88646436,2993875.58940601,2884026.97636184,1909819.89311261,2320997.52906345,5061757.24634275,2255156.39490593,17760.1357277421,596855.63384747,18048.5286831483,18903.7122142777,17885.4602706349,401153.032256326,,,
BFA,,,4195286.70704066,15313.1845353206,167142.424179108,186098.637420212,514572.366929159,111157.311632724,284350.961863432,301631.746393056,301478.261592172,251135.512320017,233418.926707467,460677.376421699,439157.902118584,480694.396305926,467647.806298618,460912.874741303,464061.163045016,400179.853131524,399175.170652295
BGD,3714009.00173635,5091128.13433083,2744867.84515153,5241859.55007921,7675990.79804312,21923483.7450398,8385816.87380035,17636698.544026,10470569.0137288,10816541.9353597,20488449.1467162,30127601.6388922,24374495.8521673,46541986.2416682,25938279.0255,41791531.827883,47747802.8420873,64723020.5905891,63112111.5559989,54087755.3376287,46633363.8843618
