country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,-165553072.625698,270888268.156425,104963491.341427,310555693.72256,258268156.424581,111731.843575411,171675977.653631,-460111731.843575,-260558659.217877,90837988.8268156,-322246518.293631,-130013879.725995,118342714.096141,141178986.061164,34628879.7929171,-19374275.5327724,84796821.7557428,-316455499.952177,79257066.7080489,230555794.451357,
AFG,,,,,,-238376258.640059,277627586.221436,-577708206.772323,-2246921171.24519,-5150161881.41159,-5095040596.60647,-3232893168.37268,-4192816422.8282,-2708462935.14897,-3554897942.49064,-3896837603.93392,-3791935256.04003,-3136733353.20761,,,
AGO,-719558880.5,681237662.030001,5137882651.4822,10689818935.61,10581250704.88,7194246953.019,-7571651745.69,7505954235.08,13084636207.4109,13841185161.0098,8145070111.69022,-3747517596.21103,-10272841902.6133,-3085195463.21077,-632867147.90334,7402606519.27953,5137394880.2235,871917831.29993,8399451648.83264,11762879500.689,4184993795.52075
ALB,-406814698.259077,-357925427.326321,-571475353.650417,-670904254.719467,-1150813004.28052,-2013166061.36355,-1852457561.90292,-1355598479.39826,-1667175109.43641,-1256644799.54906,-1184891052.23519,-1425385680.43297,-979825099.400475,-900363040.501945,-982237928.301343,-1016226360.01795,-1218856026.94155,-1314583005.68534,-1369694859.41271,-1116775476.01529,-281700033.312899
AND,,,,,,,,,,,,,,,,,568257241.756768,448869294.442756,467435297.090415,583198637.628273,
ARG,8139930000.0,3211790000.0,5273750000.0,6498802520.20453,6048537892.88669,5421206328.61008,7254115683.93703,-1622995871.25068,-5340181192.3952,-2138040360.43296,-13124373785.8633,-9179026266.87552,-17621985168.21,-15104786524.5601,-31151351750.7624,-27083606451.057,-3492479581.08422,2688362005.52313,6624785192.348,-4055046516.9124,-20955532697.5363
ARM,-173510013.114181,-78841446.2541776,-123899753.898011,-152931434.45237,-677270882.378012,-1658884233.70808,-1425501011.33033,-1261431337.93129,-1058869760.23296,-1057931944.57862,-813673760.481535,-901811470.85351,-280909482.692554,-100882015.773896,-145329440.857089,-900475279.647257,-961095046.730815,-505386527.321538,-482982405.93626,64724981.1752238,-556329378.256355
ATG,-86828233.4494885,-64761939.0503259,-114398256.236039,-258690923.178123,-427654577.547059,-337074421.728114,-180970641.582571,-141181263.057124,-65308239.4086589,-110683227.906728,-116386897.276612,-522482.281353385,29237532.0456934,-35565937.3786204,-118135621.681583,-232510569.189999,-112310360.935504,-224038944.95332,-287547921.705432,-296146708.518519,-262097635.555556
AUS,-29307731701.3676,-41286950910.194,-43342943309.5636,-46289425987.1322,-64681627027.0504,-51560061986.895,-48539589762.5683,-45891335676.0543,-45473314445.3999,-68558659880.4378,-51027127122.774,-44851604483.8161,-57146704129.271,-41521105179.004,-36094440898.9767,-31888709226.758,4876229870.09164,30964409984.898,48838047105.07,14293228533.6846,4402005809.25797
AUT,,,6232945526.75516,10993883346.6651,14749054068.6709,19299052401.6223,10303724796.1584,11472431144.4443,6798975982.37962,6141933076.675,7477923514.03497,10147917734.3852,6028432384.20792,10123622307.2766,5163531385.66453,4110246988.55319,10561750902.7866,14558305640.2415,8244331337.08528,-3911411993.35773,6782713687.32624
AZE,-2020854000.0,-2589213000.0,167315000.0,3707605000.0,9018885000.0,16452805000.0,10174876000.0,15040436000.0,17144935000.0,14975987000.0,12231737000.0,10208803000.0,-222495000.0,-1363404000.0,1684559000.0,5974981030.41765,4193353386.00028,-316301456.700001,8202978327.4647,23478081000.0,8329368000.0
BDI,-23902939.1660971,-32368607.5029521,-5698160.23298074,-133539415.109128,-111307028.885154,-259356226.222548,-161180586.838638,-300982004.173613,-283583270.335852,-261157248.520261,-258429277.175128,-428776613.51912,-357906530.393241,-327359891.832287,-373554173.313345,-389174672.329406,-392743855.172598,-344687675.667275,-393879528.96246,-621969189.863171,-625597355.891953
BEL,10806024030.8729,11434413829.7617,7700999844.66509,7553988245.75266,7043546782.48594,-4300219760.99211,8777353551.11954,7337927601.44306,-10168977415.4153,-413616611.594466,5078944279.87186,4041465918.74955,6363243452.05938,2646800222.52574,3518201465.3279,-4743198689.98165,660702346.888406,4632635828.93158,11165267239.9708,-7030836552.98966,-4503124766.78582
BEN,-331950912.88913,-289010635.811166,-226174696.216704,-217198381.152852,-534763829.039851,-538190532.962479,-651546427.808673,-530854983.685428,-516838833.48928,-576935937.945258,-673366862.290831,-885799913.310537,-679200532.34774,-354241236.026224,-531029511.357376,-648824804.895264,-575592817.829541,-273966712.893492,-734659106.551428,-1045683262.43876,
BFA,,,-634569356.697594,-543935799.582989,-560735672.476978,-967031300.298648,-381568168.07054,-181624984.081782,-160392828.487696,-162293548.741095,-1345544009.15847,-998954284.130947,-895400077.174337,-780222104.292462,-896284716.175945,-664796659.36633,-523837226.294833,743231869.870405,77255403.997201,-1403966910.70443,
BGD,131637632.009357,-278679383.745514,-173741535.952962,1196063083.00571,856792635.005175,926185438.562718,3556126394.04663,2108502536.74167,-161842538.678825,2575500680.61049,2058473420.43086,755790761.660141,2579621008.77621,931393867.987116,-5984992475.63152,-7095172568.14978,-2948537074.51494,1192771686.32568,-15775415833.0742,-14437645294.5495,4387571900.12179
BGR,-1022155146.77236,-1671124319.58448,-3346998839.52149,-5863231595.24003,-11437006353.762,-11875334885.4618,-4256328502.85846,-964620000.0,272490000.0,-528620000.0,678640000.0,1251490000.0,9340000.0,1673030000.0,1920850000.0,379750000.0,1135810000.0,256000000.0,-872530000.0,-2358950000.0,927670000.0
BHR,200443477.622728,471578624.337848,1474202077.29904,2187449378.74819,2906574539.71003,2256886835.2859,559975548.793245,770071855.488056,3247340425.53191,2577976351.45181,2409721033.47922,1523251102.70936,-752110737.115907,-1492819148.93617,-1600000000.00001,-2434574468.08511,-794414893.617024,-3244680851.06383,2602393617.02127,6838563829.78723,2699468085.10638
BHS,-473510000.0,-307120000.0,-700637472.074333,-1403710000.0,-1315098058.99422,-1222077999.131,-808980000.0,-814043000.0,-1203144000.0,-1504802400.0,-1493926000.0,-1885283210.82194,-1203165342.8486,-710785521.587225,-1574646043.89026,-1115273820.73726,-345480921.341999,-2284500180.12589,-2433986886.6493,-1232592723.38675,-1074581191.89435
BIH,-1631046469.80418,-1639327352.22514,-1844398185.9041,-998104071.96523,-1450133147.39097,-2643834901.20071,-1135255484.93022,-1030658645.30526,-1767324081.46204,-1485969668.54116,-968193561.138615,-1364226227.26117,-826025436.536401,-804268044.277049,-875777450.998187,-661764108.264733,-531916721.817284,-574322073.731954,-349240410.99457,-1077652036.84406,-638768810.713221
BLR,-456100000.0,-1191900000.0,458600000.000001,-1387900000.0,-3012500000.0,-4958600000.0,-6132600000.0,-8280200000.0,-5052500000.00001,-1862200000.00001,-7567300000.0,-5227699999.99999,-1831100000.0,-1611800000.0,-952400000.000004,22900000.0000001,-1245800000.0,-178399999.999996,2137066958.49,2627707123.91001,-1109145289.16
BLZ,-184286483.063725,-154923750.99123,-151221160.548999,-25383981.5972728,-52089996.9562387,-144877244.414546,-82838728.4884125,-45736663.0380745,-19948868.1395558,-33113119.8533949,-72586237.4931022,-135861423.197634,-174735548.353243,-163456303.425737,-158035030.343706,-150794400.020129,-184645704.683613,-127919787.239218,-157868365.156558,-235565536.314672,-19753048.8281488
BMU,,,,1252390000.0,1216066496.88519,906745097.485245,581361176.860677,695959070.333491,867596774.572382,926988024.756583,840649668.267983,817577700.834534,942896167.115709,845986384.579652,940200101.722923,888947064.461814,838701046.112249,853849630.433479,962257799.431355,,
