country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,87220000.0,190000.0,,,,,,,,,,,,,,,,,,
AFG,1126570000.0,1683040000.0,1660610000.0,2014760000.0,3938850000.0,3903780000.0,4784340000.0,5426350000.0,5873520000.0,5720160000.0,4332560000.0,4346240000.0,3854110000.0,3665150000.0,3532890000.0,3534020000.0,3963880000.0,3585080000.0,4329130000.0,3749710000.0
AGO,412470000.0,364870000.0,303260000.0,294650000.0,278740000.0,265120000.0,168670000.0,201610000.0,168930000.0,177070000.0,186800000.0,166820000.0,139770000.0,167710000.0,174180000.0,142040000.0,129870000.0,121010000.0,227290000.0,158570000.0
ALB,112470000.0,111310000.0,150230000.0,150360000.0,150490000.0,193250000.0,172690000.0,161950000.0,166440000.0,148470000.0,144220000.0,168370000.0,113400000.0,137340000.0,130230000.0,182620000.0,148500000.0,210010000.0,264120000.0,227500000.0
ARE,450000.0,950000.0,,,,,,,,,,,,,,,,,,
ARG,41550000.0,32890000.0,25230000.0,42980000.0,61550000.0,65650000.0,56180000.0,36520000.0,68830000.0,40230000.0,33880000.0,31190000.0,32150000.0,35170000.0,30140000.0,32430000.0,39540000.0,46250000.0,60920000.0,125350000.0
ARM,55840000.0,65620000.0,66100000.0,58260000.0,128710000.0,133720000.0,136280000.0,159090000.0,240400000.0,133290000.0,128170000.0,116140000.0,150110000.0,172600000.0,93460000.0,114580000.0,106830000.0,200460000.0,130910000.0,106320000.0
ATG,2500000.0,2230000.0,7670000.0,3520000.0,5340000.0,4100000.0,1540000.0,19420000.0,15150000.0,1120000.0,2090000.0,2670000.0,2250000.0,7020000.0,10490000.0,3920000.0,22980000.0,18550000.0,5410000.0,
AZE,54780000.0,59900000.0,81090000.0,59590000.0,111740000.0,108840000.0,94470000.0,86870000.0,107630000.0,91400000.0,106280000.0,103100000.0,62390000.0,54930000.0,55620000.0,49180000.0,45700000.0,26800000.0,58570000.0,58790000.0
BDI,172620000.0,258820000.0,292650000.0,352500000.0,352820000.0,382560000.0,795390000.0,521540000.0,474170000.0,427080000.0,463180000.0,395900000.0,326270000.0,719290000.0,431030000.0,445330000.0,535640000.0,477210000.0,501290000.0,544730000.0
BEN,204750000.0,333370000.0,223730000.0,1359440000.0,279770000.0,402050000.0,443740000.0,457510000.0,532840000.0,353390000.0,340330000.0,350960000.0,239580000.0,293940000.0,430170000.0,341790000.0,447320000.0,616430000.0,587700000.0,510490000.0
BFA,369210000.0,419820000.0,440350000.0,1873560000.0,554660000.0,631970000.0,603580000.0,752730000.0,766100000.0,882400000.0,910950000.0,945720000.0,714890000.0,702990000.0,676840000.0,890540000.0,815140000.0,1191450000.0,1287810000.0,1122730000.0
BGD,479500000.0,823940000.0,640300000.0,821380000.0,927990000.0,1732140000.0,882880000.0,1093110000.0,1121500000.0,1103710000.0,1348300000.0,1122870000.0,980140000.0,946640000.0,1143480000.0,1335020000.0,1525710000.0,1589550000.0,1612040000.0,1257650000.0
BGR,210800000.0,391730000.0,,,,,,,,,,,,,,,,,,
BHR,54970000.0,8660000.0,,,,,,,,,,,,,,,,,,
BHS,899999.999999999,1720000.0,,,,,,,,,,,,,,,,,,
BIH,318150000.0,291490000.0,278890000.0,300650000.0,426750000.0,273910000.0,210990000.0,232500000.0,215220000.0,230430000.0,263550000.0,332730000.0,259350000.0,198500000.0,252030000.0,230680000.0,290180000.0,290100000.0,286250000.0,231600000.0
BLR,18830000.0,24410000.0,32360000.0,43440000.0,60810000.0,81500000.0,70640000.0,103090000.0,89330000.0,76910000.0,74420000.0,77320000.0,58830000.0,59770000.0,54970000.0,58340000.0,60570000.0,85690000.0,63740000.0,78440000.0
BLZ,9850000.0,5730000.0,8920000.0,8800000.0,15100000.0,18210000.0,15350000.0,20210000.0,16760000.0,21510000.0,36590000.0,30100000.0,21110000.0,24940000.0,17160000.0,17540000.0,37650000.0,42220000.0,57610000.0,16750000.0
BMU,10000.0,0.0,,,,,,,,,,,,,,,,,,
BOL,481610000.0,809080000.0,294910000.0,2081730000.0,415350000.0,424240000.0,427060000.0,502290000.0,393230000.0,311830000.0,297470000.0,255380000.0,212850000.0,228120000.0,254760000.0,239810000.0,207770000.0,224190000.0,108850000.0,198220000.0
BRA,95130000.0,96070000.0,110110000.0,101080000.0,165550000.0,203040000.0,202570000.0,182770000.0,216540000.0,250280000.0,861490000.0,253600000.0,279430000.0,317380000.0,212590000.0,255550000.0,172680000.0,279930000.0,231590000.0,173500000.0
BRB,1840000.0,3300000.0,2420000.0,3730000.0,11620000.0,6440000.0,9170000.0,13760000.0,,,,,,,,,,,,
BRN,0.0,200000.0,,,,,,,,,,,,,,,,,,
BTN,42010000.0,42820000.0,49470000.0,61170000.0,40280000.0,54670000.0,50500000.0,52260000.0,63140000.0,78240000.0,82680000.0,52380000.0,58620000.0,38820000.0,50340000.0,56600000.0,95660000.0,80150000.0,60980000.0,54570000.0
BWA,15150000.0,30510000.0,35910000.0,48740000.0,94860000.0,731410000.0,259500000.0,136940000.0,106260000.0,75330000.0,105110000.0,103560000.0,68000000.0,79770000.0,91310000.0,73100000.0,63170000.0,76240000.0,90000000.0,71730000.0
CAF,34860000.0,86330000.0,63270000.0,157690000.0,142160000.0,220030000.0,329970000.0,237890000.0,258790000.0,208320000.0,201310000.0,497970000.0,451850000.0,460020000.0,444350000.0,531710000.0,667880000.0,723730000.0,574660000.0,598790000.0
CHL,28220000.0,40870000.0,93410000.0,27780000.0,37940000.0,24130000.0,20380000.0,68390000.0,34580000.0,22260000.0,28610000.0,44050000.0,30100000.0,21960000.0,25350000.0,,,,,
CHN,375290000.0,435790000.0,371820000.0,396890000.0,532500000.0,657760000.0,508410000.0,483800000.0,525440000.0,448840000.0,407090000.0,289850000.0,259290000.0,210280000.0,190160000.0,223440000.0,174080000.0,190420000.0,159010000.0,109170000.0
CIV,285980000.0,223410000.0,158310000.0,199480000.0,238900000.0,397210000.0,1117300000.0,642270000.0,717100000.0,2734560000.0,1817300000.0,860230000.0,598190000.0,721170000.0,888920000.0,736340000.0,670220000.0,628160000.0,588390000.0,793460000.0
CMR,802170000.0,607640000.0,338460000.0,3118090000.0,1803190000.0,874620000.0,375950000.0,360180000.0,446460000.0,319200000.0,354930000.0,339730000.0,310430000.0,329930000.0,428610000.0,470880000.0,534950000.0,578870000.0,558210000.0,724060000.0
COD,4846990000.0,1558010000.0,1115330000.0,1907480000.0,1090150000.0,1441080000.0,1645790000.0,3908670000.0,6976790000.0,2512500000.0,2254160000.0,2168550000.0,2482130000.0,1995160000.0,2207330000.0,2347280000.0,2604630000.0,2798870000.0,2697470000.0,2724450000.0
COG,33250000.0,77510000.0,1289030000.0,254450000.0,78840000.0,449180000.0,279940000.0,1365540000.0,303370000.0,123230000.0,131170000.0,96690000.0,90620000.0,74930000.0,87720000.0,83520000.0,85310000.0,113280000.0,102960000.0,110170000.0
COL,105890000.0,142960000.0,190420000.0,247770000.0,524680000.0,736990000.0,798690000.0,421510000.0,771280000.0,575220000.0,561740000.0,570660000.0,656740000.0,595730000.0,664060000.0,759500000.0,895600000.0,1093450000.0,1233500000.0,1058080000.0
COM,7430000.0,14180000.0,12590000.0,20130000.0,29330000.0,31100000.0,39150000.0,60390000.0,48860000.0,93450000.0,157720000.0,59130000.0,50940000.0,41190000.0,53830000.0,61170000.0,77640000.0,107660000.0,118130000.0,95270000.0
CPV,59280000.0,71560000.0,74980000.0,59270000.0,80780000.0,113570000.0,119440000.0,138970000.0,88570000.0,66180000.0,70840000.0,63670000.0,61570000.0,54310000.0,76370000.0,43630000.0,53300000.0,54070000.0,66960000.0,49590000.0
CRI,24500000.0,31770000.0,23850000.0,20840000.0,59290000.0,42200000.0,33140000.0,49230000.0,26260000.0,23430000.0,25990000.0,28060000.0,30920000.0,27640000.0,35880000.0,31340000.0,25600000.0,52480000.0,132700000.0,69990000.0
CUB,26700000.0,49380000.0,43140000.0,41370000.0,61400000.0,70110000.0,75690000.0,99420000.0,55640000.0,63180000.0,74890000.0,249940000.0,531800000.0,2595660000.0,680870000.0,513500000.0,461190000.0,465530000.0,104120000.0,94960000.0
CYM,0.0,0.0,,,,,,,,,,,,,,,,,,
CYP,13650000.0,34230000.0,,,,,,,,,,,,,,,,,,
CZE,225180000.0,242960000.0,,,,,,,,,,,,,,,,,,
DJI,26470000.0,30770000.0,41540000.0,65420000.0,80280000.0,89810000.0,102230000.0,105760000.0,108620000.0,115390000.0,108880000.0,113920000.0,107230000.0,115070000.0,101320000.0,122270000.0,176850000.0,194540000.0,116090000.0,128770000.0
DMA,2930000.0,17690000.0,6170000.0,16710000.0,19870000.0,21520000.0,25320000.0,26560000.0,22610000.0,10710000.0,12610000.0,9510000.0,5750000.0,14590000.0,18570000.0,30230000.0,46880000.0,38890000.0,37100000.0,20210000.0
