country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,401810000.0,452790000.0,1062410000.0,843810000.0,516730000.0,710960000.0,957300000.0,893130000.0,849840000.0,896900000.0,823980000.0,655640000.0,467490000.0,490400000.0,311920000.0,300130000.0,297060000.0,327440000.0,244120000.0,226460000.0
AGO,79860000.0,70250000.0,80670000.0,72810000.0,44800000.0,66310000.0,62150000.0,43730000.0,33580000.0,34220000.0,25680000.0,34670000.0,24460000.0,30380000.0,26710000.0,47060000.0,46980000.0,43090000.0,50070000.0,41940000.0
ALB,145240000.0,92110000.0,90450000.0,99710000.0,83590000.0,109080000.0,95420000.0,102880000.0,98220000.0,95710000.0,57120000.0,75080000.0,182200000.0,75600000.0,86490000.0,93510000.0,102990000.0,149710000.0,104100000.0,98720000.0
ARE,4510000.0,4410000.0,,,,,,,,,,,,,,,,,,
ARG,58810000.0,56200000.0,53880000.0,51400000.0,48100000.0,59990000.0,71880000.0,70420000.0,52020000.0,56800000.0,53140000.0,52320000.0,35720000.0,34820000.0,45930000.0,45690000.0,42800000.0,40600000.0,31000000.0,32310000.0
ARM,94090000.0,97280000.0,83780000.0,104150000.0,42160000.0,36880000.0,40800000.0,36980000.0,28030000.0,25010000.0,33420000.0,37380000.0,27190000.0,30260000.0,38470000.0,44870000.0,46890000.0,40840000.0,59740000.0,43110000.0
ATG,1400000.0,410000.0,620000.0,440000.0,610000.0,1420000.0,2720000.0,740000.0,1030000.0,1230000.0,520000.0,520000.0,490000.0,360000.0,880000.0,540000.0,860000.0,1470000.0,530000.0,
AZE,69000000.0,69150000.0,73410000.0,97200000.0,36240000.0,45080000.0,42850000.0,56010000.0,48910000.0,37260000.0,39920000.0,35640000.0,29850000.0,32230000.0,36410000.0,43180000.0,48640000.0,81360000.0,93380000.0,66830000.0
BDI,30700000.0,26810000.0,39300000.0,50220000.0,39760000.0,63210000.0,60970000.0,73440000.0,67060000.0,75940000.0,92940000.0,105740000.0,57220000.0,58170000.0,26380000.0,25880000.0,25090000.0,28240000.0,28620000.0,35580000.0
BEN,90550000.0,87410000.0,91740000.0,109730000.0,81280000.0,85380000.0,90050000.0,94870000.0,86360000.0,93190000.0,90470000.0,88750000.0,70060000.0,66570000.0,62590000.0,82300000.0,76620000.0,74260000.0,78140000.0,92990000.0
BFA,104280000.0,102850000.0,95950000.0,126670000.0,110900000.0,96670000.0,112090000.0,131900000.0,98780000.0,104120000.0,102190000.0,97330000.0,94020000.0,86620000.0,113930000.0,106540000.0,95610000.0,135110000.0,109530000.0,98810000.0
BGD,246070000.0,207590000.0,186320000.0,164530000.0,153420000.0,226920000.0,190210000.0,192400000.0,216060000.0,200310000.0,202640000.0,214080000.0,179110000.0,189260000.0,210110000.0,197220000.0,217370000.0,196400000.0,240220000.0,310170000.0
BGR,181770000.0,202120000.0,,,,,,,,,,,,,,,,,,
BHR,1370000.0,1060000.0,,,,,,,,,,,,,,,,,,
BHS,6400000.0,6470000.0,,,,,,,,,,,,,,,,,,
BIH,151680000.0,146480000.0,136930000.0,150620000.0,92520000.0,119680000.0,133290000.0,140760000.0,116750000.0,102800000.0,96510000.0,104190000.0,93740000.0,74570000.0,71980000.0,67560000.0,68680000.0,97820000.0,93620000.0,82700000.0
BLR,17700000.0,25340000.0,27560000.0,35020000.0,29400000.0,34480000.0,32340000.0,38060000.0,35370000.0,30820000.0,37890000.0,48230000.0,50640000.0,54790000.0,74820000.0,64750000.0,66080000.0,76330000.0,80760000.0,59810000.0
BLZ,3490000.0,3730000.0,5460000.0,4340000.0,4480000.0,3280000.0,4920000.0,4560000.0,4120000.0,5360000.0,4920000.0,7220000.0,5320000.0,7940000.0,9510000.0,4350000.0,5640000.0,5620000.0,4050000.0,5870000.0
BMU,20000.0,90000.0,,,,,,,,,,,,,,,,,,
BOL,256230000.0,233660000.0,236570000.0,299090000.0,105580000.0,134530000.0,153930000.0,128130000.0,110560000.0,117360000.0,96710000.0,93330000.0,79400000.0,74910000.0,71910000.0,71080000.0,54400000.0,56080000.0,179220000.0,60180000.0
BRA,213470000.0,194660000.0,191600000.0,204170000.0,246900000.0,235440000.0,230900000.0,239010000.0,213280000.0,241830000.0,235930000.0,237620000.0,189580000.0,200840000.0,201990000.0,180680000.0,189660000.0,196690000.0,184480000.0,170570000.0
BRB,2180000.0,2310000.0,4910000.0,2710000.0,3280000.0,1070000.0,2210000.0,1850000.0,,,,,,,,,,,,
BRN,470000.0,570000.0,,,,,,,,,,,,,,,,,,
BTN,22740000.0,21660000.0,21190000.0,21150000.0,20000000.0,14030000.0,15870000.0,18800000.0,20780000.0,26680000.0,26280000.0,27240000.0,23010000.0,20750000.0,24270000.0,18210000.0,18350000.0,12840000.0,14940000.0,18480000.0
BWA,27170000.0,33080000.0,30210000.0,36500000.0,22060000.0,16750000.0,11990000.0,20840000.0,19740000.0,19220000.0,16790000.0,12750000.0,12270000.0,17190000.0,13430000.0,12770000.0,14320000.0,10500000.0,10320000.0,8860000.0
CAF,23510000.0,32300000.0,36420000.0,34690000.0,37660000.0,21990000.0,16420000.0,17730000.0,12720000.0,12840000.0,9490000.0,78320000.0,24010000.0,25740000.0,14840000.0,22650000.0,24330000.0,39030000.0,33540000.0,24360000.0
CHL,57040000.0,64470000.0,59050000.0,50960000.0,45980000.0,61950000.0,68740000.0,65740000.0,55560000.0,64950000.0,58860000.0,56420000.0,41510000.0,45810000.0,47010000.0,,,,,
CHN,788610000.0,878140000.0,857650000.0,973500000.0,948260000.0,969550000.0,929540000.0,959150000.0,834350000.0,678710000.0,557750000.0,552470000.0,476440000.0,478550000.0,504420000.0,515520000.0,562250000.0,572840000.0,489390000.0,407910000.0
CIV,75940000.0,77040000.0,66620000.0,130210000.0,59910000.0,58500000.0,58730000.0,53640000.0,26080000.0,39230000.0,58790000.0,66710000.0,60720000.0,64850000.0,67470000.0,92950000.0,87070000.0,102610000.0,108140000.0,105860000.0
CMR,137780000.0,151320000.0,149180000.0,178770000.0,196240000.0,158710000.0,152680000.0,155100000.0,130910000.0,165150000.0,153900000.0,158860000.0,122800000.0,125190000.0,131760000.0,144670000.0,146920000.0,144160000.0,161420000.0,151230000.0
COD,124640000.0,139150000.0,184400000.0,178250000.0,115280000.0,163680000.0,172160000.0,228320000.0,231800000.0,193510000.0,294150000.0,302070000.0,218020000.0,196510000.0,159040000.0,112910000.0,130060000.0,159460000.0,160520000.0,124280000.0
