country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,156424.581005587,,29713.2392925923,71831.445994457,55865.9217877095,55865.9217877095,,,,,75.0545027944862,67.3456428217191,17247.7427444962,33607.0173260593,8565.60983240224,932986.795265326,1750298.46454458,153605.366917103,700088.484163462,1001564.92450125,
AFG,,,,,,643174.51,744281.07,626710.87,433679.25,,,463662.430553814,12809.26,,,,5555.67146925886,335.19545813078,,,
AGO,,226800000.0,49430571.11,1339588441.64,12021694.12,12000000.0,,,,16332320.86,18843635.45,21944072.217,17490960.0,10997630.0,11569560.0,8226880.0,516010.0,,,,
ALB,5321983.91,15410498.39,505314.458021101,723627.416065902,7530000.0,40441133.4106941,17098527.1570284,739036.184704185,13339406.1051136,1650606.39559554,1185804.07535826,740461.814541585,1945283.40574263,2703932.26362696,10991466.0499114,14949446.678663,17149047.0587119,15865804.9184837,19332528.3225106,13222816.6646375,3090068.64083668
AND,,,,,,,,,,,,,,,,,,,,314003.30642395,
ARG,51500000.0,61210000.0,51080000.0,80512422.8122706,96694187.4534156,99367650.4020731,105965489.617584,152187821.078051,155396388.283537,158152120.0527,179902421.57,174205013.476897,161745946.96071,168807424.709248,356498295.973946,321051040.765632,284486041.246327,209352775.990127,245918236.931882,255301975.044775,250592114.759111
AUS,450714506.611917,537973548.658146,573756156.572708,641546473.141993,713645961.039888,746149101.650395,789823546.487552,978059795.188933,948333508.18577,859824156.705119,813652776.299392,851550055.536043,1146658809.17587,1309693624.91592,1632012447.09753,1936210411.53991,2157208515.00044,2483444305.89821,3366528729.44413,4283347316.18124,5247889584.61991
AUT,,,390572076.188763,707564674.264842,944971637.63104,1166742028.45033,1005495405.80813,925872141.125538,1038988008.35362,1096419839.37034,1076112620.82635,1279030736.79152,1052235869.68452,1170283651.7771,1285998316.80964,1365840707.44505,1431498821.15799,1535015172.50638,1714405454.11256,1688056561.76948,1807465851.91152
AZE,1000.0,,6000.0,56000.0,22000.0,13000.0,1800000.0,149000.0,23000.0,28000.0,,,,,,6810769.55882353,6907671.19411766,5402440.86470589,6198938.76470588,3384000.0,4215000.0
BDI,,,,,,,,,4678.55424744002,4228.75300746228,45463.5822451959,29674.4368973676,6820.54841120981,235.702716423442,13731.0342178242,,,,17558.7748596433,,1306.68462962207
BEL,883952796.310738,1022734876.1544,1359788108.7515,1543172139.27055,1678612578.17073,1515830243.09017,2557958273.71556,2480222841.12553,2533613936.39068,2649669442.82256,3356686924.5767,3306641239.14739,3203851057.56828,3785873237.5491,3636958954.1829,4161056603.99267,3556481800.56813,3717083276.87151,3927925246.03177,4034756836.58009,4495272949.68112
BEN,87946.5879623236,,,1914.14806691506,,20179.3703226736,,2021.04202968594,,,,7898.61691974235,5074.32449364059,843.731458647822,,143254.131513341,,17447.4927650334,1052870.15652483,,
BFA,,,,78480.070743518,102374.734809704,38116.5883872724,8505.32837899436,448671.330590269,772416.045658874,746244.775167236,797732.942023611,840493.851716185,712096.870607563,701984.573594969,726642.72016037,842565.458693534,817530.289113277,806892.447627553,812403.966603121,700570.799558953,
BGD,327391.013701952,134430.377118349,260850.899533999,319865.786912214,43435.9671163359,14581.9926001248,333018.064914714,516648.067296503,992520.508036017,243886.259387872,419654.819780104,914912.225408408,1182236.04045291,344286.087654456,36917.9789255317,4082535.48192897,6954596.81198854,4193734.32785527,1977907.28078107,3748198.04653243,2371507.90595695
BGR,4669970.43591628,7089744.52339917,5049809.51206603,10516830.6626388,10864074.8096957,11411533.0804541,10027643.597313,18320000.0,11950000.0,22800000.0,26720000.0,32710000.0,50030000.0,50430000.0,52660000.0,88850000.0,122280000.0,144690000.0,242980000.0,291840000.0,368060000.0
BIH,,,,3709692.30328127,4293126.43215238,4772375.14706026,12390550.8875808,15124105.3121197,12827695.8030105,13158734.5221215,17531852.245157,13375078.4102952,12892952.70566,13046125.1194854,11614987.2591783,26777680.25989,22980042.3260686,12353009.6831563,1948671.52810241,6635653.06479513,19127330.0046972
BLR,1400000.0,1700000.0,3100000.0,5900000.0,3100000.0,4700000.0,9500000.0,8500000.0,22800000.0,22900000.0,27700000.0,39100000.0,22300000.0,27500000.0,35100000.0,66100000.0,101100000.0,124600000.0,123842510.0,,
BLZ,,,,,,,,,2500000.0,,,,,,,,,,,,
BMU,,,,230000.0,55773.4050632911,109679.964178261,25642.8863018335,3272.417823524,8384.0,8589.408,9281.910864,,,125000.0,387998.0,301663.0,167500.0,167458.125,170048.219375,,
BOL,1690000.0,1840000.0,1920000.0,1780000.0,2005000.0,2250000.0,2500000.0,2804000.0,7178601.88,15205383.6251944,17905865.0639759,18938481.8788307,22344051.6079534,24183112.9121731,24482350.0385278,10110622.5761646,6959047.87117802,5027557.36198646,2226026.9903085,1672884.9609416,1590560.8309416
