country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,159776536.312849,-105698324.022346,-207798005.868163,220316139.723839,-471005586.592179,18882681.5642458,-10614525.1396648,186759776.536313,488156424.581006,-314692737.430168,272088145.377015,208344037.245165,-26881396.993856,27550827.0999312,162456842.302022,144146269.421966,-75226540.6843182,161066979.086053,133545121.178455,248150282.616618,-137459364.921322
AFG,57800000.0,186900000.0,271000000.0,238000000.0,188690000.0,46033740.0,56107246.5,190774431.98,52173421.0,56823660.0,48311346.0,42975262.5,169146608.0,93591315.3,51533896.765,119435105.715177,23404553.647249,12970147.9832,20600980.0,,
AGO,3576971780.0,2197227820.0,-1303836930.0,-37714860.0,-893342152.0,1678971010.0,2205298180.0,-3227211182.45,-3023770965.83688,-1464627990.88284,-7120017424.4614,3657514667.49327,10028215162.6394,-179517618.92,-7397295409.18991,-6456076413.12033,-4098478747.63755,-1866468113.07454,-4355116552.71589,-6598652652.09389,-2119632185.51477
ALB,178036400.666667,341285112.537562,262479012.637464,325138316.803697,652275603.722803,1247181714.30558,1345415233.65619,1089898207.57431,1048706682.05458,917994575.801857,1254150555.51294,1149927985.77736,989578334.828616,1044389554.85795,1022757857.07377,1204383363.60476,1201022154.46643,1069744879.65453,1218586452.37158,1441381891.41694,1620982550.5431
ARE,4255956430.0,10003500000.0,10899931930.0,12805990470.0,14186521440.0,5062972000.0,1134288140.0,8796769640.0,7152095830.0,9566651350.0,9764914530.0,11071537020.0,8550901850.0,9604773000.0,10354223000.0,10385286000.0,17874660000.0,19884470000.0,20667120000.0,22736560000.0,30687540000.0
ARG,1652010000.0,4124710000.0,5265250000.0,5537347786.19331,6473157762.12915,9725553129.52469,4017158924.88408,11332718626.4345,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,11716769818.7543,6649187837.98606,4884127675.95708,6658049679.27728,15200600517.715,23866141439.654
ARM,122852992.703235,247140608.495888,292073220.164722,466531991.901724,667671562.134495,943733059.483284,760040745.87233,529321391.641958,653219756.47225,496636701.129687,346092394.393256,406578406.693112,184127986.314895,333823945.510433,252747990.684352,266855048.832037,100287214.397978,58582750.1214803,366445214.820501,975658909.266107,580365078.650983
ATG,120216017.556152,104576495.70641,123754285.361587,288731522.142357,346552078.976619,153573370.702718,83981325.7341622,93722574.3158356,69631054.053927,124833151.026493,92885388.5633041,46263101.049287,114024660.121814,97431976.4735789,151271628.230867,202333092.274125,133908540.37037,96381781.1111111,289816410.0,313270088.888889,327939063.703704
AUS,8985246029.5004,42907672820.3756,-25093141435.1896,30551100656.5983,44440876036.5147,45170097261.1184,28932973452.6035,35554698682.4247,65578266555.523,57571285654.7447,54472699003.596,63204516347.8726,46892808567.8516,42970225977.7088,48199372039.9015,60686639529.923,38745129661.1196,17976843681.3118,31518948092.7139,70364982117.0187,32619020577.2036
AUT,6195021860.0,3183649650.0,81096089418.116,10500457158.3387,68865787583.4395,6301143681.98324,14300064389.0077,-22007325156.2772,22983942931.9265,5218620112.78237,-1290975416.81939,1708425859.86856,-6847372583.72227,-28502567388.3665,14031983575.0406,-27839206246.3826,-12636357247.4569,-12003798872.8906,18998114634.0552,14301504457.0346,2924935668.81844
