country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,273743.016759777,1458100.55865922,819846.096273242,1036166.00246323,5195530.72625699,6759776.53631285,9050279.32960894,4972067.03910615,5307262.5698324,4860335.19553072,58146742.3052803,58627995.0761846,53640100.5182244,52684335.9800863,56140485.0473226,36920295.448098,34264018.270972,34984040.4172566,35845637.1605112,38279493.4539565,37717579.0260779
AFG,,,0.0,0.0,0.0,89540435.95,140695166.3,378206657.0181,179116561.3764,219416087.481463,347165291.814146,253367821.603343,348624717.302647,627710802.377386,822731630.245558,803546453.786557,828571904.111179,788917115.24523,320000000.0,320000000.0,320000000.0
AGO,,,0.0,0.0,0.0,82084000.0,162358.5,17972037.0,204751.1,40348853.9894801,36637411.3401682,30971119.270778,11114711.6,3988048.38,1418195.84,1579247.15,3445473.46759301,8053050.89441933,12631149.3197743,14005491.4763133,12066567.165122
ALB,888748582.309638,1160672105.01954,1289704315.92613,1359467324.66364,1468020000.0,1865581563.70359,1717698012.16514,1586574271.35641,1552078514.34036,1419772515.43027,1281848113.75308,1421007454.36595,1290863508.09402,1306009166.92504,1311822432.138,1458210055.85311,1472812241.61037,1465987212.49097,1718355918.32179,1745245135.76651,2036169283.29038
AND,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21100000.0,47416323.7388305,53001417.7730525,44577777.0540164,44577777.0540164
ARG,273420000.0,311780000.0,432090000.0,540635441.916292,606498926.517186,705144403.358363,628542376.088907,644300740.057192,697379575.129916,577532962.100773,535004409.367289,505346891.730357,494433532.139966,391579047.663514,479937459.808431,522441503.008565,561398444.719758,648090050.021815,902789422.017933,1056459895.66862,1009693898.95111
ARM,335860000.0,787519510.008093,915231161.780943,1169173062.59984,1644375090.62217,1904067122.6008,1439809231.68406,1669336819.11366,1798624692.26173,1914983996.61627,2192193826.94676,2078618314.80089,1491475903.47047,1382330886.59828,1538655751.77642,1487814907.95282,1527937456.87278,1327006085.34023,1556822543.94877,2031342937.0743,1451764406.31499
ATG,16372237.0370371,17601625.9259259,29018120.692389,29202071.8774934,30352179.8027457,29719238.8318999,27817357.2998099,28924211.8034622,29296532.4395495,29845308.1734269,29967174.278059,31849221.567761,31244412.2632378,26705675.6457208,24020044.3490542,32768265.3234986,36875282.1086838,36220490.9834502,45265850.3993532,34810853.7037037,34970955.5555555
AUS,651572145.062106,824729101.175224,940407766.641077,1014841490.87417,1341851616.34835,1526025147.3275,1334648952.60383,1864472761.35169,2449287569.05191,2440634974.57651,2461137536.76136,2329656676.96023,2174651380.40477,2056844753.41069,2001928453.24729,1867930551.38816,1762645594.80965,1197283915.031,936423063.167017,1307030458.6425,1726715971.05796
AUT,2496145508.0,2520989014.0,2313507128.00776,2517171820.75859,2915622151.61598,3189808742.62739,3101681748.75588,2983488445.59884,3250804925.70344,3028188698.98571,3248309532.62515,3239901778.63492,2863606817.4052,2887576591.28188,2956934245.82416,3022591419.43224,2996058679.89715,3026771045.59774,3191616713.05916,3010700898.17371,3262189742.06597
