country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARE,,,,,126205030000.0,107354250000.0,138243960000.0,131490760000.0,93726650000.0,101327920000.0,180324800000.0,201598930000.0,195874110000.0,213212763813.622,232103890000.0,231377490000.0,246818780000.0,294831940000.0,555061490000.0,873562240000.0
ARG,34994620000.0,40593870000.0,47590300000.0,51240130000.0,57070160000.0,39850360000.0,45744930000.0,63909790000.0,43579790000.0,34254750000.0,53104790000.0,60142040000.0,56134630000.0,63601116144.457,108740050000.0,45986050000.0,39393540000.0,32250420000.0,41751170000.0,52947830000.0
ARM,,,,,,,,,,,,,,,,47810000.0,54960000.0,26950000.0,29520000.0,252670000.0
AUS,585529690000.0,776402760000.0,804014820000.0,1095857960000.0,1298315040000.0,683871560000.0,1261909340000.0,1454490570000.0,1198187410000.0,1386873960000.0,1365958130000.0,1288708340000.0,1187083450000.0,1268493506774.29,1508462800000.0,1262800270000.0,1487598500000.0,1720556180000.0,1887400790000.0,1679171930000.0
AUT,56522450000.0,87776270000.0,126251470000.0,192770310000.0,236448390000.0,76288700000.0,114076070000.0,126031960000.0,85269520000.0,106036780000.0,117671410000.0,96790330000.0,96079380000.0,120976729936.549,150645990000.0,116802000000.0,133098220000.0,132083250000.0,162888880000.0,123048000000.0
AZE,,,,,,,,,,,,,,,,,2173880000.0,1434370000.0,1595340000.0,1467980000.0
BEL,173552620000.0,273247420000.0,288481060000.0,396167930000.0,385552940000.0,167218340000.0,259768580000.0,268726290000.0,229320850000.0,299517140000.0,374325590000.0,378525790000.0,414556380000.0,378144283250.56,437793522325.457,321093542983.702,,,,
BGD,,,3299610000.0,3850310000.0,8732760000.0,11721070000.0,20928930000.0,41616870000.0,47699530000.0,,51158550000.0,68457910000.0,65484860000.0,70419424536.4465,86178750000.0,77390510000.0,64416510000.0,89773660000.0,108740760000.0,42894830000.0
BGR,1755120000.0,2803950000.0,5085620000.0,10324970000.0,21667660000.0,8880420000.0,8653170000.0,7376360000.0,8253250000.0,,,,,,,15652460000.0,16000060000.0,17710500000.0,17024450000.0,15704590000.0
BHR,9626790000.0,13540850000.0,17364820000.0,21122390000.0,27088350000.0,19947350000.0,16262630000.0,20059730000.0,16589950000.0,,,22067530000.0,19251070000.0,19394198865.4608,21706180000.0,21862750000.0,26882280000.0,24608090000.0,28688200000.0,30262310000.0
BLR,,,,,,,,,,,,574810000.0,534010000.0,1238750000.0,,,,,2830700000.0,2496610000.0
BMU,2900700000.0,1849440000.0,2124780000.0,2703530000.0,2731110000.0,1912330000.0,1360190000.0,1534950000.0,1232340000.0,1486900000.0,1467000000.0,1601480000.0,1850000000.0,2521628651.46058,2718790000.0,2393200000.0,2965300000.0,220400000.0,245000000.0,207000000.0
BRA,234560040000.0,330346580000.0,474646880000.0,710247450000.0,1369711270000.0,591965550000.0,1337247680000.0,1545565660000.0,1228936230000.0,1227447020000.0,1020455330000.0,843894200000.0,490534110000.0,758558918034.702,954715100000.0,916824390000.0,1187361690000.0,988374320000.0,815876700000.0,794417900000.0
BRB,,,,,,,,2186550000.0,4567520000.0,,3985460000.0,2683590000.0,2949090000.0,3096520000.0,3350920000.0,3541580000.0,3398000000.0,2780430000.0,,
BWA,,,,,,,,,,,,,,,,4034140000.0,3561160000.0,3295720000.0,3158960000.0,31024980000.0
CAN,910230610000.0,1177517940000.0,1482184560000.0,1700708090000.0,2186550150000.0,1033651810000.0,1677431720000.0,2171194840000.0,1912871970000.0,2059973580000.0,2113821770000.0,2095420680000.0,1593399300000.0,1993522735729.7,2367059920000.0,1937902710000.0,2409098540000.0,2641454670000.0,3264137360000.0,2744719700000.0
CHE,727102780000.0,829098070000.0,938697660000.0,1212534300000.0,1274656700000.0,880334430000.0,1064686540000.0,1229356540000.0,1089519370000.0,1233438940000.0,1540699830000.0,1495314200000.0,1519323460000.0,1403355611192.93,1686497070000.0,1441160480000.0,1834453260000.0,2001602870000.0,2327707010000.0,1830524610000.0
CHL,86525910000.0,116924270000.0,136493350000.0,174418780000.0,212910230000.0,131807960000.0,230732390000.0,341798880000.0,270289080000.0,313325270000.0,265150080000.0,233245470000.0,190352000000.0,212479793765.003,294675740000.0,252922690000.0,407583300000.0,369098840000.0,259526740000.0,285231910000.0
CHN,512978770000.0,447720260000.0,401852250000.0,1145454870000.0,4478866530000.0,1778784040000.0,3573152460000.0,4027840300000.0,3412108290000.0,3697376040000.0,3949143490000.0,6004947670000.0,8188019320000.0,7320738379789.18,8711267220000.0,6324879760000.0,8569512150000.0,12276766270000.0,14437446150000.0,11469346090000.0
CIV,1650110000.0,2082660000.0,2332410000.0,4155260000.0,8305170000.0,7087790000.0,6124330000.0,7158120000.0,6287600000.0,,11818850000.0,11710400000.0,12493030000.0,12363659088.7213,12485700000.0,8453312865.34401,8100130000.0,7331390000.0,,
COL,,,50500810000.0,56204320000.0,101955950000.0,87716200000.0,140519920000.0,208501740000.0,201295530000.0,262101260000.0,202693250000.0,146745680000.0,85955450000.0,103818618591.608,121477230000.0,103848380000.0,132040280000.0,106315200000.0,90541480000.0,68412490000.0
CRI,520490000.0,1558300000.0,1510240000.0,1879810000.0,2181820000.0,1905330000.0,1468480000.0,1444920000.0,1498420000.0,,1949970000.0,2551360000.0,2353520000.0,2917800000.0,3010760000.0,2401120000.0,2217350000.0,1901280000.0,2041060000.0,2232060000.0
CYM,2752110000.0,2476990000.0,1810120000.0,158000000.0,165000000.0,159000000.0,169000000.0,238000000.0,2275900000.0,2006310000.0,,,315630000.0,,,437850000.0,379050000.0,644320000.0,,
CYP,,,,16158020000.0,17251300000.0,7987930000.0,10268870000.0,6834300000.0,2853320000.0,1995750000.0,2104730000.0,4031000000.0,2692400000.0,2511333005.64887,2822392823.25541,3313490000.0,4284870000.0,4693160000.0,5651980000.0,6532660000.0
CZE,15507730000.0,26891360000.0,34886410000.0,44372130000.0,68913190000.0,40912350000.0,,,,,,,,,,26962050000.0,26313100000.0,26613600000.0,37469270000.0,28808940000.0
DEU,1079026240000.0,1194516790000.0,1202136280000.0,1637609770000.0,2105197820000.0,1110579630000.0,1292355310000.0,1429719050000.0,1184500160000.0,1486314810000.0,1936106260000.0,1738539060000.0,1715800490000.0,1716041505061.04,2262222570000.0,1755172790000.0,2098173930000.0,2284108840000.0,2503045830000.0,1889663940000.0
DNK,121640960000.0,151349870000.0,,,,,,,,,,,,,,,,,,
DZA,142674569.772822,139092209.872241,141728184.421074,94296932.7498449,96663319.8613195,91314450.4415403,90058008.356833,105412462.955525,196798215.663923,166815679.075574,176833871.512583,168288844.920419,144019727.027575,414179630.933144,353143988.786481,371418617.768445,,,,
EGY,,,,93496400000.0,139273790000.0,85978070000.0,91207340000.0,84276830000.0,48849670000.0,59181970000.0,61629650000.0,70083650000.0,55191870000.0,33323010781.2094,46546100000.0,42005550000.0,44199850000.0,41351180000.0,48731450000.0,38852960000.0
ESP,726243370000.0,940672880000.0,959910390000.0,1322915300000.0,1799833980000.0,948352290000.0,1434540470000.0,1171624980000.0,1030987550000.0,995088450000.0,1116561030000.0,992913610000.0,787192290000.0,704551326648.43,888837580000.0,723690970000.0,797285840000.0,759174660000.0,775649630000.0,665497680000.0
FIN,18763320000.0,20344330000.0,,,,,,,,,,,,,,,,,,
FRA,1355925340000.0,1559109680000.0,1758513210000.0,2428251770000.0,2740341210000.0,1472406870000.0,1946185140000.0,1911515390000.0,1553956950000.0,1808188710000.0,2301085210000.0,2085895800000.0,2088317310000.0,2159046594865.8,2749314584104.38,2365950236659.36,,,,
GBR,2425822000000.0,2815928030000.0,3058182420000.0,3781358500000.0,3846461880000.0,1868152970000.0,2796444320000.0,2686880880000.0,2932240870000.0,3291640120000.0,3946884730000.0,3570893500000.0,,,,,,,3799459240000.0,3095983430000.0
GHA,640000000.0,480000000.0,610000000.0,760000000.0,2401290000.0,2844380000.0,2427020000.0,2947690000.0,3098510000.0,,,,,,,,9963380000.0,9247430000.0,10487020000.0,6463660000.0
GRC,106643670000.0,125241630000.0,145120740000.0,200696040000.0,264960820000.0,90200000000.0,112632400000.0,67586420000.0,33778890000.0,44876550000.0,82594240000.0,55154270000.0,42079580000.0,37163048981.1083,50605060000.0,38370850000.0,53653980000.0,50986890000.0,59242410000.0,59035280000.0
