country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARE,28.0,32.0,55.0,55.0,60.0,103.0,104.0,104.0,108.0,107.0,117.0,120.0,125.0,125.0,127.0,130.0,130.0,130.0,143.0,153.0
ARG,106.0,103.0,100.0,101.0,106.0,107.0,101.0,101.0,99.0,101.0,97.0,95.0,93.0,93.0,96.0,93.0,91.0,91.0,85.0,
ARM,,,,,,,,,,,,,,,,10.0,10.0,11.0,10.0,12.0
AUS,1405.0,1514.0,1643.0,1751.0,1913.0,1924.0,1882.0,1913.0,1983.0,1959.0,1955.0,1967.0,1989.0,1969.0,2013.0,2004.0,1952.0,1902.0,1977.0,1976.0
AUT,104.0,100.0,92.0,96.0,102.0,101.0,97.0,89.0,88.0,84.0,82.0,82.0,79.0,71.0,67.0,67.0,71.0,68.0,69.0,66.0
AZE,,,,,,,,,,,,,,,,,951.0,13.0,28.0,29.0
BEL,145.0,141.0,138.0,137.0,135.0,131.0,128.0,124.0,120.0,118.0,117.0,113.0,117.0,,,,,,,
BGD,,185.0,195.0,199.0,211.0,221.0,197.0,192.0,433.0,453.0,481.0,517.0,543.0,557.0,572.0,593.0,611.0,628.0,660.0,354.0
BGR,326.0,332.0,331.0,347.0,369.0,404.0,398.0,390.0,393.0,387.0,381.0,372.0,365.0,354.0,,274.0,262.0,259.0,206.0,201.0
BHR,38.0,38.0,40.0,43.0,44.0,45.0,44.0,44.0,44.0,43.0,43.0,44.0,44.0,43.0,42.0,43.0,43.0,42.0,41.0,41.0
BLR,,,,,,,,,,,,67.0,62.0,55.0,,,,12.0,14.0,14.0
BMU,22.0,21.0,19.0,16.0,16.0,16.0,16.0,14.0,13.0,13.0,13.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,11.0,10.0
BRA,367.0,357.0,342.0,347.0,395.0,383.0,377.0,373.0,366.0,353.0,352.0,351.0,345.0,338.0,335.0,334.0,324.0,345.0,381.0,361.0
BRB,22.0,21.0,19.0,16.0,16.0,16.0,16.0,21.0,20.0,19.0,17.0,22.0,20.0,19.0,17.0,16.0,16.0,15.0,,
BWA,,,,,,,,,,,,,,,24.0,26.0,25.0,24.0,23.0,23.0
CAN,3578.0,3597.0,3719.0,3790.0,3881.0,3755.0,3624.0,3654.0,3845.0,3874.0,3810.0,3691.0,3501.0,3368.0,3278.0,3330.0,3358.0,3922.0,3455.0,3534.0
CHE,289.0,282.0,284.0,256.0,257.0,253.0,257.0,246.0,246.0,238.0,236.0,240.0,234.0,227.0,228.0,236.0,237.0,220.0,220.0,
CHL,239.0,239.0,245.0,244.0,238.0,235.0,232.0,227.0,229.0,225.0,227.0,230.0,223.0,214.0,212.0,205.0,410.0,401.0,402.0,400.0
CHN,1285.0,1373.0,1377.0,1421.0,1530.0,1604.0,1700.0,2063.0,2342.0,2494.0,2489.0,2613.0,2827.0,3052.0,3485.0,3584.0,12730.0,12341.0,11629.0,11497.0
CIV,39.0,39.0,39.0,40.0,38.0,38.0,38.0,39.0,39.0,37.0,37.0,38.0,39.0,43.0,45.0,45.0,46.0,46.0,,
COL,110.0,106.0,98.0,94.0,90.0,89.0,87.0,84.0,79.0,76.0,72.0,70.0,69.0,68.0,67.0,66.0,66.0,65.0,64.0,63.0
CRI,22.0,22.0,20.0,18.0,12.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
CYM,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,,,6.0,,,4.0,4.0,4.0,,
CYP,133.0,124.0,119.0,141.0,124.0,119.0,115.0,110.0,106.0,101.0,95.0,94.0,84.0,81.0,74.0,91.0,96.0,92.0,92.0,92.0
CZE,37.0,33.0,23.0,15.0,13.0,19.0,16.0,16.0,15.0,17.0,15.0,13.0,15.0,,,16.0,17.0,20.0,21.0,24.0
DEU,684.0,660.0,648.0,656.0,761.0,742.0,704.0,690.0,670.0,665.0,639.0,595.0,555.0,531.0,450.0,465.0,470.0,438.0,443.0,429.0
DNK,188.0,178.0,,,,,,,,,,,,,,,,,,
EGY,977.0,795.0,744.0,595.0,435.0,373.0,312.0,227.0,231.0,234.0,235.0,246.0,250.0,251.0,252.0,250.0,246.0,240.0,241.0,239.0
ESP,3191.0,,,3339.0,3498.0,3538.0,3435.0,3310.0,3241.0,3167.0,3213.0,3419.0,3623.0,3480.0,3110.0,2980.0,2870.0,2711.0,2558.0,1472.0
EST,14.0,,,,,,,,,,,,,,,,,,,
FIN,142.0,134.0,,,,,,,,,,,,,,,,,,
FRA,817.0,787.0,749.0,730.0,707.0,673.0,652.0,617.0,586.0,562.0,500.0,495.0,490.0,485.0,465.0,457.0,,,,
GBR,2311.0,2486.0,2757.0,2913.0,2588.0,2415.0,2179.0,2105.0,1987.0,1879.0,1857.0,1858.0,,,,,,,1646.0,
GHA,25.0,28.0,27.0,29.0,29.0,31.0,31.0,31.0,29.0,29.0,29.0,,,,,,33.0,31.0,30.0,30.0
GRC,339.0,319.0,302.0,288.0,289.0,289.0,285.0,277.0,269.0,262.0,248.0,240.0,236.0,213.0,196.0,183.0,176.0,171.0,155.0,154.0
HKG,1027.0,1086.0,1126.0,1165.0,1232.0,1251.0,1308.0,1396.0,1472.0,1459.0,1553.0,1661.0,1770.0,1872.0,1987.0,2161.0,2272.0,2353.0,2388.0,2414.0
HRV,157.0,166.0,177.0,182.0,359.0,356.0,271.0,240.0,233.0,211.0,192.0,193.0,186.0,160.0,155.0,127.0,119.0,104.0,98.0,91.0
HUN,50.0,47.0,44.0,41.0,39.0,40.0,42.0,48.0,52.0,51.0,50.0,48.0,45.0,43.0,41.0,43.0,44.0,45.0,50.0,62.0
IDN,333.0,331.0,336.0,344.0,383.0,396.0,398.0,420.0,440.0,459.0,483.0,506.0,521.0,537.0,566.0,619.0,668.0,713.0,766.0,825.0
IND,5644.0,4725.0,4763.0,4796.0,4887.0,4921.0,4955.0,5034.0,5112.0,5191.0,5294.0,5541.0,5835.0,5820.0,5615.0,6988.0,1955.0,1962.0,2053.0,2168.0
IRL,55.0,53.0,53.0,57.0,60.0,58.0,55.0,50.0,48.0,42.0,41.0,43.0,43.0,40.0,41.0,43.0,,,,
IRN,345.0,404.0,408.0,320.0,329.0,356.0,364.0,369.0,348.0,322.0,314.0,315.0,318.0,325.0,326.0,437.0,452.0,511.0,534.0,546.0
ISL,48.0,34.0,,,,,,,,,,,,,,,,,,
ISR,573.0,573.0,579.0,601.0,643.0,630.0,609.0,596.0,576.0,532.0,491.0,458.0,440.0,427.0,431.0,420.0,414.0,426.0,512.0,518.0
ITA,271.0,269.0,275.0,284.0,301.0,294.0,291.0,290.0,311.0,303.0,285.0,290.0,,,,,,,,
JAM,,,,,,,,48.0,50.0,50.0,53.0,59.0,59.0,64.0,71.0,76.0,87.0,89.0,90.0,95.0
JOR,161.0,192.0,201.0,227.0,245.0,262.0,272.0,277.0,247.0,243.0,239.0,236.0,228.0,224.0,194.0,195.0,191.0,179.0,172.0,170.0
JPN,2174.0,2276.0,2323.0,2391.0,2389.0,2374.0,2320.0,2281.0,2280.0,2294.0,3408.0,3458.0,3504.0,3535.0,3598.0,3652.0,3704.0,3754.0,3818.0,3865.0
KAZ,68.0,75.0,62.0,67.0,66.0,72.0,70.0,61.0,63.0,74.0,72.0,68.0,78.0,85.0,90.0,97.0,94.0,103.0,98.0,92.0
KEN,47.0,48.0,48.0,52.0,55.0,55.0,55.0,55.0,58.0,60.0,61.0,65.0,64.0,65.0,64.0,,59.0,60.0,59.0,59.0
KOR,1558.0,1570.0,1616.0,1689.0,1755.0,1789.0,1778.0,1781.0,1799.0,1767.0,1798.0,1849.0,1948.0,2039.0,2114.0,2186.0,2262.0,2318.0,2383.0,2446.0
KWT,98.0,108.0,147.0,164.0,,,,,215.0,199.0,196.0,,,,,,164.0,163.0,159.0,148.0
LBN,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
LKA,244.0,242.0,239.0,237.0,235.0,235.0,231.0,241.0,272.0,287.0,289.0,294.0,294.0,295.0,296.0,297.0,289.0,283.0,296.0,290.0
LTU,45.0,,,,,,,,,,,,,,,,,,,
LUX,44.0,42.0,39.0,36.0,34.0,33.0,30.0,29.0,27.0,25.0,24.0,25.0,27.0,28.0,28.0,27.0,28.0,29.0,27.0,28.0
LVA,56.0,,,,,,,,,,,,,,,,,,,
MAR,52.0,53.0,54.0,63.0,73.0,77.0,76.0,73.0,75.0,76.0,75.0,74.0,74.0,74.0,73.0,75.0,74.0,75.0,75.0,75.0
MEX,158.0,151.0,150.0,132.0,125.0,125.0,125.0,130.0,128.0,131.0,138.0,141.0,136.0,137.0,141.0,140.0,139.0,140.0,138.0,133.0
MLT,14.0,13.0,14.0,15.0,16.0,19.0,20.0,21.0,21.0,22.0,23.0,24.0,23.0,23.0,23.0,25.0,27.0,27.0,30.0,33.0
MNE,,,,,331.0,420.0,,361.0,146.0,112.0,,,,,,,,,,
MUS,28.0,29.0,30.0,62.0,67.0,65.0,64.0,62.0,63.0,60.0,63.0,66.0,71.0,75.0,74.0,99.0,95.0,93.0,91.0,89.0
MYS,897.0,955.0,1015.0,1021.0,983.0,972.0,952.0,948.0,932.0,911.0,900.0,895.0,892.0,893.0,894.0,902.0,919.0,927.0,940.0,963.0
NAM,11.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,6.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,11.0,13.0,14.0,14.0
NGA,,206.0,215.0,201.0,211.0,212.0,214.0,215.0,196.0,189.0,188.0,188.0,183.0,169.0,166.0,164.0,180.0,177.0,174.0,173.0
NLD,268.0,256.0,237.0,224.0,221.0,211.0,164.0,150.0,144.0,135.0,99.0,98.0,100.0,103.0,102.0,103.0,,,,
NOR,160.0,166.0,191.0,195.0,208.0,209.0,190.0,195.0,194.0,184.0,173.0,173.0,171.0,171.0,180.0,,,,,
NZL,166.0,158.0,153.0,151.0,152.0,147.0,143.0,137.0,144.0,141.0,143.0,154.0,171.0,173.0,164.0,131.0,123.0,122.0,127.0,123.0
OMN,,225.0,235.0,215.0,120.0,122.0,120.0,114.0,114.0,115.0,116.0,117.0,116.0,113.0,112.0,110.0,111.0,111.0,110.0,110.0
PAK,,639.0,639.0,628.0,630.0,629.0,629.0,625.0,621.0,555.0,550.0,557.0,,,,,,454.0,455.0,494.0
PAN,28.0,26.0,27.0,26.0,28.0,21.0,32.0,34.0,37.0,20.0,20.0,29.0,30.0,30.0,30.0,30.0,32.0,35.0,36.0,33.0
PER,195.0,192.0,193.0,189.0,188.0,201.0,195.0,199.0,202.0,214.0,212.0,211.0,212.0,217.0,218.0,209.0,196.0,199.0,189.0,186.0
PHL,234.0,233.0,235.0,238.0,242.0,244.0,246.0,251.0,251.0,252.0,254.0,260.0,262.0,262.0,264.0,264.0,265.0,268.0,273.0,283.0
PNG,9.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,12.0,8.0,11.0,6.0,6.0,6.0,,,,,,
POL,188.0,211.0,234.0,253.0,352.0,432.0,470.0,570.0,757.0,844.0,869.0,872.0,872.0,861.0,861.0,823.0,798.0,782.0,787.0,773.0
PRT,57.0,55.0,51.0,51.0,52.0,55.0,54.0,52.0,51.0,49.0,46.0,47.0,47.0,45.0,43.0,40.0,,,,
