country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,979344507.8,2023034713.1,2143951791.1,2480214113.7,2435844906.0,2485331046.1,2580623924.1,2587774666.5,2529865267.8,2596917266.2,2596050086.4,2751986638.9,2678760424.2,2661685956.5,3040072312.4,3555784339.6,3393247241.7,3428116975.5
AGO,9114598189.4,9801188917.7,12238371900.2,9905180985.8,11941803690.9,15596027678.7,20277281252.9,26795572704.5,34679553283.4,36165323895.3,43350110779.1,45924334305.5,48771532654.3,57434097528.2,58745881698.6,61791490176.7,62292159789.9,65405244103.7,66019700768.5,60445747533.3,57031749205.5
ALB,1550382967.9,1603744698.8,2126166749.1,2517100832.6,2966604307.7,4256899002.8,4605163641.8,5436572731.8,6484194296.1,7384475899.5,8647046116.3,8512452310.0,8446920542.7,8516067178.0,9801181001.7,9650813200.5,9274269395.1,10477224919.8,11054752381.6,10420193315.8,11363954732.5
ARG,163442688409.3,167999635827.3,130788488210.2,118921233033.8,120818039247.5,129752184881.3,133695121247.7,126642436908.2,142884643038.3,139877658066.6,150225027402.1,156380868987.6,187972586465.6,191717702190.7,236683642186.1,296726558406.2,299354360388.0,275474929878.8,266759890414.0,266900361822.0,266167259703.1
ARM,1996130970.2,2107914571.2,1969824792.5,2138883502.7,3081934925.4,3612490093.0,4934959249.6,6307170668.6,7410792665.3,7640566516.3,8681090391.3,8555656187.0,8831021220.8,9855623087.1,10228295738.5,10725730268.9,11884488146.3,13061785395.5,14039607363.2,15931152887.6,15838832193.4
AZE,1959261793.7,2192577447.2,2270055653.1,2820389403.5,3924409213.9,4522619511.2,4579733732.4,7285505104.2,7722133655.1,10856678607.3,10596759022.3,12117384320.8,13337861419.9,14608834693.7,15439551135.3,16583157327.6,16539074382.0,16478249028.4,15647994867.0,15277053817.9,14532679535.5
BDI,1348337839.1,1357933155.3,1287893069.1,1371901889.5,1409730477.1,1390288828.7,607188101.8,620881162.0,605057004.8,663926347.2,680219691.9,691128126.4,626941607.8,603715776.7,608422362.7,593765019.0,628698017.3,665065566.7,975977735.5,955015431.9,1042821518.3
BEN,1706632655.7,1994818354.6,1876387170.5,1254967318.4,1498259890.4,1702121197.5,2015238572.4,2284118354.5,2135217779.1,2620059365.2,3107685045.4,3847583868.7,3555460281.2,4222872533.2,4821092709.4,6901298963.8,6948620010.2,8419708040.3,10080172314.8,10736679249.4,12482753038.6
BFA,1757847852.1,1944506311.9,2011339006.1,1143923817.7,1969571660.4,2674882379.0,3723010559.1,4807758194.5,5977740713.9,7439424331.8,8946024649.5,10302548966.3,12601802193.7,10251883007.9,12771161142.4,10623968206.9,9159426696.4,9761067268.3,10295656043.8,9851008083.5,10397389534.4
BGD,18440377575.4,19714073691.8,18503086016.3,20160932717.1,21523544177.4,23346917708.3,25377795050.4,26571755072.0,27046084648.2,29155976742.1,32454687016.8,35271839354.7,38704937144.2,41569252897.7,51068283464.6,57125459320.6,62468325028.8,73550857817.1,91477590071.6,97020160351.0,101447458740.3
