country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,40171993.2,98770365.8,131081597.8,352752616.2,355229891.1,372555169.2,387633123.4,375643168.3,334839124.6,300161714.8,276984771.4,284853905.2,274596496.6,276923268.4,628740557.2,1185327218.0,1122111569.9,1127013175.2
AGO,405682628.0,423985126.3,390203038.9,410714177.0,431421881.2,420506996.4,787056610.5,1302262652.3,1605921015.9,1739652880.5,1478597285.6,914027909.7,532051255.4,395881505.2,388801462.9,1374114587.4,1861295679.9,2992458754.3,5872361240.8,5583902379.9,5449429790.4
ALB,159415248.0,169099897.6,158243429.0,162459042.7,163478853.7,152026589.8,144309407.5,129370620.5,117241292.8,107036111.5,96755468.2,150856823.2,243583720.9,387084198.2,488777110.1,470321203.4,447707759.2,627019436.4,733945608.9,632366386.6,524728311.9
ARG,15995776074.0,14584967621.2,9967870477.7,478955828.0,503104192.5,490375759.9,3166796444.9,3110922139.6,3101306749.4,3104639592.3,3110859858.5,2926644103.9,2799231196.7,2715603927.6,2876808116.4,30922512047.7,46924457621.2,48873710059.5,48055342739.5,52289985533.7,47612397026.8
ARM,345387958.3,354276770.7,302158624.8,296042841.0,296948979.4,270293755.8,724646923.3,876270384.8,962546214.6,911323809.1,720310985.9,569570168.5,536256947.7,527768516.8,529508773.4,450596997.3,374965602.2,645508162.7,734925324.6,757666658.2,669625942.5
AZE,487459411.6,446885181.2,383127572.2,365276173.0,345670553.7,315789574.8,302558244.1,282350979.1,264679350.5,251858474.3,242453187.9,224366292.7,212814959.2,206457094.3,218712839.0,213592206.0,212368821.7,221190669.9,740389339.0,704020345.9,709747229.5
BDI,48958253.6,62271042.0,77748000.2,103347766.8,119857221.7,138003571.2,206685011.5,223366699.6,240746434.9,248682069.7,254214571.1,238348709.9,217599887.0,193649645.6,188076863.4,166351188.8,149136356.3,132373634.4,399936738.4,376431821.6,435441543.4
BEN,87100131.5,79900811.5,66245235.2,16802643.6,19040432.3,36934134.3,131587397.8,145620815.4,177478945.3,209606869.8,225417577.0,220267623.3,202341607.5,186958906.4,226384650.1,244566525.1,266700038.9,562509811.8,699330854.2,944060643.8,1141974132.6
BFA,138635057.1,129295847.6,116984320.2,49087067.6,52352102.3,68799240.1,200602284.9,217415936.0,232851989.0,301227736.2,303917956.6,282947275.1,282957869.6,286054977.7,284059238.3,268945710.4,309646453.0,466379093.0,586009940.0,534010377.9,632346311.8
BGD,143574421.4,303801369.2,375756512.3,547377444.4,574975542.8,758159400.8,1474663255.1,1402905708.8,1270812046.2,1212874143.2,1496418711.9,1469998145.5,1612750661.3,1546472204.6,1625254742.0,1536342079.1,1413763539.6,2108913101.4,3301006447.9,2980685464.4,3932112861.3
BIH,164351628.4,140554008.4,91232093.5,51121395.5,34735873.5,31548198.3,538526947.6,768607756.0,766232105.6,887905090.6,848017825.5,892123426.6,799975334.0,770392168.5,591860218.3,466290689.4,397854131.2,796340277.8,1114810082.1,1038951135.4,930090965.2
BLR,573834923.4,581579849.0,526891208.2,554588904.6,582550596.0,567812185.7,3449281044.1,4062846436.5,4050288792.1,3587944982.8,1931908288.4,613402315.8,510841263.2,495579837.2,524998540.3,512706967.2,509770354.2,530946328.4,1430148370.9,1359897418.6,1370959562.1
BLZ,26590326.1,27789957.0,25575721.8,26920117.2,28277396.5,27561984.1,35420787.6,34795830.5,34688281.9,32017507.0,28462657.3,25924917.1,24796263.0,24055472.5,25483458.0,24886824.3,24744281.0,25772163.9,60861338.0,57871741.3,58342501.4
BOL,318333409.2,348459724.7,281990683.2,54704497.2,42197415.8,41129829.8,257306771.9,252766904.2,251985639.9,252256438.2,252761843.7,237793817.7,227441345.5,220646516.0,233744575.8,228272011.0,226964545.7,582201162.3,551798268.1,524693140.7,528961279.4
BRA,28850328959.5,25586391068.6,512636270.9,539583148.0,566788267.5,552448640.9,4526043027.6,4446186455.1,4432443964.7,4437207324.3,4446097441.9,4182813115.7,4000712265.5,3881190647.8,4111586613.7,4015323741.5,3992325318.0,4158167402.4,18853002058.8,17926915383.6,18072742640.9
BTN,8900160.8,9301694.4,8560558.4,9010546.6,9464847.3,9225388.6,9389619.7,9223951.2,9195441.3,9205323.3,9223766.5,8676893.3,8299140.4,8051202.9,8529139.9,8329450.7,8281742.4,8625767.8,35748425.8,33992411.5,34268924.2
BWA,6477343.2,6769570.6,6230187.9,6557679.6,6888309.8,6714036.9,90035722.6,88447150.8,88173774.0,88268530.6,88445380.1,83207770.2,79585278.6,77207661.6,81790877.3,79875941.4,79418438.9,82717498.5,344914505.8,327971807.4,330639708.1
CAF,50233215.9,58590408.3,49211195.4,56111111.2,64109162.3,77364681.6,162063184.7,172555835.3,172022491.4,182908929.8,180985416.2,177256948.5,174912456.5,184643967.2,235403692.2,279084580.9,296484719.1,355383363.5,518257001.8,482794186.3,504139050.6
CHN,351877696.0,367752768.0,338451136.0,356241920.0,374203200.0,364735936.0,10957633395.1,10764299164.7,10731028342.6,10742560523.9,10764083662.0,10126666125.8,9685796677.3,9396432681.2,9954225477.5,9721171324.7,9665491725.9,10066998408.5,50673914230.1,48184738416.0,48576699224.5
CIV,481229898.6,370136638.4,252467682.1,206970838.8,233244900.0,246606468.7,839175295.4,861428341.0,1090425757.0,1265163491.4,1417940614.6,1492154720.8,1508308147.7,1494849865.1,1737919425.3,1814028914.6,1914817944.1,3047380511.8,3647029432.0,3303123623.4,4002292913.2
CMR,383479225.6,371406379.3,306983756.0,44774855.4,55407673.6,62169301.9,452571505.1,444586426.5,441991737.5,440023024.6,437231729.8,406346345.6,357776235.0,318199294.5,602413053.0,714177033.9,760370154.8,1268973016.6,1777204255.4,1873561856.9,2055437786.8
COD,831661745.7,952113158.8,914412643.5,962479014.4,944635524.0,787245859.4,1600700624.2,1109863980.1,1258403794.4,1259756147.7,1262280118.2,1187531873.7,1097782692.5,989239968.6,953621644.6,839163299.8,1129700742.7,1510562208.8,3317275326.7,3559700986.0,3997330077.5
COG,42546293.1,44144309.3,40331140.8,50095015.6,52620744.8,53151637.1,167577675.4,149648797.7,154753144.9,152389681.4,147853242.7,134017362.5,122821458.3,115577578.7,120028881.4,114865475.6,157171955.8,162308174.3,374192609.3,528289080.6,706466847.4
COL,169803277.9,177464005.7,163324112.2,171909292.4,180576747.7,176008193.2,1157462066.7,1137040044.0,1133525625.1,1134743777.0,1137017280.3,1069686072.9,1023116757.5,992551057.7,1051471059.5,1026853403.6,1020971932.8,6464390082.4,9024420113.3,8581127570.7,8650931118.7
COM,1265154.9,1112576.4,1025358.3,1079256.6,1135251.7,6244870.7,23446658.6,25430797.2,27744145.2,27999887.8,32853084.0,30907357.6,29202886.2,26566684.3,26051687.5,22316641.5,30741595.5,41921894.3,62872554.4,57346057.9,60773606.7
CPV,8232273.8,10513877.7,13235040.2,13930744.0,14438744.3,13315634.2,25411751.7,22685687.6,19962623.0,17517319.5,15648977.2,13644845.8,12705763.7,12326177.9,13057886.8,12752167.9,12679127.8,47340184.2,77795023.9,88958920.8,110827273.5
CRI,35256124.2,36846715.3,33910860.0,35693394.4,37493011.5,36544446.0,245397926.2,241068175.6,240323070.3,240581335.3,241063349.4,226788694.7,216915336.0,210434972.0,222926852.2,217707558.3,216460602.6,757487595.7,1520417974.7,1994652669.7,2225619180.6
DJI,22185532.1,22996972.1,20385678.1,19815956.8,17943738.8,19242593.2,39542067.5,35485589.9,39663918.5,57508686.6,57623907.6,52878485.8,49096434.4,45796005.7,43954479.0,36733586.9,31639049.4,72343244.8,109255094.2,103056548.9,103894866.7
DMA,8801994.7,10155753.5,12398059.6,14885135.4,13085102.1,15911605.2,31908271.5,30239547.0,27318113.9,26559031.5,23849485.1,20938130.2,26503483.1,24206037.6,24416781.4,22362537.6,20760360.5,35838200.2,47957082.9,43691600.9,42396758.6
DOM,177045895.7,253024154.2,445624947.0,506927137.2,597503586.8,540901236.8,1093881075.3,1461025210.5,1622535035.5,1513262370.7,1316944438.4,802885729.9,403128425.4,280731424.0,297396255.4,290433440.2,288769935.2,988349668.4,1600845634.6,1522209786.3,1374464003.0
DZA,1178931448.8,842694286.2,183861292.8,193526016.0,203283360.0,198140332.8,1878382595.6,1845240799.3,1839537438.9,1841514311.8,1845203857.4,1735936449.6,1660361592.5,1610758149.3,1706376276.2,1666425596.1,1656880871.0,1725708072.0,4306075776.8,4094555118.9,4127862452.0
ECU,438756418.0,341188532.0,125314105.8,72254827.6,52036052.3,50719550.8,452056205.4,444080218.7,442707633.8,443183393.0,444071328.1,417774519.6,399586498.0,739366335.8,783256738.6,764918673.5,2114249049.6,6780523249.5,8182616204.8,9387002713.6,9233103013.4
EGY,201978986.3,211091331.2,194272095.5,204484065.6,214793901.0,209359659.5,1408494794.4,1383643601.8,1379366968.6,1380849315.8,1383615901.1,1301681772.9,1245012409.2,3856218340.9,7400858183.3,9220255488.4,13129959331.1,20362115178.3,23680972381.8,21752962125.5,19319376392.0
ERI,22524544.3,23540746.1,21665077.6,22803908.8,23953653.9,23347631.4,23763267.6,23343993.4,23271840.7,23296849.9,23343526.1,21960986.6,21004904.1,20377380.8,21587026.7,21081618.6,20960870.2,21831589.4,42544853.5,40454988.9,40784071.7
ETH,173851060.2,200541734.3,176133229.9,16790608.4,17637170.3,17190953.5,368235550.7,485279684.9,483779758.7,484299656.3,485269969.5,451692494.0,396826122.7,334644504.9,301195845.5,242077008.1,318290495.6,939747809.0,1316581128.2,1251908762.6,1161232457.6
FJI,10339379.3,10805843.6,9944860.7,10467615.2,10995379.5,10717198.7,105183293.6,103327461.2,103008091.6,103118790.1,103325392.6,97206124.4,92974207.4,90196595.1,95550862.2,93313769.5,92779299.7,96633372.5,225902843.0,214806169.3,216553519.2
GAB,79514254.7,121838293.5,88230266.4,78117474.4,46957128.8,21705484.9,230010562.8,225952303.8,225253919.3,225495990.2,225947780.2,212567224.6,203313004.7,197239011.4,412399367.2,601432515.3,721529349.8,1062599828.6,1427381374.0,1480089911.8,1373901843.5
GEO,502588323.4,489543522.3,438070381.7,452922771.2,479021797.3,681907393.3,1012036998.5,1272156240.8,1209711988.0,965258523.7,580478645.5,420420037.6,329747062.6,306721390.0,397275061.6,415789656.7,447978793.0,792088605.3,1157629256.0,1084129288.8,1062760619.3
GHA,546685391.1,566277142.3,506993512.9,253390605.2,266166248.3,259432296.9,826123368.5,937059862.6,1100924579.6,1252802691.8,1222834148.2,1119866883.8,1241945787.5,1365775195.4,1465019702.9,1507700117.5,1575603914.5,2611634488.7,3411399411.9,3123720560.0,3630001073.4
GIN,162418007.0,149273768.2,112503558.8,98544217.6,92498353.5,97828708.8,219612684.9,205396582.4,198841731.5,214693578.1,243398408.6,320976958.3,339865667.3,379076013.9,426088145.3,463991710.9,481053215.3,668071408.5,885577605.4,884227238.9,845336356.6
GMB,42529947.4,32712602.6,28142326.3,25487544.8,14413460.3,20209882.7,75230387.7,76975398.1,80319263.7,94437658.0,95481567.0,86768933.0,88438711.2,80048234.6,93943014.7,84051097.7,77241871.4,103378149.7,227659333.3,247789801.2,251088094.1
