country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,,,,,,,,,,19000000.0,15000000.0,16000000.0,21543000.0,21293000.0,17748000.0,17748000.0,17748000.0,17748000.0
AGO,,,,,,,3158155000.0,5263592000.0,8772654000.0,5782766000.0,5375902000.0,4848215000.0,9337097000.0,11604367000.0,12740755000.0,10507168000.0,10250625000.0,9678662000.0,8862496000.0,2512602000.0,1436085000.0
ALB,9762000.0,34019000.0,440731000.0,393592000.0,507859000.0,661492000.0,906257000.0,1353899000.0,1910112000.0,2259682000.0,3049929000.0,2821407000.0,2565903000.0,2498862000.0,2828237000.0,3931727000.0,3816492000.0,3990178000.0,3791631000.0,3645505000.0,4032196000.0
ARG,28386742000.0,23810501000.0,26360824000.0,26810522000.0,30028062000.0,38898788000.0,35445519000.0,37934276170.0,42499350630.0,40943426000.0,40536224000.0,40703142000.0,42130407000.0,31303350000.0,39295205000.0,43531058000.0,45424853000.0,46042357000.0,39527173000.0,37017961000.0,37215527000.0
ARM,367650000.0,381430000.0,445510000.0,496140000.0,998650000.0,1372510000.0,1302493000.0,2215595000.0,2804624000.0,2927712000.0,3495282000.0,3697562000.0,3633134000.0,3784493000.0,3582608000.0,3770226000.0,4262488000.0,5197031000.0,5534502000.0,5611725000.0,5821264000.0
AZE,76412763.0,230222142.0,187239624.6,103833597.0,143007154.5,326849095.2,313823185.2,2158024150.2,2616442359.2,2752361527.8,2142357531.3,1448486084.8,2846856667.7,2363097647.0,1937439107.3,1471373665.0,1034859562.2,1138210657.2,1284132104.2,1155757525.4,977880210.0
BEN,99081000.0,83172000.0,101984000.0,175638000.0,275557000.0,301586000.0,324877000.0,368286000.0,98979000.0,187197000.0,239050000.0,325871000.0,211742000.0,899520000.0,1235922000.0,1673597000.0,1757068000.0,2017737000.0,2096773000.0,2286953000.0,2286953000.0
BFA,,,,,489000000.0,1075000000.0,1778000000.0,2622000000.0,3636000000.0,4851000000.0,6310000000.0,7701000000.0,9932000000.0,7392000000.0,9611000000.0,7311000000.0,5475359000.0,5271094000.0,5382000000.0,4932164000.0,4864904000.0
BGD,,,,,145400000.0,421660000.0,785160000.0,1075960000.0,1454000000.0,1789150000.0,2190812000.0,3108674000.0,3357630000.0,3092904000.0,3395368000.0,5237873000.0,4900650000.0,5625101000.0,7614890000.0,7892419000.0,9153010000.0
BIH,1896478000.0,2434731000.0,3532447000.0,4682290000.0,7180021000.0,8906832000.0,8440337000.0,8638340000.0,6376561000.0,6777203000.0,7121446000.0,6677915000.0,5782015000.0,5817655000.0,7314177000.0,4599408000.0,4681124000.0,5299084000.0,4557961000.0,4588655000.0,5062782000.0
BLR,520800000.0,339400000.0,484679000.0,783564000.0,1125134000.0,1588516000.0,3311299000.0,4471220000.0,5821147000.0,5973415000.0,8957280000.0,10937192000.0,10435594000.0,8256632000.0,8346419000.0,8741210000.0,10514401000.0,10909850253.8,9879627454.0,9146769836.1,7452357631.6
BLZ,0.0,0.0,0.0,0.0,0.0,219390000.0,209380000.0,243253000.0,217983000.0,173467000.0,161758000.0,153643000.0,94453000.0,85397000.0,77704000.0,60701000.0,63026000.0,83839000.0,103075000.0,98117000.0,92975000.0
BOL,1030866000.0,1085096000.0,1914057000.0,2387724000.0,2621435000.0,2968561000.0,2646605000.0,2357793000.0,2173000000.0,1845819000.0,2356891000.0,2612416000.0,2906279000.0,3288512000.0,3335637000.0,2412000000.0,2437000000.0,2383000000.0,1941613000.0,1402956000.0,1324563000.0
BRA,82399047000.0,72384316000.0,69504729000.0,88888766000.0,118761665000.0,145842194000.0,149825820000.0,184940323200.0,262761260340.0,286829874000.0,309255259000.0,319628585000.0,314167771000.0,307491712000.0,305319744000.0,296690101000.0,291736960000.0,281855876000.0,279739115000.0,303212006000.0,317797409000.0
BTN,,,,,,,,,9882000.0,7706000.0,5092000.0,1860000.0,57744000.0,60319000.0,55635000.0,55104000.0,51454000.0,41356000.0,43858000.0,43858000.0,43858000.0
BWA,,,,,,,,,,79689000.0,79689000.0,79689000.0,0.0,,,0.0,12134841.0,18516136.2,14193122.6,4347683.2,0.0
CHN,35030000000.0,42158000000.0,50492000000.0,63666000000.0,82284000000.0,101774197000.0,102157209000.0,117375367000.0,157485067000.0,206804046000.0,240132128000.0,349747765000.0,355777187000.0,442926207289.8,473943076076.6,473253603721.2,581120148422.9,688251649058.0,752287400254.3,670309092244.1,616235068132.6
CIV,1143714000.0,1009714000.0,900395000.0,782002000.0,590776000.0,737500000.0,848000000.0,1017600000.0,1332000000.0,2490234000.0,2066894000.0,1693359000.0,1369629000.0,1324257368.5,1238067509.3,1011319701.7,1278811004.4,990722669.1,748874699.0,523587840.7,393124666.4
CMR,614886000.0,632423000.0,592226000.0,489195000.0,636025000.0,635544000.0,615324000.0,577210000.0,461174000.0,367940000.0,224888000.0,565203000.0,917636000.0,1012332000.0,925490000.0,702622000.0,1402950000.0,1695348000.0,570728000.0,504418000.0,360414000.0
COG,,,,,,,,,,,,,,,,,,6135500.0,8890910.0,9935379.0,10563800.0
COL,10657272000.0,9018926000.0,9200909000.0,8752932000.0,11324000000.0,12024283000.0,12960835000.0,18325225000.0,22840554000.0,21596659000.0,27017575524.0,29696022000.0,31305676000.0,35204980000.0,37498111777.8,42413630000.0,47158690000.0,49810046000.0,53293894433.3,58807756000.0,65483384000.0
CRI,135660000.0,489335000.0,1195459000.0,1292895000.0,1493566000.0,1589574000.0,2063203000.0,1660375000.0,3252524000.0,6188923000.0,7016068000.0,8329151000.0,10621116000.0,11743692000.0,11817127000.0,12841398000.0,13437381000.0,13993528000.0,15197738000.0,16139388000.0,16295051000.0
DJI,,,,,,,,,,,,,,,,,,221342000.0,20500000.0,30014000.0,10000000.0
DMA,,,,,,,,,,,11672000.0,13193000.0,6256000.0,5812000.0,21198000.0,21491000.0,17552000.0,23256000.0,20695000.0,17790000.0,14596000.0
