country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,920022562.7,1902610499.2,1994506003.0,2106108788.4,1975547213.6,2032464249.9,2079786013.4,2106231492.2,2020951888.7,1989954793.3,1949505964.6,1981566648.7,1948884923.6,1943607688.1,1958449755.2,1907966305.2,1859403114.8,1856685293.3
AGO,7634470053.7,8180879840.0,9532119023.4,7361981528.7,9240475948.2,12784883279.6,13739506332.2,15662044702.2,18239311146.9,19946751680.4,25154136364.4,32502094188.5,32851855559.2,41029938957.4,41908188562.3,47078476409.3,47596931594.6,47383578074.3,46645519507.1,48156652278.8,45215431910.1
ALB,1231771684.1,1399398801.2,1372154320.1,1574574789.9,1784599695.4,2293726087.3,2874058234.3,3210131111.3,3365051003.3,3547863788.0,3755990648.1,3665061486.8,3844116821.8,3760644979.8,4335148891.6,4334089997.1,4159726635.9,4896318483.4,5302769772.7,4859429929.2,5553453420.6
ARG,96673899035.5,103055442075.4,59419258383.0,63381279800.3,71086100933.0,70923520108.4,75796982671.2,69184226965.5,71538394036.7,70577681118.3,69886340560.7,78859942930.0,83608702758.1,116682062146.7,139004914700.9,154502744668.4,139989023011.1,137952006208.7,135203619797.3,127935776328.3,126389609250.0
ARM,879093011.9,962207800.5,924306167.7,1039840661.7,1285698946.0,1448904337.2,2378651326.3,2559562283.8,2739931450.7,2959497707.2,3315622405.4,3380303018.5,3997978273.1,4471742570.3,5227511965.1,5371183271.6,5652421544.1,5616375232.8,6246209038.6,6319744229.4,6241069250.9
AZE,1292389619.1,1377470124.0,1513688456.3,1831279633.5,2303731505.7,2743980841.2,3368352303.1,3846129974.9,4750011945.4,6221343605.2,6607063303.1,8423794943.3,8730672793.0,10643296952.4,12608687189.0,14328469456.6,14674990998.1,14666682701.3,13623473423.8,12910970946.6,12232760096.0
BDI,1251824049.8,1273100721.0,1176083859.0,1230938177.1,1276072170.3,1234296833.5,393503090.3,381775130.4,363888037.6,407979277.5,394740120.8,404514416.5,409076720.8,409801131.1,420080499.3,427148830.2,479295278.2,532426932.3,575775997.1,578318610.3,607085974.9
BEN,1361711524.2,1512719543.1,1450671912.8,602480824.0,766724915.2,871899139.9,982643252.0,1112249265.4,1192152175.0,1300014620.7,1594875397.3,1761635735.5,1902001319.6,2017730727.3,2510628402.7,2898679582.8,3603242971.3,4414104228.5,5785654460.6,5990009605.6,7171518906.0
BFA,1605073795.0,1791114464.3,1872133149.0,1005773750.1,1273203755.6,1522553011.3,1744408274.2,1968342258.5,2108888724.9,2287196595.6,2332106692.9,2318601691.2,2386844324.1,2573828030.2,2876101904.1,3044022496.5,3374421243.4,4023594175.3,4327646103.8,4384833705.6,4900139222.6
BGD,17679803154.0,18698272322.6,17438901410.0,18435555272.7,19433498590.1,20273562501.9,21184650224.6,21145542685.2,22217936348.9,24196786408.2,25034676366.2,26542147314.4,27103735482.9,29095257693.1,35282720722.6,41321842241.5,46416580489.2,54830387715.7,62473497623.7,67616985886.6,74131225879.0
BIH,2368784732.5,2757439115.2,2628785413.3,2795846966.7,3046907361.9,3082098054.1,3644494569.4,3800781861.0,3937095409.8,4261679518.9,4849564967.0,4779666578.2,4427037514.2,4429437300.0,4870925463.1,4948636242.0,4900976726.1,5200105789.5,5547668934.9,5125557460.1,5126462732.9
BLR,709994979.8,744358801.3,785547738.5,841892794.9,3457260367.9,5438555605.3,6241990365.6,8014341212.3,10615610548.4,12559064333.2,14622199930.0,15635829771.9,15837014947.9,18141781860.3,20988207617.8,19987666289.8,19511439288.2,20270019163.9,19979290963.3,19208020914.7,17500179875.8
BLZ,954156887.2,936756577.4,990731204.9,1019586984.0,1039945812.0,1021346555.1,1036856715.9,1018915831.7,1014198645.3,984734605.8,1052738470.7,1101355305.1,1153490893.8,1176748499.2,1230933304.1,1259676958.3,1285430805.7,1409784247.8,1277828825.9,1302298198.6,1347047703.5
BOL,4182918936.6,4578512066.8,4589843582.9,3198539466.3,2178149345.9,2421319357.7,2572014064.4,2829604751.5,3433273512.9,4189264509.5,5281733923.8,5744904672.7,6335483734.8,7010094456.4,9150676176.4,9905105772.1,10999855991.6,11877490891.3,12772869255.9,13371906744.4,13660338071.8
BRA,100064364208.9,97455861807.8,94354180319.0,84551656462.0,79869902875.0,79918497337.9,87513195186.8,97485566992.5,94712068704.8,116646485320.1,136526966244.0,174931295064.9,172887433044.3,174682574897.5,181160747497.2,190216062033.1,193800230034.2,194328818495.8,194185840091.0,190557663805.8,190753737192.1
BTN,480325008.4,592015125.5,635565991.7,696102067.0,773773425.9,675850415.6,772159260.6,919405320.9,1043414808.3,1357737704.1,1613834794.5,1927205748.0,2045060882.4,2321213149.5,2640779737.0,2584230634.3,2716292989.2,3185320870.6,3186306538.0,3076881642.9,3190019815.9
BWA,484649106.1,488026722.2,412308772.5,358173807.6,396301237.0,396793202.7,1395265160.6,1358491275.9,1900015194.7,1933487500.7,1812617112.1,1908036781.9,1758813041.1,1665138269.1,1542551318.5,1443230134.7,1333388283.8,1283988643.2,1482380802.1,1558367582.3,1457909838.4
CAF,912858354.1,946211010.0,886615038.8,878713405.2,867203595.7,832099900.3,303055919.3,375833696.5,288005664.1,308841681.5,328382476.9,395919981.2,425649876.5,421594867.7,397942135.0,418122163.7,420754149.7,412191105.0,438633642.0,429856219.1,442796838.2
CHN,83705626282.3,89063456249.2,86759585790.9,89020277941.6,91392949315.9,97096164293.7,100871770852.1,102274809825.7,114632474016.0,138509762348.5,152549448206.9,179054045596.0,146061922841.7,160185552754.2,196289557624.3,259686605796.7,318064268908.1,391681803929.2,475167253836.6,464366145941.9,467995987954.1
CIV,9696151525.6,11090584224.7,9974818021.3,10833186445.6,11657862269.7,10639561413.8,12726239907.4,9413451309.5,9897100599.5,5050959750.9,6370463011.7,6620290862.7,8509794119.1,8368883419.9,10445294296.8,13234372478.8,15748099634.7,20012604979.2,23183910870.9,26274671662.2,29168830424.1
CMR,10049204565.9,9304023793.0,6467062408.8,2391544752.0,2156627427.2,2097496704.1,2166885986.1,2159703262.1,2123352540.4,2922747312.0,4073348414.2,4617061295.4,5730640194.5,6297228832.9,7994339051.8,9154831150.9,10388057960.4,11390962780.6,12379210357.4,11852997038.2,12025447467.6
