country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,19149951.9,21653848.1,18364190.3,21352709.1,105067801.3,80311627.0,113204787.3,105900006.0,174074254.5,287800758.1,354559350.4,469566085.0,433736004.0,419862000.0,435134000.0,444742816.4,393984557.0,426670507.0
AGO,1074445507.7,1196323951.4,2316049837.9,2132485280.1,2269905861.5,2390637402.7,2592563310.2,4567673350.0,6061667120.6,8696153334.4,11341475129.1,7659997207.3,6050528839.7,4403910065.6,3708136673.4,2831731180.0,2583307515.4,5350545275.1,4639324020.6,4192590874.6,4930802505.0
ALB,149434035.8,1227000.0,155038000.0,386475000.0,510666758.6,1149654325.7,680539000.0,743172000.0,1091790000.0,1469894000.0,1744371000.0,1875127000.0,1793317000.0,1869476000.0,2149018000.0,914675000.0,850343000.0,963709000.0,1226406000.0,1282892000.0,1253577000.0
ARG,22386271299.8,26548725130.7,35040535349.5,28250475405.5,19200772122.0,19439501013.0,19285823131.6,16413011633.1,25745591622.2,25251911356.0,36691602982.9,33891139953.7,59434245510.8,41016686116.4,55506714368.8,67770243690.1,67016026755.7,42606856610.6,43973754877.2,49656638960.0,54949726426.3
ARM,404000000.0,410000000.0,297850000.0,306860000.0,500637000.0,520782000.0,529168000.0,655743000.0,903691000.0,842033000.0,1149875000.0,908221000.0,663652000.0,1071619000.0,888667000.0,1133724000.0,1594613000.0,1602871000.0,1523971000.0,3242017000.0,3106873000.0
AZE,103000000.0,138000000.0,186000000.0,520000000.0,1132000000.0,1136000000.0,595000000.0,999000000.0,91000000.0,1631115000.0,1604885000.0,2020737000.0,1547517000.0,1395983000.0,674712000.0,569722000.0,616855000.0,452165000.0,0.0,506305000.0,612292000.0
BDI,47555535.7,22561392.3,34061209.9,37615945.6,13801085.1,17988424.0,7000000.0,15739332.0,422532.3,7265000.0,31265000.0,48265000.0,265000.0,265000.0,265000.0,265000.0,266382.8,265000.0,265000.0,265000.0,294000.0
BEN,158740000.0,319026000.0,257486022.5,460045850.8,436937542.9,491701923.3,576130922.6,657962273.7,666607658.8,923240874.7,1048342071.1,1539809509.9,1239375354.1,1118662899.5,848157656.6,2084455855.9,1321609000.0,1425357000.0,1498414000.0,1515656000.0,1882307000.0
BFA,14139000.0,24096000.0,22221536.9,89063000.0,155015802.5,8530127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,617000000.0,712000000.0,688428094.0,1178000000.0,1369670044.5,1893535805.6,1933321570.7,2947346678.0,2103336253.1,1957166190.7,3732779938.7,4151019894.8,6630821000.0,7834619000.0,10764940000.0,9029402000.0,9737331000.0,10986456000.0,18088196000.0,18530070000.0,14231110000.0
BIH,104000000.0,252000000.0,821000000.0,1161000000.0,1387000000.0,1162000000.0,1457000000.0,1149000000.0,1328000000.0,1132004000.0,1019980000.0,780924000.0,646558000.0,647186000.0,285556000.0,2967146000.0,2809514000.0,2779017000.0,2605154000.0,2632407000.0,2890855000.0
BLR,1974921098.0,2936100000.0,3503058000.0,4382054000.0,7361162000.0,7557961000.0,9076115000.0,11863739000.0,13445500000.0,11635309000.0,14062081000.0,12827405000.0,11474471000.0,10621954000.0,9724596000.0,9525980000.0,10198508000.0,10081548000.0,10364617000.0,10144179000.0,10381047000.0
BLZ,80983129.0,1307858.1,6855342.4,7725024.5,7274490.2,7484268.8,9510727.2,6912209.1,7818819.9,6138014.7,5721899.9,5434078.1,7091994.4,4097730.8,4803547.1,3633664.8,4209000.0,7988799.1,9819079.4,9831000.0,11554000.0
BOL,332020000.0,272400000.0,181750000.0,614800000.0,223000000.0,270030000.0,304400000.0,336340000.0,323740000.0,329760000.0,250400000.0,288900000.0,426000000.0,475000000.0,270000000.0,703000000.0,637330000.0,577437000.0,759333000.0,630779000.0,793075000.0
BRA,24594244000.0,25267023724.2,23993000000.0,20323012406.9,39246096480.1,36644096483.8,39786080218.0,65492336215.0,42140332332.6,32583031548.4,33506511326.0,58176937891.1,52341440000.0,57201751000.0,52408392000.0,66843894000.0,79179372000.0,68983074000.0,78752959000.0,67771502000.0,80491601000.0
BTN,4401000.0,0.0,12475624.1,16000000.0,18000000.0,8000000.0,5000000.0,6000000.0,8000000.0,75000000.0,0.0,3413000.0,0.0,87000.0,3007000.0,4313000.0,27776000.0,1454000.0,2955000.0,5511000.0,924000.0
BWA,23000000.0,21000000.0,42000000.0,0.0,22000000.0,45001540.3,158000000.0,360000000.0,407000000.0,416000000.0,397251000.0,419450000.0,384602000.0,378875000.0,107800000.0,250862781.6,139205000.0,217765000.0,155968000.0,112030000.0,290266000.0
CAF,101152256.0,111931173.3,108952752.9,114277037.7,98545631.6,89244170.2,85500112.0,85925502.8,111155360.8,85454770.0,88515158.3,88688555.7,90316520.7,88661924.1,88771205.6,88394295.3,132264031.7,133406430.8,162942768.6,102368635.4,73940191.4
CHN,88093000000.0,115770000000.0,148267000000.0,173377000000.0,203698000000.0,187188000000.0,240509000071.4,512323000066.2,771361000064.1,792108000065.4,1077031000068.4,1239452085974.1,822244079544.5,801396077737.5,1030633085053.2,1218901082134.2,1205312080771.4,1236232086566.0,1446225081763.8,1265190078358.7,1287403080192.3
CIV,359423139.2,708420477.2,883004228.2,1821849590.4,1903604628.4,1343910715.4,482437130.3,410947839.4,471509783.4,736849249.3,0.0,0.0,0.0,269196000.0,27853000.0,137858000.0,889755955.2,1055965115.4,2188019089.8,1685976732.6,2983634000.0
CMR,360577834.1,547929535.9,333817653.1,493044168.3,237492019.9,40343582.4,2539415.7,8678680.1,68003070.5,157189568.1,442522016.0,176930528.1,298852237.5,262473514.8,527612000.0,433298000.0,377264000.0,368210142.7,650022331.6,878604036.6,857975366.7
COD,466613889.1,463609144.0,374037956.2,506993471.9,616905933.3,653672492.0,618927606.7,435006994.7,223921556.5,258493866.9,441813380.3,182831628.5,164999916.2,214896040.1,183714044.5,208978602.9,381957924.2,361812080.5,455059945.1,587996591.1,602051015.0
COG,1048274978.4,950076190.4,787660655.9,814056432.3,325553760.0,234770872.1,255745616.7,197001348.5,148989012.3,193707341.8,230287768.4,210779908.0,449004052.6,188488464.4,277015661.1,275519826.2,233726841.5,283615887.5,289944311.4,192672220.6,197221814.0
COL,3556000000.0,5119600000.0,5636873000.0,4762523000.0,5160664000.0,5632913000.0,4012706000.0,7912264000.0,10596094000.0,10333992000.0,10890771000.0,12221311000.0,11934868000.0,11280179000.0,13028715000.0,14917509000.0,15635427000.0,13899621000.0,15858454000.0,19364046000.0,19920842000.0
COM,27467966.1,33988537.7,33739109.0,36331315.5,11623335.5,5598493.9,4744529.7,4423143.8,4673920.4,4125469.5,1605516.1,1599581.4,1473066.1,1516180.4,1102036.9,1235495.5,1896221.4,1831756.8,1764255.4,1564579.4,454416.7
CPV,1783819.7,1046652.5,939808.3,721000.0,1287000.0,1441540.3,1459000.0,0.0,0.0,358825000.0,475485000.0,301732000.0,290700000.0,285287000.0,324640000.0,323010000.0,325461313.0,350200000.0,395960000.0,401225000.0,406825000.0
CRI,1632326738.6,1672398562.2,2096807637.5,2355431636.0,3233704000.0,3988645000.0,2243432000.0,2430970000.0,2810150000.0,2903510000.0,2410933000.0,2346747000.0,2604033000.0,2554826000.0,2538418000.0,3369553000.0,2755125000.0,3941600000.0,4683355000.0,6823599000.0,5421533000.0
DJI,11249673.3,47122946.0,87247944.6,105168047.2,140892932.4,146721027.9,120254634.8,121504449.5,88640005.9,112297201.5,97920091.6,77052055.5,4077193.9,53668079.8,278129873.8,239635891.8,375402691.2,253167704.7,670223914.7,627961226.5,478409184.5
DMA,73820383.8,70148553.0,40563788.7,22002830.2,19501740.8,22647620.8,22042000.0,5540000.0,5550000.0,5550000.0,172990887.6,166005378.3,178085000.0,238915644.9,210960000.0,213772000.0,171233000.0,142477000.0,126545000.0,198402000.0,177120000.0
DOM,1031469864.5,915464262.8,887127561.4,1395396676.3,2480000927.0,1939779699.0,1754869567.7,1754280000.0,1800000000.0,1753283000.0,1753040000.0,2486234000.0,3179389000.0,3052654000.0,2001468000.0,2187389000.0,2514956000.0,2171641000.0,2310648000.0,3167754000.0,3964869000.0
DZA,145525401.8,430815871.1,516011000.0,540821000.0,749690000.0,1303740000.0,1492460000.0,1778220000.0,1141626000.0,1205000000.0,1328000000.0,1974930000.0,1823080000.0,1985910000.0,2096310000.0,2319190000.0,2264370000.0,1783540000.0,1596640000.0,1744180000.0,1912840000.0
ECU,1714618324.3,1724090300.5,1520329882.4,1772065475.8,1894456160.8,1653811193.8,1345520212.3,1063920607.1,845042267.1,783012202.2,855906456.8,1010983325.2,1061800746.5,873318275.2,1094464786.7,1077204322.2,932668123.4,1128463227.1,1253089132.6,1923279000.0,1739695000.0
EGY,1864826792.2,1718865860.3,1655573197.0,1719592504.4,2235664160.5,2842474080.5,2561364135.4,3149020000.0,3025611535.3,6657220000.0,2816250000.0,3320830000.0,4424190000.0,11945250000.0,11128440000.0,10341020000.0,11284170000.0,11958730000.0,12842230000.0,30246460000.0,29483018550.2
