country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,343427000.0,399183000.0,437607000.0,465822000.0,405910000.0,412513000.0,422308000.0,425760000.0,394587000.0,369722000.0,351221000.0,364172000.0,347934000.0,338272000.0,344334000.0,328556000.0,303410000.0,297385000.0
AGO,291456000.0,318373000.0,319346000.0,347333000.0,365087000.0,368888000.0,385211000.0,377702000.0,383663000.0,420275000.0,468408000.0,477956000.0,929183000.0,940247000.0,1024896000.0,1042328000.0,1635825000.0,1746403000.0,2481291000.0,3235449000.0,3885277000.0
ALB,583261000.0,676602000.0,655409000.0,728673000.0,808726000.0,834503000.0,873711000.0,875442000.0,909437000.0,933487000.0,937993000.0,1085882000.0,1019530000.0,990929000.0,1300445000.0,1300562000.0,1330309000.0,1417820000.0,1409341000.0,1309852000.0,1400053000.0
ARG,7508015000.0,7446990000.0,6880617000.0,6205632000.0,5674043000.0,5069214000.0,5304855000.0,5349319000.0,5554746000.0,5624989000.0,6121408000.0,6007304000.0,5851771000.0,6047721000.0,6327228000.0,6879292000.0,7127917000.0,7721162000.0,8517436000.0,9205452000.0,9888761000.0
ARM,669442000.0,780160000.0,752350000.0,847103000.0,970047000.0,1030234000.0,1214223000.0,1266529000.0,1338055000.0,1471323000.0,1585908000.0,1609360000.0,1651510000.0,1742337000.0,1809580000.0,1798084000.0,1823548000.0,1829698000.0,1762597000.0,1658539000.0,1716577000.0
AZE,421867000.0,492898000.0,500610000.0,588100000.0,681832000.0,775429000.0,938626000.0,1063252000.0,1274489000.0,1641740000.0,1642229000.0,1920030000.0,2095530000.0,2203138000.0,2665398000.0,2538098000.0,2395350000.0,2098003000.0,1680673000.0,1487327000.0,1333216000.0
BDI,731741000.0,792785000.0,750805000.0,796977000.0,830118000.0,818524000.0,147247000.0,162687000.0,170187000.0,174892000.0,173444000.0,160731000.0,150608000.0,143008000.0,148210000.0,141532000.0,137531000.0,139900000.0,132123000.0,121629000.0,118000000.0
BEN,729466000.0,791436000.0,770800000.0,126088000.0,175648000.0,255435000.0,309173000.0,382606000.0,401777000.0,435370000.0,557308000.0,621713000.0,680457000.0,764505000.0,914161000.0,983851000.0,1081787000.0,1308810000.0,1368984000.0,1554968000.0,1976654000.0
BFA,861418000.0,1027350000.0,1042588000.0,371018000.0,468397000.0,625613000.0,720942000.0,776236000.0,836686000.0,897603000.0,923745000.0,948771000.0,1038398000.0,1171415000.0,1334317000.0,1458450000.0,1672631000.0,2014124000.0,2145910000.0,2187144000.0,2417008000.0
BGD,8069102000.0,8894550000.0,8687879000.0,9297235000.0,10077298000.0,10612974000.0,10746036000.0,10653176000.0,10712228000.0,11159220000.0,11582988000.0,11417309000.0,11533583000.0,11890490000.0,13620791000.0,14501231000.0,15788308000.0,17571890000.0,17831710000.0,18225852000.0,19772007000.0
BIH,1223492000.0,1453961000.0,1402841000.0,1448931000.0,1520944000.0,1520222000.0,1519820000.0,1625695000.0,1650651000.0,1648135000.0,1631269000.0,1564309000.0,1550809000.0,1513613000.0,1571584000.0,1610251000.0,1584381000.0,1670181000.0,1585845000.0,1423077000.0,1318771000.0
BLR,83684000.0,73031000.0,58670000.0,49700000.0,42311000.0,42321000.0,255630000.0,291336000.0,317548000.0,424328000.0,556657000.0,589814000.0,641812000.0,724620000.0,821832000.0,905166000.0,947626000.0,955133000.0,1001535000.0,993141000.0,1004558000.0
BLZ,41717000.0,39981000.0,36410000.0,31558000.0,26541000.0,21600000.0,17028000.0,12528000.0,10428000.0,11280000.0,12326000.0,12692000.0,14130000.0,16718000.0,16497000.0,18799000.0,19262000.0,28045000.0,37614000.0,35912000.0,36418000.0
BOL,1570921000.0,1749868000.0,1672945000.0,233337000.0,259247000.0,281606000.0,316420000.0,355105000.0,395112000.0,442974000.0,498587000.0,498702000.0,734655000.0,770456000.0,829687000.0,847096000.0,927182000.0,1299904000.0,1416330000.0,1444827000.0,1534505000.0
BRA,8588160000.0,8668375000.0,8083177000.0,9694176000.0,9676332000.0,10670772000.0,10065337000.0,13523256000.0,9033932000.0,11438808000.0,13598409000.0,15288165000.0,15753003000.0,16254592000.0,16389947000.0,16213257000.0,16252501000.0,15681525000.0,15419265000.0,16061457000.0,15578606000.0
BTN,49186000.0,60263000.0,63265000.0,76041000.0,87467000.0,94252000.0,113937000.0,112347000.0,138073000.0,174551000.0,176518000.0,170331000.0,183425000.0,177604000.0,218982000.0,243688000.0,270948000.0,337038000.0,352623000.0,389896000.0,438353000.0
BWA,12653000.0,10643000.0,8831000.0,7349000.0,5798000.0,5310000.0,4831000.0,10841000.0,63340000.0,100853000.0,112372000.0,135194000.0,131361000.0,158587000.0,151468000.0,173567000.0,171629000.0,193819000.0,470278000.0,520796000.0,539645000.0
CAF,435429000.0,454617000.0,422698000.0,395061000.0,402820000.0,389908000.0,9020000.0,13922000.0,18953000.0,23158000.0,23130000.0,53126000.0,58642000.0,59850000.0,64243000.0,98511000.0,106956000.0,130405000.0,133096000.0,125670000.0,124222000.0
CHN,21178851000.0,21918012000.0,21071965000.0,21606874000.0,22109858000.0,22439564000.0,22460926000.0,22135458000.0,20667636000.0,19824243000.0,18958546000.0,17884480000.0,17047891000.0,16214801000.0,16356049000.0,16094925000.0,16270521000.0,16235962000.0,16584800000.0,16067277000.0,15447169000.0
CIV,2267157000.0,2382617000.0,2185092000.0,2303389000.0,2388125000.0,1913668000.0,1823249000.0,1763238000.0,1712912000.0,118223000.0,168459000.0,239934000.0,394318000.0,521828000.0,780587000.0,882633000.0,1204145000.0,1882428000.0,2488088000.0,3117031000.0,4189122000.0
CMR,1089550000.0,1199980000.0,1115359000.0,216278000.0,238539000.0,259892000.0,302832000.0,374021000.0,431007000.0,511790000.0,667209000.0,742910000.0,798099000.0,896504000.0,1306270000.0,1432203000.0,1732845000.0,1915336000.0,2068000000.0,2233908000.0,2543482000.0
COD,1771058000.0,1993262000.0,2050461000.0,2251267000.0,2402465000.0,2436813000.0,2496754000.0,848548000.0,887445000.0,961641000.0,966023000.0,887650000.0,841085000.0,826549000.0,942442000.0,1098301000.0,1287657000.0,1520957000.0,1772407000.0,2124777000.0,2996855000.0
