country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,1538229980.46875,2268530029.29688,2815100097.65625,2895830078.125,4540379882.8125,4645399902.34375,5766540039.0625,6235319824.21875,6745740234.375,6666770019.53125,5152540039.0625,4942970214.84375,4274229980.46875,4069409912.10938,3811739990.23438,3792489990.23438,4136990234.375,4208899902.34375,4690520019.53125,3893270019.53125
AGO,493500000.0,1144569946.28906,414679992.675781,163520004.272461,219910003.662109,346589996.337891,218600006.103516,235169998.168945,192940002.441406,243610000.610352,285540008.544922,235389999.389648,380059997.558594,206509994.506836,223139999.389648,162639999.389648,20920000.0762939,111360000.610352,247160003.662109,97480003.3569336
ALB,349309997.558594,300940002.441406,315079986.572266,324040008.544922,265720001.220703,344910003.662109,330730010.986328,365070007.324219,379480010.986328,349160003.662109,269980010.986328,281170013.427734,335160003.662109,171039993.286133,168350006.103516,344519989.013672,27069999.6948242,309579986.572266,633419982.910156,315510009.765625
ARG,117720001.220703,97339996.3378906,93870002.746582,114209999.084473,90230003.3569336,125019996.643066,116029998.779297,130309997.558594,97050003.0517578,177759994.506836,34729999.5422363,48790000.9155273,-18870000.8392334,2619999.88555908,-1169999.95708466,73220001.2207031,8890000.34332275,101730003.356934,155259994.506836,384070007.324219
ARM,250399993.896484,256119995.117188,172619995.117188,215389999.389648,266109985.351563,227240005.493164,277100006.103516,320320007.324219,375989990.234375,270559997.558594,280359985.351563,267429992.675781,347480010.986328,326429992.675781,257540008.544922,141820007.324219,417299987.792969,126580001.831055,161949996.948242,300350006.103516
ATG,5630000.11444092,1899999.97615814,8060000.4196167,3279999.97138977,4989999.77111816,6070000.17166138,4260000.22888184,19659999.8474121,15420000.0762939,2089999.91416931,1590000.0333786,2549999.95231628,1490000.00953674,180000.007152557,10300000.1907349,17600000.3814697,27450000.7629395,25940000.5340576,6139999.8664856,
AZE,302029998.779297,175830001.831055,210399993.896484,203850006.103516,161320007.324219,184449996.948242,178139999.389648,156479995.727539,287769989.013672,286790008.544922,-70830001.8310547,216740005.493164,69580001.8310547,79430000.3051758,123529998.779297,87419998.1689453,119089996.337891,122879997.253418,9760000.22888184,47169998.1689453
BDI,227600006.103516,358820007.324219,365579986.572266,432019989.013672,396350006.103516,454890014.648438,514690002.441406,627609985.351563,572239990.234375,524169982.910156,558830017.089844,515400024.414063,366920013.427734,742640014.648438,435820007.324219,451420013.427734,554169982.910156,481299987.792969,608239990.234375,576590026.855469
BEN,301989990.234375,391790008.544922,349079986.572266,400309997.558594,413609985.351563,543330017.089844,587049987.792969,689270019.53125,672609985.351563,507880004.882813,660200012.207031,599320007.324219,436630004.882813,500760009.765625,680000000.0,574679992.675781,593159973.144531,1049569946.28906,849979980.46875,844369995.117188
BFA,540840026.855469,647380004.882813,698190002.441406,900549987.792969,772260009.765625,821520019.53125,858599975.585938,1044619995.11719,981979980.46875,1152319946.28906,1045079956.05469,1123359985.35156,998390014.648438,1029479980.46875,892150024.414063,1187560058.59375,1107790039.0625,1731250000.0,1610540039.0625,1394810058.59375
BGD,1301790039.0625,1421300048.82813,1251619995.11719,1027819946.28906,887989990.234375,1142310058.59375,978770019.53125,1327329956.05469,1437520019.53125,2154050048.82813,2633590087.89063,2422639892.57813,2592909912.10938,2532820068.35938,3781770019.53125,3044760009.76563,4381589843.75,5374779785.15625,5089109863.28125,5192790039.0625
BHR,131770004.272461,58220001.2207031,,,,,,,,,,,,,,,,,,
