country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,15.47,14.6,15.01,14.83,14.82,13.98,15.73,15.83,15.26,6.65,3.18,3.23,3.2,3.09,3.1,3.0,2.93,3.81,3.13,2.9
AFG,1.39,1.21,1.41,1.5,1.54,1.95,2.27,2.63,3.25,2.6,2.44,2.22,2.35,2.21,2.27,2.4,2.37,2.54,2.94,
AGO,3.56,3.23,2.64,2.65,2.55,2.51,2.77,2.65,2.65,2.78,2.65,2.29,2.72,2.59,2.65,2.47,2.66,2.8,3.1,
ALB,3.71,3.86,3.66,3.38,3.04,2.94,2.91,2.78,2.83,2.51,2.89,2.86,2.62,2.61,2.64,2.53,2.45,2.34,2.27,2.06
AND,2.34,2.29,2.22,2.05,2.04,2.17,2.21,2.26,2.14,2.28,2.32,2.2,2.16,2.12,2.12,2.19,2.11,1.92,1.89,1.81
ARE,4.95,4.46,4.52,4.29,4.51,5.17,5.84,5.36,4.99,5.13,5.17,5.64,5.82,5.87,4.87,4.94,5.24,5.29,5.48,
ARG,3.96,4.04,3.68,3.58,3.44,3.42,3.35,3.26,3.18,3.3,3.31,3.4,3.36,3.41,3.32,3.31,3.35,3.46,3.39,3.29
ARM,4.73,4.53,4.76,4.28,4.2,4.14,4.18,3.9,4.07,4.16,3.92,4.12,4.12,3.93,3.86,3.51,3.52,4.01,3.91,
ATG,4.29,4.24,4.24,4.06,3.82,3.85,4.51,4.78,4.86,4.81,4.86,4.77,4.69,4.57,4.47,4.29,4.26,5.0,4.83,4.48
AUS,5.57,5.45,5.33,5.4,5.31,5.38,5.28,5.17,5.06,4.82,4.79,4.64,4.53,4.4,4.46,4.37,4.36,4.44,4.1,4.12
AUT,3.46,3.4,3.44,3.36,3.17,3.15,3.12,3.26,3.07,3.04,3.08,2.95,2.99,2.96,2.95,2.8,2.81,2.84,2.86,2.55
AZE,11.79,11.34,9.42,6.91,5.23,5.24,4.29,3.89,4.2,4.47,4.28,4.3,4.26,4.35,4.38,4.34,4.62,4.7,4.73,4.4
BDI,10.32,10.01,9.49,9.06,8.8,8.43,8.13,7.98,7.89,7.48,7.55,7.07,7.34,7.52,7.58,7.69,7.6,7.74,7.48,7.4
BEL,5.3,5.14,5.0,4.81,4.55,4.67,4.58,4.79,4.39,4.17,4.33,4.02,3.93,4.11,4.02,3.8,3.83,3.71,3.86,3.4
BEN,5.15,5.15,5.08,5.77,5.91,5.76,5.91,6.0,5.82,5.61,5.71,5.54,5.79,6.22,6.11,6.05,5.69,5.79,4.79,
BFA,4.94,4.78,5.51,5.48,5.71,5.74,5.64,5.31,5.3,5.42,5.5,5.55,5.8,5.5,5.61,5.71,5.57,5.53,5.43,5.4
BGD,2.53,2.45,2.42,2.41,2.36,2.33,2.33,2.32,2.25,2.21,2.22,2.16,2.17,2.2,2.12,1.96,1.95,1.9,1.93,
BGR,8.14,7.43,7.34,7.08,6.51,6.05,5.49,5.5,5.8,5.5,5.12,5.32,5.36,5.07,5.11,4.97,4.72,4.68,4.72,4.72
BHR,10.3,9.83,10.55,10.36,10.31,10.36,9.7,9.59,9.42,8.64,9.54,8.77,9.05,8.62,8.33,8.24,8.68,9.42,9.23,
BHS,2.34,2.29,2.12,2.02,2.02,2.1,2.48,2.53,2.37,2.24,2.22,2.25,2.39,2.42,2.6,2.5,2.6,2.75,2.87,2.42
BIH,5.91,6.09,6.12,6.09,5.75,6.12,6.43,6.66,7.27,6.85,6.46,5.94,5.86,6.21,6.0,6.41,6.02,6.1,5.89,5.53
BLR,11.48,10.65,9.72,9.41,8.48,7.7,7.28,6.99,7.05,7.24,6.39,6.4,6.07,6.18,6.14,6.29,5.97,5.82,6.18,
BLZ,4.2,4.01,3.87,4.09,3.95,3.76,4.13,4.31,5.12,4.36,3.89,3.88,4.59,4.53,4.81,4.7,4.93,4.87,4.78,4.29
BMU,1.5,1.51,1.48,1.56,1.67,1.51,1.21,1.54,1.2,1.08,1.52,1.95,1.59,1.83,1.79,1.96,1.68,1.34,1.52,1.51
BOL,4.07,3.97,4.19,4.07,3.98,3.82,3.85,4.01,4.09,4.22,3.99,4.16,3.98,4.03,4.03,3.94,3.87,3.55,3.89,
BRA,3.91,3.91,3.88,3.86,3.85,3.87,3.74,3.85,3.75,3.82,3.88,3.98,4.05,4.03,4.06,3.93,3.95,4.0,3.96,3.87
BRB,4.35,4.39,4.36,4.27,4.19,4.92,5.18,4.92,5.01,4.86,4.88,4.31,4.07,4.13,4.02,4.37,4.22,4.31,4.01,3.76
BRN,4.15,3.79,3.65,4.96,5.07,5.68,4.97,5.15,5.94,5.82,4.72,5.66,4.34,4.91,5.87,5.88,6.35,6.31,6.33,
BTN,16.29,15.32,14.99,13.87,12.57,12.21,12.28,12.14,11.02,10.91,10.72,10.62,10.17,9.56,9.24,9.3,8.86,8.45,9.72,9.04
BWA,3.39,3.44,3.39,3.26,3.18,3.24,3.44,3.4,3.04,3.47,3.29,3.39,3.55,3.17,3.18,3.25,2.92,2.89,2.68,
CAF,7.21,7.39,7.33,7.19,7.11,6.94,6.89,6.76,6.68,6.25,9.3,9.55,9.4,9.12,8.8,8.56,8.39,8.4,8.41,8.31
CAN,8.07,7.96,7.8,7.72,7.55,7.29,7.23,7.02,6.96,6.88,6.86,6.84,6.75,6.96,7.03,6.94,6.86,6.73,6.55,6.44
CHE,2.49,2.44,2.36,2.36,2.16,2.19,2.25,2.12,2.01,2.01,2.05,1.88,1.81,1.72,1.71,1.67,1.69,1.65,1.53,1.48
CHL,4.24,4.23,4.12,4.05,3.99,3.81,3.75,3.7,3.8,3.96,3.97,3.52,3.52,3.68,3.68,3.61,3.79,3.68,3.46,3.19
CHN,10.51,10.87,10.75,10.44,9.83,9.21,8.98,8.96,8.78,8.43,8.08,7.71,7.24,6.74,6.54,6.42,6.33,6.4,6.3,
CIV,4.15,5.78,5.88,5.69,6.02,5.9,5.24,4.55,5.45,5.39,5.07,4.7,3.89,3.81,3.66,3.27,3.2,3.3,3.3,
CMR,5.67,5.49,5.47,4.88,4.41,4.33,4.56,4.47,4.53,4.53,4.51,4.63,4.61,4.52,4.41,4.35,4.27,4.36,4.23,
COD,17.24,16.65,15.75,15.55,14.85,14.34,14.69,14.13,13.93,15.84,15.19,14.85,14.11,14.39,13.91,13.48,13.11,13.1,12.51,
COG,2.53,2.71,2.67,3.23,3.07,3.09,3.16,3.13,4.08,4.25,4.51,4.18,4.58,5.02,5.32,5.62,6.01,6.61,6.72,
COL,2.76,2.63,2.64,2.6,2.42,2.47,2.54,2.39,2.29,2.13,2.66,2.58,2.53,2.57,2.43,2.28,2.42,2.44,2.33,2.18
COM,2.87,2.92,2.75,3.02,2.57,2.51,2.65,2.78,2.58,2.65,2.84,2.78,2.93,3.06,3.28,3.32,3.37,3.68,4.27,4.3
CPV,3.16,3.11,3.04,3.02,2.69,2.35,2.6,2.69,2.85,2.42,2.4,2.35,2.36,2.4,2.41,2.34,2.38,2.49,2.45,2.17
CRI,2.52,2.86,2.75,2.79,2.72,2.61,2.66,2.54,2.45,2.42,2.49,2.44,2.29,2.17,2.04,1.96,2.03,2.03,1.99,1.91
CUB,2.89,2.67,2.27,2.02,1.79,1.83,1.75,1.85,1.74,1.73,1.6,1.61,1.57,1.54,1.45,1.35,1.27,1.4,1.35,
CUW,22.25,23.34,22.16,21.34,23.59,22.07,23.08,20.32,22.0,22.55,21.5,24.18,24.82,21.5,18.06,16.44,9.96,9.92,10.39,
CYM,,,,1.69,1.97,2.01,2.05,2.11,2.2,2.0,1.95,1.94,1.93,1.83,1.88,1.9,2.06,2.02,1.93,
CYP,3.88,3.47,3.36,3.34,3.36,3.45,3.45,3.25,3.14,3.06,2.83,2.95,2.92,2.92,2.85,2.7,2.57,2.54,2.45,2.36
CZE,6.72,6.56,6.08,5.83,5.51,5.26,5.19,5.37,5.08,5.09,5.09,4.83,4.59,4.43,4.39,4.26,4.07,4.06,4.16,3.98
DEU,3.96,3.94,3.89,3.86,3.56,3.57,3.53,3.57,3.26,3.27,3.32,3.11,3.08,3.02,2.95,2.85,2.76,2.69,2.7,2.47
DJI,3.86,3.69,3.65,3.5,3.55,3.56,3.37,3.55,2.82,2.67,2.71,2.58,2.66,2.37,2.23,2.3,2.32,2.09,2.08,2.03
DMA,2.68,3.1,3.23,2.9,3.25,2.94,3.28,3.02,2.79,3.01,2.92,2.93,3.14,3.03,2.91,2.96,2.92,3.19,3.03,2.95
DNK,3.16,2.98,2.83,2.92,2.83,2.76,2.8,2.87,2.62,2.5,2.49,2.31,2.25,2.23,2.18,2.13,2.03,1.99,1.96,1.83
DOM,3.53,3.34,3.19,3.03,2.93,2.73,2.64,2.57,2.54,2.54,2.36,2.19,2.21,2.21,2.09,2.06,2.16,2.11,2.11,
DZA,4.15,4.03,3.96,4.17,4.29,4.24,4.56,4.49,4.54,4.81,4.84,5.09,5.14,4.94,5.01,5.27,5.4,5.4,5.61,
ECU,3.73,3.54,3.65,3.43,3.69,3.07,3.39,3.47,3.38,3.17,3.21,3.38,3.26,3.16,3.18,3.1,3.27,3.12,3.26,
EGY,3.47,3.64,4.0,3.95,3.94,3.81,3.72,3.51,3.61,3.64,3.43,3.45,3.28,3.46,3.48,3.27,3.1,2.96,3.06,
ERI,7.94,6.62,6.5,6.2,6.17,7.7,7.2,6.74,5.67,5.71,6.43,5.04,6.5,6.22,6.99,6.38,6.28,6.41,6.37,
ESP,3.58,3.62,3.57,3.42,3.35,3.21,3.07,3.07,3.04,3.13,2.96,2.86,2.85,2.78,2.84,2.77,2.64,2.67,2.66,2.53
EST,6.97,6.97,6.43,5.81,6.29,5.84,5.54,7.1,6.43,5.74,6.27,5.79,4.97,5.98,5.49,5.21,4.22,3.92,3.73,4.12
