country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,1.33,1.87,2.52,2.58,2.3,2.66,2.48,2.8,2.93,3.52,3.03,3.53,3.11,4.05,4.77,7.03,6.85,8.02,6.62,6.55,
ALB,21.38,21.73,21.38,22.15,12.16,15.86,21.12,30.87,16.47,20.89,26.23,17.87,23.65,30.16,16.98,31.74,19.8,21.75,34.43,28.45,
ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.08,0.08,0.14,0.18,0.43,1.25,3.86,7.24,
ARG,9.19,7.88,8.11,8.6,7.09,6.88,8.31,7.25,6.48,6.09,6.39,6.09,6.43,6.52,6.11,6.7,7.1,8.54,7.93,7.33,
ARM,34.88,35.57,34.23,33.02,28.91,26.49,31.56,35.0,32.33,27.0,27.65,29.35,31.47,29.42,29.81,25.41,25.02,24.57,19.93,24.25,
AUS,1.38,1.34,1.29,1.34,1.32,1.16,1.23,1.48,1.85,1.83,2.23,2.46,2.3,2.56,2.7,2.97,3.4,3.93,4.79,5.82,6.06
AUT,9.33,10.33,10.19,9.87,10.51,10.79,12.07,10.83,10.08,12.84,12.47,12.91,11.92,12.66,12.4,12.47,13.49,14.51,13.08,13.23,16.2
AZE,1.75,1.85,1.93,1.64,1.62,1.38,1.6,2.51,1.8,1.12,0.91,0.77,0.97,1.2,1.07,1.11,0.92,0.67,0.74,0.86,
BEL,21.27,21.14,21.41,21.28,22.45,20.61,22.34,21.14,23.08,20.47,20.98,17.98,14.46,21.83,21.51,15.95,22.97,21.01,26.46,25.96,22.53
BEN,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.05,
BFA,0.43,0.44,0.41,0.3,0.38,0.45,0.42,0.28,0.18,0.2,0.2,0.16,0.16,0.23,0.21,0.21,0.22,0.26,0.24,0.18,
BGD,0.31,0.3,0.29,0.27,0.26,0.33,0.14,0.24,0.29,0.26,0.29,0.21,0.2,0.26,0.27,0.29,0.22,0.25,0.23,0.28,
BGR,24.67,24.78,26.51,26.78,20.47,22.25,24.44,24.93,23.75,24.88,25.66,26.77,25.59,25.93,24.2,26.5,26.54,28.11,26.54,26.1,
BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.03,
BIH,8.8,10.69,10.23,9.5,6.49,7.02,8.63,10.65,5.28,5.42,9.64,8.51,7.73,7.21,4.86,7.53,7.61,5.92,8.35,6.16,
BLR,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.04,0.05,0.08,0.2,0.19,0.24,0.61,5.75,7.01,
BOL,3.6,3.84,3.18,3.43,3.61,3.52,3.36,2.95,2.95,2.73,2.92,2.36,2.58,1.74,2.18,2.6,3.25,3.69,3.52,3.25,
BRA,14.93,14.55,14.65,15.06,15.04,14.29,15.47,14.57,15.33,14.48,13.14,12.42,12.49,14.1,13.82,14.82,15.22,15.48,14.59,17.01,17.34
BRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,
BWA,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.04,0.05,0.05,0.06,0.04,0.07,0.08,
CAN,18.51,19.82,20.48,20.44,20.47,21.48,21.56,20.99,21.78,22.08,23.2,22.87,22.6,21.82,21.23,20.71,20.43,21.88,20.88,20.4,19.69
CHE,39.42,38.42,34.16,36.98,40.47,39.02,38.67,38.66,39.13,39.66,38.6,42.82,39.22,36.92,35.82,41.64,42.75,42.42,37.66,40.92,45.0
CHL,7.22,6.87,8.03,8.49,6.5,6.87,7.4,6.15,5.47,4.78,4.58,6.27,6.7,6.56,6.72,7.7,7.61,8.76,9.12,10.68,12.66
CHN,2.79,2.97,2.99,2.98,3.12,3.62,3.66,3.8,3.8,4.5,5.02,5.66,6.32,7.19,7.67,8.19,8.77,9.11,9.48,9.94,
CIV,2.39,1.62,1.28,1.37,1.52,1.59,1.95,1.67,1.61,1.48,1.29,1.53,1.2,1.29,1.68,2.59,2.9,2.66,1.62,1.71,
CMR,4.31,4.64,4.43,4.95,5.19,5.66,4.97,5.23,5.15,4.77,4.69,4.32,4.09,4.37,4.63,4.45,4.57,4.23,5.27,5.73,
COD,3.42,3.78,3.8,3.73,3.74,3.45,3.49,3.39,3.2,2.51,2.64,2.69,2.64,2.63,2.74,3.04,3.26,3.0,2.9,2.84,
COG,3.11,3.39,2.81,2.25,2.29,2.39,1.84,2.2,3.05,3.32,3.07,3.35,3.35,3.31,3.53,3.11,2.23,2.31,2.47,2.56,
COL,11.92,13.15,12.47,12.71,13.29,13.2,11.17,11.08,13.09,13.15,10.63,10.0,10.04,9.78,12.78,12.89,10.64,10.52,12.07,13.47,12.25
CRI,34.45,39.57,36.49,34.99,32.49,33.71,35.5,35.92,36.65,38.55,38.71,38.71,39.89,37.15,35.79,34.25,39.81,44.57,42.81,42.27,41.16
CUB,0.1,0.07,0.05,0.08,0.1,0.12,0.13,0.08,0.09,0.1,0.12,0.11,0.08,0.1,0.14,0.27,0.33,0.34,0.37,0.34,
CUW,0.3,0.28,0.3,0.3,0.27,0.25,0.24,0.27,0.25,0.24,0.51,0.54,0.51,0.62,0.96,1.44,2.13,2.38,2.3,2.15,
CYP,1.54,1.8,1.85,1.86,2.18,2.15,2.27,2.59,3.07,3.65,4.6,4.5,4.78,4.63,4.59,4.8,4.97,5.64,6.25,6.6,
CZE,15.34,15.43,14.76,15.21,15.23,15.77,17.28,16.95,17.91,19.31,19.66,19.85,17.69,16.18,18.06,18.97,19.55,20.63,19.94,20.64,22.22
DEU,13.76,14.04,13.86,13.91,12.86,13.38,13.19,13.14,11.6,11.17,10.97,11.69,11.88,11.25,11.26,11.73,12.46,12.62,12.13,10.22,9.03
DNK,2.44,2.98,3.1,2.69,3.22,3.2,3.23,3.58,4.82,5.36,5.98,7.45,8.08,7.35,8.36,8.1,9.64,10.31,9.67,12.3,13.88
DOM,1.73,2.05,2.35,2.11,1.94,1.67,1.8,1.67,1.77,2.1,2.43,1.8,1.39,1.93,2.75,2.41,2.08,2.83,2.98,2.51,
DZA,0.07,0.07,0.15,0.05,0.05,0.07,0.06,0.04,0.1,0.11,0.06,0.04,0.03,0.05,0.09,0.11,0.11,0.1,0.09,0.09,
ECU,6.02,5.98,5.12,5.39,6.21,8.76,6.46,5.7,6.97,7.77,6.64,6.32,7.48,9.4,11.56,12.08,13.61,15.27,14.1,13.2,
EGY,2.28,2.06,1.8,1.75,1.97,1.82,1.6,1.7,1.61,1.54,1.62,1.64,1.68,1.52,1.44,1.65,2.24,2.44,2.2,2.15,
ERI,0.01,0.01,0.01,0.03,0.02,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.07,0.07,0.08,0.11,0.11,0.11,0.1,0.1,
ESP,15.59,14.91,13.05,14.11,13.4,14.83,15.69,19.33,18.08,19.51,21.87,22.64,20.87,21.64,19.35,19.84,21.0,24.11,22.81,22.94,25.11
EST,0.03,0.05,0.12,0.14,0.15,0.25,0.44,0.44,0.6,0.78,0.82,0.98,1.31,0.91,1.12,1.02,1.38,2.15,2.09,2.3,2.91
ETH,0.72,0.77,0.85,0.95,0.95,0.94,1.0,1.32,1.58,1.83,2.02,2.13,2.28,2.64,2.72,2.88,2.89,3.0,2.91,3.15,
FIN,18.33,19.39,21.12,18.63,19.91,21.15,21.7,19.37,20.36,22.06,21.93,21.67,23.73,22.81,22.57,22.33,23.51,25.73,24.89,27.98,35.31
FRA,44.9,44.97,44.87,45.67,45.25,45.28,44.14,44.95,46.88,45.82,45.93,48.92,48.2,45.75,45.1,47.63,46.81,47.2,46.39,40.91,46.73
GAB,3.45,2.95,2.3,2.38,1.83,1.85,1.79,1.53,1.77,2.17,1.69,1.79,2.0,1.8,2.14,2.2,2.25,2.46,2.36,2.57,
GBR,10.47,9.67,9.86,9.34,8.22,7.09,9.86,8.58,10.57,10.71,11.29,11.32,12.74,13.15,13.75,13.44,12.97,13.76,12.0,13.73,13.15
GEO,21.1,19.06,19.22,15.53,18.02,20.96,22.01,27.26,19.44,17.05,17.47,16.52,15.89,16.98,16.76,18.22,15.61,14.89,17.07,16.65,
GHA,5.58,7.68,8.23,7.62,5.13,7.98,8.68,7.97,8.21,7.88,7.99,8.01,5.32,4.99,5.03,4.84,5.67,5.4,5.58,6.03,
GIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GNQ,0.87,0.24,0.24,0.25,0.22,0.08,0.08,0.07,0.07,0.31,0.48,1.84,2.08,1.78,1.87,1.67,1.81,2.18,1.77,1.75,
GRC,2.28,2.3,2.36,2.77,1.92,2.33,3.19,4.15,3.51,4.18,6.3,5.58,6.57,6.74,6.23,7.35,7.46,8.98,10.67,10.79,12.29
GTM,4.36,4.59,4.34,4.62,4.95,5.94,5.71,5.45,5.4,5.5,5.24,5.43,4.66,4.96,5.89,5.39,4.81,5.75,5.48,5.26,
HKG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.08,0.14,
HND,4.06,3.02,3.73,4.12,4.12,4.2,5.19,5.66,4.85,5.05,4.81,4.75,4.89,5.55,9.07,12.62,10.94,11.84,13.43,12.87,
HRV,4.91,6.86,6.24,5.92,4.11,5.18,6.86,8.63,5.06,5.33,9.51,10.68,7.66,8.32,6.73,9.51,8.11,8.71,10.14,8.71,
HTI,0.7,0.7,0.69,0.69,0.38,0.44,0.49,0.4,0.26,0.46,0.29,0.19,0.17,0.14,0.25,0.37,0.33,0.28,0.25,0.37,
HUN,11.43,12.37,13.29,13.05,14.51,14.92,16.36,16.16,16.52,17.52,17.77,18.17,17.44,17.62,17.04,16.82,17.72,18.0,17.61,18.93,21.27
IDN,8.63,8.49,8.35,8.15,8.75,10.06,10.33,10.2,9.67,9.71,10.16,10.21,10.19,10.62,11.92,11.84,11.27,12.99,12.93,11.97,
IND,2.68,2.69,2.94,3.13,3.03,2.66,2.63,2.96,3.36,3.11,3.39,3.24,3.16,3.36,3.41,3.57,4.17,4.27,4.25,4.38,
IRL,0.65,0.76,1.03,1.38,1.51,1.98,2.34,2.1,3.39,3.22,3.49,4.05,4.87,4.3,5.18,5.92,6.99,8.24,6.74,7.76,8.64
IRN,0.67,0.59,0.81,0.88,0.82,0.22,0.31,0.41,0.55,0.72,1.11,1.02,0.88,1.32,1.29,1.34,1.64,1.21,0.78,1.14,
IRQ,0.15,0.16,1.91,2.0,1.91,1.07,0.93,1.24,0.81,0.94,1.0,0.65,0.6,0.71,0.41,0.31,0.79,0.75,0.53,0.37,
ISL,74.57,73.27,73.79,77.49,81.28,81.82,82.79,88.46,89.72,89.63,89.37,88.85,87.87,87.18,87.93,88.37,88.44,89.3,88.35,87.99,89.33
ISR,3.51,3.79,3.94,3.63,3.6,4.65,4.85,4.88,4.84,1.45,1.81,2.17,2.19,2.36,2.45,2.31,3.36,3.88,4.47,4.67,5.41
ITA,4.46,4.76,4.36,4.57,4.47,4.98,5.74,5.9,6.47,7.12,8.28,9.32,8.41,8.51,8.11,8.84,8.98,9.77,8.92,8.48,9.84
JAM,0.28,0.4,0.5,0.48,0.45,0.55,0.66,0.73,0.82,0.9,0.77,0.87,0.86,1.04,1.62,1.56,1.46,2.06,1.84,1.63,
JOR,1.33,1.15,1.08,1.45,1.46,1.63,1.68,1.82,1.91,1.85,1.94,1.92,2.03,2.66,3.07,4.39,5.02,6.47,7.73,7.69,
JPN,14.76,16.37,17.27,17.38,15.29,15.61,17.52,17.16,8.09,3.2,2.97,2.8,3.71,4.32,5.47,7.65,7.96,7.1,9.04,8.37,10.79
KAZ,1.72,1.36,1.33,1.1,1.06,0.92,0.93,1.0,0.88,0.89,0.82,1.1,1.48,1.66,1.59,1.34,1.38,1.59,1.55,1.62,
KEN,4.95,7.19,6.93,6.85,6.7,6.58,6.85,6.1,7.53,8.14,9.05,12.3,16.85,16.44,16.44,17.52,17.72,17.38,16.87,17.83,18.71
KGZ,40.17,43.99,42.72,42.33,37.08,27.56,30.46,34.69,36.73,29.49,28.9,28.0,23.97,25.63,31.76,27.02,29.65,31.78,27.29,22.8,
KHM,0.1,0.07,0.1,0.11,0.11,0.1,0.09,0.07,0.1,0.92,1.76,2.96,2.97,3.55,3.57,5.98,4.62,4.34,5.95,6.86,
KOR,17.28,16.85,18.53,18.62,17.23,17.94,17.32,16.1,16.04,15.48,14.35,15.95,16.41,15.71,14.28,12.8,14.53,16.53,15.57,17.74,18.46
KWT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.12,0.11,0.08,
LAO,15.27,15.6,15.82,14.84,12.69,12.78,11.03,26.96,40.9,40.0,45.2,42.75,29.46,29.22,30.34,33.45,30.02,47.63,52.31,54.17,
LBN,2.19,1.87,1.93,1.46,1.51,0.83,0.99,1.36,1.64,1.93,2.02,0.81,1.1,0.99,1.07,1.15,1.66,2.18,2.41,6.6,
LBY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,
LKA,3.28,2.91,3.31,4.4,3.68,3.95,3.66,5.03,4.1,2.91,6.56,4.13,5.18,3.43,3.53,5.41,4.11,4.39,6.2,6.72,
LTU,44.42,42.76,31.38,26.79,28.06,28.02,33.41,1.0,1.17,1.18,1.47,1.4,1.52,2.0,2.33,1.87,2.19,2.28,2.15,2.9,4.7
LUX,0.24,0.31,0.32,0.38,0.42,0.45,0.43,0.4,0.34,0.48,0.64,0.68,0.75,0.79,1.04,1.09,1.19,1.59,1.51,1.85,2.58
LVA,4.6,6.12,6.4,5.03,4.99,5.94,6.85,6.81,5.98,7.44,6.01,4.23,4.05,5.37,8.85,4.74,4.34,5.62,5.5,6.07,8.33
