country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,33.99,33.33,27.83,33.94,38.73,42.59,47.31,46.18,46.96,51.53,51.27,45.16,53.4,48.27,47.83,40.55,43.2,40.6,45.48,47.02,
ALB,64.59,65.64,66.56,64.51,65.18,63.93,63.51,63.34,61.6,57.88,56.53,61.53,60.19,58.07,62.12,60.11,59.41,57.07,56.22,55.06,
ARE,99.96,99.94,99.94,99.94,99.93,99.93,99.93,99.92,99.92,99.93,99.91,99.86,99.87,99.82,99.82,99.77,99.53,98.7,96.07,92.72,
ARG,86.57,88.61,88.13,88.44,89.44,89.93,88.13,88.53,88.88,89.52,89.08,89.05,88.73,88.42,88.18,87.73,86.82,86.38,87.4,86.96,
ARM,65.72,66.91,68.11,67.5,70.56,73.29,68.21,67.41,71.56,77.34,75.51,72.6,68.89,69.08,68.99,74.31,73.7,74.13,78.22,75.78,
ATG,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
AUS,93.88,94.07,94.22,94.28,94.28,94.34,95.53,94.66,94.49,94.44,93.93,93.68,93.61,93.36,93.14,93.06,92.92,92.55,91.53,90.42,90.19
AUT,78.49,77.82,77.03,74.52,72.38,71.79,69.81,70.15,68.84,66.58,66.1,64.82,65.48,65.65,66.46,66.24,67.22,65.35,64.9,64.1,62.06
AZE,96.95,97.14,97.12,97.61,97.84,98.37,98.0,96.99,97.9,98.5,98.24,98.39,98.06,98.69,98.92,98.9,99.08,99.19,99.43,100.0,
BEL,75.37,74.97,74.64,73.67,72.47,73.26,72.61,72.68,70.21,70.83,70.58,72.25,74.92,69.91,70.2,73.75,70.21,71.0,67.18,67.09,69.34
BEN,32.07,32.82,31.05,36.32,39.66,39.07,39.8,42.6,40.79,39.64,38.02,38.33,40.43,44.66,45.33,46.27,43.61,45.73,40.41,39.64,
BFA,18.64,18.1,17.55,19.6,21.37,20.32,20.12,15.96,16.42,18.57,18.57,18.86,20.53,21.28,23.09,24.04,24.05,27.31,24.89,24.03,
BGD,62.48,62.76,64.04,65.94,67.11,68.29,69.88,71.15,72.03,73.35,74.91,75.34,76.86,78.77,79.41,79.7,80.91,81.15,82.5,83.13,
BGR,74.1,73.98,72.99,72.56,77.74,76.16,73.46,73.69,75.52,72.61,70.14,71.17,72.43,69.4,70.82,67.35,65.63,62.09,65.86,68.8,
BHR,100.0,100.0,100.0,100.0,99.99,100.0,99.88,99.88,99.92,100.0,99.99,100.0,100.0,100.0,99.97,99.87,99.95,100.0,99.98,99.96,
BHS,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
BIH,88.88,89.0,88.51,90.49,91.07,92.32,92.6,91.65,94.0,91.95,92.5,88.1,86.13,89.19,90.6,81.82,79.58,80.53,79.95,78.81,
BLR,93.51,94.78,93.98,93.76,93.59,94.3,93.04,93.55,92.91,92.56,92.27,93.66,93.55,93.33,93.05,94.39,94.01,92.59,87.69,86.62,
BLZ,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
