country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,96.8027128389042,88.8689466900833,102.378493445781,129.55102949102,135.187417453981,168.453501851714,197.325219398831,206.998764747106,206.950497705211,271.711996881012,276.087476620084,310.374128214116,306.167406982606,331.664900231538,315.199297075801,370.736573340292,410.864566288621,437.653350565236,392.355834569297,392.507046928459,
ALB,1469.26453867857,1797.52548696885,1722.07284972507,1218.36014605619,1213.12436932179,1617.7441562046,1835.68407241763,1943.34335385842,2205.70392004668,2118.32777605579,2533.25282927106,2309.36650255581,2098.09897098035,1994.36667905612,2145.15129337241,2276.74247900485,2297.67384172958,2354.60026238182,2509.89982451685,2507.48013906524,
ARE,11063.4408414922,11101.0084292793,12205.0510312361,12502.6451857619,13134.3633853575,11974.777649578,11984.8374652493,12827.3767154335,13085.7207041471,13475.0322264325,13409.1491377066,13560.3714401993,14046.2870111674,13705.6181271716,13672.1157729536,13702.8027322154,13914.1426572805,13855.0657916711,14828.6941032372,14687.9739775088,
ARG,2142.62949662924,2257.01230392193,2369.54636954086,2502.54182544269,2596.61182489948,2702.5677820099,2680.09920295595,2777.73377864652,2880.78357735056,2917.62283612664,2940.92954480901,3036.20733612121,3140.46420669387,3104.98925144338,3005.76483124641,2971.34364838317,2876.71852724712,2827.42739776861,2942.91077511635,2833.11909750338,
ARM,1252.16025137471,1365.60396852981,1441.647597254,1551.27754149212,1673.42472806848,1572.3494541803,1564.90541422048,1631.30583289543,1716.70134416592,1804.50381931814,1851.75380542687,1895.28170416086,1909.40557811356,1889.85061658256,2006.10861247231,1938.69989895588,2084.05063291139,2114.13135235523,2262.09364345272,2403.67775831874,
AUS,10625.9720415114,10876.0860659171,10571.4253428336,10617.1512876213,10972.8801492556,10749.1110606099,10885.984576648,10810.7163525367,10697.5265559249,10469.7194202468,10263.7355576839,10146.6683444309,10091.7051754504,10139.0989597868,10033.9988617709,9999.89664810579,9988.77987162809,9903.01937896971,9848.54749458564,9933.15278973003,9829.34510394034
AUT,7695.08003708217,7808.15779213961,8024.35247499675,8187.31881091463,8152.14344860043,8203.45284069114,7944.79609623168,8395.38541962101,8406.10116517111,8526.93674287434,8501.23876406383,8342.73695128076,8318.46625689498,8255.77897660756,8458.13489776604,8396.45084265961,8339.93999945946,8025.46724947246,8381.61025757953,8260.47675415134,7772.32343246828
AZE,2235.45985596483,2281.94787214832,2388.38873430769,2552.28621435433,2118.21052754245,2040.76043544743,1620.3874199013,1603.43137406492,1705.4246326371,2052.65096521176,2092.53652062946,2202.39391828846,2244.92014532391,2215.66064195539,2120.55307710051,2182.74646367607,2243.85125599507,2257.18090568814,2389.09028137407,2365.86247983091,
BEL,8411.90065701741,8467.02236041998,8409.98387478042,8606.40514495791,8555.57751489314,8494.41917360576,7910.99480173793,8350.44576767142,8077.35709165862,8001.03935092067,7991.46406256175,7700.55857508798,7700.14997078284,7754.10182411351,7801.64987598414,7748.27877771471,7673.44011391786,7420.741711909,7680.00193333532,7282.40331295413,6756.77796580304
BEN,61.4173765681335,66.7966320770419,69.9014875606209,70.9746720498521,75.2738813368686,81.3786386599896,82.6548571874445,86.042498257716,87.4809768504332,85.5000314013051,91.5132310389721,104.261068264345,96.9132044108975,92.068263531,95.1014055074096,96.9043345066564,98.6897288428983,98.4685048831427,113.244820465956,105.309051541913,
BFA,34.0148222071996,36.5911479198636,40.194879129333,41.8820280669419,42.723196812809,43.3212721930585,47.294518049765,68.4326113105568,75.6215914767985,86.2436086701789,92.0577761158276,97.8635627240981,112.794646056738,108.612135513189,111.890743966382,117.475592867661,122.555380338625,130.36176787318,129.709864992171,131.191746177691,
BGD,123.721051102441,158.478288215597,169.186794867009,189.596089771556,198.744127936079,200.690066619094,218.83202265439,239.944314522424,258.882228287795,276.694215863057,296.341695089956,326.502853047843,348.932681283763,412.780315331328,443.212945924414,471.126089137386,515.10173042395,509.945926958218,574.118203146015,602.674747324137,
BGR,3997.90259625094,3971.82273619063,4165.18039235553,4366.91276515184,4523.32287831241,4674.5031505249,4483.7471386375,4560.41491703377,4863.69144110061,4757.12192686228,4643.97328879171,4709.61960083268,4857.48728300161,4956.63331660078,5180.50799419498,5114.4214614101,5117.72120633147,5011.67072756549,5261.46440772794,5387.96542212904,
BHR,20142.128952005,19123.7294246614,21333.8553726168,21463.4369819996,20525.4523499103,18677.9109303523,17558.3304693168,18219.1425127163,19158.6751686164,19192.4656151879,19615.525486538,19917.6607873953,20288.6620808832,19531.1457401213,18552.197165309,19439.9407620696,21808.1679197927,21437.2464685601,21913.5648595919,22689.1577517572,
BIH,2010.99766592167,2110.6079299452,2196.51296853186,2209.79545548514,2233.75352317622,2840.24699914681,2784.42618345201,3067.84360478052,3271.68917189009,3417.33347174869,3408.60720399218,3366.78140802827,3438.92539549774,3642.95683015534,3864.45870454011,3898.73043991733,3735.12979845065,3513.72346484109,3835.85723720279,3772.15191453325,
BLR,3063.05693858238,3174.05309231742,3245.37208781327,3365.98186513501,3393.90853610514,3481.74351659874,3299.4609021774,3566.17301269233,3632.87856030924,3704.30904061423,3657.12467930665,3690.1036829597,3571.26398730969,3560.00113629415,3618.56853835013,3725.05571426831,3759.65072563435,3764.62480831458,4094.66830993751,3902.76581096959,
BOL,427.701724728474,438.925904852815,467.163222107963,465.568661190257,497.627493815791,533.659098527255,550.20454210772,578.157585507071,610.691212588278,635.139081575004,666.691130106056,695.278631321477,746.093517711096,760.910982270157,772.350725504595,791.163438638737,802.304027987764,769.784176923756,833.601399304369,859.308409911805,
BRA,1894.62909554308,1970.41586550174,2031.50607953893,2089.17498538706,2185.74876193515,2249.32535945695,2217.79002848663,2398.60801799243,2458.55879343851,2530.977463284,2600.67222764742,2690.2149503596,2628.0976910972,2592.61337303819,2610.16613569938,2640.41643831267,2661.18328561313,2624.84323723758,2723.96659104663,2787.76089640442,2916.48609397384
BRN,8715.16889426114,8755.74861650671,8609.25676202788,8561.32922725914,8709.18077077598,8626.41711201637,8816.6836384796,8727.30238675408,8658.22543935862,9091.20049709412,9710.5558825103,10118.7762447511,9310.48856972327,9420.81185506731,8494.08002366142,8709.2574404422,10018.5235384476,11837.1762433952,11482.7515214037,11197.4877572084,
BWA,1330.71582712746,1445.92633910044,1432.1609542377,1463.31106269565,1506.38263583998,1515.40792935276,1501.50225576978,1566.07288042807,1535.05969274693,1531.80971224267,1589.68029814797,1723.72198721573,1773.72481757821,1700.39413346125,1616.85446148159,1586.24460178823,1550.54515641167,1504.29393709101,1455.7925845357,1522.19852354121,
