country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,446.134132051678,433.557080102511,392.557802386847,422.909458684002,446.790005661844,472.064397001416,504.92416679274,487.281074343005,486.235365702241,531.24332255994,512.021802587495,447.160325436651,517.525209417242,462.934994006148,456.692217487614,405.179753107747,416.996507156148,397.633186643914,418.358996013843,423.122517600564,
ALB,649.35788110735,716.623145884767,721.077407396492,707.890606549635,680.948166186712,712.287869024953,734.057809949862,731.053397459356,766.894617514824,689.872750149797,803.709464277971,810.872883939509,762.287986301806,786.071045181397,824.373550389848,823.101982045081,817.176548362341,761.957268109783,810.006337207976,780.738623945557,
ARE,10102.2168560285,9441.12715739602,9535.23423153349,9239.48012400956,8929.91291284475,9426.22252523971,9485.64696621464,8944.43348137498,8558.24529408267,8614.16881429917,8858.22242582428,9633.42212114175,10146.376786057,10355.5476088804,8521.13677246594,8482.30317231137,8816.50943614681,8154.35294132635,8674.22641438132,8335.80957162683,
ARG,1588.98177724668,1740.90890259945,1712.4320350003,1784.01669776279,1845.91422802344,1889.40923801554,1722.74402909882,1826.05112368849,1865.25736115683,1897.60983922809,1928.54922885127,1911.61727736839,1919.75859208058,1889.87018853289,1874.82963739464,1806.77623499039,1777.41507710553,1624.17555252173,1741.65240212881,1808.99849167635,
ARM,622.582881402385,661.929679898088,798.544180515189,818.274997390362,918.181612522836,973.21714524559,851.338387705143,815.62798698571,896.948023835655,982.442415313472,959.801682347684,1045.97511363021,1084.52062940136,1043.09797203416,1105.96696981707,1072.33682481147,1163.09284675689,1233.30455891532,1271.52805556324,1347.59055747413,
ATG,,1714.96080996964,1720.86771928502,1774.10550344896,1786.93821599922,,,,,,,,,,,,,,,,
AUS,5615.57675632995,5652.13037917952,5624.49561264785,5775.11675226564,5853.76413229662,5951.19291532561,5843.93312947132,5762.9435664152,5698.65597309349,5533.72233837943,5533.38146350965,5407.4382264583,5318.66679266228,5216.98867184459,5323.92858334601,5282.20664251934,5295.87164421938,5229.062652917,5070.76722733807,4889.62127856192,5077.04278018472
AUT,3956.93894640762,3974.50636807099,4084.35261902051,4105.07525027388,4010.09514877294,4027.90556617748,3819.49986886808,4065.04189639106,3927.58256477323,3899.1648418957,3924.82135403554,3750.34480080041,3795.51037374619,3797.16802222945,3839.94805232106,3717.62532112148,3765.98011899602,3546.32771195638,3726.61916635312,3465.29053401054,3324.72669124046
AZE,1476.84102371293,1539.50003907972,1600.22780340266,1559.84917576741,1459.38898151201,1587.24837009442,1391.33099195543,1305.91209278641,1396.04478051641,1497.29486664714,1497.90257470252,1526.15877863995,1510.91856857889,1480.9342834589,1478.78418442924,1471.37027563956,1594.11077298348,1542.52180985426,1630.73477502983,1720.31588810935,
BEL,5609.48271408916,5615.40613034968,5549.63760862596,5445.56547084695,5302.04532963844,5425.00683224834,5161.34227289199,5511.7845410221,5064.3293559452,4824.26721189629,5000.3761351143,4701.13625880154,4661.53453241131,4904.12819808335,4863.48372195372,4660.13377266864,4773.932613509,4358.9412773027,4793.0468713018,4333.0426748,3997.42195773972
BEN,301.499151686105,305.279536303894,296.647429948477,339.270972775752,358.123373575729,355.191568797727,361.653717680842,363.74357481978,352.901249030589,346.220822053438,366.743087755895,367.294184971858,379.492026672934,409.038821084068,412.304352119196,423.283323822533,414.543641080217,426.185478700943,376.055295296953,375.820983649337,
BFA,145.412202886927,149.202025520624,152.454065294215,160.051947053493,167.380496993818,168.80031087063,171.44988829824,227.93902505697,235.67491386243,249.069045065321,258.229706435665,264.949904576004,279.219982120516,271.615575346763,285.313799439353,299.913437292717,302.330693379864,263.88298802906,303.171853475007,312.929085804227,
BGD,153.143093984627,154.242895346549,159.825599702335,168.32467252269,174.011519357534,180.396452212736,187.659357547152,195.590116597033,200.299626883527,208.040539602777,218.935059190067,224.107149946033,237.713163558492,255.923548835134,260.880286120411,257.873889464682,273.340023331257,272.076572071717,292.487219529267,297.118356342706,
BGR,2489.50818804189,2439.63673677668,2599.1917342682,2696.78264240444,2665.00511750437,2647.46208110447,2337.23945196707,2393.89142256038,2592.51617710519,2493.2350032221,2319.40844484738,2447.96331654467,2566.46526638593,2521.31461755681,2627.07813312518,2640.81252169616,2628.47684344995,2517.25256562329,2760.96448580193,2888.48505138988,
BHR,11894.9484733033,11271.2138903395,11975.4282360997,11582.0205666291,11533.9934710843,11593.7971674415,10432.8967547383,10317.976004905,10624.3872166304,9996.52196196405,11219.433931134,10257.0253426946,10405.6390717453,9878.66504979139,9444.4239393348,9533.85538285247,10388.189018559,10832.91852134,10666.0574068433,10701.7927575092,0.0
BHS,,1954.1941597848,2023.87945122625,2026.55184786509,2006.59998754719,,,,,,,,,,,,,,,,
BIH,1052.76815633322,1161.36225812454,1230.32229950965,1304.39455421949,1321.60129723785,1510.20925021027,1602.5317512912,1700.48373318065,1909.67028647304,1821.21222097011,1787.39246392599,1682.31287779308,1755.04377103361,1945.25475764264,1966.74296405564,2205.40019359849,2157.71633026544,2152.73018925591,2267.26088940872,2270.72637629896,
BLR,2652.43981373496,2760.11626065827,2776.99847069087,2974.24553406449,2925.85288440163,2939.40597422615,2789.00314061154,2895.6108099575,3081.68018120351,3219.42653369693,2870.32580279278,2923.57682069269,2660.14026759548,2639.09486268036,2692.58344898873,2849.29477344053,2748.96883661007,2673.86548599188,2929.27533668037,2862.48703453706,
BLZ,,570.507346662348,575.5529419335,597.475319406137,601.148260722729,,,,,,,,,,,,,,,,
BOL,524.19320800163,523.192178579792,567.496536227946,568.36995826632,570.3375548833,572.261293056089,586.284286067628,625.49842839535,660.399933602591,703.763401801031,699.363675306555,757.547132518494,748.85994552389,778.965230116872,800.888183667631,803.127890554365,795.54274549867,657.745469205531,757.863166521587,798.293220052314,
BRA,1107.9739157885,1157.16905577095,1173.71585743449,1202.05933940304,1257.18369855417,1314.44467157094,1258.83931042818,1381.00123628752,1386.56123964361,1429.55235018298,1483.68231791026,1517.77055485822,1477.71135638764,1411.50090973164,1428.63671291905,1400.2173612336,1412.60729823853,1375.83163242979,1426.92356611297,1428.99253421834,1477.28505055306
BRB,,1402.92856661853,1451.40041532381,1474.06315508774,1478.1339388399,,,,,,,,,,,,,,,,
BRN,7227.93461469148,6509.41375687627,6180.90186134327,8644.25613377398,8703.6654696927,9379.39547102847,7906.16450304433,8261.092768512,9699.3002516897,9446.07290658886,7399.88850699904,8529.79303823974,6437.00247398227,7008.28171997556,8385.25858976533,8304.04242825767,9219.80339333238,9175.89257228992,8962.62325631033,9537.0515607056,
BTN,,276.691507415332,308.219954220272,314.550260212075,359.542084843091,,,,,,,,,,,,,,,,
