country_code,2004,2006,2008,2010,2012,2014,2016,2018,2020
AFG,,63.6,63.6,64.80761,67.24795,69.68829,72.12863,73.3,73.3
AGO,19.66039,25.79191,31.92344,38.05496,44.18648,50.31801,56.44953,62.58105,62.6
ALB,23.0,20.5,17.9,15.4,12.9,10.3,7.8,5.3,2.8
ARG,18.84059,18.11494,17.3893,16.66365,15.93801,,,,
ARM,11.81793,11.3289,10.83987,10.35084,9.86181,9.37278,8.88375,8.39472,8.39472
AUT,4.4,4.4,,,,,,,
AZE,38.93333,32.93,26.92667,26.92667,26.92667,,,,
BDI,77.04306,71.68054,66.31802,60.9555,55.59298,50.23046,44.86794,39.50542,36.8
BEN,71.07914,70.68586,70.29258,69.89931,69.50603,69.11276,68.71948,68.3262,67.93293
BFA,71.07927,65.51314,59.94701,54.38089,48.81476,43.24863,37.6825,32.11638,26.55025
BGD,57.02246,56.3783,55.73415,55.08999,54.44584,53.80168,53.15752,52.51337,51.86921
BIH,5.1,4.9,4.7,4.5,4.3,4.0,4.0,4.0,
BLR,14.50194,12.97371,11.44548,9.91726,8.38903,6.8608,5.33257,3.80434,2.27611
BLZ,15.75733,15.75333,15.74933,15.74533,15.74133,15.73733,15.73333,15.72933,15.72533
BOL,53.41721,51.15337,48.88953,46.62568,46.62568,46.62568,,,
BRA,28.12555,24.81844,21.51132,18.20421,14.8971,14.8971,14.8971,,
BWA,54.44714,52.32451,50.20189,48.07927,45.95664,43.83402,41.71139,39.58877,39.6
CAF,80.28114,77.43913,74.59712,71.75511,68.9131,68.9131,68.9131,,
CHL,7.324,7.3,7.3,,,,,,
CIV,63.9953,62.45466,60.91402,59.37338,57.83274,56.2921,54.75146,53.21082,53.21082
CMR,58.8254,55.55619,52.28699,49.01779,45.74859,42.47939,39.21019,35.94099,32.67179
COD,71.91424,72.37482,73.29596,74.21711,75.13825,76.0594,76.98054,77.90169,78.36226
COG,84.68995,78.45821,72.22646,65.99471,59.76296,53.53121,47.29947,44.18359,44.18359
COL,18.48794,17.14349,15.79905,14.4546,13.11016,11.76571,10.42127,9.7,9.7
COM,65.67836,66.27029,66.86223,67.45416,68.0461,68.63803,68.6,68.6,
