country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282
AGO,0.67958,0.69264,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057,0.7057
ALB,1.57578,1.48844,1.4011,1.27242,1.24774,1.22306,1.19838,1.1737,1.14902,1.12434,1.09966,1.07498,0.92,1.092,1.091,0.958,1.131,0.786,0.796
ARE,2.20808,2.50404,2.8,2.7744545455,2.7489090909,2.7233636364,2.6978181818,2.6722727273,2.6467272727,2.6211818182,2.5956363636,2.5700909091,2.5445454545,2.519,2.445,2.501,2.443,2.381,2.3
ARG,32.3635181818,33.0291159091,33.6947136364,34.3603113636,35.0259090909,35.6915068182,36.3571045455,37.0227022727,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69
ARM,1.976,2.503,2.771,2.827,3.012,2.873,2.464,2.126,2.438,2.941,2.955,2.86,3.272,3.182,2.865,2.714,2.865,2.83,2.967
ATG,0.0046466667,0.0048733333,0.0051,0.005,0.0049,0.0048,0.0047,0.0046,0.0045,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044
AUS,20.1336,19.4334,18.7332,17.55665,16.3801,15.20355,14.027,13.175,13.215,15.868,19.148,18.463,9.22,10.623,12.05864137,12.33,10.56,8.67,11.44
AUT,3.566125,3.55525,3.544375,3.5335,3.522625,3.51175,3.500875,3.49,3.4511111111,3.4122222222,3.3733333333,3.3344444444,3.2955555556,3.2566666667,3.2177777778,3.1788888889,3.14,3.14,3.14
AZE,10.518,11.175,11.8,12.144,12.085,11.53,11.14,10.97,11.296,11.975,11.994,11.592,11.689,11.878,12.12,12.167,12.59,12.20308,12.96786
BDI,0.28326,0.28168,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801,0.2801
BEL,6.6191666667,6.5026333333,6.3861,6.30005,6.214,6.129,6.002,5.953,5.082,5.3,4.829,4.556,3.994,4.193040325,4.39208065,4.175,4.199,4.223,4.223
BEN,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
BFA,0.75,0.784,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818
BGD,,,,,,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87
BGR,6.51132,6.43394,6.35656,6.27918,6.2018,6.425,6.1203,5.96,6.385,5.7146,5.468,5.376,5.6294,5.689,5.658,5.425,5.422,5.076,5.076
BHR,0.2387,0.2332818182,0.2278636364,0.2224454545,0.2170272727,0.2116090909,0.2061909091,0.2007727273,0.1953545455,0.1899363636,0.1845181818,0.1791,0.1591,0.1551,0.1551,0.1551,0.1551,0.1551,0.1551
BIH,0.3774,0.379,0.3787,0.3804,0.3896,0.3919,0.4299,0.4354,0.4236,0.4377,0.4358,0.4124,0.4185,0.4196,0.4009,0.312,0.3055,0.301128,0.306447
BLR,1.7584,1.7322,1.706,1.6744,1.6428,1.6112,1.5796,1.548,1.5366666667,1.5253333333,1.514,1.571,1.448,1.452,1.397,1.39,1.358,1.328,1.425
BLZ,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101
BOL,2.0134646465,2.0285353535,2.0436060606,2.0586767677,2.0737474747,2.088,2.088,2.09962644,2.11125288,2.12287932,2.13450576,2.1461322,2.15775864,2.16938508,2.18101152,2.19263796,2.2042644,2.2091419,2.2049101
BRA,57.07,57.39,57.71,58.03,62.22,66.401,70.585875,74.77075,72.315625,69.8605,67.405375,65.022,63.86,66.31,65.68,66.5,67.44,67.19,67.31
BRB,0.081,0.081,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
BRN,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092
BTN,,,,,,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379
BWA,0.1948727273,0.1951636364,0.1954545455,0.1957454545,0.1960363636,0.1963272727,0.1966181818,0.1969090909,0.1972,0.1944,0.19115,0.1879,0.1879,0.2013,0.193,0.204,0.202,0.2204276,0.2336215
CAF,0.06998,0.07124,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725,0.0725
CAN,41.6422818182,41.5610363636,41.4797909091,41.3985454545,41.3173,40.0573,38.7973,37.19865,35.6,36.44,37.28,36.505,35.73,35.9915,36.253,36.253,36.253,36.253,36.253
CHE,2.46665,2.4153,2.36395,2.3126,2.26125,2.2099,2.15855,2.1072,2.05585,2.0,1.72,1.704,1.705917,1.704,1.704,1.704,1.704,1.704,1.704
