country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,2074.0728619377,2001.21779302052,1932.01542973493,1854.5400280537,1819.77110482916,1780.41283072348,1716.66156765389,1667.01497792628,1606.59905707117,1542.86477560856,1491.01733994664,1437.82776335935,1393.66070300088,1358.76566096298,1321.13777001191,1283.23626143172,1245.50531735674,1206.83983064927,1178.73785900005
AGO,8248.01468057445,7956.80829409095,7671.90735694964,7394.35108548824,7122.72615991069,6858.62951143155,6602.78825933236,6353.34242691241,6111.06816846993,5878.28907153775,5656.27720650227,5449.03570292874,5256.09282373572,5071.43354006278,4895.01531660215,4728.86433287626,4571.3393332368,4424.36447292725,4285.82651976205
ALB,8849.80208026277,8886.86557608197,8932.46426101125,8988.99833486324,9057.18721475332,9126.95423697645,9188.66794715935,9234.39961469553,9259.27519495249,9274.57961847344,9291.58727943706,9310.84516168334,9337.99839830763,9352.93996977158,9361.54604018783,9384.67249237365,9424.7371672043,9479.0103349403,9567.2814623074
AND,4541.9221138071,4246.21594349142,4076.41337621576,3965.57140164604,3854.56233130183,3779.86705790766,3762.15906923517,3910.48992639952,4057.44185747528,4107.55655048546,4197.14338910019,4280.07648805891,4372.7658159448,4372.34175198459,4278.56784566788,4198.93031052926,4126.89280016738,4078.573274748,4027.35950181206
ARE,35.778542272467,33.867942569904,32.1557883634633,29.9454991914715,26.6683971493261,23.7994600378507,22.3645002026224,21.8345760118361,21.113265915391,20.2937232325791,19.4981665873958,18.6117149578631,17.6361928538852,16.7877342098769,16.2632918529039,16.0484431886716,15.880098901256,15.9556848935192,15.6655476591912
ARG,7599.36125807113,7522.68734299611,7445.79062809043,7369.62173775933,7296.94203401709,7223.40517850865,7147.25756667553,7072.15394122178,6997.2533384327,6925.71349257778,6857.28429701857,6786.89843181042,6716.19291592532,6651.43321415499,6593.07500431146,6539.03866546999,6492.71742793223,6461.32559183917,6444.16907637027
ARM,2155.22388059702,2167.20907453632,2179.95169082126,2193.40603114707,2207.31157881187,2221.82630948139,2237.11676451402,2252.69311613242,2265.26635622048,2268.11282695678,2269.68894771674,2275.8643572898,2282.83298941623,2292.21668950306,2302.14137074579,2310.20545638262,2315.27426160338,2316.05605267601,2315.43057759174
ATG,667.659596322736,660.577497173491,653.176068633731,645.12927398144,636.443748164104,627.170976456966,617.775296116332,609.470229723394,602.325904647176,595.920238368095,590.479651162791,585.816481721399,581.596930957734,577.976858695773,574.78887562453,571.893627785232,569.151963574274,566.165102454108,563.081354427227
AUS,24948.3576602639,24683.0312488179,24384.3883612323,24057.5432964878,23622.4759600496,23153.8139390572,22681.535611878,22331.4080815187,22023.2529741239,21642.1033925097,21272.7972937197,20957.8540111671,20658.3852574709,20338.220472676,20006.027832451,19708.9658729642,19419.9083901346,19181.8489181437,19154.841666546
AUT,6772.21220960908,6730.32658236708,6684.63090324313,6651.63719164975,6630.11104712719,6609.38850418242,6592.09765701268,6576.26966244845,6554.13963630245,6524.32487768967,6485.98443623175,6435.49133689259,6363.75280453479,6295.30617393267,6251.72917145492,6221.35279131173,6193.74949323868,6168.08779409443,6141.27363538946
AZE,985.535759828032,976.945765364474,967.009658180258,956.444360631972,945.660913847552,926.010452564073,906.98330200711,896.256068365949,884.653598430713,872.976394460112,861.757618112563,851.067935567183,840.990073829912,831.641355664569,823.520684373596,816.417199148753,809.534208082513,804.012950999002,800.473477842717
BDI,1428.33736135828,1376.07350147511,1325.90003372742,1278.99559941604,1232.56007137576,1182.74504308143,1124.31806086204,1072.90141123863,1035.19476994083,998.90497772422,963.662361445996,931.500025231984,910.606666799426,895.061511456387,874.268538794841,848.268966358125,820.866926863531,797.334651339665,775.906424142691
BEL,1156.5002106276,1151.50582897049,1145.18929358712,1137.66095769437,1129.33736130326,1120.45100393811,1111.47203077888,1101.36343286171,1087.1274685947,1080.40636244104,1075.32595594013,1070.56284931016,1064.37745095083,1059.00212700577,1054.93040184585,1050.13943226312,1044.47914436269,1039.9871596252,1035.71534917201
BEN,1301.64398899542,1262.39506494226,1222.38594545738,1184.82839888732,1150.3278601925,1116.11182183474,1083.13616925023,1051.2903108594,1020.44627583178,990.607787889137,961.822734389197,933.81652445457,906.635790583329,880.50428446546,855.497359586305,831.762204515467,809.318636211666,788.054079484359,767.887854377449
BFA,955.472533910102,925.889370441893,897.207123422611,869.643439928197,843.665023949625,819.23737127569,795.66820406738,772.725963308004,750.214201158715,727.91702118652,706.39791371875,685.703214154275,665.690781732401,646.500806626126,628.317295408705,611.597214013228,596.318510795178,581.972178005269,568.304701157428
BGD,744.837472952025,734.764881116162,725.560098882371,717.183854240701,709.510860644918,702.462063971093,695.946279946419,689.872755335556,683.633468392395,677.113120600857,670.78875513496,664.70450539056,658.789720839989,652.936624130602,647.404244704081,642.111102796282,636.699138221653,631.39655826578,626.271726752946
BGR,2700.85103816212,2721.3141096249,2741.88233094468,2762.78637267462,2783.17551844596,2802.77998404017,2820.8960697261,2839.52658871851,2857.79295643853,2874.39391351195,2890.52547688509,2907.00169353613,2925.60968661008,2946.20151850032,2967.80063502454,2989.30809901784,3010.42423901851,3028.54839512173,3053.32723249473
BHR,5.23206154997207,4.85589523891612,4.50033865048345,4.16482720131942,3.84876286328713,3.6248432255305,3.39438992205632,3.25588929325225,3.34722431423742,3.3086179571931,3.19185184062126,3.04283860327622,2.91902195250459,2.80952936168898,2.66468414166527,2.66118285586169,2.69586104453832,2.7170147615412,2.65892918274488
BHS,2085.70458080317,2060.14444555627,2035.51094232525,2009.32902762827,1981.1283374937,1954.6520719312,1929.3845263361,1904.8759381514,1883.09225268946,1864.33500502039,1847.19477085549,1831.03233603105,1816.54928298205,1803.86800840087,1792.64248306593,1782.4540317837,1773.61119908786,1768.28852406009,1766.01332583198
BIH,8495.82496015937,8572.83541339299,8665.94914235176,8736.80127739418,8845.31512244906,8992.93332765892,9149.97033347647,9313.9868271366,9487.41754632399,9672.72669806079,9831.4556176245,9958.40193176166,10089.4092181958,10221.7015073123,10353.8327555603,10481.2518452908,10611.1642001439,10759.6983526144,10940.2210910821
BLR,3470.53905331248,3494.29494685897,3518.24286533977,3539.85101808198,3556.13085850333,3568.43550866211,3577.22164139132,3585.04723194285,3593.45623165025,3599.08862607544,3600.47022141092,3598.4490684515,3593.67158661446,3590.52056106319,3594.46448240927,3602.15854053249,3609.43455235262,3624.7520243174,3654.89807402996
BLZ,57851.2396694215,56167.3684520479,54552.4092789144,53008.5661287073,51536.6430260047,50137.8297482266,48814.1925825459,47651.0171899639,46624.1773551931,45632.0608586961,44668.6005497224,43734.5775428963,42825.1102199347,41842.036714605,40889.3843012631,40134.0255532236,39551.2001430686,39046.9074644586,38599.1005347215
BOL,33533.3178649165,32973.7653769379,32422.6018545087,31874.5970384036,31334.0133554134,30809.4990304398,30300.6856341305,29806.4934943768,29326.7061741365,28861.3132591726,28410.6652607678,27975.2173678998,27554.0743033971,27146.6419559178,26752.8469745086,26372.1146212912,26003.766819125,25684.861224314,25424.3819403955
BRA,31341.5776427821,30989.4379007,30651.6769047292,30328.9890070193,30023.4969264764,29737.2497299983,29472.1024788266,29225.3155620355,28988.4410524378,28754.1234497465,28522.0098545887,28292.957527023,28069.8404207011,27856.7687130489,27654.639617814,27466.2812582813,27287.7851818785,27130.1502751532,27014.9943096715
BRB,301.005357895371,299.291427545287,297.723162117705,296.294101525174,294.889563858335,293.347609583666,291.839794544785,290.652260002979,289.709168208764,288.873321826546,288.11697549205,287.410004742265,286.748628983118,286.125079578538,285.539902416738,284.99061312168,284.487939489415,283.992076621062,283.540140423255
BRN,24521.329229136,24085.3926344036,23682.4215136689,23309.1923227747,22918.8967651999,22499.0934188828,22080.6749932459,21665.3242661827,21282.5090325472,20958.8294617033,20671.1056852836,20395.9208158368,20132.0663552907,19880.0647388461,19640.8270405664,19414.8146456225,19201.2288786482,18998.4890613405,18816.9246061175
BTN,127026.344636587,119899.653213311,117848.806025398,116279.243111573,114935.584499021,113644.476368505,112393.874245664,111169.387941257,109955.637129481,108744.296152543,107545.710373887,106391.830198639,105317.451101648,104296.75904507,103402.334506552,102664.134284688,101984.247356255,101297.911964322,100587.793800181
BWA,1351.55225776805,1328.06093143553,1304.43502473263,1280.3304959787,1255.75488920318,1230.78816597178,1205.6224201564,1180.45694504629,1157.44368915885,1138.18678309053,1121.13802984283,1104.94999180495,1089.28852666011,1073.9331369229,1058.78600479012,1043.86812292069,1029.12289142368,1014.41569233448,999.399943617187
CAF,34364.3784215101,33628.8698839399,32876.2523870258,32209.5843387407,31594.7270417252,30927.94359445,31132.377297034,31382.1849345481,30887.0430168886,30580.0581584993,30372.0969606578,30498.4748599558,30458.0370335168,29913.0421500222,29414.76508555,28901.3964293862,28515.3628033878,28050.6136519353,27581.6200778545
CAN,90068.8476790727,89233.1388583174,88392.0134311199,87500.6328444893,86655.4130170295,85721.2516938971,84745.5888359908,83808.9811586236,82995.4762223639,82100.8720120864,81240.5760931732,80431.0744355446,79821.875663957,78923.7503247989,77985.8845548956,76876.1420153202,75760.6065846069,74943.5201965424,74529.5537661954
CHE,5504.83642119684,5467.12451579072,5432.21397006769,5398.23039593882,5350.20183106685,5282.65126329244,5217.05600238435,5162.99933967283,5105.91100194909,5051.9822715438,4994.22326600939,4933.65877570281,4877.81554999302,4824.8380753291,4780.02423140997,4744.94232017579,4711.21642675225,4676.91814710227,4641.25297287188
CHL,55227.063732406,54672.4158572987,54132.4862323043,53606.4902013696,53084.3475492816,52556.6025701782,52029.0414939543,51508.9983018909,51003.3070890102,50516.2388588148,50036.7331814101,49540.4354912158,49036.9231408565,48447.4348889741,47686.0980960692,46842.2724356092,46099.1666520816,45687.738298983,45486.4724258948
CHN,2183.25054330953,2170.32193353008,2157.59518915104,2145.5813031075,2134.40474699993,2123.49630658549,2112.96065381668,2102.78050840806,2091.32104369031,2077.18267008322,2063.39309292568,2050.42788622746,2038.54014175351,2026.8916766946,2014.66106581007,2005.26105677379,1998.16017815727,1993.40939692439,1991.63102891614
CIV,4017.66391770753,3921.40852258229,3828.89407845884,3739.75473166092,3653.7309185995,3571.55489854976,3493.05434963456,3416.92359925143,3343.48620659647,3274.3744236074,3209.72106045274,3132.82352243277,3043.60924842102,2956.58942557554,2874.31005710765,2797.826826972,2725.49836734348,2657.40296821952,2592.46573586216
CMR,16893.2089300101,16435.4001180098,15988.6671390254,15555.1948168495,15124.7408849336,14697.9205834202,14282.7441326435,13880.3683087092,13493.2729361915,13118.9898627691,12755.5931173249,12375.4000076066,11992.9286529692,11639.7256759685,11314.3733447289,11005.2320001671,10703.3240486245,10415.6500597965,10142.7572650936
COD,16261.9644919283,15790.0994707843,15312.4443009839,14847.5875342823,14405.1277645201,13977.181536752,13551.7587743573,13126.6062043517,12703.0169707649,12285.9148620501,11875.0123285718,11479.1171518137,11106.2393112473,10719.8479115622,10334.9205551212,9994.70902314779,9682.89154208246,9375.97685958906,9077.25360067418
