country_code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,0.0,0.0,0.0,0.527983104540655,0.1,0.141163456065734,0.1,0.1,0.1,0.1,0.1
AFG,0.4,0.4,0.4,0.104707040342723,0.1,0.104707034792812,0.1,3.6,3.6,3.6,3.6
AGO,8.9,5.0,5.0,5.00471334206571,5.0,5.00471082728009,5.0,5.0,5.0,5.0,7.7
ALB,7.7,1.8,2.2,13.1477494617734,13.5,13.5256825491485,14.2,14.2,14.2,14.2,14.2
AND,9.2,18.2,21.1,21.1909302818394,26.7,26.7277247815139,26.7,26.7,26.9,26.9,26.9
ARE,15.9,15.9,15.9,9.23566752233697,11.6,15.0438947733197,15.0,15.9,15.9,15.9,15.9
ARG,5.0,7.3,7.4,7.52859334896618,7.5,7.40512875012761,9.4,9.4,9.4,9.6,9.6
ARM,23.3,23.1,23.1,23.1090030789546,23.1,23.1105028060216,24.3,24.3,24.3,24.7,24.7
ASM,8.6,8.7,8.7,8.70852175263238,8.7,8.71956554004454,8.7,0.0,8.7,8.7,8.7
ATG,0.1,0.2,0.2,0.271690243750207,0.3,0.258339766209328,0.3,0.4,0.4,0.4,0.4
AUS,28.1,29.0,28.7,28.5918417236676,29.7,29.7087937305528,29.9,30.4,32.1,32.1,32.1
AUT,24.0,28.3,28.4,28.4439825865815,28.4,28.3979816556051,28.4,29.1,29.3,29.5,29.5
AZE,6.4,5.5,5.5,5.51874580872895,5.5,5.51915683577014,5.5,5.5,5.5,5.5,5.5
BDI,5.0,7.0,7.0,7.59254563428626,7.6,7.59147170587878,7.6,7.6,7.6,7.6,7.6
BEL,24.3,24.2,24.2,24.5781622457406,24.7,24.6491730272904,26.1,17.6,17.8,17.8,17.8
BEN,23.5,23.5,22.9,28.8719449693959,23.5,23.4719085609043,23.5,23.5,23.5,23.5,23.5
BFA,15.8,15.8,15.8,15.084819776291,14.9,14.9228805539331,14.9,16.4,16.4,16.4,16.4
BGD,3.5,4.9,4.9,4.88867647961894,4.9,4.88864858128713,4.9,4.9,4.9,4.9,5.9
BGR,35.0,31.5,32.8,28.2871319536603,28.3,28.2969904804196,32.8,33.1,33.1,33.1,33.1
BHR,7.3,7.3,1.7,1.69477264805221,1.7,1.68635200570205,1.7,1.7,1.7,20.5,20.5
BHS,0.5,0.5,1.2,1.24025812422249,8.6,8.55510641678468,8.6,8.6,8.6,8.6,8.6
BIH,1.6,1.1,1.5,1.45241014188329,1.4,1.39514750796966,1.4,3.6,4.0,4.1,4.1
BLR,8.3,8.6,8.8,9.51125836698787,9.4,9.35349335261767,9.4,9.4,13.8,13.8,13.8
BLZ,18.3,20.5,20.5,20.5917919778095,20.6,20.5904509930421,20.6,21.1,21.1,21.1,21.1
BMU,0.0,0.0,0.0,0.0338708242033383,0.0,0.000390137013900296,0.0,0.0,0.0,0.0,0.0
BOL,21.4,25.3,30.9,30.8655154573011,30.9,30.8654914952935,30.9,30.9,30.9,30.9,30.9
BRA,18.9,20.4,20.4,20.7372842292403,20.7,28.5782526119273,29.2,29.2,29.3,29.3,29.5
BRB,0.0,0.0,0.0,0.00916620431253737,0.0,0.00887361505544849,0.0,0.0,0.0,0.0,0.0
BRN,9.0,9.0,9.0,8.98923250400346,9.0,8.98950185960816,9.0,9.0,9.0,9.0,9.0
BTN,28.8,48.0,48.0,48.0073121564601,48.0,48.0078510451912,48.0,49.7,49.7,49.7,49.7
BWA,29.1,29.1,29.1,29.1432918377963,29.1,29.1432374214094,29.1,29.1,29.1,29.1,29.1
CAF,18.1,18.1,18.1,18.0648063941797,18.1,18.0648242198926,18.1,18.1,18.1,18.1,18.1
CAN,6.3,6.3,6.2,6.47711948156826,6.5,6.47719362274678,8.1,9.5,10.8,11.4,11.5
CHE,24.8,9.7,9.7,9.65051637879546,9.7,9.66518426119507,10.0,12.0,12.1,12.1,12.1
CHL,6.8,6.8,6.8,13.5939050071834,13.9,27.0392385768099,37.6,37.8,37.8,37.9,37.9
CHN,15.8,15.9,15.9,15.9392803086493,16.0,14.5876416474392,14.7,14.7,14.7,14.7,14.7
CIV,14.9,14.9,14.9,14.8914750759545,14.9,14.8915471093909,14.9,14.9,14.9,14.9,14.9
CMR,10.8,10.8,10.6,10.3820772995156,10.4,10.3821451142253,10.9,10.9,11.0,11.0,11.0
COD,12.8,12.6,12.6,12.6343110542534,13.7,13.7567562191358,13.8,13.8,13.8,13.8,13.8
COG,33.0,33.6,33.6,36.7093039291158,36.7,36.8382795180106,36.8,33.3,33.3,33.3,33.3
COL,18.1,18.1,9.3,9.44644364805646,12.7,15.6885212658182,15.7,17.0,17.0,16.7,16.7
COM,0.3,0.1,0.1,0.126191492899187,0.1,0.125684891164512,0.1,0.7,0.7,0.7,0.7
CPV,0.0,0.0,0.0,2.60303687635575,0.0,0.0155917052278871,0.0,0.0,0.0,0.0,0.0
CRI,3.0,3.0,3.0,3.03546193741007,3.0,3.03538959317313,4.7,4.8,4.8,28.8,28.8
CUB,4.9,4.9,4.9,7.18434684613918,7.2,7.18462280816919,6.7,6.7,6.7,6.7,6.7
CUW,0.1,0.1,0.3,0.258181114051507,0.3,0.258715834177835,0.3,0.3,0.3,0.3,0.3
CYM,0.1,0.1,0.1,0.103424001708164,0.1,0.1034531661285,0.1,0.1,0.1,0.1,0.1
CYP,1.9,1.7,1.7,1.68711670729969,1.7,1.68708521970488,3.4,11.2,11.2,11.2,11.2
CZE,21.9,21.8,21.7,21.6859243630073,22.2,22.1556760039807,22.2,22.2,22.2,22.2,22.2
DEU,38.9,38.5,38.5,38.7268950286066,38.8,38.7874034693079,38.5,38.8,38.5,38.7,38.7
