country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,336945700.0,339224000.0,324813400.0,401389600.0,455457100.0,691873900.0,686970110.0,708713690.0,689775980.0,768622300.0,653170670.0,680351000.0,815800560.0,922550890.0,907111452.513966,980247680.0,982300000.0,1212578720.0,1512960280.0,1543940590.0,1468151730.0
AFG,,,,,,3042274496.10726,4265888740.23846,5162440806.75156,6344641959.56008,7152304397.72645,7288702710.90529,7528549879.63682,6976966153.82054,7281910524.1067,8097280955.90196,8206682106.31946,8497655795.34729,9748946326.71795,,,
AGO,634199422.3308,1379588147.35472,3196850749.33725,8149079645.64961,11196800894.0338,17869411576.4837,13664098153.6474,19678661657.2159,27039761554.085,31161778888.6797,31500815461.6599,27032344084.4907,23790543425.2351,23672191989.4347,17455327770.6619,15410405365.47,16334853784.0603,13781988139.5961,14468113825.809,13654715740.4529,13942114198.8828
ALB,1038294231.23302,1387912853.56431,1439592137.1131,1812802559.88129,2161936583.38148,2363791896.73249,2368942443.29456,2540673823.18045,2471402724.94026,2599863597.31882,2773278107.16848,2665215805.2185,3138517990.16501,3108607051.81759,3588583656.8278,3893560031.06681,3763661058.67744,4817386149.20461,5634561133.54085,5266463583.50313,6455445543.45668
ARE,15087811903.6616,18529923697.6481,21010295842.2662,27617445822.5769,77238765358.1158,31694454694.0485,26104201597.7902,32785291883.4009,37269318422.5758,47035150430.9523,68202650660.2746,78424381665.0826,93929134196.4176,85390832746.3078,95377648625.516,99503335478.7452,108359358451.761,106701571777.291,131116705892.304,138433303844.914,189490945175.271
ARG,14157284136.3645,19659591803.9788,28081718501.5579,32022297112.9806,46149456855.7802,46385380206.9801,48006988635.3253,52207549724.0928,46265800525.8807,43223270863.843,30533919650.6264,31410813269.5239,25520565580.4894,38414518491.6132,55314409205.2189,66221501691.4418,44880566052.3703,39403734630.1228,39653498610.7828,44795335171.5152,23080560550.2946
ARM,501977062.059943,547758869.582332,669480407.701409,1071917964.48804,1659090453.02799,1406800823.43427,2003623407.8546,1865824296.86233,1932471998.58389,1799374398.90816,2251610255.35403,1489443370.96658,1775293493.7543,2204113991.25512,2314113951.27386,2259321868.53197,2849645182.4783,2615530571.20173,3229848044.69344,4111690218.3518,3607482711.24985
ATG,113767366.731074,120139161.912642,127320746.176333,142632588.752235,143848808.510004,138022502.557881,127860399.429427,136600155.264423,147868733.577765,162045101.996445,202580586.969295,297046137.541925,355728253.383608,330090979.265027,313645370.808951,328659747.502549,279133212.713698,221808945.85044,367511735.686638,396505745.512243,364367020.196401
AUS,33258076239.1011,36925537509.3118,43257063108.6613,55078716457.7347,26907894338.8501,32923506492.0435,41742190606.7948,42267797177.4333,46714016758.3861,49138172006.1935,52837027749.6145,53910325023.2378,45406035070.596,52480791522.7773,65653718118.1818,53909533420.3007,57994685703.4779,42544629264.9892,57877502314.3513,56701901829.6459,61703347652.0138
AUT,12729301826.6791,12188419360.202,11827977057.728,12911210327.5257,18193955715.2108,16741449884.8454,17903949014.9959,22241623425.0213,24768999165.179,27211429627.7746,23316756962.0136,25001493235.2233,22239731667.636,23255493380.5846,21565331649.2621,23190665221.0656,23616397437.8114,30439562425.1269,33957000220.5267,33077693776.3888,31212271321.99
