country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,5.1,3.1,4.1,4.4,4.5,4.2,3.4,1.9,1.6,1.4,3.2,2.3,1.9,2.0,1.6,1.2,2.2,1.3,1.7,1.8,2.8
AGO,26.1725,15.4393455269743,13.3984966156938,4.50032920949549,6.75643368542821,6.53807760064286,7.58936660757563,12.7562991888339,6.30923166027609,3.60364026674955,3.14507073587628,3.52696441746378,3.31462018020741,5.54431812488231,6.3421932312639,6.87665706999036,6.41540182938613,6.20172843601284,7.04590812053744,7.10358706145982,6.87844405276617
ALB,8.37549739428437,6.60669485084465,5.08755087231281,5.22742521887892,5.6590985397927,6.80274238793673,6.77243622651908,6.41754337281697,5.86175264225151,5.42490848079036,4.16420494025281,1.91416666666667,1.39333333333333,0.830833333333333,0.766666666666667,0.751666666666667,0.4925,0.415,0.478333333333333,0.730833333333333,1.3475
ARG,,,,,,,,9.16684206720562,10.6791717588966,12.0234954622098,14.8544545942618,20.4176836843299,21.169148538645,24.2799621369518,18.9997425636825,31.9214014101395,47.2867933045233,29.3201379160418,33.5453268260542,52.4166674494502,94.9967454783105
ARM,6.87450898516572,4.89601729381373,5.81313993524673,5.83668970684598,6.25430323671206,6.62801860934559,8.65292863099265,8.95025892533692,9.2480433144904,9.56911001362681,10.1602652886801,10.4257850294385,14.1481591743434,11.6156571999545,9.01333497947312,8.66373059436086,8.48695110316131,8.11789155473093,8.24152656341881,8.47420281235438,8.36266526105075
ATG,4.85700062575664,4.12193447107937,3.85810817971604,3.8345593131892,3.52392393360455,3.53720155682139,3.48357886848825,3.37030687182617,3.37537690057588,3.16043061576853,3.04434917695378,2.89339395353989,2.46616666666667,1.9275,1.755,1.65208591666667,1.57648958333333,1.5146045,1.582366,1.5552775,1.3615355
AUS,3.50833333333333,3.85,3.89166666666667,4.0625,4.52916666666667,4.725,3.07916666666667,4.2125,4.3375,3.91666666666667,3.25,2.90416666666667,2.30416666666667,2.14166666666667,2.00833333333333,1.97916666666667,1.55833333333333,,,,
AZE,9.54333333333333,9.18166666666667,8.52,10.5808333333333,11.5566666666667,12.2241666666667,12.1958333333333,11.64,10.8741666666667,10.215,9.89166666666667,9.17166666666667,8.99833333333333,7.73289026685328,8.42833333333333,10.2758333333333,9.69416666666667,8.69070698083209,8.70763056465377,8.97568574843729,8.65296633761584
BEN,,,7.6075,7.82166666666667,7.81333333333333,8.12416666666667,8.57916666666667,8.38666666666667,8.50083333333333,7.9925,7.65416666666667,7.25833333333333,6.99833333333333,6.925,5.26666666666667,5.39333333333333,5.31166666666667,5.095,5.3,,
BFA,,,7.6075,7.82166666666667,7.81333333333333,8.12416666666667,8.57916666666667,8.38666666666667,8.50083333333333,7.9925,7.65416666666667,7.25833333333333,6.99833333333333,6.925,5.58166666666667,5.39333333333333,5.31166666666667,5.095,5.3,,
BGD,7.11,5.80166666666667,5.53416666666667,5.985,6.99333333333333,7.54666666666667,7.81416666666667,7.21083333333333,8.8375,10.2158333333333,11.7216666666667,9.8,8.24416666666667,6.19916666666667,5.60583333333333,6.6575,6.775,6.0675,5.045,5.55522939207449,6.51833333333333
