country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALB,,,,,,,,,69.6376739165201,63.6691526405469,70.5807697920008,73.3202274771466,79.8644181475793,80.7355819675527,75.8887278169195,63.6337624893814,74.8082829284774,83.4542023884025,81.9201331889469,,
ARE,,,,,,,,,,,1.84568513687825,,,,,,,,,,
ARM,,,,,,,,,,,,,,,,,50.0284206863703,63.4012140067668,60.080359768226,46.5518225541677,48.2562845172053
AUS,25.0737136225763,22.8610710239339,22.4060502981278,21.439297308383,20.0957188232021,18.1805465955822,23.8686549747471,28.6633975352712,30.0953996273683,39.441661369273,37.5600008066242,41.7223304965257,46.4820384628409,54.6779869160885,53.3164358193161,54.5030658860126,60.2260851971351,69.3215748590956,70.0109117652417,58.0466964106785,
AUT,67.4930495923101,67.2392362095247,75.0302194409649,71.0906232773076,67.3081298937469,72.8247233697949,84.256028782706,87.6567178372011,87.866630904677,92.4903678869107,89.5758769414562,97.8910849273006,97.3280357189943,96.9275662307516,91.234734613238,86.052092772266,85.0546807677816,101.667208235561,96.0278211815402,76.2214007403381,78.3363673054487
AZE,,,,,,4.57653797474662,6.29501240116287,6.38557579182856,,,,,,,,,,22.1899994626478,16.8224266977958,,
BEL,102.199608448661,98.0987970607766,96.7545771933543,89.3755663540236,83.4782314885846,91.3008843889572,95.5948036312706,93.1802046517235,94.869878328893,103.556484643172,101.11748085884,111.761996278293,108.885649368795,110.598249698212,104.249557076875,101.506490561537,103.200888047045,118.442409069939,108.445297214838,92.4825366392405,
BFA,,,,,,,,,,,,,,,,45.5738610534927,47.0623633717549,73.3851925518101,55.5822235545459,62.5256115534246,
BGD,31.2044521104432,,,,,,,,,,,,,,,,,,,,
BGR,47.3999186252732,40.1767206503232,31.137940040717,27.7378918497081,24.1229128424502,17.9676324294207,20.1600090951992,20.5891365271305,19.4817178682192,21.7962168477584,22.0539393235951,32.502485392112,30.8515489533678,35.5441105426955,32.2350541351225,28.7341635424804,27.0340081427953,32.1034350330448,32.7213944823671,30.1504217452844,30.1482884982849
BHR,32.4533576041094,29.3985591955441,,20.2540605565848,7.54545632569935,7.2926256555605,15.6294022913075,29.0713708137176,34.5689325404164,35.6065986264045,42.2700248553772,43.5275770260668,60.7584088656577,70.5694533398636,77.5251429515026,84.3014580347853,91.3598106259863,111.598089477141,,,
BHS,,,,22.7774542844919,22.9908535609144,25.45550066502,30.908208407968,33.6922817103418,35.306429206242,36.4498330286183,45.1087073625887,47.0213593825462,48.2985803510997,50.7851444432146,53.5285411916611,57.413679671523,57.8283830918394,82.2560302493445,87.3903316559467,82.1595539606932,78.5268925097758
BIH,,,,,,,,,45.8346942869169,49.0902635279898,49.6097513913455,53.5008608706996,,52.2381277367734,47.371562985449,44.8932408077693,44.0235719186881,45.4216368447367,46.9748191378299,41.7435105198961,40.4237746125128
