country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,-2.05267546429388,-1.74900704735252,-2.33284862544039,0.283261805159932,1.5031237019132,-0.630811517861432,-0.640739779224387,2.28247071623154,-1.94743593413573,-1.28044038464162,0.675796502619667,0.355603091056577,,,,,,
AGO,-10.9469953496772,9.74894016774998,0.686789873049251,19.3980562321575,13.5712052829066,6.86063197304132,-11.7848092845677,0.846039375193708,10.6576248111836,6.00022903979157,-4.11898321516234,-10.388973976998,-6.11651494032211,-5.61784570557746,-6.78213179830622,1.80048474405186,1.54751511907853,,,,
ALB,-2.9044418344552,-3.0997216073617,,,,,,,-3.90093447452915,-3.90690803122123,-5.32580498691533,-3.14403302503754,-3.02836282608953,-2.53086190023763,-1.46664722573904,-1.25128696776984,-1.41899930358052,-6.04190259300665,-0.159586002976468,,
ARE,,,,,,,,,0.0734920959567061,-0.185919692487748,0.222493803999855,-0.0835992199249349,-0.00664681830027527,0.117456339762826,0.182054370152296,0.313941949394742,1.04840125863898,1.55786888475406,0.736074630742127,0.0881465659192709,
ARG,-2.82936804297577,-0.425276316786123,,,,,,,,,,-2.90614606577065,-3.39011034719535,-5.33377782706346,-5.51824569508007,-5.3361851652074,-3.98149287494048,-8.69549144913472,-4.37239534904578,-4.43520187555832,
ARM,,-0.848435545377766,-1.00431858662669,-0.300422797422082,-0.566883682178301,-0.542749555115262,-7.60081536696469,-4.96766177398105,-2.76440681102449,-1.30435990207808,-1.56792778161334,-1.77055543483641,-4.70036885380563,-5.48154131539845,-4.05881742875367,-1.84769740060254,-0.533370320713861,-5.20256012924241,-4.42975111838079,-1.9767504112534,
AUS,0.803129840569388,0.811606211860121,1.24913284679105,1.72251484366012,1.630176773126,1.90263209873613,-2.44006655880061,-4.01909957817165,-3.78517918535641,-3.13838924582439,-1.48249723048181,-2.20929600027011,-2.61149575320241,-2.33667126280374,-1.75495191035783,-0.494721898759259,-0.141014389527345,-4.97178379976817,-6.86007722614873,-1.35113968885938,
AUT,-1.78476905921888,-4.6931649409834,-2.44563477584169,-2.17856220084009,-1.20662322151225,-1.28778101663361,-4.2391291764873,-3.13999692964414,-2.09025919692354,-1.97980406230265,-1.88993047762637,-2.75218386036053,-1.12396229295335,-1.11225544443995,-0.806929248348431,-0.00712618854537497,0.456552714526466,-7.18367226695645,-5.20264939007867,-4.18187246865953,
AZE,,,,,,19.5663872915898,7.5704675364802,15.4463675968445,12.8562651203871,5.9727420689504,4.87745350795779,4.62279353578213,-2.72361162191982,2.47593803247652,1.86548911111806,9.50777356040553,6.10461779667433,-5.26445167343868,4.8140053131223,10.1719341686776,
BDI,,,,,,,,-2.79990739878139,-2.89789021873827,-2.73133923059143,-2.0899831106912,-4.08613489819233,-5.9733897878905,-5.77352483575487,-2.46619403868831,,-4.40188598233599,-1.90998603596788,-0.723255673595486,,
BEL,-1.87218928009297,-0.26467245940886,-2.86110458860474,0.126341105607694,-0.44593006962074,-1.21952641004187,-4.59902069076184,-3.22710124148502,-3.66832178027773,-3.63945084600535,-2.65957082867586,-2.54939829607147,-1.09287237268312,-2.62790305253309,-1.08475911081281,-0.281680761223595,-1.71752791613802,-6.75000307277032,-3.72585683818449,-2.54716760158398,
