country_code,2013,2014,2015,2016,2017,2018,2019
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ARE,6.0,7.0,7.0,7.0,8.0,8.0,8.0
ARG,8.0,8.0,8.0,8.0,8.0,8.0,8.0
ARM,8.0,8.0,8.0,8.0,8.0,8.0,8.0
ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,7.0,7.0,7.0,7.0,7.0,7.0,8.0
AUT,7.0,7.0,7.0,7.0,7.0,7.0,7.0
AZE,6.0,6.0,6.0,6.0,6.0,8.0,8.0
BDI,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BEL,5.0,5.0,5.0,5.0,5.0,5.0,5.0
BEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,0.0,0.0,0.0,0.0,0.0,0.0,4.0
BGR,5.0,5.0,5.0,5.0,5.0,5.0,5.0
BHR,6.0,7.0,7.0,8.0,8.0,8.0,8.0
BHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,5.0,6.0,6.0,6.0,6.0,6.0,6.0
BLR,6.0,6.0,6.0,7.0,7.0,7.0,7.0
BLZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,7.0,7.0,7.0,7.0,7.0,7.0,7.0
BRA,7.0,7.0,7.0,7.0,7.0,8.0,8.0
BRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,5.0,5.0,6.0,7.0,7.0,8.0,8.0
BTN,6.0,6.0,6.0,6.0,7.0,7.0,7.0
BWA,7.0,7.0,7.0,7.0,7.0,7.0,7.0
CAF,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAN,8.0,8.0,8.0,8.0,8.0,8.0,8.0
CHE,7.0,7.0,7.0,7.0,7.0,7.0,7.0
CHL,7.0,7.0,7.0,7.0,7.0,7.0,7.0
CHN,6.0,6.0,6.0,8.0,8.0,8.0,8.0
CIV,0.0,0.0,0.0,0.0,0.0,8.0,8.0
CMR,1.0,1.0,1.0,1.0,6.0,6.0,6.0
COD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COG,2.0,2.0,2.0,2.0,1.0,1.0,2.0
COL,7.0,7.0,7.0,7.0,7.0,7.0,7.0
COM,0.0,0.0,2.0,2.0,2.0,2.0,2.0
CPV,6.0,6.0,6.0,6.0,6.0,6.0,6.0
CRI,7.0,7.0,7.0,7.0,7.0,7.0,7.0
CYP,3.0,4.0,6.0,5.0,5.0,5.0,5.0
CZE,7.0,7.0,7.0,7.0,7.0,7.0,7.0
DEU,8.0,8.0,8.0,8.0,8.0,8.0,8.0
DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,6.0,6.0,6.0,6.0,6.0,6.0,6.0
DOM,8.0,8.0,8.0,8.0,8.0,8.0,8.0
DZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,8.0,8.0,8.0,8.0,8.0,8.0,8.0
EGY,8.0,8.0,8.0,8.0,8.0,8.0,8.0
ERI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,7.0,7.0,7.0,7.0,7.0,7.0,7.0
EST,7.0,7.0,7.0,7.0,7.0,7.0,7.0
ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
FJI,5.0,5.0,5.0,0.0,0.0,0.0,0.0
FRA,6.0,6.0,6.0,6.0,6.0,6.0,6.0
FSM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAB,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GBR,8.0,8.0,8.0,8.0,8.0,8.0,8.0
GEO,8.0,8.0,8.0,8.0,8.0,8.0,8.0
GHA,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNQ,0.0,2.0,2.0,2.0,2.0,2.0,2.0
GRC,7.0,7.0,7.0,7.0,7.0,7.0,7.0
GRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,8.0,8.0,8.0,8.0,8.0,8.0,8.0
GUY,0.0,0.0,0.0,8.0,8.0,8.0,8.0
HKG,7.0,7.0,7.0,7.0,7.0,7.0,7.0
HND,8.0,8.0,8.0,8.0,8.0,8.0,8.0
HRV,6.0,6.0,6.0,6.0,6.0,6.0,5.0
HTI,0.0,0.0,0.0,0.0,0.0,0.0,5.0
HUN,5.0,5.0,5.0,5.0,6.0,6.0,6.0
IDN,6.0,6.0,6.0,6.0,7.0,8.0,8.0
IND,7.0,7.0,7.0,7.0,7.0,7.0,7.0
IRL,7.0,7.0,7.0,7.0,7.0,7.0,7.0
IRN,7.0,7.0,7.0,7.0,8.0,8.0,8.0
IRQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,7.0,7.0,7.0,7.0,7.0,7.0,7.0
ISR,7.0,7.0,7.0,7.0,7.0,7.0,8.0
ITA,7.0,7.0,7.0,7.0,7.0,7.0,7.0
JAM,0.0,6.0,7.0,7.0,7.0,8.0,8.0
JOR,0.0,0.0,0.0,0.0,6.0,7.0,8.0
JPN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
KAZ,7.0,7.0,7.0,7.0,7.0,7.0,8.0
KEN,0.0,0.0,7.0,7.0,8.0,8.0,8.0
KGZ,5.0,5.0,6.0,6.0,7.0,7.0,8.0
KHM,5.0,5.0,5.0,6.0,6.0,6.0,6.0
KIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOR,8.0,8.0,8.0,8.0,8.0,8.0,8.0
KWT,6.0,6.0,6.0,6.0,6.0,6.0,8.0
LAO,0.0,0.0,6.0,6.0,6.0,6.0,6.0
LBN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
LBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIE,,,,,,0.0,0.0
LKA,6.0,6.0,6.0,6.0,6.0,6.0,6.0
LSO,0.0,0.0,0.0,5.0,6.0,6.0,6.0
LTU,8.0,8.0,8.0,8.0,8.0,8.0,8.0
LUX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,6.0,6.0,6.0,8.0,8.0,8.0,8.0
MAR,6.0,6.0,6.0,7.0,7.0,7.0,7.0
MDA,0.0,6.0,6.0,6.0,6.0,6.0,6.0
MDG,0.0,0.0,0.0,0.0,6.0,6.0,6.0
MDV,5.0,5.0,5.0,5.0,5.0,5.0,5.0
MEX,8.0,8.0,8.0,8.0,8.0,8.0,8.0
MHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKD,7.0,7.0,7.0,7.0,7.0,7.0,7.0
MLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT,0.0,0.0,0.0,4.0,4.0,5.0,5.0
MMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNE,5.0,5.0,5.0,5.0,5.0,5.0,5.0
MNG,6.0,6.0,7.0,7.0,7.0,7.0,7.0
MOZ,0.0,4.0,4.0,4.0,4.0,4.0,4.0
MRT,0.0,0.0,2.0,3.0,3.0,4.0,6.0
MUS,7.0,7.0,7.0,7.0,7.0,7.0,7.0
MWI,0.0,0.0,0.0,0.0,7.0,7.0,7.0
MYS,7.0,7.0,7.0,8.0,8.0,8.0,8.0
NAM,6.0,6.0,7.0,7.0,7.0,7.0,7.0
NER,0.0,0.0,0.0,0.0,0.0,0.0,8.0
NGA,0.0,6.0,6.0,6.0,8.0,8.0,8.0
NIC,7.0,8.0,8.0,8.0,8.0,8.0,8.0
NLD,6.0,6.0,6.0,6.0,7.0,7.0,7.0
NOR,6.0,6.0,6.0,6.0,6.0,6.0,6.0
NPL,0.0,0.0,0.0,0.0,0.0,0.0,5.0
NZL,7.0,8.0,8.0,8.0,8.0,8.0,8.0
OMN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
PAK,3.0,3.0,3.0,7.0,7.0,7.0,7.0
PAN,8.0,8.0,8.0,8.0,8.0,8.0,8.0
PER,8.0,8.0,8.0,8.0,8.0,8.0,8.0
PHL,6.0,6.0,6.0,7.0,7.0,7.0,7.0
PLW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNG,0.0,0.0,5.0,5.0,5.0,5.0,5.0
POL,8.0,8.0,8.0,8.0,8.0,8.0,8.0
PRI,7.0,7.0,7.0,7.0,7.0,7.0,7.0
PRT,7.0,7.0,7.0,7.0,7.0,7.0,7.0
PRY,8.0,8.0,8.0,7.0,7.0,7.0,7.0
PSE,7.0,7.0,8.0,8.0,8.0,8.0,8.0
QAT,5.0,5.0,5.0,5.0,6.0,7.0,8.0
ROU,7.0,7.0,7.0,7.0,7.0,7.0,7.0
RUS,7.0,7.0,7.0,7.0,7.0,7.0,7.0
RWA,7.0,7.0,8.0,8.0,8.0,8.0,8.0
SAU,8.0,8.0,8.0,8.0,8.0,8.0,8.0
SDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN,0.0,0.0,0.0,0.0,0.0,0.0,7.0
SGP,7.0,7.0,7.0,7.0,7.0,7.0,7.0
SLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLV,7.0,7.0,7.0,7.0,7.0,7.0,7.0
SMR,0.0,0.0,0.0,0.0,0.0,5.0,5.0
SOM,,,0.0,0.0,0.0,0.0,0.0
SRB,7.0,7.0,7.0,7.0,7.0,7.0,7.0
SSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STP,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,6.0,6.0,7.0,7.0,7.0,7.0,7.0
SVN,4.0,4.0,4.0,4.0,6.0,6.0,6.0
SWE,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SWZ,6.0,6.0,6.0,6.0,7.0,7.0,7.0
SYC,0.0,0.0,5.0,5.0,5.0,5.0,5.0
SYR,2.0,2.0,2.0,2.0,2.0,2.0,2.0
TCD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGO,0.0,0.0,0.0,0.0,0.0,0.0,8.0
THA,6.0,6.0,6.0,7.0,7.0,7.0,7.0
TJK,0.0,6.0,7.0,7.0,7.0,7.0,7.0
TLS,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TON,3.0,3.0,3.0,3.0,4.0,4.0,4.0
TTO,6.0,6.0,6.0,6.0,6.0,6.0,6.0
TUN,5.0,5.0,5.0,7.0,7.0,7.0,7.0
TUR,6.0,7.0,7.0,7.0,7.0,8.0,8.0
TZA,0.0,0.0,0.0,8.0,8.0,8.0,8.0
UGA,0.0,0.0,7.0,7.0,7.0,7.0,7.0
UKR,7.0,7.0,7.0,7.0,7.0,7.0,7.0
URY,7.0,8.0,8.0,8.0,8.0,8.0,8.0
USA,8.0,8.0,8.0,8.0,8.0,8.0,8.0
UZB,7.0,7.0,7.0,7.0,7.0,7.0,7.0
VCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEN,7.0,7.0,7.0,7.0,7.0,7.0,7.0
VNM,6.0,6.0,7.0,7.0,7.0,7.0,8.0
VUT,3.0,3.0,4.0,4.0,4.0,4.0,4.0
WSM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,8.0,7.0,7.0,7.0,7.0,7.0,7.0
ZMB,6.0,7.0,8.0,8.0,8.0,8.0,8.0
ZWE,4.0,4.0,5.0,5.0,4.0,6.0,7.0
