country_code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,74.0,,,,,,70.4,,,,,,,,,
AGO,86.2,,,,87.7,,,,,,,,,,,,,
ALB,,90.0,,,,,,54.4,,,,,,58.7,,,,
ARG,45.4,,,,73.1,,,,,,,65.1,,,,,,
ARM,,,,41.0,,,,34.4,,,,,,,62.7,,,
ATG,,,,,95.5,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,,,,10.8,,
AZE,,,,32.1,,,,16.3,,,,,,27.6,,,,
BDI,89.1,,,,,,,,85.1,,,,,,,,,
BEL,,,,,,,,,,,,,,,26.2,,,
BEN,,,,88.4,,,,,,,95.6,,,,,,,
BFA,,,,91.9,,,,,,,,,,,,,,
BGD,,99.2,,,,,,73.4,,,,,,,,,71.4,
BGR,,47.7,,35.8,,,,43.2,,,,,,30.6,,,,
BHS,,,,,75.0,,,,,,,,,,,,,
BIH,,,,31.8,,,,49.1,,,,,,63.4,,,,
BLR,,,19.5,,,,,25.7,,,,,24.8,,,,,
BLZ,,,,,78.4,,,,,,,,,,,,,
BOL,53.1,,,,39.6,,,,,,,35.1,,,,,,
BRA,,,,45.8,,,,,,,,,,,,,,
BRB,,,,,55.6,,,,,,,,,,,,,
BTN,,,,27.7,,,,,,44.2,,,,,,,,
BWA,40.2,,,,92.4,,,,,,,,,,,,,
CAF,,,,,,89.0,,,,,,,,,,,,89.3
CHL,33.3,,,,42.6,,,,,,,,,,,,,
CHN,,,,,,,33.7,,,,,,,,,,,
CIV,,,,54.8,,,,,,,78.8,,,,,,,
CMR,,,,92.4,,,,,,,92.5,,,,,,,
COD,97.1,,,,92.0,,,89.3,,,,,,,,,,
COG,,,,89.7,,,,,,,,,,,,,,
COL,43.2,,,,53.3,,,,,,,53.9,,,,,,
CPV,,,,74.0,,,,,,,,,,,,,,
CRI,,,,,49.4,,,,,,,,,,,,,
CYP,,,,,,,,,,,,,,14.5,,,,
CZE,,,,35.2,,,,24.4,,,,,,34.8,,,,
DEU,,,,,,,,,,,,,,,,21.3,,
DJI,,,,,,,,80.2,,,,,,,,,,
DMA,,,,,100.0,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,32.7,,,
DOM,,,,,70.5,,,,,,54.1,,,,,,,
ECU,63.8,,,,37.3,,,,,,,62.4,,,,,,
EGY,,,,,,,,80.9,,,38.0,,,,28.2,,,
ERI,,,,20.5,,,,,,,,,,,,,,
ESP,,,,,,,,,,,,,,,,13.0,,
EST,,,,61.3,,,,57.2,,,,,,31.1,,,,
ETH,,,,,,89.0,,,,80.0,,,,,,,,
FIN,,,,,,,,,,,,,,,27.8,,,
FJI,,,,81.8,,,,,,,,,,,,,,
FRA,,,,,,,,,,,,,,,,29.5,,
FSM,,,,85.2,,,,,,,,,,,,,,
GAB,,,,71.6,,,,,,,,,,,,,,
GEO,,,41.4,,,,,27.1,,,,,,54.1,,,,
GHA,,98.4,,,,,,89.1,,,,,,,,,,
GIN,93.0,,,,,,,,,,84.2,,,,,,,
GMB,88.7,,,,,,,,,,,,93.2,,,,,
GNB,57.1,,,,,,,,,,,,,,,,,
GRC,,,,,,,,,,,,,40.4,,,,,
GRD,,,,,59.5,,,,,,,,,,,,,
GTM,39.9,,,,61.4,,,,,,,54.4,,,,,,
GUY,,,,,81.8,,,,,,,,,,,,,
HND,66.1,,,,62.8,,,,,,69.8,,,,,,,
HRV,,29.1,,,,,,32.4,,,,,,10.7,,,,
HUN,,,,16.6,,,,19.2,,,,,,37.6,,,,
IDN,,,,45.1,,,,,,22.5,,,,,,,,
IND,,,,,,,,,55.4,,,,,,,,19.9,
IRL,,,,,,,,,,,,,,,16.6,,,
IRQ,,,,,,77.3,,,,,,,,,,,41.3,
ISR,,,,,,,,18.2,,,,,,,,,,
ITA,,,,,,,,,,,,,,2.0,,,,
JAM,,,,,80.9,,,,,,,,,,,,,
JOR,,,,,,,,9.9,,,,,,13.1,,,,
KAZ,,,,37.7,,,,36.5,,,,,,17.1,,,,
KEN,,84.2,,,,,,89.4,,,,,82.8,,,,,
KGZ,,,,46.8,,,,71.9,,,,,,43.1,,,,
KHM,,,,,,,,83.0,,,35.3,,,,,,,
KNA,,,,,94.0,,,,,,,,,,,,,
LAO,,,,1.1,,,88.7,,,,51.9,,78.5,,,,,
LBN,,,,,,,,97.1,,,,,,4.4,,,,
LBR,,,,31.5,,,,,,,,44.3,,,,,,
LCA,,,,,99.8,,,,,,,,,,,,,
LKA,,,,,,76.4,,,,,,,,,,,,
LSO,,,,61.7,,,,,,,71.8,,,,,,,
LTU,,,,27.2,,,,19.0,,,,,,18.0,,,,
LUX,,,,,,,,,,,,,,,22.8,,,
LVA,,,,44.9,,,,37.3,,,,,,29.2,,,,
MAR,,,,,,,,35.0,,,,,,20.9,,,,
MDA,,,,32.6,,,,30.8,,,,,,36.8,,,,
MDG,,,,84.4,,,,86.9,,,,,,,,,52.4,
MEX,32.4,,,,45.1,,,,,,,,,,,,,
MKD,,,,36.8,,,,39.0,,,,,,23.2,,,,
MLI,,71.8,,,58.2,,,,,,86.6,,,,,,,
MLT,,,,,,,,,,,,,,33.6,,,,
MMR,,,,,,,,,94.3,,94.9,,,,,,,
MNE,,,,55.3,,,,75.2,,,,,,38.7,,,,
MNG,,,,54.1,,,,38.5,,,,,,13.3,,,,
MOZ,,51.8,,,,,,,,,,,52.8,,,,,
MRT,90.2,,,,,,,,90.7,,,,,,,,,
MUS,,,,38.8,,,,,,,,,,,,,,
MWI,,,,77.8,,,,,82.9,,,,,,,,,
MYS,,,,,,,,,,18.9,,,,28.6,,,,
NAM,24.1,,,,,,,,26.9,,,,,,,,,
NER,,,,94.0,,,,,,,,78.0,,,,,,
NGA,,95.6,,,,,,,77.6,,,,,,,,,
NIC,74.8,,,,73.5,,,,,,49.9,,,,,,,
NLD,,,,,,,,,,,,,,,18.4,,,
NPL,,,,98.7,,,,62.8,,,,,,,,,,
PAK,,93.6,,,,,,81.1,,,,,,,,,50.7,
PAN,75.8,,,,21.6,,,,,,,,,,,,,
PER,28.4,,,,36.8,,,,,,,52.2,,,,,,
PHL,,,,55.4,,,,,,39.9,,,,,,,,
PNG,,,,,,,,,,97.7,,,,,,,,
POL,,,,22.9,,,,14.4,,,,,,10.1,,,,
PRT,,,,,,,,,,,,,,22.2,,,,
PRY,81.1,,,,85.8,,,,,,,83.0,,,,,,
PSE,,,,,,,,68.8,,,,,,54.5,,,,
ROU,,,,58.0,,,,63.8,,,,,,51.1,,,,
RUS,,,,29.4,,,27.2,,,,,,,15.1,,,,
RWA,72.9,,,,,62.5,,,,,,,,39.0,,,,
SAU,,,,,,,,,,,,,,,,,2.7,
SDN,,,,,,,,,93.7,,,,,,,,,
SEN,,98.1,,,,,,,83.7,,,,,,,,,
SLB,,,,,,,,,,88.8,,,,,,,,
SLE,,,,86.2,,,,,,,,71.8,,,,,,66.2
SLV,67.5,,,,58.6,,,,,,47.6,,,,,,,36.2
SRB,,,,57.4,,,,44.2,,,,,,49.5,,,,
SSD,,,,,,,,,15.3,,,,,,,,,
SUR,,,,,47.2,,,,,,,,86.0,,,,,
SVK,,,,26.6,,,,25.3,,,,,,25.6,,,,
SVN,,,,39.8,,,,16.0,,,,,,23.7,,,,
SWE,,,,,,,,,,,,,,,38.1,,,
SWZ,72.0,,,,,,,,,,77.3,,,,,,,
TCD,,,,87.3,,,,,,,,,70.2,,,,,
TGO,,,,80.4,,,,,,,93.8,,,,,,,
THA,,,,,,,,,,,8.6,,,,,,,
TJK,,,58.4,,,,,60.8,,,,,,32.2,,,,
TLS,,,,74.6,,,,,,40.0,,,,,,33.5,,
TON,,,,97.0,,,,,,,,,,,,,,
TTO,,,,,65.7,,,,,,,,,,,,,
TUN,,,,,,,,11.6,,,,,,,40.2,,,
TUR,,,56.8,,,,,42.1,,,,,,28.5,,,,
TZA,75.7,,,,,,,85.8,,,,,,,,,,
UGA,96.8,,,,,,,81.5,,,,,,,,,,
UKR,,,30.9,,,,,25.3,,,,,,30.1,,,,
URY,34.4,,,,27.5,,,,,,,56.6,,,,,,
UZB,,,52.9,,,,,43.6,,,,,,35.8,,,,
VCT,,,,,83.3,,,,,,,,,,,,,
VEN,24.2,,,,64.6,,,,,,,,,,,,,
VNM,,,,49.5,,,,,,26.3,,,,,,,,
VUT,,,,74.1,,,,,,,,,,,,,,
WSM,,,,86.4,,,,,,,,,,,,,,
YEM,,,,,95.6,,,93.8,,,,,,,,,,
ZAF,,44.9,,,,,,,,,,,,,92.0,,,
ZMB,,68.9,,,,,,82.1,,,,,,87.1,,,,
ZWE,,,,,,85.9,,,,,76.5,,,,,,,
