country_code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,424.0,196.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0
AGO,159.0,159.0,159.0,145.0,145.0,145.0,145.0,145.0,121.0,121.0,97.0
ALB,177.0,177.0,177.0,177.0,177.0,177.0,177.0,134.0,71.0,71.0,71.0
ARE,55.0,55.0,55.0,40.0,35.0,35.0,32.0,28.0,10.0,10.0,7.0
ARG,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0
ARM,235.0,235.0,235.0,235.0,180.0,180.0,138.0,138.0,127.0,72.0,72.0
ATG,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
AUS,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
AUT,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
AZE,174.0,174.0,174.0,174.0,97.0,87.0,77.0,69.0,56.0,41.0,38.0
BDI,188.0,188.0,188.0,188.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0
BEL,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,171.0,171.0
BEN,172.0,172.0,158.0,158.0,158.0,90.0,90.0,90.0,90.0,90.0,90.0
BFA,158.0,158.0,158.0,158.0,158.0,158.0,169.0,169.0,169.0,169.0,169.0
BGD,,,,,411.56,411.56,348.94,286.32,223.7,150.2,124.46
BGR,137.0,137.0,130.0,130.0,130.0,130.0,130.0,263.0,262.0,262.0,262.0
BHR,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,69.0
BHS,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
BIH,140.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,69.0,69.0,69.0
BLR,179.0,179.0,179.0,179.0,112.0,112.0,112.0,105.0,105.0,105.0,105.0
BLZ,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,60.0
BOL,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,40.0,36.0
BRA,,,,,115.83,115.83,119.34,128.49,128.49,128.49,128.49
BRB,,,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,78.0
BRN,79.0,79.0,56.0,56.0,56.0,56.0,56.0,35.0,36.0,25.0,25.0
BTN,93.0,93.0,93.0,82.0,82.0,71.0,61.0,61.0,61.0,61.0,61.0
BWA,121.0,121.0,121.0,121.0,121.0,121.0,77.0,77.0,77.0,77.0,77.0
CAF,172.0,172.0,102.0,102.0,102.0,102.0,98.0,98.0,98.0,98.0,98.0
CAN,169.0,169.0,169.0,142.0,142.0,142.0,137.0,137.0,137.0,137.0,137.0
CHE,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
CHL,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
CHN,,,,,143.2,143.2,143.2,143.2,143.2,34.0,32.0
CIV,59.0,59.0,59.0,59.0,59.0,59.0,59.0,55.0,55.0,53.0,53.0
CMR,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
