country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,,,2.5,,,,,,3.9,,,,,,,,,
AGO,,,,2.3,,,,13.4,,,,,,,,,,,,,
ALB,,,28.4,,33.3,,,,,,23.0,,,,,,30.4,,,,
ARG,,,,28.7,,,,33.3,,,,,,,29.6,,,,,,
ARM,,,46.3,,,,,,,,43.0,,,,,,,35.7,,,
ATG,,,,,,,,46.3,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,,,,,,,38.7,,
AZE,,,0.4,,,,,,,,16.9,,,,,,19.4,,,,
BDI,,,,25.5,,,,,,,,57.9,,,,,,,,,
BEL,,,,,,,,,,,,,,,,,,54.1,,,
BEN,,,,,,,39.4,,,,,,,26.0,,,,,,,
BFA,,,,19.4,,,33.1,,,,,,,,,,,,,,
BGD,,,,,43.1,,,,,,29.9,,,,,,,,,38.7,
BGR,,25.5,37.2,,46.7,,,,,,40.6,,,,,,43.8,,,,32.8
BHS,,,,,,,,28.5,,,,,,,,,,,,,
BIH,,,45.4,,,,,,,,45.3,,,,,,40.4,,,,34.2
BLR,,,21.5,,,,,,,,33.3,,,,,31.1,,,,,
BLZ,,,,,,,,57.0,,,,,,,,,,,,,
BOL,,,,39.4,,,,40.5,,,,,,,38.0,,,,,,
BRA,,,,,,,52.3,,,,,,,,,,,,,,
BRB,,,,,,,,38.7,,,,,,,,,,,,,21.2
BTN,,,,,,,59.4,,,,,,42.0,,,,,,,,
BWA,,,,15.9,,,,32.1,,,,,,,,,,,,,20.9
CAF,,,,,,,,,25.3,,,,,,,,,,,,43.5
CHL,,,,48.9,,,,55.1,,,,,,,,,,,,,
CHN,,,,,,,,,,22.1,,,,,,,,,,,
CIV,,,,,,,8.3,,,,,,,15.3,,,,,,,25.4
CMR,,,,41.9,,,41.6,,,,,,,20.2,,,,,,,
COD,,,,5.8,,,,8.8,,,8.7,,,,,,,,,,
COG,,,,,,,9.7,,,,,,,,,,,,,,
COL,,,,55.7,,,,49.2,,,,,,,52.7,,,,,,33.4
CPV,,,,19.4,,,49.8,,,,,,,,,,,,,,
CRI,,,15.8,,,,,30.1,,,,,,,,,,,,,31.5
CYP,,,,,,,,,,,,,,,,,42.2,,,,
CZE,,,28.2,,,,,,,,46.6,,,,,,29.4,,,,
DEU,,,42.2,,,,,,,,,,,,,,,,35.2,,
DJI,,,,,,,,,,,25.2,,,,,,,,,,
DMA,,,,,,,,37.9,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,,,,42.7,,,
DOM,,,,,,,,72.4,,,,,,45.8,,,,,,,
DZA,,,,,28.6,,,,,,,,,,,,,,,,
ECU,,,,41.9,,,,42.3,,,,,,,40.2,,,,,,
EGY,,,,,9.8,7.5,,,,,6.3,,,2.4,,,,4.8,,,
ERI,,,,,,,5.7,,,,,,,,,,,,,,
ESP,,,35.8,,,,,,,,,,,,,,,,55.2,,
EST,,,21.6,,,,,,,,25.1,,,,,,26.2,,,,28.3
ETH,,,,40.7,,,,,13.6,,,,16.4,,,,,,,,
FIN,,,,,,,,,,,,,,,,,,42.0,,,
FJI,,,,,,,50.7,,,,,,,,,,,,,,
FRA,,,,,,,,,,,,,,,,,,,34.3,,
FSM,,,,,,,19.4,,,,,,,,,,,,,,
GAB,,,,,,,8.5,,,,,,,,,,,,,,
GEO,,,27.8,,,,,,,,28.0,,,,,,31.5,,,,34.1
GHA,,,,,21.4,,,,,,25.3,,,,,,,,,,26.0
GIN,,,,2.6,,,,,,,,,,11.4,,,,,,,
GMB,,,,14.3,,,,,,,,,,,,13.7,,,,,15.0
GNB,,,,1.1,,,,,,,,,,,,,,,,,
GRC,,,26.2,,,,,,,,,,,,,16.8,,,,,21.0
GRD,,,,,,,,50.3,,,,,,,,,,,,,
GTM,,,,22.8,,,,26.2,,,,,,,30.0,,,,,,
GUY,,,,,,,,59.3,,,,,,,,,,,,,
HKG,,,,,,,,,,,,,,,,,,,,,9.8
HND,,,,36.0,,,,25.6,,,,,,38.1,,,,,,,
HRV,,,45.9,,63.2,,,,,,37.8,,,,,,31.2,,,,29.5
HUN,,,41.8,,,,,,,,28.8,,,,,,31.5,,,,24.9
IDN,,,,,,,13.8,,,,,,32.0,,,,,,,,23.5
IND,,,,36.4,,,,,,,,36.4,,,,,,,,33.9,
IRL,,,46.1,,,,,,,,,,,,,,,24.4,,,
IRQ,,,,,,,,,4.6,,,,,,,,,,,2.1,
ISR,,,,,,,,,,,34.3,,,,,,,,,,
ITA,,,,,,,,,,,,,,,,,27.8,,,,
JAM,,,,,,,,53.1,,,,,,,,,,,,,
JOR,,,,18.3,,,,,,,26.1,,,,,,20.0,,,,
KAZ,,,34.2,,,,,,,,13.1,,,,,,13.2,,,,
KEN,,,,,26.0,,,,,,41.1,,,,,36.2,,,,,
KGZ,16.7,,23.6,,,,,,,,21.2,,,,,,18.8,,,,18.5
KHM,,,,,12.6,,,,,,3.6,,,18.2,,,,,,,12.3
