country_code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,0.7,,,,,,4.7,,,,,,,,,
AGO,,,,13.5,,,,,,,,,,,,,
ALB,,,,,,,12.2,,,,,,18.1,,,,
ARG,,,,9.2,,,,,,,8.0,,,,,,
ARM,,,13.5,,,,14.1,,,,,,,19.1,,,
ATG,,,,17.5,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,,,18.8,,
AZE,,,4.7,,,,2.6,,,,,,16.5,,,,
BDI,,,,,,,,16.3,,,,,,,,,
BEL,,,,,,,,,,,,,,17.9,,,
BEN,,,26.9,,,,,,,25.9,,,,,,,
BFA,,,11.3,,,,,,,,,,,,,,
BGD,1.3,,,,,,4.8,,,,,,,,,3.6,
BGR,,,25.7,,,,23.5,,,,,,28.8,,,,23.5
BHS,,,,33.2,,,,,,,,,,,,,
BIH,,,13.5,,,,16.6,,,,,,16.6,,,,15.3
BLR,,24.8,,,,,32.2,,,,,21.1,,,,,
BLZ,,,,25.5,,,,,,,,,,,,,
BOL,,,,21.7,,,,,,,26.3,,,,,,
BRA,,,19.4,,,,,,,,,,,,,,
BRB,,,,25.4,,,,,,,,,,,,,16.9
BTN,,,,,,,,,26.3,,,,,,,,
BWA,,,,16.5,,,,,,,,,,,,,23.0
CAF,,,,,12.1,,,,,,,,,,,,10.2
CHL,,,,4.5,,,,,,,,,,,,,
CHN,,,,,,17.5,,,,,,,,,,,
CIV,,,,,,,,,,14.3,,,,,,,11.6
CMR,,,10.0,,,,,,,22.9,,,,,,,
COD,,,,13.7,,,10.8,,,,,,,,,,
COG,,,17.2,,,,,,,,,,,,,,
COL,,,,12.1,,,,,,,18.9,,,,,,24.6
CPV,,,16.7,,,,,,,,,,,,,,
CRI,,,,15.4,,,,,,,,,,,,,25.3
CYP,,,,,,,,,,,,,8.2,,,,
CZE,,,18.4,,,,11.3,,,,,,16.1,,,,
DEU,,,,,,,,,,,,,,,14.2,,
DJI,,,,,,,14.2,,,,,,,,,,
DMA,,,,23.6,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,8.3,,,
DOM,,,,11.0,,,,,,21.2,,,,,,,
ECU,,,,17.0,,,,,,,22.9,,,,,,
EGY,,,,,,,7.1,,,4.9,,,,6.3,,,
ERI,,,7.6,,,,,,,,,,,,,,
ESP,,,,,,,,,,,,,,,17.6,,
EST,,,25.8,,,,27.6,,,,,,22.5,,,,16.0
ETH,,,,,13.6,,,,4.5,,,,,,,,
FIN,,,,,,,,,,,,,,12.9,,,
FRA,,,,,,,,,,,,,,,19.9,,
GAB,,,11.5,,,,,,,,,,,,,,
GEO,,19.8,,,,,32.7,,,,,,16.5,,,,21.0
GHA,,,,,,,14.9,,,,,,,,,,19.8
GIN,,,,,,,,,,5.8,,,,,,,
GMB,,,,,,,,,,,,9.6,,,,,8.2
GRC,,,,,,,,,,,,17.2,,,,,15.6
GRD,,,,24.0,,,,,,,,,,,,,
GTM,,,,15.7,,,,,,,18.5,,,,,,
GUY,,,,17.7,,,,,,,,,,,,,
HKG,,,,,,,,,,,,,,,,,43.6
HND,,,,31.7,,,,,,28.0,,,,,,,
HRV,,,,,,,20.1,,,,,,27.0,,,,26.2
HUN,,,13.8,,,,20.7,,,,,,22.1,,,,18.1
IDN,,,31.2,,,,,,22.1,,,,,,,,31.8
IND,,,,,,,,8.9,,,,,,,,6.8,
IRL,,,,,,,,,,,,,,15.1,,,
IRQ,,,,,2.3,,,,,,,,,,,1.6,
ISR,,,,,,,10.1,,,,,,,,,,
ITA,,,,,,,,,,,,,15.3,,,,
JAM,,,,24.1,,,,,,,,,,,,,
JOR,,,,,,,2.4,,,,,,3.1,,,,
KAZ,,,24.7,,,,19.4,,,,,,26.0,,,,
KEN,,,,,,,13.4,,,,,18.1,,,,,
KGZ,,,23.0,,,,30.9,,,,,,32.9,,,,21.7
KHM,,,,,,,,,,57.3,,,,,,,33.7
KNA,,,,21.1,,,,,,,,,,,,,
LAO,,,,,,32.2,,,,45.3,,43.1,,,,,
LBN,,,29.1,,,,4.4,,,,,,5.9,,,,
LBR,,,29.9,,,,,,,,20.4,,,,,,
LCA,,,,23.7,,,,,,,,,,,,,
LKA,,,,,8.8,,,,,,,,,,,,
LSO,,,21.6,,,,,,,36.2,,,,,,,30.0
LTU,,,15.1,,,,22.0,,,,,,30.7,,,,
LUX,,,,,,,,,,,,,,7.4,,,
LVA,,,31.3,,,,33.9,,,,,,32.6,,,,
MAR,,,,,,,4.3,,,,,,5.4,,,,5.4
MDA,,,20.6,,,,22.4,,,,,,18.6,,,,
MDG,,,,,,,28.2,,,,,,,,,37.3,
MEX,,,,14.6,,,,,,,,,,,,,15.7
MKD,,,19.1,,,,16.8,,,,,,21.3,,,,16.4
