country_code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,56.7,,,,,,80.5,,,,,,,,,
AGO,68.6,,,,66.9,,,,,,,,,,,,,
ALB,,86.8,,,,,,92.2,,,,,,93.2,,,,
ARG,58.1,,,,68.4,,,,,,,41.1,,,,,,
ARM,,,,78.5,,,,76.0,,,,,,,59.6,,,
ATG,,,,,71.9,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,,,,16.8,,
AZE,,,,86.4,,,,83.3,,,,,,42.4,,,,
BDI,85.3,,,,,,,,86.5,,,,,,,,,
BEL,,,,,,,,,,,,,,,27.6,,,
BEN,,,,63.8,,,,,,,60.9,,,,,,,
BFA,,,,69.3,,,,,,,,,,,,,,
BGD,,61.1,,,,,,59.4,,,,,,,,,51.0,
BGR,,64.1,,67.6,,,,61.6,,,,,,54.6,,,,37.8
BHS,,,,,15.3,,,,,,,,,,,,,
BIH,,,,53.5,,,,73.1,,,,,,61.6,,,,63.9
BLR,,,56.0,,,,,37.0,,,,,17.1,,,,,
BLZ,,,,,78.5,,,,,,,,,,,,,
BOL,49.6,,,,52.1,,,,,,,52.8,,,,,,
BRA,,,,39.0,,,,,,,,,,,,,,
BRB,,,,,32.3,,,,,,,,,,,,,3.5
BTN,,,,72.8,,,,,,81.5,,,,,,,,
BWA,56.8,,,,40.7,,,,,,,,,,,,,30.6
CAF,,,,,,89.8,,,,,,,,,,,,72.8
CHL,65.3,,,,62.5,,,,,,,,,,,,,
CHN,,,,,,,59.4,,,,,,,,,,,
CIV,,,,52.0,,,,,,,75.9,,,,,,,58.4
CMR,,,,93.5,,,,,,,82.4,,,,,,,
COD,86.4,,,,96.0,,,92.3,,,,,,,,,,
COG,,,,91.9,,,,,,,,,,,,,,
COL,25.1,,,,41.1,,,,,,,22.4,,,,,,19.4
CPV,,,,68.9,,,,,,,,,,,,,,
CRI,,,,,25.5,,,,,,,,,,,,,36.6
CYP,,,,,,,,,,,,,,11.1,,,,
CZE,,,,53.0,,,,58.4,,,,,,37.6,,,,
DEU,,,,,,,,,,,,,,,,21.4,,
DJI,,,,,,,,48.0,,,,,,,,,,
DMA,,,,,63.0,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,6.2,,,
DOM,,,,,28.7,,,,,,20.3,,,,,,,
ECU,22.5,,,,38.3,,,,,,,17.5,,,,,,
EGY,,,,,,,,72.8,,,84.6,,,,76.0,,,
ERI,,,,10.4,,,,,,,,,,,,,,
ESP,,,,,,,,,,,,,,,,8.5,,
EST,,,,22.6,,,,21.1,,,,,,23.5,,,,14.2
ETH,,,,,,56.7,,,,42.8,,,,,,,,
FIN,,,,,,,,,,,,,,,4.3,,,
FJI,,,,61.3,,,,,,,,,,,,,,
FRA,,,,,,,,,,,,,,,,15.3,,
FSM,,,,56.1,,,,,,,,,,,,,,
GAB,,,,83.9,,,,,,,,,,,,,,
GEO,,,40.6,,,,,26.5,,,,,,22.3,,,,19.6
GHA,,93.8,,,,,,87.9,,,,,,,,,,78.3
GIN,83.8,,,,,,,,,,76.2,,,,,,,
GMB,78.8,,,,,,,,,,,,85.9,,,,,47.1
GNB,86.2,,,,,,,,,,,,,,,,,
GRC,,,,,,,,,,,,,39.2,,,,,17.4
GRD,,,,,66.7,,,,,,,,,,,,,
GTM,54.6,,,,60.8,,,,,,,47.3,,,,,,
GUY,,,,,70.7,,,,,,,,,,,,,
HKG,,,,,,,,,,,,,,,,,,0.5
HND,64.0,,,,62.9,,,,,,43.1,,,,,,,
HRV,,41.1,,,,,,36.1,,,,,,22.7,,,,40.4
HUN,,,,49.8,,,,57.4,,,,,,34.5,,,,26.4
IDN,,,,11.7,,,,,,11.9,,,,,,,,8.0
IND,,,,,,,,,35.3,,,,,,,,17.0,
IRL,,,,,,,,,,,,,,,10.0,,,
IRQ,,,,,,54.2,,,,,,,,,,,60.5,
ISR,,,,,,,,52.2,,,,,,,,,,
ITA,,,,,,,,,,,,,,9.4,,,,
JAM,,,,,34.0,,,,,,,,,,,,,
JOR,,,,,,,,62.1,,,,,,83.9,,,,
KAZ,,,,49.1,,,,33.0,,,,,,30.9,,,,
KEN,,76.1,,,,,,70.6,,,,,60.1,,,,,
KGZ,,,,85.2,,,,91.4,,,,,,82.4,,,,78.2
KHM,,,,,,,,66.8,,,64.8,,,,,,,61.2
KNA,,,,,72.5,,,,,,,,,,,,,
