country_code,2006,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,,,24.5,,,,,,,,,
ALB,,,,,3.1,,,,,,4.0,,,,
ARG,57.5,54.2,,,,,,,34.4,,,,,,
ARM,,,,,4.0,,,,,,,13.5,,,
ATG,,57.1,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,39.2,,
AZE,,,,,0.0,,,,,,14.0,,,,
BDI,,,,,,35.2,,,,,,,,,
BEL,,,,,,,,,,,,43.4,,,
BEN,,,,,,,,25.7,,,,,,,
BGD,,,,,22.4,,,,,,,,,2.6,
BGR,,,,,7.5,,,,,,14.0,,,,2.8
BHS,,41.7,,,,,,,,,,,,,
BIH,,,,,20.3,,,,,,18.4,,,,11.5
BLR,,,,,19.1,,,,,21.8,,,,,
BLZ,,17.7,,,,,,,,,,,,,
BOL,51.2,59.5,,,,,,,27.9,,,,,,
BRB,,37.0,,,,,,,,,,,,,5.4
BTN,,,,,,,18.7,,,,,,,,
BWA,,,,,,,,,,,,,,,6.2
CAF,,,48.4,,,,,,,,,,,,44.3
CHL,40.1,56.3,,,,,,,,,,,,,
CHN,,,,42.9,,,,,,,,,,,
CIV,,,,,,,,15.0,,,,,,,11.4
CMR,,,,,,,,8.7,,,,,,,
COD,,,,,39.4,,,,,,,,,,
COL,61.7,60.8,,,,,,,38.8,,,,,,12.8
CRI,,50.6,,,,,,,,,,,,,25.0
CYP,,,,,,,,,,,15.0,,,,
CZE,,,,,29.3,,,,,,41.3,,,,
DEU,,,,,,,,,,,,,37.4,,
DJI,,,,,22.8,,,,,,,,,,
DMA,,25.0,,,,,,,,,,,,,
DNK,,,,,,,,,,,,42.7,,,
DOM,,31.9,,,,,,10.7,,,,,,,
ECU,60.2,43.2,,,,,,,38.3,,,,,,
EGY,,,,,3.6,,,4.9,,,,2.0,,,
ESP,,,,,,,,,,,,,19.6,,
EST,,,,,20.8,,,,,,27.3,,,,16.8
ETH,,,31.4,,,,9.8,,,,,,,,
FIN,,,,,,,,,,,,71.0,,,
FRA,,,,,,,,,,,,,21.1,,
GEO,,,,,5.2,,,,,,19.0,,,,12.9
GHA,,,,,30.7,,,,,,,,,,11.4
GIN,,,,,,,,14.6,,,,,,,
GMB,,,,,,,,,,22.3,,,,,3.7
GRC,,,,,,,,,,12.6,,,,,11.8
GRD,,39.5,,,,,,,,,,,,,
GTM,46.8,47.1,,,,,,,33.0,,,,,,
GUY,,54.3,,,,,,,,,,,,,
HKG,,,,,,,,,,,,,,,11.2
HND,32.4,67.2,,,,,,16.4,,,,,,,
HRV,,,,,32.8,,,,,,6.0,,,,10.8
HUN,,,,,10.4,,,,,,14.5,,,,17.7
IDN,,,,,,,5.1,,,,,,,,4.7
IND,,,,,,34.7,,,,,,,,4.3,
IRL,,,,,,,,,,,,24.0,,,
IRQ,,,,,,,,,,,,,,12.5,
ISR,,,,,20.6,,,,,,,,,,
ITA,,,,,,,,,,,8.8,,,,
JAM,,32.0,,,,,,,,,,,,,
JOR,,,,,13.1,,,,,,2.3,,,,
KAZ,,,,,2.7,,,,,,4.2,,,,
KEN,,,,,33.1,,,,,28.5,,,,,
KGZ,,,,,14.2,,,,,,17.7,,,,8.6
KHM,,,,,75.1,,,26.9,,,,,,,0.0
KNA,,59.5,,,,,,,,,,,,,
LAO,,,,,,,,13.7,,3.1,,,,,
LBN,,,,,22.3,,,,,,8.4,,,,
LBR,,,,,,,,,14.6,,,,,,
LCA,,6.9,,,,,,,,,,,,,
LKA,,,21.2,,,,,,,,,,,,
LSO,,,,,,,,1.3,,,,,,,5.6
LTU,,,,,19.2,,,,,,6.0,,,,
LUX,,,,,,,,,,,,34.8,,,
LVA,,,,,11.8,,,,,,19.9,,,,
MAR,,,,,19.3,,,,,,14.3,,,,13.3
MDA,,,,,11.0,,,,,,12.3,,,,
MDG,,,,,,,,,,,,,,10.3,
