country_code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,12.3,,,,,,17.3,,,,,,,,,
AGO,18.0,,,,12.5,,,,,,,,,,,,,
ALB,,16.6,,,,,,5.2,,,,,,5.7,,,,
ARG,38.9,,,,32.7,,,,,,,14.5,,,,,,
ARM,,,,11.1,,,,4.5,,,,,,,8.6,,,
ATG,,,,,20.1,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,,,,8.9,,
AZE,,,,4.1,,,,1.9,,,,,,1.7,,,,
BDI,21.9,,,,,,,,11.3,,,,,,,,,
BEL,,,,,,,,,,,,,,,20.7,,,
BEN,,,,16.0,,,,,,,9.4,,,,,,,
BFA,,,,18.1,,,,,,,,,,,,,,
BGD,,6.5,,,,,,7.6,,,,,,,,,5.4,
BGR,,20.9,,17.8,,,,20.3,,,,,,10.3,,,,
BHS,,,,,44.0,,,,,,,,,,,,,
BIH,,,,19.0,,,,19.4,,,,,,17.7,,,,
BLR,,,26.7,,,,,20.5,,,,,10.2,,,,,
BLZ,,,,,7.6,,,,,,,,,,,,,
BOL,30.0,,,,30.5,,,,,,,21.8,,,,,,
BRA,,,,38.3,,,,,,,,,,,,,,
BRB,,,,,8.5,,,,,,,,,,,,,
BTN,,,,16.5,,,,,,15.7,,,,,,,,
BWA,42.5,,,,50.7,,,,,,,,,,,,,
CAF,,,,,,40.1,,,,,,,,,,,,31.9
CHL,45.4,,,,47.7,,,,,,,,,,,,,
CHN,,,,,,,3.9,,,,,,,,,,,
CIV,,,,22.6,,,,,,,20.6,,,,,,,
CMR,,,,45.5,,,,,,,34.0,,,,,,,
COD,30.7,,,,24.7,,,20.6,,,,,,,,,,
COG,,,,25.6,,,,,,,,,,,,,,
COL,24.0,,,,28.7,,,,,,,21.2,,,,,,
CPV,,,,43.2,,,,,,,,,,,,,,
CRI,,,,,32.8,,,,,,,,,,,,,
CYP,,,,,,,,,,,,,,12.8,,,,
CZE,,,,35.5,,,,35.9,,,,,,19.9,,,,
DEU,,,,,,,,,,,,,,,,17.9,,
DJI,,,,,,,,14.5,,,,,,,,,,
DMA,,,,,2.1,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,24.7,,,
DOM,,,,,26.9,,,,,,16.7,,,,,,,
ECU,32.5,,,,31.3,,,,,,,17.3,,,,,,
EGY,,,,,,,,7.2,,,6.1,,,,0.2,,,
ERI,,,,0.7,,,,,,,,,,,,,,
ESP,,,,,,,,,,,,,,,,14.7,,
EST,,,,44.4,,,,24.3,,,,,,14.4,,,,
ETH,,,,,,10.0,,,,6.5,,,,,,,,
FIN,,,,,,,,,,,,,,,18.4,,,
FJI,,,,30.9,,,,,,,,,,,,,,
FRA,,,,,,,,,,,,,,,,20.0,,
FSM,,,,50.2,,,,,,,,,,,,,,
GAB,,,,21.9,,,,,,,,,,,,,,
GEO,,,17.8,,,,,2.9,,,,,,11.5,,,,
GHA,,24.3,,,,,,20.1,,,,,,,,,,
GIN,24.7,,,,,,,,,,12.9,,,,,,,
GMB,30.8,,,,,,,,,,,,29.3,,,,,
GNB,35.3,,,,,,,,,,,,,,,,,
GRC,,,,,,,,,,,,,19.3,,,,,
GRD,,,,,34.4,,,,,,,,,,,,,
GTM,30.8,,,,34.7,,,,,,,37.4,,,,,,
GUY,,,,,43.2,,,,,,,,,,,,,
HND,39.7,,,,30.9,,,,,,27.7,,,,,,,
HRV,,28.5,,,,,,22.1,,,,,,6.7,,,,
HUN,,,,17.8,,,,9.4,,,,,,9.9,,,,
IDN,,,,4.3,,,,,,4.0,,,,,,,,
IND,,,,,,,,,3.7,,,,,,,,2.4,
IRL,,,,,,,,,,,,,,,27.9,,,
IRQ,,,,,,8.6,,,,,,,,,,,4.9,
ISR,,,,,,,,10.1,,,,,,,,,,
ITA,,,,,,,,,,,,,,4.1,,,,
JAM,,,,,13.3,,,,,,,,,,,,,
JOR,,,,,,,,1.6,,,,,,0.7,,,,
KAZ,,,,17.1,,,,13.6,,,,,,7.6,,,,
KEN,,,,,,,,28.9,,,,,22.7,,,,,
KGZ,,,,15.2,,,,15.0,,,,,,6.2,,,,
KHM,,,,,,,,,,,27.5,,,,,,,
KNA,,,,,49.0,,,,,,,,,,,,,
LAO,,,,21.7,,,25.5,,,,4.0,,9.5,,,,,
LBN,,,,,,,,4.2,,,,,,2.4,,,,
LBR,,,,41.1,,,,,,,,33.7,,,,,,
LCA,,,,,6.5,,,,,,,,,,,,,
LKA,,,,,,8.1,,,,,,,,,,,,
LSO,,,,55.6,,,,,,,24.0,,,,,,,
LTU,,,,30.8,,,,16.6,,,,,,7.9,,,,
LUX,,,,,,,,,,,,,,,17.5,,,
LVA,,,,34.1,,,,18.2,,,,,,15.2,,,,
MAR,,,,,,,,7.7,,,,,,7.8,,,,
MDA,,,,17.1,,,,7.6,,,,,,12.6,,,,
MDG,,,,26.7,,,,24.4,,,,,,,,,23.6,
MEX,23.1,,,,40.3,,,,,,,,,,,,,
MKD,,,,22.9,,,,21.9,,,,,,15.9,,,,
MLI,,15.9,,,11.2,,,,,,16.8,,,,,,,
MLT,,,,,,,,,,,,,,9.3,,,,
MMR,,,,,,,,,7.4,,13.1,,,,,,,
MNE,,,,12.2,,,,18.9,,,,,,5.8,,,,
