country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,,,6.8,,,,,,9.8,,,,,,,,,
AGO,,,,7.1,,,,12.2,,,,,,,,,,,,,
ALB,,,9.9,,18.7,,,,,,7.4,,,,,,2.3,,,,
ARG,,,,14.1,,,,20.8,,,,,,,20.5,,,,,,
ARM,,,3.1,,,,10.3,,,,11.9,,,,,,,1.8,,,
ATG,,,,,,,,4.5,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,,,,,,,10.7,,
AZE,,,5.2,,,,3.0,,,,0.3,,,,,,2.7,,,,
BDI,,,,5.7,,,,,,,,2.3,,,,,,,,,
BEL,,,,,,,,,,,,,,,,,,10.5,,,
BEN,,,,,,,24.5,,,,,,,5.7,,,,,,,
BFA,,,,9.5,,,22.2,,,,,,,,,,,,,,
BGD,,,,,3.2,,,,,,3.3,,,,,,,,,13.3,
BGR,,,2.9,,17.4,,10.6,,,,17.1,,,,,,10.5,,,,7.1
BHS,,,,,,,,3.9,,,,,,,,,,,,,
BIH,,,4.1,,,,11.2,,,,13.0,,,,,,4.7,,,,9.0
BLR,,,5.1,,,13.6,,,,,13.1,,,,,13.3,,,,,
BLZ,,,,,,,,3.9,,,,,,,,,,,,,
BOL,,,,13.5,,,,28.5,,,,,,,15.1,,,,,,
BRA,,,,,,,14.2,,,,,,,,,,,,,,
BRB,,,,,,,,4.3,,,,,,,,,,,,,5.5
BTN,,,,,,,15.9,,,,,,28.8,,,,,,,,
BWA,,,,5.0,,,,10.2,,,,,,,,,,,,,7.5
CAF,,,,,,,,,9.2,,,,,,,,,,,,4.6
CHL,,,,9.0,,,,9.9,,,,,,,,,,,,,
CHN,,,,,,,,,,0.9,,,,,,,,,,,
CIV,,,,,,,1.6,,,,,,,15.2,,,,,,,7.4
CMR,,,,12.8,,,7.0,,,,,,,17.9,,,,,,,
COD,,,,6.3,,,,29.4,,,4.7,,,,,,,,,,
COG,,,,,,,6.0,,,,,,,,,,,,,,
COL,,,,14.3,,,,12.9,,,,,,,19.5,,,,,,26.2
CPV,,,,12.2,,,3.9,,,,,,,,,,,,,,
