country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
AGO,83.0,83.0,83.0,83.0,83.0,68.0,68.0,66.0,66.0,66.0,66.0,66.0,36.0,36.0,36.0,36.0,36.0
ALB,41.0,40.0,41.0,39.0,37.0,10.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5
ARE,19.0,19.0,19.0,19.0,18.0,18.0,15.0,15.0,13.0,8.0,8.0,8.0,8.0,8.0,8.0,3.5,3.5
ARG,65.5,29.5,29.5,29.5,29.5,30.0,25.0,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,11.0,11.5
ARM,18.0,18.0,18.0,17.0,17.0,17.0,14.0,14.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
ATG,,,26.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,19.0
AUS,3.0,3.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0
AUT,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.0,22.0,21.0,21.0,21.0,21.0
AZE,105.0,121.0,113.0,51.0,36.0,10.0,10.0,8.0,8.0,8.0,7.0,5.5,3.5,3.5,3.5,3.5,3.5
BDI,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,7.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0
BEL,56.0,34.0,34.0,27.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0
BEN,35.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,32.0,29.0,18.0,12.0,12.0,8.0,8.0,8.0,8.0
BFA,40.0,40.0,40.0,34.0,18.0,16.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
BGD,,,,,,,,,,,21.84,19.5,19.5,19.5,19.5,19.5,19.5
BGR,39.0,39.0,39.0,39.0,39.0,56.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.0,23.0,23.0,23.0
BHR,,,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0
BHS,,,,,30.5,30.5,30.5,23.5,23.5,23.5,23.5,23.5,28.5,21.5,21.5,21.5,11.5
BIH,68.0,63.0,93.0,93.0,93.0,99.0,99.0,109.0,85.0,82.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0
BLR,80.0,80.0,80.0,70.0,49.0,32.0,13.0,13.0,13.0,13.0,12.0,12.0,9.0,9.0,9.0,9.0,8.5
BLZ,,,57.0,44.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,48.0,48.0,48.0
BOL,59.0,59.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,45.0,41.0,39.5,39.5
BRA,,,,,,,,,,,86.635,83.585,85.975,82.465,82.465,20.145,16.62
BRB,,,,,,,,,18.0,18.0,18.0,19.0,19.0,16.0,16.0,16.0,16.0
BRN,,,,121.0,121.0,121.0,121.0,108.0,104.0,104.0,104.0,104.0,14.0,14.0,12.0,5.0,5.0
BTN,62.0,62.0,62.0,62.0,48.0,46.0,46.0,46.0,35.0,35.0,30.0,15.0,15.0,15.0,12.0,12.0,12.0
BWA,125.0,125.0,125.0,105.0,105.0,74.0,59.0,59.0,40.0,40.0,41.0,48.0,48.0,48.0,48.0,48.0,48.0
CAF,22.0,22.0,22.0,22.0,22.0,23.0,24.0,24.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
CAN,3.5,3.5,3.5,3.5,3.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,1.5,1.5,1.5,1.5,1.5
CHE,20.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,10.0,10.0,10.0,10.0,10.0,10.0
CHL,42.0,42.0,42.0,40.0,40.0,40.0,40.0,36.5,9.5,7.5,7.5,7.5,7.5,7.5,7.5,6.0,4.0
CHN,,,,,,,,,,,34.35,31.35,31.35,28.9,24.9,8.55,8.55
CIV,62.0,58.0,45.0,45.0,42.0,40.0,40.0,40.0,32.0,32.0,8.0,7.0,7.0,7.0,8.0,6.0,6.0
CMR,45.0,45.0,45.0,45.0,38.0,38.0,35.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,13.0,13.0
