country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.6,36.1,36.1,47.9,71.4,71.4,71.4
AGO,52.2,52.2,52.2,52.2,52.2,52.2,52.3,52.3,52.6,52.6,49.0,48.0,49.1,49.1,49.1
ALB,58.6,56.9,46.3,50.0,44.0,40.6,38.7,38.8,31.7,31.6,36.9,36.9,37.3,37.3,36.6
ARE,14.4,14.4,14.4,14.4,14.1,14.1,14.1,14.9,14.8,14.8,15.9,15.9,15.9,15.9,15.9
ARG,107.3,107.3,107.3,107.3,107.3,107.4,107.4,107.5,119.4,137.4,137.6,106.0,106.0,106.0,106.3
ARM,36.6,36.6,38.6,38.6,38.6,38.6,38.8,38.8,35.9,20.1,20.0,18.5,18.5,18.5,22.6
ATG,51.5,47.6,46.2,46.2,41.0,41.0,41.0,41.0,40.9,41.6,41.9,41.9,41.9,42.8,43.0
AUS,52.1,51.1,50.1,50.0,47.8,47.6,47.3,47.2,47.3,47.4,47.6,47.6,47.5,47.4,47.4
AUT,57.2,51.1,51.1,51.1,51.6,51.3,50.8,52.3,51.9,51.7,51.7,51.6,51.8,51.5,51.4
AZE,46.4,42.4,40.9,40.9,40.9,38.9,40.0,40.0,39.8,39.8,39.8,39.8,39.8,41.2,40.7
BDI,280.2,280.2,280.2,280.2,280.2,154.9,46.5,46.5,45.2,40.3,40.3,40.1,41.5,41.2,41.2
BEL,60.1,59.9,57.9,55.9,55.2,57.3,57.7,58.2,58.0,58.4,58.4,58.7,57.1,57.7,55.4
BEN,65.7,65.7,65.7,65.7,61.2,55.0,55.0,55.0,48.9,48.9,48.9,48.9,48.9,48.9,48.9
BFA,47.6,47.6,47.6,44.5,44.5,44.8,42.7,42.7,41.3,41.3,41.3,41.3,41.3,41.3,41.3
BGD,,,,,,,,,35.4,35.4,34.4,34.4,33.4,33.4,33.4
BGR,45.2,41.6,35.8,33.9,30.4,28.0,27.2,27.8,27.0,27.0,27.0,27.0,27.1,27.7,28.3
BHR,,,14.7,14.7,14.7,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.8,13.8,13.8
BHS,,,42.9,42.9,42.9,42.9,44.6,44.6,48.5,41.1,33.8,33.8,31.5,31.5,33.8
BIH,42.8,42.7,42.8,42.8,25.9,22.2,23.6,23.6,22.2,23.3,23.3,22.6,23.7,23.7,23.7
