country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,,,,,53000000.0,,,,,,,,,,,,,,190000000.0,,
ALB,,,308000000.0,,,,,,,,51300000.0,,,,284600000.0,,,,124800000.0,,
ARG,,3400000.0,,337000000.0,728700000.0,331000000.0,5890000.0,,234500000.0,16000000.0,,,,,,,,,,,
ARM,,,,,10000000.0,705000000.0,,,,,101000000.0,,,,,,,,,,
BEN,,,,,,,489000000.0,,,,,,,,,,,,,,
BFA,,,,,,,,,,,,,,,471300000.0,,,,,,
BGD,,,,,,,,,,,,,,,179580000.0,,909260000.0,1240000000.0,,377530000.0,261000000.0
BGR,,,2120000.0,531600000.0,,,4580000.0,,,,79000000.0,,,,,,,,890020000.0,,297240000.0
BLR,,,,,,3960000.0,,,,,,,,,,,,,,,
BRA,172900000.0,433600000.0,713400000.0,653600000.0,3914700000.0,10556600000.0,9202700000.0,3805100000.0,6425500000.0,22147300000.0,10968100000.0,33749230000.0,1752800000.0,896100000.0,549600000.0,1041400000.0,2763010000.0,282160000.0,3963030000.0,11200540000.0,3771150000.0
CHN,4054650000.0,782580000.0,6628900000.0,8351010000.0,4494380000.0,436750000.0,2512870000.0,,1095370000.0,1879400000.0,4475760000.0,5009410000.0,2913740000.0,3469630000.0,12587440000.0,25964800000.0,22515500000.0,2788890000.0,6504820000.0,28433590000.0,1680950000.0
CIV,,36400000.0,,,,,,,,285000000.0,,,,,471300000.0,,,,468310000.0,175600000.0,
CMR,,,,,,,,,,,,,,,568000000.0,,,30730000.0,,52500000.0,
COD,,,,,,,,,,,,,,,,,,,1000000000.0,,
COG,,,,,,735000000.0,,56000000.0,,,,,,,,,,,,,
COL,110400000.0,26000000.0,242000000.0,672360000.0,474000000.0,1059700000.0,,2359000000.0,,835400000.0,1008600000.0,4247900000.0,4495900000.0,5441240000.0,368500000.0,1864740000.0,2645000000.0,1000000000.0,133520000.0,2070000000.0,586970000.0
COM,500000.0,,,,,,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,,,,,,,,,,,150180000.0
CRI,,,304200000.0,43000000.0,330000000.0,,34000000.0,,,,,,663000000.0,,,,,,,,
CUB,,,,,,,,,,,,,,,,,1880000000.0,,,,
DJI,,130000000.0,,,396000000.0,,,,,,,,,,,,,,,,
DOM,200000000.0,,,250000000.0,,,629900000.0,69000000.0,,,73400000.0,,,,,,,,,,
DZA,,,17000000.0,,161000000.0,,108000000.0,,,,,,,,,,,,,,
ECU,,110000000.0,585000000.0,566000000.0,200000000.0,,,,,,,,,665000000.0,,377000000.0,100000000.0,500000000.0,280000000.0,,150000000.0
