country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ARG,,34650000.0,,,,,,,,,,,,,,,,,,,
ARM,,,,,,,,,,,,,,200000000.0,,,,,,,
BGD,,,,,,,,,,,,,,,,327000000.0,72000000.0,,,,
BRA,48200000.0,255330000.0,3164000.0,382600000.0,140570000.0,828400000.0,14800000.0,230400000.0,127500000.0,4572800000.0,2947100000.0,1786800000.0,1726700000.0,222700000.0,218600000.0,1400000.0,504380000.0,1240630000.0,1323000000.0,3502200000.0,287000000.0
BWA,,,,,,,,,,,,,,,,,,,92000000.0,,
CHN,662200000.0,603380000.0,1007319000.0,604261030.0,1901875470.0,973613580.0,512430000.0,639700000.0,591630000.0,273960000.0,169340000.0,352820000.0,774050000.0,950170000.0,1426080000.0,1627080000.0,3326340000.0,2312270000.0,3654630000.0,937080000.0,286060000.0
CIV,,,,,,,,,,,,,,,,,,192310000.0,,,
COL,55300000.0,51000000.0,15280000.0,305000000.0,,,,,,,129000000.0,,,,,,,,,,
DZA,,,510000000.0,,230000000.0,874000000.0,468000000.0,,,,,,,,,,,,,,
ECU,,10000000.0,,,,,,,,,,,,,,26490000.0,,,,,
EGY,,,,,,,,475000000.0,,,,,,,,,,,48500000.0,,
GAB,,,,,,,,,,,,,,,,,,,,183180000.0,
GEO,,,,,435000000.0,,,,,,,,,,25000000.0,,,,,,
GHA,,,,,,,,,,126000000.0,,,,,,,,,,,
GTM,,,,,,6700000.0,,,,,,,,,,,,,,,
HTI,,,,,,,1000000.0,,,,,,,,,,,,,,
IDN,,8100000.0,,20200000.0,,,,,,15000000.0,140000000.0,,,,157200000.0,314620000.0,82380000.0,,,116740000.0,989980000.0
IND,,110750000.0,,,142250000.0,75900000.0,23530000.0,,,115600000.0,135100000.0,,18500000.0,,50880000.0,583300000.0,,,278250000.0,,
JOR,169000000.0,,,,,,951000000.0,,,223000000.0,,,,,,,,,,,
KHM,,,,,,,,,,,,,,,,,,,,7000000.0,2300000.0
LKA,,,,,,,,,,,,,,,,,,,70640000.0,,
MAR,,,,,,,,,,,,,114000000.0,,,239530000.0,,,,,
MEX,,421700000.0,30000000.0,53100000.0,306500000.0,38900000.0,288500000.0,793000000.0,267900000.0,42300000.0,140550000.0,1046500000.0,1424600000.0,,,537300000.0,,14700000.0,,,
MYS,,2521000000.0,,,,,,,,,,,,,,,,,,,
PER,,,72000000.0,,,,,119800000.0,149500000.0,104500000.0,,715000000.0,4000000.0,100000000.0,,121400000.0,,,,,
PHL,,,,503900000.0,,,26600000.0,,,178300000.0,,,,488800000.0,,18960000.0,32070000.0,,27810000.0,155480000.0,3680000.0
ROU,,,,41000000.0,,,,,,,,,,,,,,,,,
RUS,323600000.0,240780000.0,340300000.0,698700000.0,174000000.0,,,,,100000000.0,,,1200000000.0,,,,,,,,
RWA,,,,,,,,,,,,,,,60000000.0,,,,,,
SDN,,,,,120700000.0,,,,,,,,,,,,,,,,
SEN,,,,,,,,,,,,,33000000.0,,,,,,,,
SRB,,,,,,,,,,33300000.0,,,,,,,,,,,
THA,34300000.0,,241600000.0,18800000.0,,,,,,,,,,,,,,,,,
TUN,,,,,,,,95000000.0,,,,,,,,,,,,,220600000.0
TZA,8500000.0,,,,,,,,,,,,,,,,,,,,0.0
UKR,,,100000000.0,,,102000000.0,,,,,,,,,,,,,,,
UZB,,,,,,,,,,,,,,,,,,159730000.0,,,
VNM,7000000.0,,92000000.0,,,,,,,,,,,88900000.0,,,159140000.0,,,,
