country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AGO,,,,,,,,,,,,,,,,6.0,2.0,,
ALB,,,,,,,,,3.0,,,10.0,14.0,20.0,16.0,15.0,4.0,,23.0
AND,,,,,,,,,,,,,,,,1.0,3.0,3.0,3.0
ARE,,,,,,,,25.0,33.0,23.0,21.0,29.0,35.0,57.0,63.0,57.0,55.0,39.0,69.0
ARG,792.0,786.0,1054.0,1020.0,937.0,801.0,640.0,552.0,688.0,735.0,643.0,509.0,546.0,884.0,393.0,425.0,442.0,930.0,406.0
ARM,151.0,,206.0,192.0,135.0,226.0,116.0,136.0,121.0,137.0,125.0,121.0,113.0,125.0,107.0,101.0,112.0,63.0,40.0
ATG,,,,,,,,,,,,,,,,5.0,,,
AUS,2418.0,2559.0,2555.0,2837.0,2718.0,2821.0,2494.0,2409.0,2383.0,2627.0,3061.0,1988.0,2291.0,2620.0,2503.0,2757.0,2637.0,2368.0,2966.0
AUT,2120.0,2248.0,2270.0,2271.0,2385.0,2298.0,2263.0,2424.0,2154.0,2258.0,2162.0,2092.0,2205.0,2078.0,2073.0,2039.0,2066.0,2124.0,1872.0
AZE,246.0,270.0,281.0,246.0,287.0,226.0,264.0,254.0,193.0,144.0,156.0,168.0,184.0,144.0,204.0,155.0,147.0,90.0,119.0
BDI,,,,,,,,,,,,,,,3.0,2.0,,2.0,
BEL,519.0,514.0,517.0,490.0,454.0,575.0,669.0,620.0,636.0,755.0,715.0,889.0,949.0,1054.0,1001.0,892.0,876.0,862.0,799.0
BFA,1.0,2.0,1.0,,,,,2.0,,,,,,,,,,,
BGD,58.0,48.0,50.0,22.0,29.0,60.0,55.0,66.0,37.0,67.0,60.0,44.0,41.0,77.0,61.0,69.0,68.0,40.0,74.0
BGR,278.0,263.0,261.0,243.0,211.0,249.0,242.0,243.0,262.0,245.0,282.0,218.0,280.0,230.0,202.0,180.0,186.0,239.0,165.0
BHR,,,,,,,,,1.0,3.0,3.0,6.0,8.0,6.0,8.0,11.0,4.0,7.0,3.0
BHS,,,,,,,,,,3.0,1.0,1.0,2.0,3.0,4.0,,,,
BIH,32.0,50.0,66.0,55.0,,59.0,,56.0,43.0,2.0,7.0,41.0,,60.0,87.0,84.0,45.0,50.0,53.0
BLR,1082.0,1065.0,1166.0,1188.0,1405.0,1510.0,1753.0,1759.0,1725.0,1681.0,1489.0,652.0,543.0,455.0,434.0,453.0,298.0,317.0,276.0
BLZ,,,,1.0,,,,,,,,,,,,,,,
BOL,,,,,,,,,,,,9.0,,12.0,59.0,,,8.0,5.0
BRA,3866.0,4044.0,4054.0,3956.0,4194.0,4280.0,4271.0,4228.0,4695.0,4798.0,4959.0,4659.0,4641.0,5200.0,5480.0,4980.0,5464.0,5280.0,4666.0
BRB,2.0,,,,3.0,1.0,,,,,3.0,1.0,,,,,,29.0,73.0
BRN,,,,,,,,,,20.0,20.0,26.0,,16.0,8.0,26.0,8.0,5.0,2.0
BTN,,,,,,,,,,3.0,3.0,,1.0,4.0,,1.0,1.0,,
BWA,,,,,,,,,1.0,5.0,8.0,4.0,3.0,1.0,3.0,,2.0,2.0,3.0
CAN,3929.0,5231.0,5183.0,5522.0,4998.0,5061.0,5067.0,4550.0,4754.0,4709.0,4567.0,4198.0,4277.0,4078.0,4053.0,4349.0,4238.0,4452.0,4710.0
CHE,1831.0,1742.0,1643.0,1740.0,1692.0,1594.0,1684.0,1622.0,1597.0,1480.0,1525.0,1480.0,1477.0,1462.0,1337.0,1283.0,1369.0,1384.0,1288.0
CHL,329.0,382.0,361.0,291.0,403.0,531.0,343.0,328.0,339.0,336.0,340.0,452.0,443.0,386.0,425.0,406.0,438.0,372.0,402.0
CHN,56769.0,65786.0,93485.0,122318.0,153060.0,194579.0,229096.0,293066.0,415829.0,535313.0,704936.0,801135.0,968252.0,1204981.0,1245709.0,1393815.0,1243568.0,1344817.0,1426644.0
CIV,,,,,,,,,,26.0,,,,,,,,,
COD,,,,,,,,,,,,,,,,44.0,42.0,72.0,
COL,82.0,76.0,99.0,142.0,128.0,126.0,128.0,133.0,183.0,213.0,251.0,260.0,321.0,545.0,595.0,415.0,422.0,369.0,432.0
CPV,,,,,,,,,,,,,,2.0,2.0,3.0,,1.0,1.0
CRI,33.0,26.0,17.0,22.0,20.0,24.0,16.0,8.0,13.0,9.0,18.0,15.0,17.0,9.0,19.0,8.0,16.0,12.0,15.0
CUB,,,105.0,94.0,74.0,69.0,59.0,,62.0,38.0,27.0,24.0,,32.0,29.0,29.0,27.0,33.0,21.0
CYP,12.0,9.0,20.0,,3.0,11.0,6.0,4.0,,4.0,2.0,4.0,6.0,3.0,8.0,4.0,4.0,2.0,1.0
CZE,625.0,623.0,586.0,641.0,716.0,712.0,789.0,868.0,783.0,867.0,984.0,910.0,880.0,792.0,794.0,678.0,765.0,673.0,541.0
DEU,47818.0,48448.0,48367.0,48012.0,47853.0,49240.0,47859.0,47047.0,46986.0,46620.0,47353.0,48154.0,47384.0,48480.0,47785.0,46617.0,46632.0,42260.0,39822.0
DJI,,,,,,,,,,,1.0,,,,,,,,3.0
DNK,1772.0,1877.0,1658.0,1503.0,1660.0,1634.0,1518.0,1626.0,1574.0,1406.0,1341.0,1377.0,1462.0,1552.0,1490.0,1262.0,1351.0,1261.0,1090.0
DOM,18.0,24.0,8.0,15.0,34.0,8.0,17.0,15.0,15.0,19.0,12.0,16.0,25.0,28.0,20.0,17.0,23.0,10.0,7.0
DZA,30.0,58.0,59.0,58.0,84.0,,,76.0,94.0,119.0,118.0,94.0,89.0,106.0,149.0,152.0,113.0,163.0,268.0
ECU,7.0,14.0,11.0,8.0,4.0,2.0,6.0,4.0,,,7.0,24.0,20.0,45.0,16.0,34.0,29.0,33.0,35.0
EGY,493.0,382.0,428.0,,516.0,481.0,490.0,605.0,618.0,683.0,641.0,752.0,718.0,920.0,1025.0,997.0,1027.0,978.0,881.0
ESP,2813.0,2871.0,3040.0,3111.0,3267.0,3632.0,3596.0,3566.0,3430.0,3266.0,3026.0,2953.0,2799.0,2745.0,2167.0,1525.0,1288.0,1431.0,1308.0
EST,18.0,27.0,23.0,36.0,44.0,62.0,76.0,84.0,62.0,20.0,25.0,44.0,30.0,29.0,37.0,24.0,31.0,21.0,25.0
ETH,3.0,1.0,1.0,5.0,12.0,,,,4.0,,1.0,2.0,18.0,10.0,14.0,13.0,,6.0,
FIN,1972.0,2011.0,1830.0,1816.0,1804.0,1799.0,1806.0,1731.0,1650.0,1698.0,1596.0,1419.0,1289.0,1260.0,1390.0,1387.0,1321.0,1588.0,1557.0
FRA,13511.0,14230.0,14327.0,14529.0,14722.0,14658.0,14100.0,14748.0,14655.0,14540.0,14690.0,14500.0,14306.0,14206.0,14415.0,14303.0,14103.0,12771.0,13386.0
GBR,20426.0,19178.0,17833.0,17484.0,17375.0,16523.0,15985.0,15490.0,15343.0,15370.0,14972.0,15196.0,14867.0,13876.0,13301.0,12865.0,12061.0,11990.0,11592.0
GEO,195.0,249.0,225.0,236.0,248.0,222.0,256.0,183.0,138.0,139.0,114.0,110.0,99.0,96.0,75.0,103.0,85.0,81.0,90.0
GHA,,,,,,,,,,,,,,14.0,15.0,13.0,,12.0,
GRC,393.0,379.0,462.0,532.0,575.0,628.0,698.0,728.0,722.0,628.0,698.0,651.0,550.0,606.0,498.0,430.0,356.0,400.0,394.0
GTM,6.0,9.0,17.0,28.0,9.0,5.0,7.0,7.0,4.0,7.0,4.0,10.0,7.0,3.0,3.0,6.0,7.0,7.0,9.0
GUY,,,,,,,,,,,,1.0,,1.0,,2.0,,,40.0
HKG,107.0,127.0,156.0,172.0,160.0,173.0,149.0,133.0,181.0,171.0,226.0,192.0,239.0,233.0,324.0,314.0,346.0,423.0,401.0
HND,,,,,,,,,2.0,8.0,6.0,,4.0,10.0,4.0,8.0,,,
HRV,387.0,385.0,363.0,317.0,344.0,330.0,250.0,257.0,230.0,217.0,230.0,170.0,169.0,175.0,148.0,121.0,195.0,117.0,77.0
HTI,,,,,,,,,1.0,2.0,,2.0,,,,,,,
HUN,756.0,748.0,705.0,718.0,689.0,683.0,757.0,649.0,662.0,692.0,642.0,546.0,569.0,616.0,496.0,407.0,427.0,428.0,433.0
IDN,201.0,227.0,235.0,288.0,284.0,386.0,415.0,508.0,533.0,,663.0,702.0,1058.0,1101.0,2271.0,1407.0,3093.0,1309.0,1397.0
IND,3425.0,4014.0,4721.0,5686.0,6296.0,6425.0,7262.0,8853.0,8841.0,9553.0,10669.0,12040.0,12579.0,13199.0,14961.0,16289.0,19454.0,23141.0,26267.0
IRL,,,,,,,,,,,,,,79.0,62.0,76.0,58.0,75.0,75.0
IRN,1287.0,2426.0,4051.0,5970.0,10648.0,15403.0,12184.0,11108.0,11529.0,10622.0,11305.0,13683.0,,14930.0,15264.0,11908.0,11569.0,11396.0,10210.0
IRQ,,,,,,,,,,,,,335.0,,613.0,653.0,737.0,635.0,
ISL,57.0,66.0,47.0,45.0,61.0,50.0,64.0,57.0,50.0,37.0,33.0,51.0,40.0,35.0,36.0,56.0,47.0,44.0,34.0
ISR,1329.0,1544.0,1669.0,1342.0,1615.0,1528.0,1387.0,1450.0,1360.0,1319.0,1201.0,1125.0,1285.0,1300.0,1436.0,1506.0,1368.0,1642.0,1592.0
ITA,,,,,9255.0,8588.0,8814.0,8877.0,8794.0,8439.0,8307.0,8601.0,,8848.0,8643.0,8921.0,9229.0,10061.0,10281.0
JAM,9.0,11.0,10.0,21.0,6.0,15.0,17.0,14.0,20.0,25.0,22.0,33.0,7.0,19.0,11.0,26.0,14.0,10.0,16.0
JOR,25.0,42.0,49.0,75.0,59.0,50.0,60.0,45.0,40.0,48.0,35.0,40.0,41.0,22.0,26.0,24.0,21.0,36.0,25.0
JPN,358184.0,368416.0,367960.0,347060.0,333498.0,330110.0,295315.0,290081.0,287580.0,287013.0,271731.0,265959.0,258839.0,260244.0,260292.0,253630.0,245372.0,227348.0,222452.0
KAZ,1696.0,1756.0,1523.0,1433.0,1633.0,1483.0,1513.0,1691.0,1415.0,,1824.0,1742.0,1271.0,993.0,1055.0,789.0,,803.0,
KEN,22.0,31.0,34.0,41.0,41.0,63.0,48.0,77.0,135.0,123.0,127.0,132.0,137.0,144.0,135.0,244.0,294.0,341.0,160.0
KGZ,179.0,,,,155.0,135.0,146.0,134.0,124.0,110.0,111.0,132.0,122.0,84.0,137.0,,92.0,63.0,83.0
KHM,,,,,,,,,,,1.0,2.0,,3.0,,1.0,,,
KOR,90313.0,105250.0,122188.0,125476.0,128701.0,127114.0,127316.0,131805.0,138034.0,148136.0,159978.0,164073.0,167275.0,163424.0,159084.0,162561.0,171603.0,180477.0,186245.0
KWT,,,,,,,,,,,,,,13.0,,1.0,,,
LAO,,,3.0,5.0,2.0,1.0,,,,,1.0,1.0,1.0,,3.0,1.0,,,
LBN,,,,,,,,,,,105.0,80.0,110.0,,,,,,
LCA,,,,,,,,,,,,,,5.0,3.0,2.0,,,
LKA,95.0,120.0,149.0,153.0,151.0,201.0,202.0,225.0,194.0,,328.0,,218.0,280.0,277.0,343.0,356.0,353.0,266.0
LSO,,,,,,,,,,,,,,,,4.0,1.0,,
LTU,64.0,70.0,68.0,65.0,62.0,87.0,91.0,108.0,93.0,109.0,117.0,123.0,101.0,95.0,81.0,81.0,90.0,95.0,81.0
LUX,16.0,23.0,24.0,26.0,15.0,48.0,60.0,79.0,85.0,109.0,113.0,128.0,128.0,143.0,156.0,152.0,117.0,129.0,112.0
LVA,91.0,108.0,112.0,114.0,139.0,206.0,240.0,178.0,173.0,193.0,225.0,103.0,136.0,95.0,90.0,86.0,82.0,93.0,104.0
MAC,,,3.0,,1.0,3.0,1.0,4.0,4.0,5.0,6.0,2.0,3.0,,1.0,1.0,,3.0,2.0
MAR,,104.0,140.0,178.0,150.0,177.0,135.0,152.0,169.0,197.0,316.0,355.0,224.0,237.0,198.0,187.0,199.0,250.0,254.0
MCO,5.0,7.0,2.0,6.0,11.0,7.0,3.0,6.0,6.0,4.0,5.0,6.0,5.0,7.0,18.0,4.0,10.0,6.0,5.0
MDA,293.0,297.0,377.0,303.0,333.0,273.0,134.0,139.0,97.0,93.0,67.0,67.0,64.0,91.0,73.0,92.0,85.0,85.0,64.0
MDG,3.0,16.0,7.0,4.0,9.0,14.0,1.0,9.0,3.0,4.0,4.0,5.0,3.0,6.0,9.0,9.0,,6.0,6.0
MEX,468.0,565.0,584.0,574.0,629.0,685.0,822.0,951.0,1065.0,1294.0,1210.0,1246.0,1364.0,1310.0,1334.0,1555.0,1305.0,1132.0,1117.0
MKD,48.0,44.0,53.0,55.0,105.0,34.0,39.0,27.0,37.0,50.0,42.0,,,,,,,47.0,42.0
MLT,,,,,10.0,14.0,8.0,12.0,9.0,11.0,13.0,5.0,9.0,3.0,5.0,2.0,5.0,6.0,5.0
MNE,,,,,,3.0,,23.0,20.0,37.0,23.0,13.0,23.0,10.0,,3.0,16.0,5.0,
MNG,167.0,143.0,100.0,103.0,,,76.0,110.0,,,133.0,139.0,109.0,112.0,124.0,82.0,84.0,66.0,109.0
MOZ,,,,1.0,18.0,2.0,7.0,15.0,8.0,14.0,13.0,14.0,24.0,15.0,24.0,34.0,23.0,26.0,30.0
MUS,,,,,,2.0,,,1.0,4.0,2.0,3.0,1.0,2.0,1.0,16.0,4.0,6.0,6.0
MWI,,,,,,,,,,,,,6.0,3.0,,,,,
