country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,3.33333333333333,3.16666666666667,3.2,3.33333333333333,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,1.333333,1.166667
AGO,2.5,2.66666666666667,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,
ALB,4.0,4.0,,,,,,,,,,,,,,,,,
ARM,5.33333333333333,5.33333333333333,5.5,5.5,5.0,4.66666666666667,4.66666666666667,4.66666666666667,4.5,,,,,,,,,,
AZE,4.5,4.5,4.66666666666667,4.5,4.5,4.33333333333333,,,,,,,,,,,,,
BDI,3.33333333333333,3.16666666666667,3.16666666666667,3.3,3.33333333333333,3.33333333333333,3.16666666666667,3.33333333333333,3.33333333333333,3.33333,2.83333333333333,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.666667,2.666667,2.833333
BEN,4.0,4.0,4.0,4.0,3.66666666666667,3.5,3.5,3.66666666666667,3.83333333333333,3.83333,3.83333,3.66666666666667,3.83333333333333,3.83333333333333,4.16666666666667,4.16666666666667,4.166667,4.166667,4.166667
BFA,4.5,4.33333333333333,4.33333333333333,4.3,4.33333333333333,4.33333333333333,4.16666666666667,4.16666666666667,4.16666666666667,4.0,3.83333333333333,3.83333333333333,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667,3.5,3.5,3.5
BGD,4.0,4.0,4.0,4.2,4.0,4.0,3.5,3.5,3.5,3.83333,3.83333,3.83333,3.83333333333333,3.66666666666667,3.666667,3.66666666666667,3.666667,3.5,3.333333
BIH,3.83333333333333,4.0,4.0,3.8,3.83333333333333,3.83333333333333,3.83333333333333,3.83333333333333,3.83333333333333,,,,,,,,,,
BOL,4.0,4.16666666666667,4.16666666666667,4.2,4.16666666666667,4.16666666666667,4.0,4.0,4.0,4.0,3.66667,,,,,,,,
BTN,4.0,4.16666666666667,4.5,4.5,4.5,4.5,4.16666666666667,3.66666666666667,3.66666666666667,3.83333,3.83333,3.83333,4.16666666666667,4.16666666666667,4.166667,4.16666666666667,4.333333,4.0,3.666667
CAF,2.5,2.5,2.83333333333333,2.8,3.0,3.33333333333333,3.33333333333333,3.33333333333333,3.0,2.83333,3.0,2.83333333333333,2.83333333333333,3.0,3.0,3.0,3.166667,3.166667,3.166667
CIV,2.0,1.83333333333333,2.33333333333333,2.5,2.83333333333333,2.66666666666667,2.83333333333333,3.33333333333333,3.5,3.66667,3.66667,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667,3.83333333333333,3.833333,3.833333,4.0
CMR,3.33333333333333,3.5,3.66666666666667,3.7,3.66666666666667,3.5,3.66666666666667,3.83333333333333,3.83333333333333,3.66666666666667,3.5,3.5,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667,3.666667,3.666667,3.666667
COD,3.16666666666667,3.16666666666667,3.16666666666667,3.2,3.16666666666667,3.33333333333333,3.16666666666667,3.16666666666667,3.33333333333333,3.5,3.5,3.16666666666667,2.83333333333333,3.16666666666667,3.16666666666667,3.16666666666667,3.333333,3.833333,3.833333
COG,3.0,2.83333333333333,2.5,2.8,3.0,3.16666666666667,3.5,3.5,3.66666666666667,3.66667,3.5,3.0,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.833333,3.0,3.0
COM,2.33333333333333,2.0,2.0,2.0,2.33333333333333,2.33333333333333,2.5,2.83333333333333,2.83333333333333,2.66667,2.83333,2.83333333333333,2.83333333333333,2.83333333333333,2.83333333333333,2.83333333333333,2.666667,2.666667,2.666667
CPV,4.16666666666667,4.33333333333333,4.5,4.5,4.5,4.33333333333333,3.83333333333333,3.66666666666667,3.66666666666667,3.66666666666667,3.66667,3.5,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.333333,3.5,3.5
DJI,3.16666666666667,2.83333333333333,2.83333333333333,3.0,3.0,3.0,3.16666666666667,3.16666666666667,3.16666666666667,3.0,3.0,3.0,3.0,3.0,3.166667,3.16666666666667,2.666667,2.666667,2.833333
DMA,3.66666666666667,3.83333333333333,3.83333333333333,3.8,3.83333333333333,3.83333333333333,3.83333333333333,3.83333333333333,3.83333333333333,3.83333,3.66667,3.5,3.5,3.5,3.833333,3.83333333333333,3.833333,3.833333,3.833333
ERI,2.16666666666667,2.16666666666667,2.16666666666667,2.2,1.83333333333333,1.83333333333333,1.83333333333333,1.5,1.33333333333333,1.33333,1.33333,1.33333333333333,1.33333333333333,1.33333333333333,1.5,1.5,1.5,1.5,1.5
