country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,2.60833333333333,2.5,2.6,2.75,2.625,2.675,2.675,2.65,2.65,2.69167,2.71667,2.675,2.675,2.7,2.65833333333333,,1.725,1.658333
AGO,2.58333333333333,2.65,2.73333333333333,2.7,2.78333333333333,2.75833333333333,2.69166666666667,2.66666666666667,2.66666666666667,,,,,,,,,,
ALB,3.675,3.74166666666667,,,,,,,,,,,,,,,,,
ARM,4.33333333333333,4.30833333333333,4.35,4.4,4.24166666666667,4.11666666666667,4.06666666666667,4.13333333333333,4.13333333333333,,,,,,,,,,
AZE,3.65,3.7,3.76666666666667,3.8,3.83333333333333,3.68333333333333,,,,,,,,,,,,,
BDI,2.96666666666667,2.99166666666667,3.01666666666667,3.0,3.05833333333333,3.08333333333333,3.10833333333333,3.24166666666667,3.24166666666667,3.26667,3.06666666666667,2.975,2.90833333333333,2.90833333333333,2.90833333333333,2.93333333333333,2.933333,3.008333,3.066667
BEN,3.65,3.58333333333333,3.56666666666667,3.6,3.48333333333333,3.46666666666667,3.46666666666667,3.46666666666667,3.50833333333333,3.50833,3.50833,3.38333333333333,3.46666666666667,3.49166666666667,3.6,3.64166666666667,3.733333,3.783333,3.9
BFA,3.75833333333333,3.69166666666667,3.69166666666667,3.7,3.78333333333333,3.78333333333333,3.76666666666667,3.76666666666667,3.76666666666667,3.65,3.60833333333333,3.63333333333333,3.56666666666667,3.56666666666667,3.49166666666667,3.54166666666667,3.5,3.45,3.425
BGD,3.41666666666667,3.43333333333333,3.48333333333333,3.5,3.525,3.48333333333333,3.28333333333333,3.28333333333333,3.26666666666667,3.375,3.30833,3.28333,3.23333333333333,3.19166666666667,3.1,3.075,3.1,3.058333,3.116667
BIH,3.59166666666667,3.66666666666667,3.68333333333333,3.7,3.70833333333333,3.70833333333333,3.64166666666667,3.64166666666667,3.6,,,,,,,,,,
BOL,3.70833333333333,3.73333333333333,3.73333333333333,3.8,3.775,3.73333333333333,3.6,3.625,3.55833333333333,3.55833,3.45,,,,,,,,
BTN,3.79166666666667,3.80833333333333,3.89166666666667,3.9,3.89166666666667,3.91666666666667,3.85,3.68333333333333,3.68333333333333,3.76667,3.7,3.76667,3.85,3.9,3.875,3.875,3.916667,3.833333,3.75
