country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,2.3,2.2,2.2,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,,1.7,1.6
AGO,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,,,,,,,,,,
ALB,3.3,3.3,,,,,,,,,,,,,,,,,
ARM,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.7,3.7,,,,,,,,,,
AZE,3.2,3.2,3.2,3.2,3.2,3.1,,,,,,,,,,,,,
BDI,2.7,2.7,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.5,2.4
BEN,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.5,3.6,3.7
BFA,3.6,3.5,3.5,3.5,3.7,3.7,3.7,3.7,3.7,3.5,3.5,3.5,3.4,3.4,3.2,3.4,3.4,3.2,3.2
BGD,2.9,2.8,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.5,2.5,2.5,2.7
BIH,3.3,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,,,,,,,,,,
BOL,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.1,,,,,,,,
BTN,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.9,3.9,4.1,4.0,4.0,4.0,4.0,4.0
CAF,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.4,2.2,2.2,2.2,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4
CIV,2.5,2.5,2.4,2.5,2.6,2.4,2.7,2.8,3.0,3.1,3.1,3.2,3.2,3.3,3.5,3.5,3.5,3.6,3.7
CMR,3.1,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.0
COD,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6
COG,2.6,2.7,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.7,2.5,2.5,2.7,2.8
COM,2.3,2.2,2.2,2.2,2.4,2.4,2.4,2.5,2.4,2.4,2.6,2.7,2.6,2.6,2.5,2.4,2.2,2.1,2.1
CPV,3.9,3.9,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.0,4.0,3.8,3.9,4.0,4.0,4.1,4.1,4.0,4.0
DJI,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.7,2.7,2.7,2.7,2.7,3.0,3.1,3.2,3.1,3.1,3.1
DMA,3.6,3.6,3.8,3.8,3.8,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
ERI,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.6,2.5,2.4,2.3,2.1,1.5
ETH,3.1,3.3,3.3,3.3,3.2,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.4,3.5,3.4,3.4,3.1
FJI,,,,,,,,,,,,,,,,3.2,3.3,3.2,3.2
FSM,,,,,,,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.9,2.9,2.9
GEO,3.6,3.7,3.7,3.8,3.8,3.9,3.8,4.0,4.0,,,,,,,,,,
GHA,3.7,3.9,3.9,3.9,3.8,3.7,3.7,3.7,3.7,3.4,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
