country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,2.3,2.3,2.5,2.6,2.6,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,,1.7,1.7
AGO,2.6,2.7,2.7,2.7,2.9,2.8,2.8,2.7,2.7,,,,,,,,,,
ALB,3.4,3.5,,,,,,,,,,,,,,,,,
ARM,4.2,4.2,4.2,4.1,4.1,4.1,4.0,4.0,4.0,,,,,,,,,,
AZE,3.4,3.6,3.7,3.8,3.8,3.8,,,,,,,,,,,,,
BDI,3.0,3.1,3.3,3.3,3.3,3.4,3.4,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.6,3.6,3.7,3.7
BEN,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.6,3.7,3.9
BFA,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.6,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.5
BGD,3.6,3.6,3.6,3.6,3.6,3.6,3.4,3.4,3.5,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.4,3.4,3.6
BIH,3.4,3.6,3.6,3.6,3.7,3.7,3.6,3.6,3.6,,,,,,,,,,
BOL,,,,3.8,3.8,3.8,3.7,3.8,3.7,3.7,3.7,,,,,,,,
BTN,4.2,4.1,4.1,4.0,4.0,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CAF,2.2,2.2,2.2,2.2,2.5,2.5,2.6,2.6,2.3,2.2,2.3,2.3,2.3,2.4,2.3,2.3,2.3,2.3,2.3
CIV,2.3,2.3,2.3,2.3,2.4,2.4,2.6,2.8,2.9,2.9,3.0,3.2,3.3,3.4,3.5,3.5,3.6,3.7,3.7
CMR,3.4,3.2,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.3
COD,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.9,3.0,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.1
COG,2.9,2.7,2.7,2.7,2.7,2.8,2.9,3.0,3.0,3.0,3.0,2.9,2.8,2.8,2.8,2.9,2.9,3.0,3.0
COM,2.7,2.7,2.7,2.5,2.6,2.6,2.7,2.8,2.8,2.8,2.9,2.9,2.8,2.8,2.7,2.8,2.9,2.9,2.9
CPV,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.0,4.0,4.0,3.8,3.8,3.9,3.9,3.9,3.9,3.9,4.0,4.0
DJI,3.1,3.1,3.0,3.0,3.2,3.3,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.2,3.4,3.4,3.4,3.4
DMA,3.7,3.7,3.6,3.6,3.6,3.5,3.7,3.6,3.6,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
ERI,3.2,3.0,3.0,3.0,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.4,2.4,2.6,2.6,2.6,2.6,2.6,2.6
ETH,3.6,3.6,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.8,3.7,3.7,3.8,3.8,3.8,3.5,3.5,3.5
FJI,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8
FSM,,,,,,,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7
GEO,3.9,4.1,4.0,4.2,4.2,4.2,4.2,4.1,4.1,,,,,,,,,,
GHA,3.7,3.8,3.9,4.0,3.9,4.0,3.9,4.0,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7
GIN,3.2,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.1,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.4
GMB,3.1,3.1,3.1,3.2,3.3,3.4,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.6,3.6
GNB,2.8,2.6,2.6,2.6,2.5,2.7,2.7,2.5,2.4,2.3,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.5
GRD,3.9,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.9
GUY,3.3,3.4,3.4,3.5,3.5,3.4,3.3,3.3,3.3,3.3,3.2,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.3
HND,3.8,3.7,3.7,3.8,3.7,3.7,3.6,3.6,3.6,3.8,3.7,3.7,3.8,3.7,3.6,3.6,3.6,3.6,3.5
HTI,2.6,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.5,2.4,2.3
IND,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.7,3.7,,,,,,,,,,
KEN,3.1,3.2,3.2,3.2,3.5,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.9
KGZ,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8
KHM,3.1,3.3,3.3,3.3,3.3,3.4,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.6,3.8,3.8
KIR,3.0,2.9,2.9,2.8,2.9,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.3,3.2,3.2,3.2
LAO,3.1,3.1,3.2,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.5,3.4,3.4,3.4,3.4,3.3
LBR,,,,,2.5,2.7,3.0,3.1,3.1,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1
LCA,3.8,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.9,3.9,3.9,3.9,3.9
LKA,3.8,3.7,3.7,3.8,3.8,3.7,3.6,3.6,3.6,3.6,3.6,,,,3.7,,,3.6,3.7
LSO,3.3,3.4,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5
MDA,3.8,3.9,3.9,3.9,3.9,4.0,4.1,4.1,4.0,4.0,3.9,3.9,3.9,3.9,3.9,,,,
MDG,3.6,3.6,3.7,3.7,3.6,3.6,3.3,2.9,2.9,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
MDV,3.9,3.9,3.9,3.9,3.8,3.9,3.9,3.9,3.9,3.7,3.6,3.6,3.5,3.5,3.7,3.7,3.8,3.8,3.9
MHL,,,,,,,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8
MLI,3.4,3.4,3.5,3.4,3.4,3.5,3.6,3.2,3.2,3.3,3.2,3.1,3.1,3.1,3.2,3.3,3.2,3.2,3.2
MMR,,,,,,,,,2.6,2.8,2.8,2.8,2.6,2.6,2.6,2.7,2.4,2.4,2.2
MNG,3.3,3.2,3.4,3.5,3.5,3.4,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,,,,
MOZ,3.3,3.3,3.3,3.4,3.3,3.4,3.3,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3
MRT,3.4,3.4,3.5,3.5,3.4,3.2,3.3,3.3,3.4,3.5,3.4,3.5,3.6,3.5,3.5,3.5,3.6,3.6,3.7
MWI,3.5,3.5,3.4,3.4,3.5,3.5,3.6,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6
NER,3.0,3.0,3.0,3.0,3.1,3.2,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.2,3.3,3.3,3.2,3.4,3.4
NGA,3.1,3.1,3.2,3.2,3.2,3.2,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.4,3.5,3.5,3.5,3.5,3.4
NIC,3.7,3.6,3.6,3.6,3.5,3.6,3.7,3.8,3.9,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.5,3.5,3.5
NPL,3.2,3.3,3.4,3.4,3.7,3.7,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.5
PAK,3.1,3.1,3.1,3.0,2.9,2.9,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
PNG,2.5,2.5,2.7,2.6,2.7,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.6,2.6
RWA,3.6,3.8,3.8,3.9,3.9,4.0,4.0,4.1,4.1,4.2,4.3,4.3,4.3,4.2,4.2,4.3,4.3,4.3,4.4
SDN,2.3,2.3,2.4,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.2
SEN,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.7,3.7,3.7,3.7,3.7,3.7,3.7
SLB,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8
SLE,2.9,2.8,2.9,2.9,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.2,3.4,3.6,3.6
SOM,,,,,,,,,,,,,2.0,,2.4,2.4,2.4,2.4,2.5
SRB,3.9,2.8,,,,,,,,,,,,,,,,,
SSD,,,,,,,,2.3,2.2,2.1,2.1,1.8,1.7,1.5,1.5,1.5,1.5,1.6,1.7
STP,2.8,2.8,2.8,2.8,2.8,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2
TCD,2.8,2.6,2.6,2.4,2.4,2.3,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.8,3.0,3.0,3.0,2.9,2.9
TGO,2.6,2.6,2.6,2.7,2.7,2.8,3.0,3.0,3.1,3.2,3.3,3.4,3.4,3.4,3.6,3.7,3.7,3.8,4.0
TJK,3.1,3.1,3.2,3.4,3.4,3.4,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.4,3.4,3.5
TLS,,2.6,2.7,2.7,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
TON,3.2,3.2,3.2,3.3,3.4,3.4,3.2,3.3,3.3,3.3,3.3,3.3,3.1,3.2,3.3,3.3,3.3,3.4,3.4
TUV,,,,,,,,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
TZA,3.8,3.8,3.8,3.7,3.7,3.7,3.5,3.7,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6
UGA,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4
UZB,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.8,3.9,3.9,4.0,4.0
VCT,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.6,3.7,3.8,3.6,3.6,3.6
VNM,3.8,3.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.1,,,,,,,,
VUT,2.8,2.8,2.9,2.9,2.9,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.2,3.1,3.1
WSM,3.9,3.9,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
YEM,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.0,3.0,3.0,2.7,2.5,2.3,2.3,2.3,2.3,2.3,2.3,2.2
ZMB,3.4,3.4,3.4,3.5,3.5,3.5,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.1,3.1,3.2,3.4,3.4
ZWE,2.0,2.0,1.8,1.5,1.6,1.8,2.4,2.4,2.5,3.1,3.3,3.4,3.5,3.7,3.7,3.7,3.7,3.7,3.7
