country_code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,2.5,2.33333333333333,2.5,2.66666666666667,2.5,2.5,2.5,2.5,2.5,2.66667,2.66667,2.5,2.5,2.5,2.33333333333333,,2.166667,2.166667
AGO,2.83333333333333,2.83333333333333,2.83333333333333,2.8,2.83333333333333,2.83333333333333,2.66666666666667,2.66666666666667,2.66666666666667,,,,,,,,,,
ALB,4.0,4.16666666666667,,,,,,,,,,,,,,,,,
ARM,4.0,4.0,4.0,4.2,4.16666666666667,4.0,4.0,4.16666666666667,4.33333333333333,,,,,,,,,,
AZE,3.5,3.5,3.5,3.8,3.83333333333333,3.5,,,,,,,,,,,,,
BDI,2.83333333333333,3.0,3.0,2.8,3.0,3.0,3.16666666666667,3.33333333333333,3.33333333333333,3.33333,3.33333333333333,3.33333333333333,3.16666666666667,3.16666666666667,3.16666666666667,3.16666666666667,3.166667,3.166667,3.333333
BEN,4.0,3.83333333333333,3.66666666666667,3.7,3.66666666666667,3.66666666666667,3.66666666666667,3.5,3.5,3.5,3.5,3.16666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.5,3.666667,3.666667,3.833333
BFA,3.33333333333333,3.33333333333333,3.33333333333333,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
BGD,3.16666666666667,3.33333333333333,3.33333333333333,3.3,3.5,3.33333333333333,3.33333333333333,3.33333333333333,3.16666666666667,3.16667,3.0,3.0,3.0,3.0,2.833333,2.83333333333333,2.833333,2.833333,2.833333
BIH,3.83333333333333,3.66666666666667,3.83333333333333,4.0,4.0,4.0,3.83333333333333,3.83333333333333,3.66666666666667,,,,,,,,,,
BOL,3.83333333333333,3.66666666666667,3.66666666666667,3.8,3.83333333333333,3.66666666666667,3.5,3.5,3.33333333333333,3.33333,3.33333,,,,,,,,
BTN,3.16666666666667,3.16666666666667,3.16666666666667,3.2,3.16666666666667,3.16666666666667,3.33333333333333,3.16666666666667,3.16666666666667,3.33333,3.16667,3.33333,3.33333333333333,3.33333333333333,3.333333,3.33333333333333,3.333333,3.333333,3.333333
CAF,2.66666666666667,2.66666666666667,2.66666666666667,2.7,2.66666666666667,2.66666666666667,2.5,2.5,2.5,2.5,2.33333,2.33333333333333,2.5,2.5,2.5,2.5,2.5,2.5,2.5
