country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,,,,,,,,,,,,,,,2132.0,2276.0,,,
AFG,,,,,,,,21677.0,25021.0,17775.0,21696.0,25920.0,23532.0,22770.0,24207.0,10454.0,7334.0,4635.714,2865.737
AGO,4633.0,4849.0,4948.0,4965.0,5277.0,3361.0,3236.0,17060.0,12282.0,13072.0,14496.0,13716.0,13116.0,15482.0,13494.0,13978.0,13647.0,3792.0,3805.0
ALB,3800.0,4104.0,4309.0,4481.0,4930.0,5058.0,5140.0,9412.0,10373.2109418273,10309.1791376912,11196.0,1992.0,,306.0,1904.0,2935.0,2558.0,1274.0,1471.0
ARE,71224.0,87217.0,,,,,170588.0,240855.107016004,269521.0,311758.0,327076.0,352224.0,437638.0,463947.0,459137.0,455956.0,426157.272,185260.0,234612.0
ARG,91657.0,90518.0,81298.0,74162.0,79465.0,74649.0,74546.0,92847.5065402624,90214.5205338809,101716.268913446,145136.020724733,134521.0,145585.0,149334.0,146631.0,161862.0,163106.0,27447.0,54218.0
ARM,3842.0,5657.0,5939.0,6177.0,5975.0,6681.0,7632.0,8761.0,5561.0,6043.0,852.0,0.0,,,,814.0,2133.0,705.0,1598.0
ASM,,,,,,,,3420.57075456399,3577.61386138614,3963.0036477332,8580.0,9144.0,,,,,,,
ATG,67163.0,25700.0,26985.0,26175.0,27746.0,28356.0,26371.0,39865.0,36533.603996772,33606.0392244309,52572.0,46404.0,40047.0,40928.0,24019.0,23206.966273393,21930.5831283564,64.0,2105.0
AUS,529648.0,324939.0,342509.0,352909.0,353546.0,393363.0,403256.0,572906.0,593145.002471011,622917.0,641451.0,664970.0,668961.0,682937.0,672349.0,665384.0,684170.0,310837.0,383008.0
AUT,128449.0,137049.0,141968.0,149512.0,151070.0,150738.0,138942.0,176195.0,166729.997287091,162715.735981131,166251.0,162576.0,152056.0,149030.0,156761.0,130260.0,330226.0,121668.0,161093.0
AZE,9195.0,11090.0,12470.0,12777.0,13039.0,12008.0,10264.0,9885.0,15082.0,16597.0,15886.0,21910.0,23781.0,24009.0,20699.0,19960.0,28974.0,11648.0,15844.0
BEL,132779.0,154218.0,151939.0,158016.0,173818.0,179019.0,249997.0,127677.532209862,131577.0,132099.342541943,130230.0,132976.52964928,141116.0,147324.0,145540.0,140674.0,137206.817,57072.125,73673.104
BEN,,,,,,,,1255.45454545455,1381.0,1381.0,1728.0,648.0,1209.0,10.0,,,,,
BFA,1285.0,1415.0,1471.0,1512.0,1614.0,1413.0,1433.0,4235.0,3983.15025906736,3856.22456300177,3780.0,3672.0,3875.0,3861.0,3863.0,3988.0,4105.0,1790.0,3007.0
BGD,7165.0,7403.0,7399.0,7971.0,11139.0,11308.0,16399.0,19299.8261758691,26535.0,26996.2544120399,59064.0,65364.0,55864.0,59728.0,70503.0,53061.0,68351.0,42827.89,50991.0
BGR,4577.0,7848.0,9691.0,12471.0,12221.0,15974.0,11237.0,11321.0,12297.0,11826.0,11736.0,11755.0,11768.0,12187.0,11748.0,11435.0,10111.0,6295.0,464.0
BHR,28508.0,32488.0,,,,,69808.0,62473.0,60778.7162603187,63711.9791706662,52452.0,55980.0,57444.0,55592.0,54474.0,57094.0,57321.0,17591.0,29475.0
BHS,24455.0,29817.0,33211.0,33723.0,34402.0,33433.0,30267.0,26395.0,28393.0,30640.0,34188.0,53366.0,48535.0,49095.0,48017.0,54000.0,47733.0,31284.792,27092.684
BIH,4570.0,,,,,1004.0,1359.0,1573.54975701333,1060.06567164179,750.069402985075,552.0,420.0,81.0,,,,108.0,44.0,
BLR,6047.0,6211.0,5407.0,5646.0,6210.0,6371.0,5868.0,12101.0,14378.0,14608.0,17820.0,21168.0,22939.0,26857.0,29562.0,31676.0,35741.0,16611.0,12432.0
BLZ,,,,,,,,19855.0,31755.0,59089.0,71401.0,112760.0,120072.0,121581.0,141319.0,125681.690865347,141329.0,130792.986,95608.657
BOL,28901.0,25764.0,25644.0,21978.0,24089.0,21088.0,19011.0,37019.0,40751.4507216495,41974.6792042443,33467.0,51017.0018723656,42682.0,45722.0,54102.0,56592.0,49931.0,31354.0,45832.196
BRA,486777.0,486025.0,514700.0,560838.0,649738.0,647753.0,752225.0,841793.0,970561.0,1002565.0,952307.0,937437.0,944557.0,826943.0,803846.0,832683.0,814301.0,393769.0,529115.0
BRN,11812.0,13322.0,11808.0,12381.0,12128.0,13071.0,12274.0,12333.0,11672.0,10374.0,10920.0,10392.0,11624.0,11058.0,10743.0,11310.0,14091.0,4233.0,1186.0
BTN,1890.0,2306.0,2467.0,2566.0,2720.0,2772.0,2706.0,3053.39992695398,4146.03177501826,3553.0,5820.0,8772.0,4640.0,6065.0,4215.0,5187.0,5067.0,1311.0,696.0
BWA,7214.0,7885.0,8181.0,6905.0,7366.0,6105.0,6142.0,7681.0,7910.25856004678,8422.23447986064,9396.0,8304.0,7741.0,7933.0,7002.0,6774.0,6533.0,,2593.0
CAN,1036092.0,988755.0,1018480.0,1042100.0,1188947.0,1200361.0,1198381.0,1234528.61925597,1245743.61579713,1280198.18557714,1263297.33686341,1290419.0,1322033.0,1359442.0,1443818.0,1250460.0,1215983.0,511637.0,571070.076
CHE,189121.0,144703.0,134839.0,125126.0,139124.0,158788.0,168280.0,224807.0,244994.0,257233.254295533,266128.0,263267.0,250094.0,229530.0,216436.0,219782.0,225755.0,81283.2,96369.999
CHL,82789.0,86140.0,93003.0,94770.0,101008.0,108565.0,97473.0,108840.0,123739.0,125120.0,127631.0,124480.0,116532.0,116238.0,124316.0,134661.0,143964.0,72839.0,95001.0
CHN,946354.0,1209900.0,1349269.0,1542564.0,1753550.0,1853088.0,2140124.0,2377789.0,2538667.0,2779741.0,3073450.0,3356756.0,3616026.0,3952098.0,4359033.0,4692008.0,4963752.0,3667920.0,3906386.0
CIV,,,,,,,,5604.0,907.0,415.0,3912.0,4032.0,9068.0,9463.0,14884.0,14666.0,16616.0,8030.0,11812.0
CMR,9524.0,10337.0,10696.0,10925.0,11650.0,9471.0,9501.0,0.0,3036.0,4938.0,5640.0,5640.0,5499.0,8212.0,5640.0,5550.0,2336.0,1169.0,5017.0
