country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ALB,447.0,447.0,423.0,423.0,423.0,423.0,423.0,,,,,,,,,,,,
ARE,,,,,,,,,,,,,,,,279.0,261.0,261.0,279.0
ARG,,,3150.0,13488.0,,,,,,,18097.0,18097.0,,17609.0,17609.0,17866.0,17866.0,,
ARM,711.0,711.0,,845.0,,826.072,,826.07201,,,,703.2,703.2,679.363,685.66,698.4,698.4,698.4,698.4
AUT,5752.0,5766.0,5782.0,5818.0,5793.0,5784.0,5356.0,5351.0,4917.0,4985.0,4950.0,4956.0,4937.0,4917.0,4953.0,4955.0,4968.0,4966.0,4962.0
AZE,2122.0,2122.0,2122.0,2122.0,2099.0,2099.1,2079.0,2079.1,2079.3,2068.1,2068.1,2066.4,2067.8,2074.0,2132.0,2133.07,2139.87,2239.18,2138.85
BEL,3521.0,3536.0,3544.0,3500.0,3374.0,3513.0,3578.0,3582.0,,3592.0,,3631.0,3607.0,3602.0,3605.0,3607.0,3615.0,3615.0,3612.0
BEN,438.0,,,758.0,,,,,,,,,,,,,,,
BFA,622.0,622.0,622.0,622.0,622.0,622.0,622.0,,,,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0
BGD,2855.0,2855.0,2855.0,2855.0,2835.0,2835.0,2835.0,2835.0,2791.0,2877.0,2877.0,2791.0,2877.0,2877.0,2877.0,2877.0,2877.0,,
BGR,4318.0,4259.0,4154.0,4146.0,4143.0,4144.0,4150.0,4097.0,4072.0,4070.0,4032.0,4023.0,4019.0,4029.0,4030.0,4030.0,4030.0,4029.0,4031.0
BIH,1033.0,1000.0,1000.0,1024.495,1017.054,1017.054,1017.054,1027.054,1027.054,1027.054,1027.054,1027.054,1027.054,1018.054,417.0,1018.054,1018.054,,
BLR,5502.0,5498.0,5498.0,5494.0,5494.0,5491.0,5491.0,5482.0,5482.0,5462.0,5469.0,5470.0,5470.0,5459.0,5459.0,5459.0,5459.2,5453.5,5474.0
BRA,,512.0,,,32622.0,,,,,,,,,,,,,,
