country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,,,,,135000.0,140000.0,125000.0,49558.0,,,30988.0,29628.0,35342.0,31323.0,31689.0,58500.0,63870.0,53171.0,57062.0,
AGO,,,,,,,,533150.0,679516.0,1006281.0,912898.0,1055393.0,753286.0,541346.0,683548.0,572922.0,651273.0,563895.0,604987.0,654590.0
ALB,,,,,33127.0,46798.0,68780.0,70000.0,76700.0,83194.0,108670.0,99350.0,104000.0,118829.0,118270.0,134526.0,145762.0,,,
ARE,6955202.0,8661636.0,9851709.0,10967048.0,13182412.0,14756127.0,14425039.0,15140524.0,17028713.0,18063296.0,18657222.0,20186679.0,21238293.0,20652200.0,19089706.0,18696000.0,18802000.0,18721000.0,19182000.0,20300000.0
ARG,1025055.0,1251895.0,1490372.0,1757990.0,1874259.0,1997146.0,1626835.3556,2017388.0,2193269.0,1970243.0,2176939.0,1738744.0,1734397.0,1713267.0,1809153.0,2184625.0,1833964.0,1705390.0,1798923.0,1667161.0
ASM,,,,,,,,59167.0,66334.0,59461.0,56600.0,57025.0,70288.0,65970.0,92270.0,90245.0,76200.0,,,
ATG,,,,,34081.0,32562.0,29150.0,24615.0,21824.0,24449.0,24842.0,14443.0,14949.0,16193.0,17311.0,28826.0,27657.0,,,
AUS,4758428.0,5057346.0,5191013.0,5741962.0,6290090.0,6102342.1952,6200325.48531488,6451689.0,6865295.0,7197262.0,7304610.0,7442016.0,7731627.0,7830344.0,7991508.0,8667914.0,8778913.0,8471033.0,9254248.0,9375992.0
AUT,,,,,365918.0,379740.7072,330995.87292768,285900.0,285900.0,285900.0,285900.0,285900.0,285900.0,285900.0,285900.0,,,,,
BEL,6482443.0,7279638.0,7889994.0,8708293.0,10257511.0,10937134.0,9701494.0,9988291.0,9901751.0,9653447.0,9528054.0,9895013.0,10059579.0,10321506.0,10783850.0,11503695.0,12389876.0,12697162.0,13095258.0,12303822.0
BEN,,,,,,300000.0,272820.0,316700.0,334800.0,348200.0,341500.0,344850.0,288000.0,310500.0,333000.0,321750.0,510895.6,,,
BGD,625160.0,714420.0,808924.0,901528.0,978007.0,1091200.0,1182121.0,1364139.0,1419227.0,1435045.0,1584873.0,1782007.0,2066344.0,2387953.0,2583549.0,2946955.0,3145919.0,2897709.0,3271732.0,3200236.0
