country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,40.5,40.8,40.6,40.5,40.0,39.3,37.1,35.0,,35.4,34.1,33.9,33.6,,,,32.7,32.6,32.5,32.1,
AFG,0.161,,,,,,0.0187,0.0588,0.046,0.295,0.303,0.311,0.325,0.329,0.333,0.348,0.356,0.373,0.364,0.4,0.439
AGO,0.474,0.507,0.502,0.49,0.454,0.53,1.35,1.21,0.659,0.828,0.821,1.06,1.01,1.04,0.533,0.549,0.385,0.356,0.348,0.264,0.236
ALB,8.18,8.86,9.07,8.39,9.92,11.5,12.3,11.4,11.6,10.7,9.67,8.12,7.82,8.58,8.51,8.59,8.42,7.78,6.94,6.27,6.16
AND,50.6,47.1,45.8,45.9,45.4,44.8,45.2,47.3,49.4,49.9,51.3,51.9,53.8,53.6,52.1,52.4,51.9,62.8,63.5,63.8,63.9
ARE,27.1,26.8,26.5,26.1,24.6,25.3,23.6,21.3,25.4,26.2,26.6,25.5,26.0,25.3,25.1,25.1,25.2,25.2,22.9,22.3,21.2
ARG,22.4,22.6,24.1,23.9,23.7,24.1,23.9,24.0,23.3,22.4,22.7,22.8,23.2,23.2,22.0,21.9,17.2,16.3,16.8,15.5,15.4
ARM,18.5,19.2,19.8,20.2,21.0,21.2,20.4,20.2,20.1,20.0,19.8,19.6,18.9,18.2,17.2,16.4,15.6,14.8,14.6,12.7,11.2
ASM,18.8,18.2,18.4,18.4,18.5,18.6,18.7,18.8,,18.4,18.5,18.5,18.9,,,,19.9,20.1,20.3,20.1,
ATG,48.8,48.3,45.8,46.5,46.4,45.8,44.4,42.6,41.1,38.0,37.6,22.4,22.4,25.0,26.5,,29.6,29.4,29.2,29.4,
AUS,52.8,51.7,49.9,48.3,46.6,43.8,49.2,48.0,47.0,45.8,44.5,38.9,35.5,34.9,34.2,32.6,24.3,21.2,25.9,26.1,24.4
AUT,47.7,46.7,45.4,43.6,41.1,39.5,39.0,40.6,40.4,40.1,39.3,41.2,41.8,40.8,42.2,42.2,41.9,42.4,42.5,40.6,39.5
AZE,11.2,11.9,12.7,13.5,14.2,14.7,15.5,16.5,18.2,18.4,18.5,18.6,18.4,17.2,16.9,16.7,16.5,16.2,16.1,15.9,15.8
BDI,0.339,0.38,0.366,0.355,0.349,0.358,0.348,0.373,0.309,0.173,0.204,0.201,0.197,0.174,0.203,0.209,0.171,0.145,0.123,0.112,0.105
BEL,47.0,46.1,45.8,44.8,45.6,44.2,42.9,42.4,42.0,41.7,41.1,40.4,39.8,38.6,37.6,35.9,34.2,31.5,28.6,25.5,22.8
BEN,0.841,0.892,0.905,0.89,1.24,1.25,1.34,1.36,1.51,1.51,1.49,1.77,1.71,1.07,0.472,0.392,0.282,0.248,0.0857,0.0111,0.0101
BFA,0.509,0.631,0.655,0.659,0.788,0.971,0.97,0.89,0.849,0.823,0.777,0.683,0.4,0.392,0.382,0.376,0.359,0.349,0.37,0.323,
BGD,0.526,0.581,0.739,0.775,0.802,0.899,0.818,0.842,0.637,0.62,0.691,0.617,0.542,0.476,0.436,0.887,0.879,0.836,0.174,0.17,0.176
BGR,36.1,35.2,32.4,31.4,30.3,29.1,29.5,29.1,30.8,29.1,26.7,25.2,23.1,20.8,18.2,15.9,14.0,12.6,11.5,10.1,9.11
BHR,22.9,22.0,20.8,19.5,19.2,19.7,20.1,18.8,22.9,24.6,23.2,21.7,20.5,19.6,19.2,18.3,18.4,18.5,17.5,17.2,15.7
BHS,39.3,41.2,38.7,37.8,37.6,37.1,35.5,35.2,35.8,36.0,35.9,32.9,31.4,31.2,29.2,28.9,23.1,23.0,21.6,21.8,24.2
BIH,22.4,23.0,23.7,24.3,26.5,26.1,25.7,26.2,25.5,25.3,24.7,23.8,22.3,22.6,22.1,21.9,21.8,21.4,21.2,20.3,19.3
BLR,31.3,32.6,34.0,35.1,38.4,39.0,41.9,43.6,44.4,46.6,47.2,47.7,47.9,47.5,47.4,47.4,47.2,47.1,46.8,46.1,45.8
BLZ,12.6,12.4,12.1,11.9,11.5,10.2,9.97,9.46,8.81,7.6,7.04,6.51,6.62,6.14,5.65,5.49,4.79,4.86,4.81,4.42,
BMU,86.6,86.1,83.7,91.8,91.4,91.0,90.8,90.7,,108.0,113.0,46.0,18.9,32.1,34.4,,39.0,38.8,38.7,38.7,
BOL,6.74,6.79,6.9,7.0,7.0,8.01,8.03,8.36,8.49,8.37,8.19,8.08,8.0,7.76,7.5,6.19,5.59,5.06,4.61,3.93,
BRA,21.7,21.7,21.6,20.8,20.9,21.7,21.6,21.8,22.0,22.5,22.7,22.1,21.7,20.7,19.7,18.6,16.3,14.7,13.8,13.0,12.1
BRB,50.4,50.8,50.2,49.7,49.5,49.5,49.5,50.0,50.9,51.8,53.6,48.8,53.6,50.0,43.0,45.6,45.5,45.4,42.9,43.0,
BRN,23.6,23.5,23.4,22.0,21.5,21.4,20.9,20.4,20.0,17.5,,17.2,18.0,17.4,19.4,18.9,19.6,23.2,24.9,26.8,26.5
BTN,3.71,4.66,4.99,4.7,4.4,4.0,3.8,3.75,3.88,3.76,3.65,3.25,2.94,2.82,2.83,2.9,2.82,2.99,2.54,2.51,2.34
BWA,7.4,7.29,7.42,7.04,7.17,7.3,6.9,6.76,7.21,7.61,8.14,7.79,7.28,6.36,6.23,6.2,6.11,5.92,3.91,3.76,3.62
CAF,0.232,0.239,0.233,,,,0.0786,0.0207,0.0179,0.0178,0.0172,0.0173,0.0406,0.0417,0.0439,0.045,0.0404,0.0398,0.0391,0.041,
CAN,64.7,64.0,55.9,55.7,55.2,54.6,55.3,53.8,52.9,50.8,47.9,46.0,43.4,41.7,39.3,37.1,36.0,34.9,31.7,29.4,27.7
CHE,72.6,71.1,69.3,67.1,65.3,63.2,66.3,62.7,61.9,59.0,56.8,53.4,50.0,45.0,42.1,39.1,37.0,35.5,34.5,34.2,33.9
CHL,20.3,20.7,21.2,20.5,20.8,20.9,20.9,20.1,19.4,18.8,18.9,19.2,19.1,18.5,17.2,15.9,14.3,13.3,12.9,11.3,10.1
CHN,20.3,23.9,26.8,27.9,27.6,25.5,23.4,21.8,21.0,20.3,19.4,18.0,16.5,14.7,13.7,13.5,13.4,12.8,12.7,12.6,12.2
CIV,1.24,1.32,1.29,1.32,1.18,1.66,1.28,1.26,1.2,1.18,1.14,0.989,1.1,1.11,1.14,1.1,0.964,0.912,0.895,0.866,0.784
CMR,0.603,0.599,0.588,0.745,1.05,1.37,2.28,2.74,3.31,3.54,3.73,5.24,4.61,4.48,3.67,3.64,3.36,3.68,3.22,3.24,
COD,0.0176,0.0185,0.018,0.016,0.0056,0.058,0.0637,0.0612,0.0804,0.0813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
COG,0.203,0.388,0.43,0.358,0.337,0.22,0.271,0.3,0.308,0.315,0.323,0.328,0.333,0.326,0.318,,0.303,0.296,,0.292,
COL,19.2,18.3,18.2,18.4,18.3,18.1,16.9,16.0,15.7,15.5,15.5,15.4,15.1,15.0,14.5,14.2,14.1,14.3,14.8,14.6,13.9
COM,2.32,2.6,2.86,3.15,4.22,4.58,4.8,3.24,3.46,3.52,3.3,3.3,2.01,1.76,2.27,1.34,1.28,0.944,0.905,0.883,1.04
CPV,15.1,15.0,14.8,14.6,14.5,14.3,14.2,14.1,14.6,13.7,12.9,11.6,12.4,12.6,12.7,12.2,11.2,11.2,10.6,11.0,11.6
CRI,28.0,32.0,32.6,30.8,32.8,32.4,33.3,23.3,22.4,21.3,20.5,18.5,17.8,17.2,16.6,15.5,12.8,11.1,9.95,9.67,13.3
CUB,6.46,6.84,7.6,8.53,9.35,9.64,9.91,10.3,10.6,10.8,11.0,11.2,11.5,11.7,12.0,12.3,12.9,13.4,13.8,14.2,14.4
CUW,,,,,,,53.3,50.3,42.9,39.7,39.1,37.0,37.6,35.3,36.6,32.4,28.2,28.9,28.7,27.3,
CYM,86.5,83.8,81.2,78.8,70.5,69.9,68.7,69.0,67.0,65.4,62.6,54.7,54.4,54.1,53.9,,53.5,52.4,51.3,50.0,
CYP,58.7,57.1,56.5,53.9,52.7,51.9,50.6,49.2,47.0,43.1,40.7,38.7,38.2,37.5,36.7,35.6,36.5,34.8,33.7,32.3,29.3
CZE,35.4,33.4,31.3,28.0,23.2,23.9,24.2,22.6,21.0,20.2,19.0,19.0,18.1,16.7,15.6,14.3,14.2,12.7,12.4,11.6,11.1
DEU,66.0,66.4,66.8,66.6,65.3,62.0,66.3,65.4,63.6,61.9,60.1,57.8,55.3,54.7,53.4,51.0,45.8,45.9,46.0,45.9,45.9
DJI,1.25,1.34,1.26,1.32,1.61,1.67,1.85,1.99,1.94,2.06,2.1,2.19,2.24,2.4,3.47,3.44,3.41,3.52,2.44,2.46,2.49
DMA,32.8,30.5,27.6,25.4,25.3,25.4,24.0,22.5,21.7,23.5,24.6,23.4,29.2,19.1,18.9,4.1,8.2,9.41,11.1,,
