country_code,2007,2010,2012,2014,2016,2018
AFG,8.1,2.0,5.0,,,
AGO,7.9,6.0,,5.0,14.0,
ALB,,1.73,11.0,1.0,,10.0
ARE,3.5,2.46,1.0,2.0,2.0,2.0
ARG,3.0,3.73,5.0,2.0,2.0,4.0
ARM,,,,,,7.0
AUS,3.5,2.64,4.0,2.0,1.0,1.0
AUT,2.2,2.0,,2.0,2.0,2.0
AZE,,7.0,,,,3.0
BDI,,,6.0,1.0,7.0,18.0
BEL,1.4,1.66,2.0,2.0,2.0,2.0
BEN,3.0,,,6.0,3.0,14.0
BFA,,4.0,,,5.0,5.0
BGD,2.3,1.41,3.0,2.0,4.0,
BGR,1.0,2.0,2.0,1.0,1.0,2.0
BHR,2.0,1.0,2.0,1.0,,
BHS,,,3.0,1.0,,
BIH,2.0,2.0,2.0,1.0,1.0,
BLR,,,2.0,,2.0,2.0
BOL,4.0,15.0,3.0,3.0,12.0,3.0
BRA,3.4,2.8,2.0,2.0,3.0,5.0
BRN,,,,,,1.0
CAN,2.6,2.83,2.0,1.0,2.0,4.0
CHE,1.6,2.61,6.0,1.0,1.0,3.0
CHL,2.8,3.48,2.0,1.0,,3.0
CHN,2.6,2.77,3.0,2.0,3.0,2.0
CIV,,1.0,2.0,,2.0,4.0
CMR,5.9,3.37,18.0,3.0,8.0,5.0
COD,,2.0,88.0,,8.0,
COG,,,11.0,,12.0,18.0
COL,7.0,,4.0,3.0,4.0,2.0
CRI,4.0,2.0,2.0,1.0,3.0,
CUB,,,,,6.0,
CYP,1.0,,1.0,,1.0,
CZE,4.8,2.45,,,5.0,7.0
DEU,2.3,3.63,1.0,1.0,3.0,2.0
DJI,,,,3.0,2.0,
DNK,1.3,1.0,2.0,1.0,1.0,3.0
DOM,1.0,2.24,2.0,2.0,4.0,
DZA,,4.58,8.0,3.0,4.0,
ECU,8.9,2.06,2.0,3.0,1.0,
EGY,,1.26,2.0,2.0,2.0,2.0
ERI,,3.0,,,,
ESP,2.6,4.0,1.0,3.0,3.0,2.0
EST,1.3,4.0,1.0,1.0,,2.0
ETH,,5.0,4.0,14.0,,60.0
FIN,2.3,1.59,4.0,2.0,2.0,2.0
FRA,3.2,,2.0,1.0,,2.0
GAB,,4.28,,1.0,,25.0
GBR,3.3,,3.0,2.0,2.0,2.0
GEO,,,6.0,1.0,2.0,2.0
GHA,,2.89,2.0,4.0,3.0,1.0
GIN,3.5,,,,,
GMB,,4.58,2.0,,1.0,
GRC,3.0,,1.0,5.0,3.0,3.0
GTM,,2.58,4.0,2.0,2.0,4.0
HKG,1.9,1.71,1.0,1.0,3.0,
HND,2.4,,3.0,2.0,4.0,
HRV,4.3,1.0,1.0,2.0,,
HTI,4.2,,6.0,1.0,2.0,
HUN,3.5,,2.0,1.0,,
IDN,2.5,2.12,2.0,3.0,3.0,2.0
IND,4.0,2.34,3.0,2.0,4.0,3.0
IRL,1.8,1.0,1.0,,2.0,
IRN,,2.62,3.0,7.0,2.0,3.0
IRQ,,,3.0,,39.0,
ISL,,,,1.0,,
ISR,5.3,2.0,2.0,,1.0,
ITA,2.3,2.6,3.0,1.0,2.0,3.0
JAM,10.0,,14.0,,3.0,
JOR,2.0,3.16,3.0,2.0,2.0,
JPN,3.0,1.0,1.0,2.0,2.0,2.0
KAZ,2.8,,2.0,,3.0,10.0
KEN,5.8,2.96,2.0,3.0,3.0,4.0
KGZ,,2.0,1.0,1.0,,
KHM,2.7,1.32,2.0,1.0,3.0,
KOR,,1.59,2.0,1.0,2.0,
KWT,4.5,2.0,2.0,1.0,2.0,2.0
LAO,,,,2.0,,2.0
LBN,2.4,3.42,2.0,2.0,1.0,
LBR,4.0,,,,7.0,
LBY,,3.16,2.0,,11.0,
LKA,1.9,1.32,2.0,2.0,1.0,6.0
LTU,4.5,2.0,,1.0,2.0,2.0
LUX,,1.7,,1.0,2.0,2.0
LVA,2.3,1.26,,1.0,1.0,1.0
MAR,4.0,2.0,3.0,,4.0,2.0
MDA,,,,,25.0,
MDG,,,2.0,,3.0,1.0
MDV,,2.0,4.0,2.0,6.0,
MEX,3.9,2.06,3.0,2.0,2.0,5.0
MKD,,,,,2.0,1.0
MLI,12.0,5.0,5.0,,,
MLT,,,2.0,1.0,1.0,1.0
MMR,2.6,4.58,1.0,1.0,,3.0
MNE,,,,7.0,,
MNG,,14.0,5.0,1.0,4.0,
MOZ,,,,,,3.0
MRT,,2.0,8.0,1.0,13.0,
MUS,3.0,,1.0,1.0,2.0,1.0
MWI,4.2,,,,,4.0
MYS,3.4,2.64,3.0,1.0,3.0,2.0
NAM,3.0,3.0,2.0,2.0,3.0,3.0
NER,,,,,1.0,
NGA,9.9,2.51,4.0,4.0,3.0,3.0
NIC,2.0,3.16,8.0,8.0,,
NLD,2.6,1.81,2.0,1.0,3.0,2.0
NOR,2.2,1.0,,1.0,2.0,1.0
NPL,4.9,1.82,,3.0,,1.0
NZL,1.9,1.26,2.0,,,
OMN,,,,,2.0,2.0
PAK,3.2,2.3,3.0,3.0,4.0,4.0
PAN,3.2,1.44,2.0,2.0,4.0,3.0
PER,1.7,2.03,1.0,3.0,2.0,2.0
PHL,6.3,1.82,3.0,2.0,3.0,1.0
PNG,,,,,,2.0
POL,3.0,3.04,4.0,1.0,1.0,1.0
PRT,2.5,,2.0,3.0,2.0,3.0
PRY,1.0,,,,,3.0
QAT,1.0,3.83,2.0,7.0,4.0,10.0
ROU,2.2,2.0,2.0,2.0,3.0,2.0
RUS,2.8,3.98,2.0,2.0,5.0,3.0
RWA,,,,,2.0,
SAU,4.3,2.29,5.0,8.0,3.0,4.0
SDN,,39.0,3.0,6.0,11.0,
SEN,4.0,1.41,7.0,1.0,6.0,1.0
SGP,2.4,2.17,2.0,2.0,2.0,2.0
SLB,9.0,,,,,
