country_code,2007,2010,2012,2014,2016,2018
AFG,20.7,4.0,,,,
AGO,10.6,8.0,,4.0,14.0,
ALB,,2.0,,1.0,,14.0
ARE,4.1,2.03,2.0,2.0,2.0,2.0
ARG,4.1,3.79,11.0,3.0,4.0,5.0
AUS,3.4,2.83,3.0,2.0,2.0,1.0
AUT,3.3,3.74,,2.0,2.0,3.0
AZE,,3.0,,,,2.0
BDI,,,18.0,,15.0,
BEL,3.5,1.62,3.0,1.0,3.0,3.0
BEN,7.0,,,8.0,2.0,10.0
BFA,,14.0,,,4.0,2.0
BGD,4.5,1.41,6.0,3.0,5.0,
BGR,1.0,3.87,2.0,1.0,2.0,2.0
BHR,2.0,2.0,2.0,1.0,,
BHS,,,3.0,2.0,,
BIH,1.0,2.0,2.0,2.0,3.0,
BLR,,,3.0,,4.0,2.0
BOL,4.0,28.28,3.0,4.0,13.0,6.0
BRA,7.0,3.88,2.0,3.0,4.0,5.0
BRN,,,,,,1.0
CAF,,,12.0,,,
CAN,4.0,3.68,2.0,2.0,2.0,5.0
CHE,3.8,2.62,6.0,1.0,2.0,2.0
CHL,3.2,3.04,2.0,1.0,,3.0
CHN,3.8,2.56,4.0,3.0,5.0,6.0
CIV,,1.0,5.0,,10.0,4.0
CMR,10.0,8.89,45.0,5.0,9.0,6.0
COD,,3.0,,,7.0,
COG,,,,,12.0,
COL,7.0,,8.0,2.0,3.0,5.0
CRI,4.0,2.0,1.0,2.0,4.0,
CUB,,,,,7.0,
CYP,2.0,,2.0,,1.0,
CZE,5.4,3.46,,,5.0,5.0
DEU,2.4,,1.0,2.0,3.0,2.0
DJI,,,,3.0,3.0,
DNK,1.3,1.0,2.0,1.0,1.0,3.0
DOM,1.0,3.46,2.0,3.0,4.0,
DZA,,7.07,39.0,4.0,5.0,
ECU,8.9,3.41,4.0,4.0,3.0,
EGY,,3.11,3.0,3.0,3.0,5.0
ERI,,3.0,,,,
ESP,3.1,7.07,2.0,2.0,4.0,3.0
EST,2.3,4.0,1.0,1.0,,2.0
ETH,,6.0,3.0,13.0,,10.0
FIN,2.6,1.83,3.0,1.0,2.0,3.0
FRA,4.5,,9.0,1.0,,3.0
GAB,,13.01,,1.0,,25.0
GBR,3.4,1.89,5.0,2.0,3.0,3.0
GEO,,,12.0,2.0,2.0,2.0
GHA,,6.76,19.0,5.0,4.0,1.0
GIN,3.9,,,,,
GMB,,3.46,3.0,,1.0,
GRC,3.5,,2.0,2.0,3.0,3.0
GTM,,3.36,4.0,2.0,3.0,5.0
HKG,2.4,1.62,1.0,1.0,3.0,2.0
HND,3.2,,2.0,2.0,7.0,
HRV,2.9,1.0,8.0,3.0,,
HTI,5.3,,12.0,1.0,2.0,
HUN,4.7,5.0,2.0,3.0,,
IDN,3.9,5.35,3.0,4.0,5.0,4.0
IND,4.7,5.31,3.0,2.0,5.0,3.0
IRL,2.3,1.0,2.0,,2.0,
IRN,,28.28,4.0,3.0,3.0,5.0
IRQ,,,5.0,1.0,7.0,
ISL,,,,1.0,,
ISR,8.7,2.0,2.0,,2.0,
ITA,3.5,2.97,4.0,2.0,3.0,4.0
JAM,10.0,,14.0,3.0,3.0,
JOR,4.6,4.58,5.0,3.0,7.0,
JPN,2.7,1.0,1.0,2.0,3.0,3.0
KAZ,11.5,,,,3.0,
KEN,10.0,5.92,4.0,4.0,3.0,4.0
KGZ,,,,2.0,,
KHM,3.3,4.0,2.0,1.0,4.0,
KOR,,2.0,3.0,1.0,3.0,
KWT,3.4,3.0,3.0,2.0,1.0,3.0
LAO,,,,,,2.0
LBN,2.4,2.15,3.0,13.0,1.0,
LBR,5.0,,,,7.0,
LBY,,10.0,4.0,,4.0,
LKA,2.5,2.45,2.0,2.0,2.0,4.0
LTU,4.5,2.29,,1.0,3.0,2.0
LUX,,1.59,,1.0,2.0,2.0
LVA,2.4,1.59,,2.0,1.0,1.0
MAR,10.0,3.16,3.0,,5.0,3.0
MDA,,,,,32.0,
MDG,,,5.0,,,1.0
MDV,,2.0,,3.0,9.0,
MEX,4.4,2.52,6.0,2.0,3.0,5.0
MKD,,,,,2.0,2.0
MLI,18.0,4.0,7.0,,,
MLT,,,2.0,,1.0,1.0
MMR,3.2,8.37,1.0,1.0,,4.0
MNE,,,,12.0,,
MNG,,12.0,4.0,1.0,4.0,
MOZ,,,,,,5.0
MRT,,3.0,7.0,,32.0,
MUS,2.4,,1.0,3.0,2.0,2.0
MWI,3.7,,,,,14.0
MYS,3.3,2.75,2.0,1.0,7.0,2.0
NAM,4.0,3.0,3.0,2.0,3.0,4.0
NER,,,,,12.0,
NGA,11.2,4.09,4.0,5.0,3.0,2.0
NIC,2.0,3.16,,8.0,,
NLD,2.6,1.92,2.0,2.0,2.0,1.0
NOR,3.4,2.0,,1.0,,2.0
NPL,8.7,6.32,5.0,3.0,,2.0
NZL,2.2,1.59,3.0,,,
OMN,,,,,2.0,2.0
PAK,3.7,1.59,5.0,3.0,5.0,8.0
PAN,4.9,1.41,3.0,,4.0,2.0
PER,4.4,3.8,2.0,2.0,1.0,4.0
PHL,5.3,5.0,4.0,2.0,7.0,2.0
PNG,,,,,,2.0
POL,3.0,3.55,2.0,2.0,1.0,1.0
PRT,5.0,,2.0,2.0,8.0,3.0
PRY,4.0,,2.0,,,
QAT,1.0,2.29,2.0,5.0,3.0,7.0
ROU,3.0,2.0,2.0,2.0,3.0,2.0
RUS,3.0,2.88,3.0,4.0,7.0,5.0
RWA,,,,,3.0,
SAU,6.6,6.32,6.0,9.0,7.0,5.0
SDN,,5.0,8.0,5.0,12.0,
SEN,5.2,2.65,9.0,1.0,3.0,7.0
SGP,2.2,1.78,2.0,2.0,2.0,2.0
SLB,11.0,,,,,
SLE,18.0,32.0,2.0,,,
SLV,2.0,,5.0,,,
SRB,,3.0,,1.0,2.0,2.0
SVK,3.0,5.0,2.0,3.0,,
SVN,3.9,2.0,,,2.0,3.0
SWE,2.6,,2.0,,,3.0
SYR,,3.16,4.0,,5.0,
TCD,35.0,,32.0,,24.0,
TGO,,,15.0,3.0,3.0,
THA,2.3,2.62,1.0,1.0,1.0,5.0
TJK,,,2.0,14.0,,
TTO,,,,,7.0,
TUN,10.0,7.0,1.0,2.0,3.0,5.0
TUR,2.4,3.83,2.0,2.0,2.0,3.0
TZA,21.2,7.07,,10.0,4.0,4.0
UGA,14.0,13.96,81.0,,6.0,14.0
UKR,2.4,7.0,2.0,5.0,2.0,
URY,5.0,3.0,,2.0,3.0,
USA,3.9,4.04,2.0,2.0,3.0,2.0
UZB,,2.0,25.0,18.0,20.0,3.0
VEN,,12.05,7.0,10.0,,12.0
VNM,4.0,1.73,2.0,1.0,3.0,3.0
YEM,,3.63,,,7.0,
ZAF,4.0,3.25,3.0,2.0,3.0,
ZMB,9.9,4.0,7.0,4.0,6.0,
ZWE,18.0,,4.0,1.0,10.0,
