country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,28.8817040907799,28.4513918843887,33.160442199198,34.5191296544988,31.746651038248,32.1030557196345,29.6421797785745,28.2831797071863,27.4166371579459,23.5225068320821,23.8258550178984,23.1114610175592,21.5389195724266,20.5750100127193,20.5511821265415,22.4017243113924,22.4385043629328,24.1787833025076,21.7881805535355,20.9175223741747,21.4610020896194
AFG,,,,,,,,,,,,,,,,,,11.5,13.0,16.7,15.2
AGO,30.4511114121029,30.8936755014177,27.5565797901657,23.3007709224417,25.730579355956,30.804053314644,42.8208531628244,28.1973176920118,26.4243531675539,26.6675773725046,26.1429704757952,27.5004591988793,34.2024908297612,27.2147092687935,24.1303058646463,17.8694205677582,17.7122552404386,26.4904004984611,26.4373618826197,26.256018224438,23.7932500575225
ALB,33.8968627994889,34.1967461797911,36.8696756752052,35.6975187198863,34.4619700309054,35.7784238754261,34.5578458934766,30.3086698207955,31.4135814808892,28.3285499594466,28.0524964575465,25.6746926299268,25.8190485021686,25.2238259425092,25.0525380257711,27.1252966002737,25.2875354871838,26.2183538740289,28.7944313898395,26.9055648740379,22.9107180604133
ARE,22.1297618369823,19.9785190602061,20.1668488058722,19.2703996822451,25.1991828204692,25.0980915438506,31.6335487625593,29.6463693604261,25.326445828973,23.9197807641817,21.6380023815866,22.7007895598472,22.3269675169666,21.6356185634683,21.2814632324792,21.8306207829513,24.0692780423757,23.3288630362103,25.8270196964687,26.5079604200761,27.078656324271
ARG,14.1469621012504,17.5512703642799,18.8882641376513,18.6804872364334,20.099113202908,19.5727758777106,16.0531123592112,17.7055338062046,18.39845891735,16.5019865298875,17.3057789012596,17.2628810064651,17.0707048841583,17.6632278606203,18.2125671747754,16.6138850156371,14.2100303992191,14.4151557410245,18.0762892471421,17.2797984562396,19.3715390134256
ARM,28.3479499830947,29.1225577000264,35.765438994108,42.2254576837845,44.3516229755633,47.9428358213473,41.1450508029059,38.8147549853077,31.9217989798477,24.6809527475996,22.1524900726313,21.2830406859193,20.7305301265762,18.0155086734171,18.4217402148728,22.3997393267701,17.4085294108567,19.663832943599,22.9638762261581,22.3786193446026,21.2953732476126
AUS,25.9369848139976,27.0636473789158,27.4568260355592,27.5048144980167,27.5019903160907,28.6033151100897,27.3643396718515,26.7843369965392,26.4641090007536,27.7160970136026,27.873484896287,26.7273294554667,26.2736236773973,25.4481836814214,24.1763030856454,24.6464120040498,23.391288227558,22.4277286299436,22.9372400904775,23.7681889552934,23.9740168793693
AUT,24.4562050749722,24.2036725711211,23.9653234755669,23.8292704822076,24.7335259294195,24.7047623915806,23.0148012049122,22.8592812354211,24.3521600435893,24.2558827220405,23.9413047862951,23.848669034824,24.012126686949,24.4571707244108,24.9780618382281,25.8982762235252,25.5090080970816,25.6530737541266,27.6732436856584,29.226770327444,25.4080151070422
AZE,53.1714825439026,57.9904339874798,41.5348372928728,29.8593848353266,21.5250083743234,18.6936308461975,18.9486398045026,18.0595784763923,20.2678468568795,22.3167232028526,25.6579354439517,27.5100357372221,27.9135711658698,25.6813382496045,24.3789256985575,20.1294761024821,20.3077798481492,23.6659543305763,17.0785981597198,12.0037141895326,18.3043034661052
BDI,7.86879003706402,10.3470971301176,18.2,18.5129857241011,15.1864583013854,13.4089586890331,18.9748730212835,17.1603824318375,16.3457475597031,16.3381446870308,14.6326385171192,14.2030571572419,12.1634582505496,9.23740996969432,8.80601560454674,11.1034585930148,14.1287000005288,11.4459869190333,13.1126199999271,13.3868808148699,12.9873820939998
BEL,20.9647077064668,22.6670601715452,23.6810632000764,23.9705491132595,24.6032741505197,25.9367703303917,22.0264057475968,22.3942744569467,24.4795580355563,23.5882360674433,22.7089453730117,23.2582959776352,23.3223676294346,24.1815766017974,24.3318331321638,25.5515767637203,24.6756822316808,24.068567845367,24.4424761552435,26.9367445571203,25.3297303497481
BEN,15.1637900420403,15.218605125346,12.0860448919113,12.8734651191902,16.3768679983693,13.7404206600646,14.8657187295579,15.608089212583,16.4625572802737,15.276312739626,18.86187234768,19.2575856279899,20.731792085746,20.2720396046954,23.9604222292501,26.3865130249513,25.6298005790604,25.6338435081567,28.8506183177663,36.5257943461198,40.4710649028638
BFA,15.4592813585183,15.5181038099984,17.5635935306702,16.1250056320714,18.2510847811436,20.7319624459801,19.9900322638267,21.9904340000138,22.1235118043343,24.6529928973207,23.7099150061433,19.2622491931648,19.4066997164243,20.7955479484027,22.0618365902649,21.7391048190018,19.7578680144889,17.1615174265995,15.5079014507343,17.4975778095309,22.5438564249502
BGD,24.6791888612834,24.9918339447004,25.8304355145863,26.1441457474299,26.1784970672047,26.2022714003991,26.2060570157536,26.2466561760577,27.4209733686034,28.2623350097187,28.3896207536466,28.5778757115563,28.886689247008,30.2397639179985,30.9468731155675,31.8225747704431,32.2137331126266,31.3079413414304,31.0187387357172,32.047275580905,30.9512000834944
BGR,22.0741733883245,23.4333521102503,27.7396716608631,32.0563353125989,33.6062336623614,36.9245389748046,28.5382207093012,22.5179685624585,21.3581829600151,21.8870849869755,21.0060108987805,21.5078339407257,20.9999295980527,18.9624324900328,19.8169984706422,21.1168434390686,20.6958565853763,20.1337042876266,20.6962006537931,22.6868124930814,19.749565552763
BHR,23.735810361348,20.5199354428997,26.7352737398905,30.3879536462009,34.7132604204404,34.9481240884218,26.1446971919251,30.2615821927662,25.3549100633717,30.8756523417738,28.7514045529138,29.7579940142889,29.3789394836435,33.0113714852629,36.4656255160301,38.1537026232796,35.6238164124145,37.2957228041662,28.0923578658915,24.9487375390486,28.9929660747442
BHS,24.2737108642641,23.1908641247271,27.3367763973892,33.5164375814502,30.5104187660218,29.4556336690101,28.053608710113,27.9860060064819,30.1833582411908,31.3421141002201,29.420535216145,31.8714063112237,24.9608032968069,26.0789605878196,27.875162421241,26.2195025285753,26.251133203239,24.130867024161,24.357677523771,21.825614323559,20.6869616766049
BIH,29.689360528506,29.8957101126865,28.7397822003268,25.2768165996806,29.8412812469917,31.6950160007338,23.6484988031786,19.708762239122,22.199889582133,22.4364115870283,21.2335805467275,22.5258642223175,21.6895898494442,22.7149682778236,24.6345950144464,24.41012062718,24.8437950565657,23.1065336178264,26.0821780084725,27.423549920209,26.398432441318
BLR,24.9543276593883,28.6673014374357,28.4604661956657,32.1841371566982,34.0919031794272,37.6416510261128,36.8640444559238,40.6563662623236,37.2175950788459,35.0942730563184,38.7980262073973,34.8415840355428,29.0345901457013,26.4773720628969,28.0307901804289,28.0788096795291,29.1497194430425,27.4550664235478,24.3805087093437,21.5979064833979,24.0905264823788
BLZ,17.8012071204828,16.7755291430203,17.8650123733008,17.3773685699023,17.427215746002,21.1052964517799,16.3162570328694,15.208798762674,11.521304835664,12.4908348172201,13.9466240314844,17.0934175143225,16.6890859761519,17.9894652263191,15.0465516480607,16.5267633271558,16.8529916677134,18.5769880314267,21.8545371919605,22.4821723399023,18.2747688996853
BMU,,,,,,,,13.0430267361979,12.5825420569453,11.0144291764369,10.8931113391845,12.0945969964397,11.8925858297364,12.8032086210967,13.763644733725,13.4097576009445,14.7485170334877,12.2382896720514,12.9089986601446,12.0743537924215,11.8009752263041
BOL,13.2320723069973,11.0217031489009,14.2536216336637,13.8653311051279,15.1866548549559,17.5527400611141,16.971260971496,17.0070184588469,19.8155524290026,17.6729919914841,19.0177268858945,21.0337970214776,20.2812768585568,21.0573618487813,22.22028633308,20.5963525742054,19.875010901565,15.7781295016455,16.790744049772,16.6168659809669,17.6169589648051
BRA,16.8566884007152,17.9125683422575,17.2048834502888,17.8164738749106,19.8193259816283,21.6193828534717,18.7961350286791,21.8013215574365,21.8262711161868,21.4172253674119,21.6937669552157,20.5484107553739,17.4116258666294,14.9695469737745,14.6255875981079,15.0950416289449,15.5167907998924,16.1158206052173,19.521885019122,18.0882204442366,16.0859873495074
BRN,21.9878807708968,19.587965784722,16.1152696210251,15.1721722244728,19.7540039405805,20.6413591247699,26.2203908071933,23.6902574822314,26.0242927416393,32.882146728181,39.5934117644702,27.4418169417948,35.2473258987968,34.6202627840828,34.8047601027457,41.0665956379282,38.6777535789145,40.5878300731085,31.2725674724409,25.8510430691062,29.5631702814335
BTN,66.860297997122,67.7331934324244,61.2151499544783,47.8076929499924,42.9183614516456,44.1634785286925,50.189271152596,62.9334525354206,68.2199910305574,69.4487268416528,64.0143242321624,56.5119543969274,56.431110450097,56.3993877458107,54.1677690263441,54.0155173693854,46.0853579383855,39.0705723534632,44.38859602619,55.7788293059761,
BWA,30.1430074223364,31.3514430014324,25.374133887578,21.692781593681,23.0747568630383,35.4683348008758,32.6299076727603,34.7021091252242,39.1181150467037,35.9998617809678,24.8793287159182,25.2530625662887,28.4432892203156,22.0676982064961,25.0058963191325,25.902879643882,30.8204405592326,32.7271734325206,27.3626084475317,26.7904523067808,30.3195921303399
CAF,6.4047925068294,6.81213802638146,9.86481735599986,10.2342110190608,10.6872405778362,12.728492373968,13.2041724777738,16.8437813047686,13.7084644737209,10.8339751287687,7.5153240218181,21.9907907197476,21.8053804538636,22.463467946845,25.6012512008403,26.0,26.0,25.9999999979092,25.3641399970476,24.3266600012173,23.7477562200269
CAN,20.4666776118118,21.3828605310678,22.6320421110981,23.5958930196569,23.9078762217461,24.0725027760344,21.9594942895654,23.4820046985497,24.1514534714945,24.867543598009,24.907675073032,24.8707076104681,23.8215933948339,22.7611201594839,23.5504692286096,23.3773111619236,23.0424241743147,22.6747176119532,24.3144256359344,25.363906800901,24.0198953024404
CHE,25.9844181861728,24.548464470039,27.1892189955534,27.9189340638126,26.7888145984599,27.4120262151199,28.3419894943657,25.8955591965806,28.4924187348254,26.66022900376,25.1549339552027,25.5531960420311,25.0748632817703,25.561928395454,26.0443143419626,25.7344532320312,26.4377929043745,29.5787498388343,26.1046273792677,24.5373792637435,24.5764946902913
CHL,23.3991354336352,21.2432272791054,23.2677008688995,22.1863203847965,22.3480226743137,28.8969424713549,22.9200079230625,24.7754676570281,26.6462967172305,28.7913494676329,27.4969587981046,25.1580934163783,25.5994379464857,23.7087902926512,22.636669962414,24.2030784241886,24.9390098912825,21.0582071011998,24.0686079961728,25.5883785104755,22.9537913250417
CHN,39.6201305878555,41.8471972608319,40.3461495465791,39.9103386970019,40.4821901688549,42.2690268131211,45.3562358300454,46.5561547048834,46.6601210962037,46.2252655950979,46.3989493360759,45.8239527573535,43.2348066562247,42.6313769323417,43.0132973858151,43.7934751722352,43.2511056433479,43.3666742339174,43.1402990748017,43.1462525159503,42.0789515576359
CIV,13.9684419032966,14.7182926366705,13.8421414471747,14.1808271176765,13.7262735107761,18.1800206859596,14.7435495856944,21.6810545298756,16.5937189121478,20.4508171031026,22.9098013286147,22.6204558252908,23.3881494701744,23.1954091913848,20.8188163794498,22.2527904990641,21.9899384954404,21.7428934104601,23.5753170688856,26.3529419294383,28.1135035890477
CMR,18.0947361657846,18.8678143226466,18.6709254882433,17.7758598449069,18.3784496512645,19.7540543269388,18.5596853746796,18.2284440377378,18.732400822037,18.0007381699582,18.6515459692181,19.7278343398902,18.2498554883353,19.8180548448427,19.4451374024879,19.5380296351056,18.9346454960496,17.6605439792144,18.1266921736343,19.1070783023643,19.5166502739918
COD,9.52455484338981,12.2569205489908,11.7799002304206,14.6463411498195,13.7082842188379,10.8571032370841,14.5634353990704,28.78134893666,24.8921059217556,14.3282312775532,21.8424234413698,23.2234743391057,18.5271201962233,17.3999358977091,24.9876783815733,20.600959616347,20.5945396795345,24.602280952328,27.5213236257768,31.4658381044428,32.1151182270969
COG,26.0903241706861,22.5203408420881,25.9379984821473,28.2834567847369,61.0536960552352,42.0714121709361,54.295110833528,47.1901706659231,36.8419012310002,43.8168282700271,47.0644823800022,52.8446172450901,76.7823246780685,71.266855758205,45.8944862253605,29.5270088622039,25.9000965433665,23.7315670324983,21.9769014632722,20.9792068255243,25.2109559920067
COL,18.6818190163212,19.4409966142669,21.6562413080915,22.9389629039528,23.4542806868515,23.7209214485662,21.9875830884376,21.8887622688674,22.9955914400596,22.1046440622529,22.1825448506007,24.0033136584861,23.7736922946916,23.1674195572494,21.5993768407696,21.1954755611258,21.3806095458027,19.1281469366662,18.9169518896828,19.7440316344297,13.6023346887484
COM,18.0423216019979,18.042334010286,18.042313166434,18.0423258142433,16.8874091034811,19.2488768740532,17.990680545639,18.1749652022425,16.0214714764544,16.1515640746149,16.3561697506754,15.2029653780834,13.6380402758518,12.5606730066488,13.4334433748138,14.8680929255808,12.7348062616273,11.8017625319814,13.5328945904035,12.9617188603894,12.7170165749988
CPV,,,,,47.271484248355,45.9358045471371,41.3602933111924,44.9568060390526,44.9117743846551,35.2038713812683,29.9872865504067,34.9962522997627,29.7109321792951,28.5553782407275,29.2834862444324,27.486159184509,23.4319738651901,28.9619236573871,27.7497642140942,21.8794313027596,20.1214437976469
CRI,18.9650510388737,18.9299706136343,18.9641457289161,21.0856415119869,23.2867682663601,24.6107400918404,18.4529135968439,19.8339185211217,20.0481795975156,19.8541955079701,19.5904601620008,19.2231532892007,18.8537264424501,18.888940977993,18.0648742424157,18.3698605660091,16.0640851994464,16.1630546690345,18.5817848852788,17.6973336496207,15.2565937229937
CUB,8.50361547803416,8.80061775253252,10.774593517397,11.7286150905906,10.1839638658861,14.8446789230721,10.9375,10.0733739584629,8.47079286853167,8.57521773013768,9.39363301705812,7.6113275995244,9.38911638326784,9.55998797009888,10.2983305034562,12.0339786668668,11.494997466827,9.87500908228833,23.8110304155458,16.5925136354171,
CUW,,,,,,,,,37.7759954207402,32.2011392260924,30.4838533181729,25.7891289955871,26.3697416948829,28.6395278604093,30.8959067067378,41.0673551203898,,,,,
CYP,19.49832670211,21.8649074462916,22.2094374377754,24.3137543872675,24.0710075269171,28.6449277573261,22.5317717896077,23.6867268786643,18.548122111534,15.8177899862593,12.5650583420074,13.1877395604674,13.3226739651629,17.0541463112928,20.3824581997576,18.9464656052082,19.4941688880243,20.6514604375024,19.8760144194238,21.008715033706,20.5141680170979
CZE,29.5495865624593,29.8242716361965,29.2856028582089,30.0796940275085,32.1072107272958,30.9994095449633,26.3978882297703,26.7312876523202,26.6053370220652,25.6688421143623,24.3768606031502,25.3494353917128,26.9686249210792,25.0750046974725,25.0897410946251,25.6426079021172,26.171850655873,24.7302051809802,28.1285338444502,31.0333010301464,27.9925844224832
DEU,19.5766263092364,19.0213864564072,18.7355259254163,19.897946566207,20.7873433455798,20.898952766365,18.036009892299,19.5556676834629,21.2927749735244,19.5041030145909,19.8107614184872,20.1582154450165,19.4617989726638,19.7348651955033,20.5132823593337,21.4705359458837,21.3000724211289,21.6667343069671,22.4613894888017,23.0210554269889,21.6725400485002
DJI,,,,,,,,,,,56.8736876121895,2.85450377732332,-3.94592435677103,21.9359401140492,21.6328079279849,2.78696996006238,2.28153184175493,1.04216234326917,-15.9166362807127,12.4259703215927,29.4321187058151
DMA,,,,19.1775491610356,19.4408065324204,21.0983663538408,19.3812949640288,18.3795459488649,16.5852288267776,14.956675481447,13.6940686784599,15.1107347206012,13.3035157775053,15.2067719916186,16.8279848599976,32.7042219670468,,,,,
DNK,20.885998901756,21.6460819600503,22.1713094338111,24.2627515456151,25.231367727118,24.0357328016323,19.0326255602397,17.8221551141916,18.9874945831856,19.2269717517509,19.3525146403367,20.1482030437865,20.5435311718122,21.680712423112,21.9568242214893,22.5323146804877,21.8859998750194,22.7626532555055,23.6020021691337,24.6939180177246,22.8265168619473
DOM,19.4091627404806,20.6273486504175,24.7730711459319,26.9268715003108,28.3513909825073,30.023722552064,23.5734833499722,26.3799659306279,25.0262554165433,24.2957445419273,22.7236665037896,23.1129396854361,23.4421451651921,22.9721903649474,22.4718843183819,25.7956709184659,26.0048235067757,25.3830363870659,31.3520926028993,33.2764068366778,31.3371205479558
DZA,32.0808213874135,32.8514476424712,31.175075513314,30.3621197641824,33.5715459915764,35.5369334164485,46.0669131037696,43.2868274827225,39.7538222142123,40.2823786992933,44.5820108403061,46.8984793363791,51.779612559441,51.6415142855742,48.2675922575805,46.4568594962626,44.6295617875004,42.9493576825015,39.1458051112848,35.0891197613498,37.724946210066
ECU,15.7730766736655,16.2503185471483,17.4645010337808,18.118128561743,18.3175597771056,21.5659407925863,21.1732351412126,23.4900158733515,23.5320911453288,23.0133036457677,24.8833528938608,24.7058907826623,22.6864358338097,20.2460508591084,22.4803878213361,22.5404391233328,21.0492332374706,17.5849131583058,20.9726418928949,22.2936144889134,21.4485365984717
EGY,16.8862275449102,16.9379765093756,17.9758588672238,18.7307754573418,20.8512352309345,22.3897264098269,19.1901746305891,19.5010774075916,17.1030559404857,16.0267510598913,14.2119974199097,13.6431924882629,14.2886370146078,15.0402303092936,17.1448890833994,18.7090137585187,20.0536097212294,15.9948639599519,15.171616814996,17.018807778132,12.8753925650879
ERI,26.5439604075464,20.2629217457409,20.3394397206045,13.6811165438244,12.6735754136609,12.7135404800139,9.26379597839317,12.3854014927083,12.626317662696,,,,,,,,,,,,
ESP,27.5285511216757,28.3028257363739,29.4041085115965,30.5843124611931,30.458980215138,28.4790441123592,23.3519417701936,22.3988413816153,20.7135839205008,18.5944685336556,17.412338687976,18.1481477916625,19.3734408230247,19.0611122143393,19.5656670290524,20.7061758213476,20.9088226144802,20.6266482703898,21.8740337716536,22.6550254835913,21.004602475833
EST,35.1880300634078,34.6488549298291,33.3508381603819,39.8256877468792,40.0058943445447,31.6334055843093,21.0087753498274,21.5876781655604,25.4681664047184,29.0805066900785,26.8697121064814,26.727615908803,24.6409611018289,24.7023530937166,25.9381976210924,27.8503992212561,26.356088071314,29.6577202670176,30.4701833404119,28.9736561167561,27.694515970385
ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1076664694521,37.0979619673542,34.0811183155872,37.9937253037378,40.6712729848122,37.3487737046879,38.443986368294,34.7288171877819,35.2639839212175,30.5789678455896,28.0252977177735,25.3422315846234,22.1714596641164
