country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,70.0630780331023,67.7653712810757,76.9749819561498,76.4484740814733,74.9110469524375,73.5808547588983,74.6380124647528,75.2464685871092,84.6867741066482,83.5416514017811,85.3429686877605,84.6065584238676,72.9807504481858,70.4193283773103,71.2556056890066,72.9607783956333,72.1089811926666,71.1446619591487,76.2755332285109,85.3138912529104,81.4544965060421
AFG,,,,,,,,,,,,,,,,,,36.2890774127896,37.06956357719,54.5054272070161,50.498206993764
AGO,49.5798907399883,45.1995887314867,41.0646943598961,31.1572958281252,40.1542845215112,48.8896796542348,63.6888438415367,42.5805194236924,39.3125588161519,35.8599667074303,36.0648469678372,34.6378933219044,33.1339181383385,25.2456726203982,23.2527202247958,25.541723496358,17.0387830650203,27.6274881904292,26.7192226195468,25.2994284078973,26.1849092185214
ALB,46.1731745895907,44.8296265467915,47.85935562815,49.0574825118736,54.9542146887506,52.1493333802176,49.8541657924919,48.5639550032469,51.9770317939697,47.572712860263,46.9573987095321,47.19484413802,44.5336151883802,45.8319636476989,46.6244512220264,44.5800603046607,44.4460249326456,36.9799408832001,44.4572960793289,47.5009791073865,43.8286028086077
ARE,46.3769702756087,53.0548827099662,51.9675602523703,50.8428719062721,64.4140553654625,69.6456553241827,73.8086264961866,59.4994234510332,59.8540595708254,62.3355072430771,63.092896368003,66.4350143515023,72.6484310679123,73.3137080819945,73.0665008487005,65.9257962668894,73.2085188940452,85.0503934921793,83.7058484917282,85.1332094129937,93.7216646058461
ARG,14.7138051046861,16.8450266849578,17.3053942367662,17.4067852681036,18.2824203070644,18.341772996414,14.4961418494061,16.0371898581987,16.7569458546489,14.2886829096862,14.7167556136651,14.0013150558519,11.7805740385254,13.5667926798789,13.9693177780045,16.3258502050892,14.7057366680037,13.5982843701675,15.0119803984295,15.2996935612041,13.8912663507893
ARM,49.5683697098445,44.8798901687648,42.8265406335218,38.8841565463432,38.7856901033422,40.2765983873899,42.6033349980631,44.8945606568078,46.9123853980322,48.3998644778265,49.2015630214006,47.2184853070945,41.9566831307241,42.3336875987152,48.9863308847905,53.0802129926047,54.7633527667858,39.7238206244142,43.7634488327132,51.1857978005492,60.2625572889532
ASM,109.541984732824,111.984282907662,123.6,129.411764705882,120.656370656371,135.357142857143,82.8148148148148,94.4153577661431,98.7719298245614,100.9375,102.037617554859,108.087091757387,98.8112927191679,95.230998509687,102.287581699346,103.599374021909,94.8995363214838,95.1456310679612,92.5333333333333,77.7267508610792,
ATG,,,,,,,,,,,,67.0294721234326,59.3558890657764,61.9981253900258,63.4013124953134,68.1846045477951,68.4165333963013,52.4347951642755,54.1394040738351,62.9404229329272,
AUS,21.1443541839952,19.8471453750713,20.9363741866049,21.7059079518,21.8245161029657,22.6978990852209,22.7298779728897,20.7253270281418,20.4138847943582,21.6711378002023,21.2963101496093,21.3964196324343,21.5978056416682,21.6953352224542,20.9471141947652,21.8419745445958,22.0278238953145,20.6377169074661,18.2458042920249,20.2901822017406,22.4259429260923
AUT,42.0565037313482,44.2550210841381,45.7236031126049,47.5825693830677,48.4744751966427,49.1453130195427,42.1135824199495,48.0609004424225,51.4830214892056,51.5152989482497,51.0955530299819,50.6405828931259,49.7215694739361,48.910092513867,51.2300370800408,52.6757304983207,52.3114775114917,48.2851241395359,55.0789090346153,62.4207780743465,57.3493527895016
AZE,65.5453718603512,72.718107430072,52.9007785985227,38.758255006348,28.5128964581019,23.4667590165732,23.1082959987641,20.6812669257035,24.0810644752506,25.2883893489114,26.2600116874635,26.2096685368412,34.806730415594,43.6496693432541,41.8544509495606,37.5802826749238,36.7675179068137,36.3943117827554,29.7981185195358,26.9954251873703,34.5739824641988
BDI,20.9948980541304,24.6233698947461,28.8999986757642,35.1,31.9999986368881,36.6999993197774,29.2000032854075,29.800003758426,34.2000025536135,34.0092778720909,37.5088230179325,34.2990046114706,16.4210098504297,16.6592030672841,16.2137187724929,20.9140481504705,23.8541700005272,22.2240099992609,23.8183699996008,23.3442218510957,24.3298626640039
BEL,63.679044325004,66.0121279012141,70.2462217485879,72.7625122442923,74.1666421724765,80.2078278152436,66.5423286532355,74.3342737521831,80.494152536242,80.3343292908166,78.6622093410738,79.1750903735027,77.1909428259269,79.43956490475,83.4596731852798,84.7946361610806,82.4980513923498,77.7532507214541,87.7606995094296,96.7284873787937,84.7636154109048
BEN,22.9719333073503,21.389426770597,20.6122912074473,21.7167729998912,27.0709310375342,25.6346390032369,24.7746622235924,28.3588118822374,26.3673773087186,26.8399999121001,31.6296265138756,33.8374338168225,32.0358619739087,31.3801402666294,34.2710021769642,34.5209638714363,34.0508051206822,24.9607629492202,27.1360546569676,29.2803105204475,30.1570110221303
BFA,21.1478047493266,24.5993563004511,24.3303222900142,24.1496788527529,23.4311750727081,25.2359899277654,26.507012812169,28.5573896844031,31.3017525842237,34.6405225638741,36.9588658493908,31.8915583395886,32.9815357744638,31.9772079951896,32.8163945669667,32.5167194817269,31.1509972180432,28.9629129494576,29.6232851445985,33.0990310342397,35.9600256062745
BGD,16.2267362042167,15.7117252031078,20.0040929665367,21.7584608673034,22.9470478066831,24.9620555504832,23.1526633174097,21.7787299851405,27.4987748801959,27.9493338849842,26.7585286129376,25.5244202017989,24.7493225204896,17.4129456531683,17.179983781834,19.8398437797492,18.4832971559365,15.8286593146113,17.0612258032497,20.897740835675,17.8258075763392
BGR,44.5969394925382,52.1072576914266,57.1846454619625,64.0695841229168,71.1775233150947,72.2110884683881,50.473795516392,53.2824773832047,58.6298963704946,63.6250480198959,65.1237043350767,65.69756616486,62.9502249747481,58.9445838270742,62.6439076307563,63.100431152185,60.8476760586327,53.9000094088276,59.3366973069706,68.8630561149866,57.7828043733469
BHR,56.0285101569836,62.1321640785849,64.4194769029886,62.4652368065147,58.1055213402395,63.3051627651981,49.4981315443774,48.8587714119882,71.8932033656,80.5584677956173,83.7629358438758,76.3503224222473,68.5718748262293,62.2347856936543,64.1753061867852,68.3599998924555,62.3231194108364,65.0065491894219,67.5250978124398,70.8410462042989,70.2676839414453
BHS,35.2533063362378,37.7867522740851,42.6363839694191,49.2414369667314,47.9208614529201,47.935588067642,42.3303639766138,43.7223151105018,50.898420626685,46.123931942838,46.559764520287,46.8380094950839,37.1294305125986,37.523733301547,40.1483243031209,40.3641465463942,36.9832209093284,33.689923881826,43.4544239108445,43.7470692122652,42.9587474282526
BIH,59.9814720336208,59.2764412254606,60.0390399307182,53.5716025736534,56.4503034447803,59.3148109188574,48.7381154401454,51.2726737758619,55.8003759026157,55.794567424912,54.1881944917975,56.5631605791701,53.1771142099997,52.3353257819525,56.3214679671966,56.4475276333556,54.4760567724708,47.9297731152414,53.912587140962,61.8988653103961,55.8427513217352
BLR,68.9854723668665,74.2501770290328,59.08654296872,64.2337921203023,67.2108252637516,68.6617233270771,59.759183004167,64.545087636347,79.5088935540041,74.3083620349781,61.4823871290472,55.7105449310614,57.9034590145701,62.6999757764695,66.5780913114196,68.9388489208633,65.7557224712763,57.9217344260324,65.1824128358935,56.973020682251,66.1797785565314
BLZ,49.774619909848,44.0803797694257,47.2558391809892,47.0728718222669,45.3400503778337,51.6130887342573,44.1220017767249,44.3088732313685,50.3270299116061,52.0582381900073,52.7118435616775,51.6310066643283,52.50678279109,49.1697169895545,47.8974539999117,49.1006213888586,50.2658794958757,44.1050493183543,51.5791865485117,55.2569642041662,51.2396709979295
