country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,14.8922098082515,15.5965082540353,16.2974611255338,17.6558632372378,17.4795502921148,16.1823488793703,13.0430359920285,11.5460620013165,12.3664483303712,10.0760634560669,10.7496624410616,10.799498200524,12.4688230870932,12.7138223459928,12.3948233277596,11.3581680555627,11.3720370882194,,,,
AFG,22.7108641828326,26.2267897500666,26.8120992326398,28.2107680719994,26.8822416082148,26.9156280026285,21.8971222069406,21.1514206977128,22.7402524820273,21.1578071539751,20.4446053132561,21.2296632181805,22.1240424906926,10.4668076938201,10.0518739969063,13.3872469597976,14.0581123697768,12.9525996015547,14.2736570191788,16.0503677223963,13.5231032701819
AGO,53.1169977877105,54.6299332781384,60.4019934569532,58.109331166465,61.8835378515421,60.2548203971699,44.0563741288187,52.3684375791632,56.0265138898967,56.9182189644947,53.3628521772331,46.2033255675024,41.9330921928439,42.6435678702129,42.1679537698985,47.9315418514046,49.7609216143959,45.6782423367558,47.5244095549704,45.180052903576,45.2629187172157
ALB,24.055608509483,24.6655622675068,25.0816065897088,25.3080259185205,25.3403319220157,25.1610103305709,24.4137783931968,24.9374619346668,24.4844782196853,22.9185533432722,23.0613168520051,21.5088457362369,21.7636809971645,21.1419653523072,20.3584083577153,23.7535862152793,22.9655306366233,23.4687164167083,22.4341151172329,23.0250575763314,23.0184724953671
AND,15.4949366544165,15.7803540103879,16.0357828783728,16.1672951911525,15.4735314793076,15.4327671138582,14.7664887100921,13.1256460606154,11.908853107908,11.0715796683925,10.6182471491429,10.1535313011382,9.98126871637019,10.1407794073814,10.3955176672591,11.0763337210625,11.6998176283166,12.6601582717327,12.3626363853047,11.1453411041301,12.4282261796617
ARE,49.1210129154604,51.6783480847693,55.6434763024807,57.903111718071,54.840228590251,58.0179784435584,52.044956000368,51.6784594828584,57.0771206726912,56.5680617402564,54.2038149782479,51.9897136679655,43.3542449304817,41.0285717311933,42.5280347654664,46.9189575898931,44.5245160401163,42.1740430729015,47.1393240178447,51.0833289566475,47.7236418303746
ARG,32.6450990996503,28.816922006834,28.6263140439084,29.2032796652469,27.4152361334783,26.2724599395946,25.2842047993735,25.2587762576722,25.2126976058843,24.4290570649122,24.0058814423072,24.2773944936602,23.153056135905,22.0541072112108,21.782123219335,23.7195923321304,23.1578477391434,22.4088763711802,23.4994644263761,24.0075527787773,25.0563816101503
ARM,,,,,,,,,,27.8270946139077,26.7090481417071,25.2705329463993,25.7086994351611,25.5771330395605,25.8095323791656,24.7565578476257,24.9716084573435,26.8172956979296,26.3643404113901,25.4370966437794,23.3745392421065
ATG,12.4849578820698,12.1601478332112,13.5160604009676,17.125054694026,16.3206506445934,17.6110963151787,18.0464283806166,14.8390004821284,14.4530741904434,14.019630552664,14.7603146437903,15.3654199482116,15.9250271771331,17.7630483047708,18.849038849958,20.6520988023085,21.0939260912965,21.1335862331491,20.4929123040736,19.4735944539628,19.4351587534362
AUS,24.0420964552713,23.9349187410093,24.6185066162979,25.6148301545141,25.665940939723,25.6045756759117,27.0459736127175,25.1730784269529,26.5218436455586,26.3790215214115,25.1864505347463,25.5651574750224,23.6809068044195,22.3199755837758,23.4740606091639,24.1240577727471,25.2720792022262,25.3864557192621,25.4208652512055,27.48251427159,27.6508823908584
AUT,27.6979359307016,27.6147888470095,27.4182050564472,27.5909068762418,27.7667298480281,27.4122024469169,26.2777017438174,26.0396419655738,25.8570853999006,26.009804939464,25.9697730865151,25.7857017006482,25.5152402246539,25.9124691845374,25.8023213025638,25.7190926354333,25.5363771006496,25.6544867826211,25.7280321427311,25.2055400552551,25.2446158376037
AZE,48.5398446792136,50.7690323790767,58.5242563385905,65.153471103477,66.1211896828335,65.710363453355,56.3585803968934,59.7713411044389,61.7328443608156,59.4557912599989,57.0544154549517,53.5868546669355,44.8913203383597,47.5578070076723,49.7017251037138,52.250536882585,48.8236328425495,41.9563201571824,48.8181736249399,56.1467373576856,46.6317359792855
BDI,15.7417123072253,16.3230191571129,16.9330035986109,15.3152912436064,17.1561942189062,15.415205278109,16.9195289638327,15.3861562777509,14.8096813161324,15.7508130170673,15.5848005138924,15.498211588581,11.7664286894227,12.2073630909389,10.9931308053063,11.1072170298745,10.9359800008699,10.7429500000783,10.599389999527,10.6377881445908,9.58704196613673
BEL,23.2266548885812,22.9599989488568,22.5737781481988,22.139925542401,22.2819524770029,21.59544849636,20.4890564622648,20.6595926026257,20.7514599517248,19.9956487544689,19.9151935690442,19.6190570732838,19.4767746872729,19.0981057822176,19.1545604130921,18.9641251486969,19.2417105698694,19.0811705163268,17.9974949765149,19.51856076442,18.5320111362915
BEN,21.7653358858628,20.4994246078487,21.6135923867357,21.1570137776206,19.5111771844474,17.6606220766815,17.9195079292369,18.0090531395068,18.1374491115974,16.9566846878966,17.2437092893088,16.4115774866134,16.3850954444902,15.7020683118185,15.1075858507501,14.6419567509163,16.3125612015902,16.2905490528658,16.4674003775761,17.0177168089335,17.301919273728
BFA,22.6250739908394,22.6591757180332,20.1658324331189,20.5038527918156,22.5483344043863,20.5479237002055,22.9558804915607,26.0555520336446,28.3722709055706,26.8675103794383,24.0957515828697,24.9295392471244,24.3613757844362,24.8815173666488,25.1500158888108,25.5894433780973,27.4259133812459,29.4694767840377,28.5306243008568,28.7354846571486,29.2507438804066
