country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,2044111731.84358,2254830726.25698,2360017318.43575,2469782681.56425,2677641340.78212,2843024581.00559,2553793296.08939,2453597206.70391,2637859217.87709,2615208379.88827,2727849720.67039,2790849720.67039,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2481857122.8401,2929446578.25104,3279343543.60416,3648573136.15155
AFG,4520946818.54581,5224896718.67782,6203256538.70967,6971758282.29351,9747886187.39393,10109297047.5432,12416152732.0567,15856668555.8336,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17233051620.1117
AGO,17812704586.4397,23552057679.4994,36970900883.8109,52381025141.4268,65266415494.2584,88538665084.8634,70307196181.6539,83799474069.7315,111789747670.59,128052915766.343,132339109040.232,135966802586.713,90496420506.5957,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,84824654481.7249
ALB,5611496257.14231,7184685781.51876,8052077248.14638,8896075004.63516,10677324852.8822,12881352893.6855,12044205549.6571,11926926615.8015,12890760315.146,12319834195.331,12776224496.9718,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15379509891.7196,15585105131.0644,15241458744.8688,18032010563.7558,19017242585.7803,23547179830.4413
AND,2366941808.94404,2900245324.49221,3161084091.11674,3459337986.88383,3957625367.21959,4102319399.02343,3688976340.7549,3449925738.86069,3629133574.27783,3188652765.36184,3193512950.02419,3271685596.66321,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,3785067331.7625
ARE,124346358066.712,147824370319.946,180617467964.602,222116541865.214,257916133424.098,315474615738.598,253547358747.447,300189052694.029,360832739558.385,384610125384.033,400218529747.597,414105366758.911,370275469560.166,369255326235.771,390516804016.501,427049432149.345,417989721734.494,349473015336.939,415178792769.884,502731935197.487,514130432653.081
ARG,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,632790070063.124,646075277525.125
ARM,2807061008.69084,3576615240.41616,4900469511.10191,6384452066.5146,9206301269.79164,11662040713.8753,8647937081.2562,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24085749592.3359
ASM,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,
ATG,947955555.555555,1026181481.48148,1143714814.81481,1303548148.14815,1487300000.0,1557540740.74074,1386444444.44444,1298255555.55556,1281337037.03704,1327107407.40741,1325425925.92593,1378829629.62963,1437755555.55556,1489692592.59259,1531151851.85185,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,2033085185.18518
AUS,467739079790.332,614659980082.515,695692898676.56,748417562769.636,855007458585.224,1056112427190.38,928762122698.05,1148838233480.72,1398610616772.97,1547532281116.4,1577123329410.88,1468265356427.76,1351296372254.31,1206836962281.84,1325582658156.54,1427809041019.44,1392723834562.64,1328414058378.38,1556735770437.26,1690858246994.43,1728057316695.61
AUT,260779834340.097,299210411454.823,313952317330.776,333905979332.481,386760177589.497,429234399096.173,399290118782.429,389827789217.634,428954737064.057,406750487603.59,426580502769.417,438556021078.034,379546097300.633,393687359770.273,414926138132.691,452582294972.775,442983642371.842,434397601557.696,480467037338.783,471773629830.381,511685203845.001
AZE,7276413079.11451,8680405740.94125,13245421880.834,20981929497.6188,33049419431.2244,48851293785.4483,44292427184.9492,52909294791.9262,65952796427.9473,69679944504.1972,74160560123.6902,75239785452.1022,53076235354.746,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000.0,54825411764.7059,78807470588.2353,72356176470.5882
BDI,784654423.620476,915257323.3961,1117113079.73645,1273375078.44844,1356199387.42308,1611835857.04588,1781455139.85931,2032135192.01248,2235820809.32006,2333341334.45753,2451606632.29246,2705783329.80483,3104003546.26497,2644487776.50077,2723586962.84034,2667182199.51333,2576518879.82353,2649680261.44299,2775798697.46022,3338722827.65691,2642161668.85211
BEL,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,517328087920.078,485014525992.461,481556503720.001,527196649048.639,498414364944.961,524097026598.55,537987419164.351,461044767544.531,474271566739.729,500908767351.53,542638913427.921,536726344405.489,529694473501.791,598494036474.409,593438820508.173,644782756682.756
BEN,5349258094.48239,6190270380.49856,6567654954.38903,7034111314.88812,8169048382.83875,9787734526.23965,9738626517.00319,9535345011.48797,10693321370.036,11141358105.9853,12517845127.6775,13284527850.2632,11388160997.1089,11821065852.1271,12701655845.9612,14262408079.7014,14391686309.033,15651545208.8783,17690083519.9323,17401746309.2655,19676049075.7011
BFA,4740768142.67494,5451688537.60959,6146353173.34929,6547419820.38113,7625722836.76847,9451435490.11467,9450696873.34326,10109619740.6994,12080295977.5632,12561015156.5683,13444300485.8412,13943016076.7436,11832159315.6298,12833363045.3367,14106955615.3442,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18820218690.5948,20324617844.5265
BGD,60158929188.2556,65108544250.0425,69476001239.419,71795736172.1561,79611644974.5571,91636997370.9772,102475158190.998,115275540051.262,128607482310.357,133310747603.483,149998957434.186,172886611653.786,195146608978.131,265224515675.034,293732446624.596,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131688909.301,437415331040.994
BGR,21144957990.4681,26157743368.8716,29868657858.0082,34380536495.6739,44432811756.4731,54480684188.4442,52023801230.12,50760929302.5147,57737040780.0157,54288135058.7926,55852123989.9504,57157782909.9307,50811995688.6771,53964253211.84,59309748166.1179,66289266348.6504,68631726289.2794,70716821234.5967,84417951260.8091,90642851835.8996,102407653020.606
BHR,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000.0,25710904255.3191,22938218085.1064,26805984042.5532,29914680851.0638,31963404255.3191,33823324468.0851,34772526595.7447,32523297872.3404,33884680851.0638,37204813829.7872,39567978723.4043,40446808510.6383,35837632978.7234,40840212765.9574,46680398936.1702,46079867021.2766
BHS,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720400000.0,10395800000.0,10974100000.0,11671900000.0,11745100000.0,12236700000.0,12615800000.0,13016200000.0,9958200000.0,11368900000.0,13136400000.0,14338500000.0
BIH,8498894359.38629,10156541538.399,11222796336.5426,12864841905.9543,15778734264.3787,19112796623.1175,17613949091.2294,17176315803.7298,18644233537.1093,17226735995.6905,18179108530.5261,18558733564.4692,16404348871.4437,17116926327.6247,18326373366.1105,20484053868.9246,20482608755.379,20226036564.4129,23672712242.2149,24534663636.1778,27514782476.0406
BLR,17825444724.4878,23141566292.9462,30210091836.8294,36961894281.3444,45275711995.825,60752106347.126,50873167326.0414,57231904542.8755,61762382327.9319,65685890438.8922,75527558966.4473,78812805039.0743,56454889146.6088,47723545321.259,54725302249.8088,60031173807.7196,64410122847.3508,61371755326.2351,69673747131.87,73775179924.603,71857382745.6066
BLZ,1308900000.0,1400850000.0,1474950000.0,1591150000.0,1707100000.0,1738900000.0,1688500000.0,1745700000.0,1827050000.0,1909400000.0,2032750000.0,2138250000.0,2193050000.0,2240200000.0,2266300000.0,2293250000.0,2388300000.0,2042850000.0,2420550000.0,2846700000.0,3066850000.0
BMU,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7286607000.0,7827980000.0,8141700000.0
BOL,8082399639.54305,8773451751.5121,9549122905.32852,11451844902.2214,13120108008.3477,16674276285.8956,17339992193.7322,19649723722.1034,23963164696.592,27084497481.9103,30659338885.6729,32996188012.5599,33000198248.1292,33941126200.0606,37508642165.3366,40287647930.4761,40895322843.7851,36629843805.0216,40406111695.179,44008282877.9606,45135398008.8166
BRA,558233745651.874,669289424806.307,891633839853.105,1107626541710.74,1397114486471.38,1695855083552.05,1666996438681.46,2208837745214.23,2616156223977.47,2465227803011.57,2472819535742.73,2456043727198.85,1802212206904.68,1795693482652.52,2063514977334.32,1916933898038.36,1873288205186.45,1476107231194.11,1670647399034.67,1951923942083.32,2173665655937.27
BRB,3209500000.0,3444500000.0,3819500000.0,4217323400.0,4675767950.0,4790410400.0,4466809600.0,5191188500.0,5342183800.0,5271257500.0,5361158350.0,5365976700.0,5288057750.0,5330761500.0,5517340450.0,5629916200.0,5788288000.0,5168344450.0,5275242050.0,6257303500.0,6720733200.0
BRN,7167725264.75135,8619178799.47025,10547202612.4295,12644616446.1918,13432029495.6785,15926456491.5178,11912904529.0722,13707121031.2552,18524791070.6802,19048443339.9457,18094148099.4922,17097797371.9718,12930296852.4882,11400266055.3232,12128168046.7827,13566908401.1864,13469235348.2211,12005799664.2691,14006496614.3195,16681536442.5498,15128292980.8638
BTN,651935430.314445,735348490.428435,860391000.221655,942879878.538879,1255767964.00491,1317517834.59916,1331343797.77308,1708880730.87271,1977728659.25621,1973387228.03924,1943696951.76613,2089079570.67546,2187815803.82922,2357504760.5975,2591358009.79792,2583335721.20625,2735683570.28851,2457604334.15915,2768802959.60794,2898227743.13545,
BWA,7511582173.37724,8957467706.5354,9918907108.09702,9919158482.41085,10567270655.5027,10730829116.4105,10118459242.3183,12637273429.1339,15110643612.1729,13907464500.1489,14271738933.2042,15470088500.7414,13530748844.505,15082637184.0496,16105155856.7708,17031943186.1353,16725908148.5481,14960291105.9316,18750946600.1423,20321958850.0363,19396084498.0084
CAF,1142315522.53864,1272360517.32373,1337894378.73743,1461859762.33459,1699811294.94935,1993407888.49838,2067381665.25454,2142591540.40068,2437982705.12093,2510126512.22831,1691544110.18543,1894813389.40325,1695825714.19282,1825018144.65595,2072349972.6818,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,2555492085.24831
CAN,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1655684730000.19,2007472181464.15,2161483369422.01,2142470914401.36
CHE,362075086507.76,403912891033.374,418284865884.998,441634672196.523,490740715594.802,567267767519.158,554212916092.271,598851028906.58,715888126682.396,686420221557.99,706234937370.968,726537808338.0,694118186379.628,687895460902.713,695200833086.499,725568717468.001,721369112726.724,741999406005.627,813408787222.499,818426550206.45,884940402230.409
CHL,76492579644.0605,99075985773.176,122294145162.835,153843518171.43,172491076033.863,179894594475.98,171777900623.177,217051209240.298,251382573885.594,267024782480.28,277395018837.366,259560978231.552,242450355827.827,249344863933.461,276154259987.103,295857562991.709,278285058719.466,254042159309.311,315515014838.539,302116539409.03,335533331669.219
CHN,1660280543846.79,1955346768721.39,2285961149879.85,2752118657184.02,3550327802998.4,4594336785737.67,5101691124285.21,6087191746679.49,7551545703440.75,8532185381680.59,9570471111831.68,10475624944355.2,11061572618578.7,11233313730348.7,12310491333980.9,13894907857880.6,14279968506271.7,14687744162801.0,17820459508852.2,17881782683707.3,17794783039552.0
CIV,21251754340.4305,23510575681.3686,24036918703.1747,25281413263.3712,28760090953.3081,34078240293.2559,33886813250.2036,34936307980.063,36693710801.3976,36302302877.2977,42760235484.6093,48843005613.7091,45815005169.2651,48407761036.8238,52512343996.69,58522477786.6889,60382894697.3557,63027852805.4204,72794636653.7793,70173140101.4315,78875489245.0538
